"DATES" "FL894104005.Q" "FL384104005.Q" "FL154104005.Q" "FL104104005.Q" "FL114104005.Q" "FL134104005.Q" "FL214104005.Q" "FL314104005.Q" "FL264104005.Q" "FL794104005.Q" "FL764104005.Q" "FL724104005.Q" "FL753169600.Q" "FL734104005.Q" "FL444104005.Q" "FL473169333.Q" "FL543169333.Q" "FL404104005.Q" "FL413065005.Q" "FL674190005.Q" "FL614104005.Q" "FL644104005.Q" "FL664104005.Q" "FL504104005.Q" "FL894104005.Q" "FL384004005.Q" "FL154004005.Q" "FL104004005.Q" "FL114004005.Q" "FL214004005.Q" "FL314004005.Q" "FL264004005.Q" "FL794004005.Q" "FL714004005.Q" "FL764004005.Q" "FL724004005.Q" "FL754004005.Q" "FL734004005.Q" "FL744004005.Q" "FL444004005.Q" "FL474004005.Q" "FL514004005.Q" "FL544004005.Q" "FL574004005.Q" "FL224004005.Q" "FL344004005.Q" "FL634004005.Q" "FL654004005.Q" "FL554004005.Q" "FL564004005.Q" "FL404004005.Q" "FL413065005.Q" "FL674004005.Q" "FL614004005.Q" "FL644004005.Q" "FL664004005.Q" "FL504004005.Q"
"195602" 590097 556315 144919 105804 22519 14787 48313 219973 16986 16796 691 553 138 0 1282 0 0 3410 138 0 11275 0 0 0 590097 187890 122481 26033 2732 15333 21311 7200 395007 23476 158877 156837 1493 0 547 66911 2176 11620 83036 11769 11192 0 0 826 739 0 5559 138 0 17575 0 1015 98
"195603" 598853 564247 148293 107478 23228 15084 49533 220631 17091 17515 813 650 163 0 1267 0 0 3657 143 0 11635 0 0 0 598853 190046 124355 25931 2772 15653 21335 7566 401241 23311 160832 158818 1456 0 558 68813 2297 11773 84414 12196 11444 0 0 1025 758 0 5720 143 0 17578 0 817 120
"195604" 611787 576457 152872 110762 23734 14581 50381 224128 17446 17884 977 782 195 0 1350 0 0 3809 149 0 11599 0 0 0 611787 193491 124884 27829 3061 15947 21770 7261 411035 24670 164762 162605 1587 0 570 70189 2394 11943 85615 12722 11681 0 0 1051 780 0 6048 149 0 17958 0 965 108
"195701" 616521 580084 154097 113384 23686 14949 51501 222467 17783 18654 1029 823 206 0 1051 0 0 4056 157 0 12361 0 0 0 616521 194952 127850 26486 2748 16059 21809 7348 414221 22715 165200 163124 1496 0 580 72129 2464 11996 86949 13246 12056 0 0 1094 803 0 6406 157 0 18316 0 570 120
"195702" 620403 583358 158837 116252 24216 15516 52414 216123 17976 19069 989 791 198 0 1183 0 0 4449 166 0 12282 0 0 0 620403 194415 128643 25167 2869 16123 21613 7262 418726 22659 164913 162827 1498 0 588 73794 2620 12088 88032 13714 12434 0 0 1191 828 0 6848 166 0 18654 0 659 126
"195703" 632314 594086 161992 117697 24855 15633 53836 220073 18091 20137 1209 967 242 0 1230 0 0 4753 170 0 12775 0 0 0 632314 197647 131128 25785 2843 16040 21851 7142 427525 22776 168582 166607 1379 0 596 75672 2772 12321 89305 14126 12879 0 0 1166 853 0 7020 170 0 18945 0 819 119
"195704" 643033 603504 165307 120450 25176 15638 55039 221894 18763 20766 1320 1056 264 0 1381 0 0 4929 173 0 12963 0 0 0 643033 200736 131939 27372 3102 15912 22411 7475 434822 23767 170053 167985 1466 0 602 77002 2859 12599 90461 14494 13258 0 0 1180 880 0 7347 173 0 19272 0 1354 123
"195801" 645315 604978 164246 122016 25336 15926 56550 220903 19169 21168 1544 1235 309 0 789 0 0 4735 175 0 13925 0 0 0 645315 199265 133195 24963 2702 15662 22743 6980 439070 23154 170775 168749 1406 0 620 78675 2851 12593 91762 14874 13781 0 0 1298 908 0 7575 175 0 19276 0 1220 153
"195802" 654369 613676 167313 122836 25900 16784 57730 223113 19728 20965 1366 1093 273 0 1036 0 0 4625 177 0 13761 0 0 0 654369 196884 132145 23288 2774 15796 22881 6346 451139 25173 176135 174037 1453 0 645 80696 2960 12716 92853 15270 14070 0 0 1478 937 0 7576 177 0 18975 0 1940 183
"195803" 661800 621234 170567 123881 26775 17011 59330 223670 20183 20383 1294 1035 259 0 1136 0 0 4859 183 0 12911 0 0 0 661800 197536 131175 24360 2808 15914 23279 7141 457123 24679 179152 177192 1291 0 669 83345 3052 13019 94182 15695 14499 0 0 1477 967 0 7583 183 0 18344 0 775 171
"195804" 681959 640225 176137 127642 27681 17002 60669 231094 20765 20969 1206 965 241 0 1445 0 0 4985 190 0 13143 0 0 0 681959 203845 132663 28093 3103 16096 23890 7523 470591 26313 184962 182770 1512 0 680 85490 3141 13382 95533 16151 14963 0 0 1453 996 0 7684 190 0 18975 0 1242 116
"195901" 688658 645875 178367 128412 28547 17632 62272 230645 20835 21948 1065 852 213 0 1205 0 0 5126 195 0 14357 0 0 0 688658 208446 135720 28977 2836 16351 24562 7946 472266 25454 182029 180019 1453 0 557 87852 3210 13518 96785 16465 15426 0 0 1528 1075 0 8012 195 0 19743 0 825 149
"195902" 705203 659822 185237 131474 29902 18713 63593 230904 21142 24239 993 794 199 0 1676 0 0 5952 201 0 15417 0 0 0 705203 212650 136932 30714 2969 16748 25287 9867 482686 26017 184940 183053 1444 0 443 90459 3420 13761 98104 16918 15800 0 0 1562 1102 0 8772 201 0 20761 0 719 150
"195903" 721878 674489 191315 132485 31133 19104 65575 234877 21370 26019 964 771 193 0 1974 0 0 6757 202 0 16122 0 0 0 721878 218641 139987 33007 2944 17020 25683 11068 492169 26514 186642 185066 1341 0 235 93432 3649 14159 99262 17340 16370 0 0 1699 1131 0 9335 202 0 21366 0 882 186
"195904" 739030 689904 198076 136251 31931 18934 66696 238016 21436 27690 1163 930 233 0 2387 0 0 7259 203 0 16678 0 0 0 739030 225318 142784 35903 3425 17492 25714 11706 502006 26655 189696 187872 1603 0 221 95137 3815 14606 100501 17885 16837 0 0 1799 1165 0 9898 203 0 22425 0 1232 152
"196001" 743537 692232 199365 138190 32750 19329 68321 234277 21783 29522 1380 1104 276 0 1690 0 0 7188 204 0 19060 0 0 0 743537 229617 149636 33290 2864 17866 25961 12092 501828 25193 185029 183386 1418 0 225 97286 3932 14909 101839 18291 17429 0 0 1848 1265 0 9975 204 0 23811 0 637 180
"196002" 755365 702268 205908 140949 33773 20117 69524 231997 22190 30907 1396 1117 279 0 1941 0 0 7610 206 0 19754 0 0 0 755365 230662 151011 32113 3025 18292 26221 11990 512713 26328 188161 186459 1468 0 234 99242 4193 15140 102965 18652 17926 0 0 1919 1322 0 10543 206 0 25031 0 896 189
"196003" 765214 711443 210343 141447 34864 20214 71174 233401 22556 31215 1685 1348 337 0 1888 0 0 7782 204 0 19656 0 0 0 765214 229368 151097 30114 2927 18785 26445 12336 523510 26507 192430 190715 1470 0 245 101986 4376 15331 104240 19087 18331 0 0 2006 1373 0 10799 204 0 25227 0 1405 208
"196004" 780495 724735 215580 145235 35762 19965 72211 235982 23215 32545 2047 1638 409 0 2199 0 0 7897 201 0 20201 0 0 0 780495 230144 150918 30161 3202 19118 26745 12610 537741 27046 199695 197581 1866 0 248 104154 4500 15501 105557 19682 18887 0 0 2043 1400 0 11092 201 0 25915 0 1891 177
"196101" 781683 726425 216018 145070 37100 20527 73710 234000 23853 31405 2253 1802 451 0 1628 0 0 7391 201 0 19932 0 0 0 781683 228666 151286 28104 2594 19317 27365 12654 540363 26431 198843 195987 2599 0 257 106921 4496 15703 106929 19880 19556 0 0 2091 1468 0 10941 201 0 25456 0 1207 240
"196102" 792944 737031 221416 147399 38141 21317 74653 234105 23854 32059 2294 1835 459 0 2029 0 0 7715 200 0 19821 0 0 0 792944 230087 152162 28373 2763 19598 27191 12291 550566 27030 202649 199833 2552 0 264 109403 4683 15933 108226 20339 20115 0 0 2036 1449 0 11253 200 0 25665 0 1383 202
"196103" 808152 750714 225576 148007 39645 21754 76459 239273 24548 32890 2446 1957 489 0 2289 0 0 8222 244 0 19689 0 0 0 808152 231432 153621 27208 2798 19854 27951 12987 563733 26906 209677 206782 2623 0 272 112496 4810 16203 109505 20672 20646 0 0 2160 1421 0 11631 244 0 25581 0 1525 256
"196104" 828772 768436 232266 152668 40959 21558 77815 243170 25456 34880 2710 2168 542 0 2858 0 0 8578 290 0 20444 0 0 0 828772 235677 154854 29154 3130 20134 28405 13064 580031 28785 215909 213198 2433 0 278 115330 4930 16516 110868 21156 21082 0 0 2449 1399 0 12128 290 0 26972 0 2043 174
"196201" 835937 775063 233808 153438 42063 22288 79588 243878 26358 34516 2523 2018 505 0 2298 0 0 8895 312 0 20488 0 0 0 835937 237203 156507 28678 2777 20136 29105 13277 585457 28665 214758 212006 2457 0 295 118510 4933 16858 112406 21504 21820 0 0 2420 1434 0 12517 312 0 27152 0 1852 316
"196202" 852433 789552 241229 156844 43421 23414 80915 243729 26832 36049 2365 1892 473 0 2887 0 0 9188 336 0 21273 0 0 0 852433 238395 156886 28336 3020 20495 29658 13719 600319 29486 221907 218774 2817 0 316 121270 5213 17263 113730 22035 22322 0 0 2358 1392 0 12890 336 0 27895 0 1968 254
"196203" 864455 800468 246978 158338 44888 23728 82316 244220 26716 37271 2304 1843 461 0 3163 0 0 9774 373 0 21657 0 0 0 864455 239940 158864 27287 3019 20973 29797 14379 610136 28827 224891 221908 2645 0 338 125070 5412 17658 115195 22316 22826 0 0 2600 1363 0 13223 373 0 28096 0 2014 272
"196204" 888365 821388 254251 163052 46414 23856 83770 250045 27544 39433 2676 2141 535 0 3633 0 0 10077 413 0 22634 0 0 0 888365 242364 158200 28799 3315 21697 30353 14797 631204 30531 235230 232306 2567 0 357 128303 5570 17971 116858 22901 23211 0 0 2643 1377 0 13745 413 0 29198 0 2964 289
"196301" 895534 829002 256795 164290 47504 24684 85007 250722 28298 38234 2615 2092 523 0 2609 0 0 9186 453 0 23371 0 0 0 895534 244378 156021 32021 2966 22324 31046 14941 636215 30396 233953 230894 2676 0 383 132395 5604 18218 118446 23362 23717 0 0 2646 1499 0 13166 453 0 30122 0 1923 315
"196302" 915366 844772 265487 167119 49045 26023 86776 250323 29582 41012 2724 2179 545 0 3442 0 0 10028 495 0 24323 0 0 0 915366 246359 157001 32316 3178 22659 31205 15692 653315 31850 240703 237616 2672 0 415 136240 5935 18403 119834 23872 24437 0 0 2487 1614 0 13959 495 0 31226 0 1972 288
"196303" 928827 855880 272586 168083 50602 26518 88053 250038 29889 43058 2771 2224 547 0 4219 0 0 10700 509 0 24859 0 0 0 928827 247870 158004 32232 3224 23051 31359 16030 664927 32053 242868 240031 2393 0 444 140844 6147 18568 121477 24403 25004 0 0 2719 1737 0 14281 509 0 31829 0 2202 286
