"DATES" "FL764090005.Q" "FL723025000.Q" "FL763013005.Q" "FL743020003.Q" "FL764005005.Q" "FL763069175.Q" "FL763061105.Q" "FL763061705.Q" "FL763062005.Q" "FL763063005.Q" "FL763068005.Q" "FL763065005.Q" "FL723066000.Q" "FL763067005.Q" "FL763064105.Q" "FL723064203.Q" "FL763069705.Q" "FL763090005.Q" "FL764190005.Q" "FL764110005.Q" "FL714010005.Q" "FL904010005.Q" "FL764116005.Q" "FL763127005.Q" "FL723123005.Q" "FL763122605.Q" "FL763129205.Q" "FL763131005.Q" "FL763135005.Q" "FL762150005.Q" "FL764104005.Q" "FL763169175.Q" "FL763163005.Q" "FL723169305.Q" "FL723178003.Q" "FL763190005.Q" "FL764004005.Q" "FL723066303.Q"
"195803" 207532 3140 18101 239 182526 1056 65504 2760 16510 1754 45257 24700 20330 4645 10 0 1281 2245 191441 4053 1286 491 2276 116047 4220 1276 110551 55945 9584 67 1294 1294 0 0 894 3557 179152 0
"195804" 214771 3249 18504 240 189180 890 67189 2985 16671 1677 48122 25523 20711 5402 10 0 1194 2404 198667 4341 1342 888 2111 122705 4250 1727 116728 56718 9268 -252 1206 1206 0 0 929 3752 184962 0
"195901" 210770 3090 18194 188 185678 889 63906 2475 16867 1698 47905 26130 21105 4693 10 0 1054 2566 194493 4406 1318 818 2270 117354 3590 1635 112129 57725 9185 88 1065 1065 0 0 810 3860 182029 0
"195902" 214114 3260 18188 130 188886 723 61551 2028 17029 1697 51415 27060 22454 4918 11 0 983 2667 197616 5085 1738 1140 2207 118386 4420 1816 112150 59049 8804 534 993 993 0 0 566 4199 184940 0
"195903" 216128 3240 17760 74 190744 806 59840 1958 17110 1693 53130 27635 23516 5045 11 0 954 3356 199303 4678 1280 1312 2086 120442 6140 1728 112574 59958 8045 255 964 964 0 0 522 4439 186642 0
"195904" 219197 3012 18174 66 194197 793 59544 1864 17078 1593 55348 28145 24180 5641 11 0 1151 2597 202340 5387 2043 1212 2132 123449 5050 1787 116612 60261 7527 -28 1163 1163 0 0 469 4112 189696 0
"196001" 213480 3360 17716 67 188108 808 54766 1607 17065 1512 55229 28228 24448 4433 12 0 1366 2863 196390 4817 1638 805 2374 116953 4410 1345 111198 60294 7463 968 1380 1380 0 0 592 3923 185029 0
"196002" 216897 3490 17528 71 191550 887 54818 1579 16836 1457 57161 28464 25577 4758 13 0 1382 2876 199444 4823 1135 950 2738 119436 7030 1609 110797 61353 7929 405 1396 1396 0 0 769 3333 188161 0
"196003" 222465 3540 18058 77 196256 1014 58301 1710 17226 1462 56180 28693 26176 5480 14 0 1668 2866 204676 5700 1580 1142 2978 121550 7440 1636 112474 62754 8733 228 1685 1685 0 0 1131 2895 192430 0
"196004" 228987 3346 17081 83 203649 1213 61611 2261 17685 1397 58272 28806 26423 5966 15 0 2027 2801 210907 6141 1893 1288 2960 125558 5945 1896 117717 62533 11090 -262 2047 2047 0 0 1468 2332 199695 0
"196101" 225598 3630 15992 91 201366 1503 60329 2411 18590 1401 56546 28864 26968 4739 15 0 2231 2288 207402 4913 861 829 3223 119475 4160 2360 112955 65100 11431 52 2253 2253 0 0 1378 2800 198843 0
"196102" 231416 2903 16716 101 206299 1580 62533 2405 18240 1270 57659 29383 27308 5905 16 0 2271 3126 212716 5530 1206 771 3553 121267 6362 2262 112643 67337 12637 30 2294 2294 0 0 967 2654 202649 0
"196103" 238566 3870 16310 111 213255 1857 66913 2354 19776 1256 57716 29920 27463 5984 16 0 2422 2598 219432 6146 1382 1202 3562 125196 7750 2375 115071 68090 13743 274 2446 2446 0 0 783 2754 209677 0
"196104" 246691 3689 17387 119 220291 2170 67221 2939 20467 1236 60882 30442 27869 7049 16 0 2683 2522 227420 7479 2415 1977 3087 130790 5946 2804 122040 69504 13536 14 2710 2710 0 0 577 2810 215909 0
"196201" 244116 3900 16786 124 218551 2036 65231 3189 21873 1340 59891 30844 27856 6275 16 0 2498 2257 224749 5324 1088 887 3349 124110 6260 3119 114731 73053 15569 173 2523 2523 0 0 707 3290 214758 0
"196202" 251114 3185 17206 127 225451 1832 65381 3575 23371 1299 62456 32194 29457 5869 17 0 2342 2803 231270 5750 1505 883 3362 126540 9554 3067 113919 76469 16208 55 2365 2365 0 0 741 3142 221907 0
"196203" 255533 4270 17105 129 229177 1965 65057 3213 24305 1286 63401 33430 29953 6550 17 0 2281 2571 235494 7273 2403 1532 3338 126588 8090 2588 115910 79308 15579 264 2304 2304 0 0 974 3204 224891 0
"196204" 268189 4519 17454 131 240455 2015 67059 4352 25658 1369 67088 34476 30563 7859 16 0 2650 2980 247816 7223 2940 1302 2981 135449 7158 2941 125350 82241 16374 63 2676 2676 0 0 1072 2718 235230 0
"196301" 263925 4210 16410 134 238152 2145 65488 4254 26532 1432 65175 35243 31095 6771 17 0 2589 2430 243535 5540 1417 560 3563 127365 7330 2695 117340 84883 18160 433 2615 2615 0 0 1082 3457 233953 0
"196302" 272224 3483 16965 136 245810 2093 64219 4339 28000 1347 68394 36939 32675 7787 17 0 2697 3133 251344 5880 1734 719 3427 131478 11060 3031 117387 88080 18457 288 2724 2724 0 0 805 3632 240703 0
"196303" 275448 4550 16621 138 248730 1948 62382 4525 29102 1113 69114 38360 33615 8554 17 0 2709 2700 254624 6506 1900 1140 3466 130652 8850 2989 118813 90207 18781 342 2771 2736 35 0 778 4587 242868 0
"196304" 286098 4259 17049 141 258874 2044 63794 4683 30103 901 74253 39414 34677 8988 17 0 2890 2885 265750 7113 2631 1249 3233 137784 6548 3283 127953 92711 20313 26 3152 2919 233 0 621 4030 252759 0
"196401" 283690 4500 16611 144 257109 2225 62053 4136 30888 1340 72654 40200 35503 8093 17 0 3102 2224 262947 5750 1552 726 3472 131465 7870 3399 120196 94747 22067 356 3553 3133 420 0 818 4191 252101 0
"196402" 292602 4539 16973 147 265008 2131 59869 4342 31548 1419 77093 41648 37642 9298 18 0 3149 2786 271042 5625 1712 622 3291 135758 10257 3728 121773 97688 22631 457 3713 3180 533 0 756 4414 258841 0
