"DATES" "FL104090005.Q" "FL103091003.Q" "FL103020003.Q" "FL103030003.Q" "FL103034003.Q" "FL102050003.Q" "FL104004005.Q" "FL103069100.Q" "FL103061103.Q" "FL103061703.Q" "FL103062003.Q" "FL103065003.Q" "FL103066005.Q" "FL103064203.Q" "FL103070005.Q" "FL103090005.Q" "FL103092005.Q" "FL103076003.Q" "FL103092403.Q" "FL103094105.Q" "FL103093005.Q" "FL104190005.Q" "FL104104005.Q" "FL103169100.Q" "FL103162005.Q" "FL103163003.Q" "FL103168005.Q" "FL103169005.Q" "FL103165005.Q" "FL103170005.Q" "FL103178000.Q" "FL103190005.Q" "FL103192005.Q" "FL573074005.Q" "FL103193005.Q" "FL103075005.Q" "FL103164103.Q" "FL104120005.Q" "FL104140005.Q" "FL104150005.Q" "FL104001005.Q"
"195801" 147590 160 25972 1550 0 0 24963 746 14394 700 1217 76 7830 0 66156 28789 24843 3103 36 0 807 187049 122016 716 0 65937 30709 6141 18513 45517 11495 8021 4313 393 3314 20639 261319 84450 37566 94578 44739
"195802" 148855 132 27218 2100 0 0 23288 455 12340 500 1682 80 8231 0 66353 29764 25469 3238 36 0 1021 187021 122836 791 0 67017 30575 5791 18661 46871 8991 8323 4408 414 3501 19482 278565 85678 37158 93020 44427
"195803" 156078 172 28211 2000 0 0 24360 224 13175 550 1979 84 8348 0 71072 30263 25837 3373 37 0 1016 193146 123881 795 0 68463 30356 5283 18984 50103 10322 8840 4497 440 3903 20969 310541 87447 36434 96859 46311
"195804" 162536 149 30083 1900 0 0 28093 210 16092 600 1958 87 9146 0 71514 30797 26443 3511 38 0 805 202401 127642 658 0 69715 31527 5707 20035 53810 12026 8923 4504 469 3950 17704 324670 89750 37892 103728 50992
"195901" 163203 143 27264 1800 0 0 28977 502 17280 700 1958 74 8463 0 73082 31937 26979 3651 39 0 1268 202930 128412 652 0 70307 31307 6188 19958 53685 11682 9151 4630 484 4036 19397 332012 90265 38147 103514 49647
"195902" 169012 137 28230 1700 0 0 30714 622 18104 900 2009 62 9017 0 75163 33068 27750 3793 42 0 1483 208879 131474 458 0 71169 33252 6590 20005 55502 12591 9313 4783 510 4019 19661 346451 91174 40300 108393 51702
"195903" 173279 145 27748 1600 0 0 33007 240 20311 1000 2455 21 8980 0 77036 33743 28249 3936 46 0 1512 211122 132485 527 0 71737 33836 6351 20034 55842 13275 9520 4899 520 4101 21194 339875 91771 40714 109831 53499
"195904" 177635 132 29196 1500 0 0 35903 742 21621 1200 1794 21 10525 0 76979 33925 28752 4081 51 0 1041 219159 136251 315 0 72794 35259 7037 20846 59100 14150 9658 4923 547 4188 17879 362157 93640 42611 115861 56185
"196001" 176380 121 26528 1268 0 0 33290 740 19986 1200 2449 22 8893 0 79373 35800 29312 4229 57 0 2202 219271 138190 427 0 73216 35787 8092 20668 58535 12817 9729 5014 549 4166 20838 339310 93884 44306 115658 52292
"196002" 176404 140 27535 1087 0 0 32113 757 18247 1343 2179 23 9564 0 79922 35607 29641 4383 64 0 1519 222026 140949 547 0 74107 36659 8744 20892 59438 11903 9736 5069 572 4095 20484 347588 94999 45950 117291 51288
"196003" 178660 191 27737 1346 0 0 30114 648 16446 1190 2548 24 9258 0 82814 36458 29976 4534 69 0 1879 223545 141447 782 0 74889 36322 8347 21108 60426 11795 9877 5149 573 4155 22388 321285 95997 45451 117672 50106
"196004" 180476 148 28243 3000 0 0 30161 788 15752 1116 2382 24 10099 0 81835 37089 30670 4672 72 0 1675 229575 145235 769 0 76216 37438 9080 21732 61935 12560 9845 5169 613 4063 19900 365166 97948 47288 121783 51429
