"DATES" "FL754090005.Q" "FL753013003.Q" "FL754005005.Q" "FL753069603.Q" "FL753061103.Q" "FL753061703.Q" "FL753062003.Q" "FL753063003.Q" "FL753068005.Q" "FL753065005.Q" "FL753067000.Q" "FL753064103.Q" "FL293169750.Q" "FL753093005.Q" "FL754190005.Q" "FL754110005.Q" "FL754116005.Q" "FL754112005.Q" "FL753127005.Q" "FL753131005.Q" "FL753135005.Q" "FL752150000.Q" "FL753169600.Q" "FL753190005.Q" "FL753192003.Q" "FL753194503.Q" "FL753193005.Q" "FL754004005.Q"
"196202" 3607 0 2976 145 827 0 165 252 960 0 610 17 468 163 3713 2096 2354 -258 1323 33 301 0 473 -513 350 0 -863 2817
"196203" 3572 0 2956 139 693 0 171 262 924 0 750 17 456 160 3681 2091 2373 -282 1242 33 300 0 461 -446 353 0 -799 2645
"196204" 3617 0 2762 148 506 0 158 242 983 0 709 16 530 325 3729 2143 2372 -229 1194 34 301 0 535 -478 330 0 -808 2567
"196301" 3664 0 2946 163 521 0 153 234 1087 0 771 17 518 200 3779 2216 2466 -250 1113 35 313 0 523 -421 333 0 -754 2676
"196302" 3772 0 3059 165 538 0 132 202 1096 0 909 17 539 174 3890 2276 2549 -273 1127 37 328 0 545 -423 333 0 -756 2672
"196303" 3758 0 3022 157 422 0 89 136 1047 0 1154 17 542 194 3879 2303 2602 -299 1055 38 344 0 547 -408 333 0 -741 2393
"196304" 3811 0 2898 159 399 0 70 107 1058 0 1088 17 578 335 3935 2301 2573 -272 1097 40 357 0 584 -444 348 0 -792 2371
"196401" 3913 0 2949 180 398 0 66 101 1194 0 993 17 620 344 4040 2365 2619 -254 1133 41 364 0 627 -490 348 0 -838 2559
"196402" 4062 0 2998 176 396 0 67 103 1170 0 1068 18 630 434 4192 2420 2655 -235 1334 41 370 0 636 -609 350 0 -959 2542
"196403" 4288 0 3212 188 485 0 83 127 1250 0 1060 19 635 441 4421 2524 2805 -281 1604 42 376 0 641 -766 352 0 -1118 2768
"196404" 4253 0 2995 167 442 0 80 122 1113 0 1051 20 677 581 4389 2427 2940 -513 1832 42 381 0 684 -977 371 0 -1348 2601
"196501" 4692 0 3143 221 433 0 79 121 1467 0 798 24 665 884 4831 2825 3165 -340 1987 44 398 0 672 -1095 373 0 -1468 2986
"196502" 4886 0 3023 196 425 0 80 122 1307 0 866 27 671 1192 5029 3003 3394 -391 1852 46 414 0 678 -964 370 0 -1334 2801
"196503" 4551 0 3244 199 482 0 89 136 1321 0 989 28 663 644 4698 2572 3077 -505 1632 48 429 0 669 -652 367 0 -1019 2890
"196504" 4257 0 2965 183 509 0 94 144 1217 0 788 30 678 614 4408 2232 2729 -497 1661 50 448 0 685 -668 369 0 -1037 2825
"196601" 4312 0 2998 204 458 0 88 135 1357 0 723 33 678 636 4467 2128 2593 -465 1649 52 464 0 684 -510 366 0 -876 2920
"196602" 4617 0 2904 201 408 0 81 124 1338 0 716 36 684 1029 4776 2070 2616 -546 1956 54 482 0 691 -477 370 0 -847 2836
"196603" 4862 0 3214 229 483 0 96 147 1521 0 700 38 674 974 5025 2350 2787 -437 1948 54 481 0 681 -489 374 0 -863 3150
"196604" 4941 0 3463 240 459 0 110 168 1595 0 850 41 721 757 5108 2570 2936 -366 1844 54 482 0 728 -570 352 0 -922 3293
"196701" 4652 0 3612 278 435 0 120 184 1846 0 705 44 741 299 4823 2467 2898 -431 1780 56 506 0 748 -734 356 0 -1090 3604
"196702" 5011 0 3618 266 407 0 149 228 1772 0 750 46 826 567 5186 2317 2769 -452 2188 59 528 0 834 -740 358 0 -1098 3648
"196703" 5040 0 3906 275 491 0 192 294 1824 0 781 49 829 305 5220 2342 3078 -736 2100 62 553 0 837 -674 360 0 -1034 3905
"196704" 5074 0 4024 261 576 0 218 334 1733 0 850 52 863 187 5259 2335 3346 -1011 1974 65 582 0 872 -569 373 0 -942 3985
"196801" 5451 0 4226 286 590 0 215 329 1901 0 850 55 867 358 5641 2307 3439 -1132 2333 69 618 0 876 -562 375 0 -937 4188
"196802" 5842 0 4333 303 608 0 198 303 2012 0 850 59 857 652 6037 2193 3504 -1311 3007 73 657 0 866 -759 379 0 -1138 4281
"196803" 5075 0 4469 323 630 0 180 275 2149 0 850 62 865 -259 5275 2298 3704 -1406 2094 76 687 0 874 -754 383 0 -1137 4422
"196804" 6011 0 4389 318 620 0 167 256 2114 0 850 64 886 736 6216 2417 3702 -1285 3105 80 721 0 894 -1001 392 0 -1393 4361
"196901" 6579 0 4702 359 622 0 166 254 2387 0 850 64 893 984 6789 2424 3900 -1476 4940 86 770 0 902 -2333 396 0 -2729 4681
"196902" 6643 0 4936 391 623 0 162 248 2598 0 850 64 976 731 6858 2385 4122 -1737 5048 88 789 0 986 -2438 402 0 -2840 4998
"196903" 7125 0 5400 451 631 0 158 242 3000 0 850 68 1046 679 7345 2589 4341 -1752 5326 96 859 0 1057 -2582 408 0 -2990 5528
"196904" 6886 0 5837 503 641 0 169 259 3343 0 850 72 1090 -41 7111 2978 4678 -1700 3093 103 929 0 1101 -1093 372 0 -1465 6005
"197001" 8196 0 6519 643 350 0 130 199 4271 0 850 76 1070 607 8426 2438 4472 -2034 7045 121 1085 0 1081 -3344 378 0 -3722 6663
"197002" 7760 0 6586 638 394 0 153 234 4236 0 850 81 1195 -21 7995 1850 4476 -2626 6663 130 1166 0 1207 -3021 383 0 -3404 6850
"197003" 8585 0 7975 807 488 0 150 229 5366 0 850 85 1170 -560 8825 1796 4396 -2600 7940 137 1228 0 1181 -3457 388 0 -3845 8210
"197004" 9031 0 9026 873 497 0 360 551 5806 0 850 89 1412 -1407 9277 2076 4383 -2307 7273 141 1267 0 1426 -2906 384 0 -3290 9499
"197101" 8909 0 8286 841 458 0 178 272 5596 0 850 91 1435 -812 9161 1271 4333 -3062 8853 146 1318 0 1449 -3876 389 0 -4265 8780
"197102" 8369 0 7925 821 277 0 161 246 5476 0 850 94 1529 -1085 8627 12 4337 -4325 10450 150 1352 0 1544 -4881 395 0 -5276 8510
"197103" 9187 0 8378 877 277 0 169 259 5857 0 850 89 1630 -821 9451 711 4513 -3802 9805 162 1454 0 1646 -4327 401 0 -4728 9069
"197104" 9678 0 8880 944 263 0 167 256 6315 0 850 85 1578 -780 9948 3249 4829 -1580 7426 167 1501 0 1594 -3989 434 0 -4423 9523
"197201" 11058 0 9699 1014 466 70 158 242 6798 0 850 101 1597 -238 11334 6344 4475 1869 3152 177 1588 0 1613 -1540 440 0 -1980 10345
"197202" 10865 0 9629 1011 369 140 138 211 6802 0 850 108 1414 -178 11148 6487 4713 1774 1861 184 1657 0 1428 -469 445 0 -914 10085
"197203" 11852 0 10676 1126 478 210 123 188 7593 0 850 108 1320 -144 12142 8212 4934 3278 1706 157 1410 0 1334 -677 450 0 -1127 11038
"197204" 14395 0 12513 1203 480 271 138 333 8818 0 1162 108 1380 502 14692 5302 6318 -1016 4244 247 2168 0 1393 1338 495 0 843 12623
"197301" 15037 0 13172 1410 352 355 137 252 9813 20 710 123 1372 493 15341 6792 4616 2176 3102 287 2515 0 1386 1259 500 0 759 13711
"197302" 15909 0 13939 1615 396 403 136 277 10461 14 534 103 1447 523 16220 6312 5312 1000 4110 299 2548 0 1462 1489 518 0 971 14749
"197303" 17067 0 14704 1337 429 477 162 252 11639 30 257 121 1634 729 17385 8040 5184 2856 2988 335 2868 0 1650 1504 536 0 968 15960
"197304" 18806 0 16436 1441 449 462 164 290 12829 52 592 157 1778 592 19131 7563 4539 3024 4508 363 3013 0 1796 1888 581 0 1307 17465
"197401" 19388 0 16829 1606 442 571 188 289 13268 60 237 168 2033 526 19720 8442 7183 1259 4210 375 3083 0 2054 1556 599 0 957 18457
"197402" 23131 0 19991 1841 465 602 220 279 16108 66 241 169 2635 505 23470 7528 5362 2166 7886 388 3259 0 2661 1748 670 0 1078 22216
"197403" 24092 0 20526 1867 416 557 244 291 16651 82 250 168 3207 359 24438 10394 7252 3142 5130 435 3741 0 3239 1499 741 0 758 23315
"197404" 27256 0 23584 2094 503 602 214 303 19081 100 518 169 3697 -25 27610 12176 6539 5637 5662 470 4030 0 3734 1538 848 0 690 26594
"197501" 26200 0 22353 1684 439 379 232 303 18614 215 304 183 3746 101 26588 11274 6218 5056 4427 493 4186 0 3783 2425 919 0 1506 25612
"197502" 27338 0 23147 2043 426 331 264 337 18970 348 262 166 3548 643 27764 10022 6079 3943 6387 533 4646 0 3583 2593 925 0 1668 26267
"197503" 26960 0 23427 2007 436 277 277 320 19344 286 315 165 3358 175 27427 9830 7359 2471 5096 648 5495 0 3392 2966 931 0 2035 26305
"197504" 28701 0 24712 2084 610 331 247 336 20310 185 430 179 3745 244 29212 8480 5094 3386 6238 844 7040 0 3783 2827 872 0 1955 27848
"197601" 28888 0 25039 2110 705 316 219 265 20574 165 443 242 3780 69 29447 8968 6496 2472 6355 762 6508 0 3818 3036 878 0 2158 28134
