"DATES" "FL174090005.Q" "FL153091003.Q" "FL173020005.Q" "FL173030005.Q" "FL173034005.Q" "FL174023005.Q" "FL163069103.Q" "FL313161400.Q" "FL173061105.Q" "FL153061705.Q" "FL173062005.Q" "FL153063005.Q" "FL153064105.Q" "FL153064205.Q" "FL543140003.Q" "FL543150005.Q" "FL573150005.Q" "FL363154005.Q" "FL173099005.Q" "FL174190005.Q" "FL173165105.Q" "FL173165005.Q" "FL153166000.Q" "FL153169405.Q" "FL153167005.Q" "FL173199005.Q"
"196101" 1049297 0 90824 168106 0 538937 3048 45906 26189 360 30769 10639 402586 19440 79425 19191 44055 41099 67660 299215 143595 45741 59339 5823 3931 40786
"196102" 1057408 0 89007 173523 0 539097 2960 46045 24639 225 31610 11481 402134 20003 80196 19544 45227 42506 68308 306674 146552 47168 60597 5998 4378 41981
"196103" 1079989 0 92088 176155 0 551236 2911 46228 26072 245 31180 11026 412567 21007 81095 19900 46820 43196 69499 312750 150128 48987 61082 6120 4325 42108
"196104" 1122979 0 91772 181091 0 584163 2188 46445 25499 593 32506 10840 443217 22875 82112 20250 49700 43784 70107 319862 153976 50247 63435 6230 4602 41372
"196201" 1122486 0 90133 187262 0 575212 3090 46602 26479 568 31469 10973 433050 22981 83115 20591 50308 44638 71227 323682 156437 51686 62038 6356 4261 42905
"196202" 1017976 0 87919 194248 0 467008 3105 46664 26444 411 31384 10954 329789 18257 84072 20920 46121 45856 71832 333031 160186 53588 65435 6515 3895 43412
"196203" 1050873 0 90440 199652 0 487714 3342 46817 28019 287 31852 10193 348408 18796 84951 21258 48117 46508 72233 341117 164293 55286 66626 6654 4211 44047
"196204" 1148627 0 91408 206909 0 571384 2993 46968 26750 236 32087 10211 431230 20909 85754 21625 51589 47161 72797 349679 168256 56853 69344 6774 4479 43973
"196301" 1185194 0 92850 213677 0 594545 3850 47319 23248 10 31665 10656 455641 22156 86678 22016 53907 47875 73646 354812 171301 58425 68935 6898 4558 44696
"196302" 1220494 0 91629 221090 0 617566 4362 47582 22982 1 31642 10389 477302 23306 87667 22427 55988 49710 74417 366841 175751 60531 72217 7033 5327 45981
"196303" 1254725 0 94480 225871 0 639265 4754 47853 24123 1 31128 9877 497411 24118 88729 22856 58021 50510 74993 376258 180611 62577 74362 7137 5788 45784
"196304" 1242569 0 95980 232890 0 614040 4196 48149 24743 1 32094 10143 469895 24819 89860 23300 60135 51304 75060 386002 185054 64162 77870 7234 5987 45695
"196401" 1285545 0 93460 238566 0 647200 4649 48383 25856 1 32475 9961 499442 26433 90916 23764 63146 52417 76076 392505 188724 65627 78041 7366 5819 46928
"196402" 1317460 0 94003 245884 0 664759 5403 48590 25907 1 33112 9509 515081 27156 91979 24250 65671 54310 76604 404861 193315 67721 81812 7510 5826 48677
"196403" 1353611 0 99089 251544 0 684139 5042 48798 25686 1 34138 9628 532323 28523 93062 24748 68118 55236 77675 413847 198023 69874 84142 7637 5669 48502
"196404" 1378943 0 98729 258805 0 696708 5173 49060 24511 246 34854 10290 544127 28447 94172 25250 70477 55924 78878 423072 202282 71357 87352 7758 5519 48804
"196501" 1407845 0 96713 266482 0 714273 6231 49267 27288 22 33771 10113 557830 29751 95239 25837 72656 57070 79575 429508 205839 72916 87645 7897 5477 49734
"196502" 1395964 0 96995 272947 0 690792 6710 49365 26779 619 33792 9669 534567 29291 96438 26341 73065 58957 80429 442188 210278 75341 92243 8057 5488 50781
"196503" 1466560 0 103156 278598 0 741331 6422 49498 26486 910 34915 9965 581085 32050 97677 26818 77694 60008 81278 451418 214990 77612 94391 8210 5307 50909
"196504" 1519795 0 105499 286262 0 777977 6044 49695 25067 1133 36531 9001 616096 34410 98863 27325 80872 60815 82182 461757 219397 79230 97489 8338 5867 51436
"196601" 1518569 0 104474 291757 0 766814 6752 49774 29170 1844 37666 9721 596561 35326 100008 27846 82403 61987 83280 468810 223305 81756 97096 8533 6018 52102
"196602" 1502822 0 103397 297368 0 742331 6728 49940 26548 4947 38778 9715 571128 34547 101122 28367 82181 63957 84099 480751 227179 83620 100205 8857 6149 54741
"196603" 1454950 0 106874 299556 0 686791 7463 50025 29213 5725 39058 11259 512747 31301 102253 28892 79917 65088 85579 486462 230219 85430 100989 9354 5751 54720
"196604" 1510328 0 107897 304982 0 727589 8294 50249 28831 5851 41151 11099 548264 33850 103450 29425 83969 66213 86803 493700 232689 86451 103422 9827 5822 55489
"196701" 1605242 0 107378 315021 0 800993 9855 50456 27360 5838 39687 12064 617507 38226 104691 29976 90880 67369 88934 495109 234169 87932 101348 10119 6183 55358
"196702" 1626071 0 108188 325950 0 803030 9807 50681 24081 5717 38330 12148 622982 39284 105904 30617 92716 69505 90161 506323 237025 90380 104131 10406 6719 57662
"196703" 1691113 0 112415 333692 0 846464 9031 50937 26353 5626 39262 13264 659985 42006 107126 31276 97449 70705 91986 515139 241435 93243 105544 10609 7557 56751
"196704" 1737188 0 118477 339871 0 873877 10135 51219 27873 6266 38208 15075 682128 42973 108335 31939 98754 72136 93799 527315 245857 93543 108567 10819 8866 59663
"196801" 1695025 0 115078 348388 0 825605 10576 51345 32276 5671 37137 15246 632831 40523 109535 32612 97030 72822 93955 529962 249262 96658 107272 11107 8324 57338
"196802" 1811046 0 116885 354188 0 918797 10809 51477 30855 6476 38066 16467 718675 45972 110727 33300 105285 75839 96025 546480 253560 99317 111404 11478 10142 60579
"196803" 1845463 0 121559 362318 0 931433 11208 51624 32108 5983 37621 16714 727875 48300 111924 33797 108948 77220 98264 556959 258066 102082 114160 11836 10361 60455
"196804" 1956711 0 128043 370200 0 1019679 12168 51866 30169 6121 36490 18002 815334 49529 113138 34696 112350 78861 99744 572301 262817 104351 119324 12109 11497 62203
"196901" 1922209 0 121160 374872 0 985672 12889 51834 37560 5982 40035 18292 770526 48554 114364 35300 112086 80092 98663 574816 264740 106580 118884 12542 9878 62192
"196902" 1894840 0 122541 380272 0 946503 14322 51807 30935 7984 42266 19116 733883 46190 115597 36003 112541 82501 98882 591523 269621 110152 123675 13199 9445 65431
"196903" 1893155 0 121479 379309 0 942514 16655 51689 39633 9210 45302 20946 713075 46004 116844 36718 112473 84326 99492 602005 274395 113618 125813 14050 7919 66210
"196904" 1870056 0 126582 379433 0 905690 18534 51770 41896 11306 47244 22006 667356 45578 118110 37561 114981 85646 102053 616111 278575 116134 129231 14713 8198 69260
"197001" 1858655 0 122709 380006 0 894999 22663 51608 47213 14196 48079 21420 643541 46279 119382 38343 115687 87133 100396 609403 279833 105155 126663 15456 7078 75219
"197002" 1719248 0 128835 388680 0 746584 24822 51593 37743 14983 48227 22664 509525 37027 120646 39123 104996 89003 101381 621253 283126 108564 129421 16124 6350 77668
"197003" 1845175 0 132807 407176 0 830480 17559 51704 34857 15736 48542 26399 593764 41919 121951 39971 116374 92213 104203 632987 287046 113167 131424 16653 6592 78105
