"DATES" "FL224090005.Q" "FL223020003.Q" "FL223030005.Q" "FL223034003.Q" "FL222050003.Q" "FL224004005.Q" "FL223069103.Q" "FL223061103.Q" "FL223061703.Q" "FL223062003.Q" "FL223063005.Q" "FL223065003.Q" "FL223064105.Q" "FL223064203.Q" "FL223093003.Q" "FL223150005.Q"
"196902" 50413 315 143 0 0 43497 0 5815 1465 2368 28374 5475 6458 0 0 50413
"196903" 51911 329 211 0 0 44672 0 5696 1552 2348 29526 5550 6699 0 0 51911
"196904" 53247 309 170 0 0 45468 0 5437 1566 2331 30559 5575 7300 0 0 53247
"197001" 54627 236 138 0 0 46503 0 5335 1592 2308 31618 5650 7750 0 0 54627
"197002" 54760 306 209 0 0 47491 0 5179 1609 2159 32736 5808 6754 0 0 54760
"197003" 57823 274 167 0 0 48805 0 5274 1576 2133 34033 5789 8577 0 0 57823
"197004" 60303 388 213 0 0 49602 0 5104 1491 2032 35055 5920 10100 0 0 60303
"197101" 63270 352 233 0 0 50627 0 4880 1414 2040 36274 6019 12058 0 0 63270
"197102" 64934 420 180 0 0 51536 0 4426 1400 2042 37498 6170 12798 0 0 64934
"197103" 66749 450 174 0 0 52183 0 4371 1448 2050 38136 6178 13942 0 0 66749
"197104" 68972 548 148 0 0 52876 0 3896 1544 2152 38996 6288 15400 0 0 68972
"197201" 72155 703 39 0 0 53957 0 3633 1668 2229 40118 6309 17456 0 0 72155
"197202" 74258 747 33 0 0 54965 0 3723 1800 2466 40719 6257 18513 0 0 74258
"197203" 76741 723 65 0 0 56125 0 3643 1944 2123 42075 6340 19828 0 0 76741
"197204" 80586 767 191 0 0 57428 0 3597 2105 2029 43227 6470 22200 0 0 80586
"197301" 81220 612 304 0 0 58817 0 3687 2284 1622 44592 6632 21487 0 0 81220
"197302" 81711 664 429 0 0 60292 0 3460 2480 1536 45995 6821 20326 0 0 81711
"197303" 85544 600 660 0 0 61833 0 3028 2840 1650 47427 6888 22451 0 0 85544
"197304" 84655 544 800 0 0 63111 0 2508 3334 1691 48437 7141 20200 0 0 84655
"197401" 86797 359 887 0 0 64512 0 1840 3817 1845 49733 7277 21039 0 0 86897
"197402" 87021 305 1183 0 0 66238 0 1886 4145 1444 51433 7330 19295 0 0 87130
"197403" 84301 270 1373 0 0 68181 0 1515 4401 1248 53594 7423 14477 0 0 84420
"197404" 87583 254 1543 0 0 69386 0 1585 4583 983 54533 7702 16400 0 0 87713
"197501" 93588 317 1811 0 0 71197 0 1559 4719 789 56425 7705 20263 0 0 93732
"197502" 100073 332 1688 0 0 73682 0 2215 4836 728 58093 7810 24371 0 0 100230
"197503" 99528 296 1342 0 0 75623 0 2548 5045 906 59249 7875 22267 0 0 99697
"197504" 104002 275 1171 0 0 78256 0 2540 5254 1940 60980 7542 24300 0 0 104184
"197601" 110133 265 1065 0 0 80599 0 3058 5536 2193 62269 7543 28204 0 0 110329
"197602" 114445 285 1133 0 0 84310 0 3632 5855 3150 64050 7623 28717 0 0 114658
"197603" 117156 254 1055 0 0 86593 0 3900 6275 3383 65410 7625 29254 0 0 117386
"197604" 119205 266 1148 0 0 87691 0 4057 6836 3360 65706 7732 30100 0 0 119453
"197701" 119176 236 1098 0 0 89143 0 4712 8412 2872 65463 7684 28699 0 0 119449
"197702" 124041 300 1401 0 0 92404 0 6568 8619 3628 65725 7864 29936 0 0 124337
"197703" 126542 320 1483 0 0 95417 0 6757 8839 3556 68643 7622 29322 0 0 126863
"197704" 130912 280 1416 0 0 99216 0 6760 9585 3544 71286 8041 30000 0 0 131260
"197801" 133839 332 1758 0 0 102546 0 7624 10968 3386 72486 8082 29203 0 0 134217
"197802" 141669 387 2043 0 0 107196 0 9095 11351 3732 74772 8246 32043 0 0 142083
"197803" 148822 419 2436 0 0 110812 0 9543 11921 3668 77273 8407 35155 0 0 149275
"197804" 152034 385 2354 0 0 115995 0 9454 13965 3951 80039 8586 33300 0 0 152529
"197901" 156878 459 2747 0 0 118168 0 10677 14432 4073 80189 8797 35504 0 0 157431
"197902" 162001 479 2844 0 0 122770 0 13327 14496 3867 82063 9017 35908 0 0 162617
"197903" 165902 484 3055 0 0 124047 0 13287 14065 3880 83493 9322 38316 0 0 166587
"197904" 167683 566 3458 0 0 126559 0 14706 15360 3910 82979 9604 37100 0 0 168436
"198001" 171308 616 3569 0 0 132451 0 16159 15981 4101 86156 10054 34654 0 18 172113
"198002" 182882 664 3556 0 0 140167 0 17582 17783 4025 90482 10295 38460 0 35 183742
"198003" 190057 589 3559 0 0 144238 0 19999 18052 3921 91669 10597 41618 0 53 190975
"198004" 195831 603 3684 0 0 147174 0 20927 19083 4059 92215 10890 44300 0 70 196820
"198101" 201311 784 4107 0 0 150643 0 22432 20201 3920 92924 11166 45689 0 88 202378
"198102" 208949 716 3761 0 0 157861 0 24531 20948 3995 96785 11602 46506 0 105 210091
"198103" 210954 743 4296 0 0 162146 0 25215 22121 3859 98751 12200 43646 0 123 212168
