"DATES" "FL154090005.Q" "FL154000025.Q" "FL153091003.Q" "FL153020005.Q" "FL153030005.Q" "FL153034005.Q" "FL154004005.Q" "FL163069103.Q" "FL153061505.Q" "FL313161400.Q" "FL153061105.Q" "FL153061705.Q" "FL153062005.Q" "FL153063005.Q" "FL153069803.Q" "FL153065005.Q" "FL153064105.Q" "FL153064205.Q" "FL153067005.Q" "FL153040005.Q" "FL153050005.Q" "FL152090205.Q" "FL153090005.Q" "FL154190005.Q" "FL154104005.Q" "FL153165105.Q" "FL153166000.Q" "FL163162005.Q" "FL153168005.Q" "FL153169005.Q" "FL163165505.Q" "FL153167005.Q" "FL163170003.Q" "FL543077003.Q"
"195901" 1242773 212780 0 70376 142404 0 135720 1866 69977 47467 22510 918 25460 8222 0 29277 330005 14132 1272 79331 77007 379147 13379 186168 178367 119882 48991 0 534 4938 4022 3724 2060 2017
"195902" 1264217 215914 0 69638 146276 0 136932 1883 69458 47035 22423 1524 26068 8114 0 29885 343082 14973 1118 80133 80082 378470 13513 193229 185237 123292 51878 0 840 5084 4143 3818 2100 2074
"195903" 1270184 222269 0 73672 148597 0 139987 2064 70444 46486 23958 2012 27058 8149 0 30260 337473 14747 1031 80994 82234 377788 13661 199260 191315 126953 53918 0 1034 5237 4173 3662 2150 2133
"195904" 1300320 223862 0 72785 151077 0 142784 1607 71584 45907 25677 2268 28362 8217 0 30746 357289 15818 989 81956 85033 378788 13801 206149 198076 130044 57213 0 1235 5433 4151 3686 2200 2187
"196001" 1290062 224330 0 71291 153039 0 149636 2740 75466 45736 29730 1631 28972 9539 0 31288 335314 15312 980 82895 86259 381409 13927 207216 199365 132526 55757 0 744 5630 4709 3373 2240 2238
"196002" 1306889 226100 0 69328 156772 0 151011 2779 74183 45611 28572 1910 30072 10010 0 32057 343263 16097 1011 83772 89296 382290 14049 213908 205908 135313 58622 0 1367 5894 4712 3422 2290 2288
"196003" 1291870 233147 0 73178 159969 0 151097 2843 73602 45579 28023 1295 30503 10087 0 32767 316779 15640 1056 84539 90160 385269 14183 218450 210343 138529 59590 0 1276 6094 4853 3501 2270 2336
"196004" 1348547 237568 0 74549 163019 0 150918 2550 72194 45642 26552 1034 31007 10612 0 33521 359768 17026 1137 85184 93865 388749 14332 223834 215580 141324 61248 0 1890 6252 4866 3565 2310 2379
"196101" 1405090 240715 0 72609 168106 0 151286 3048 72095 45906 26189 360 30769 10639 0 34375 402586 19440 1538 85872 97898 391274 14481 224676 216018 143595 59339 0 1566 6450 5069 3931 2310 2417
"196102" 1416760 244264 0 70741 173523 0 152162 2960 70684 46045 24639 225 31610 11481 0 35202 402134 20003 1275 86665 100808 394806 14643 230652 221416 146552 60597 0 2611 6657 4999 4378 2410 2448
"196103" 1443942 249904 0 73749 176155 0 153621 2911 72300 46228 26072 245 31180 11026 0 35959 412567 21007 1205 87588 103423 399824 14803 234819 225576 150128 61082 0 2352 6838 5177 4325 2440 2478
"196104" 1492725 254490 0 73399 181091 0 154854 2188 71944 46445 25499 593 32506 10840 0 36783 443217 22875 1192 88631 107215 405285 14966 241880 232266 153976 63435 0 2612 6977 5267 4602 2500 2512
"196201" 1496851 259007 0 71745 187262 0 156507 3090 73081 46602 26479 568 31469 10973 0 37326 433050 22981 1123 89663 108989 410429 15102 243168 233808 156437 62038 0 2808 7146 5379 4261 2550 2549
"196202" 1395349 263770 0 69522 194248 0 156886 3105 73108 46664 26444 411 31384 10954 0 37924 329789 18257 1376 90651 106318 413057 15245 250291 241229 160186 65435 0 2698 7361 5548 3895 2580 2587
"196203" 1432559 271694 0 72042 199652 0 158864 3342 74836 46817 28019 287 31852 10193 0 38354 348408 18796 1077 91563 109271 417498 15388 256415 246978 164293 66626 0 2798 7578 5683 4211 2600 2626
"196204" 1534686 279932 0 73023 206909 0 158200 2993 73718 46968 26750 236 32087 10211 0 38955 431230 20909 1226 92398 113731 421515 15545 264027 254251 168256 69344 0 3118 7744 5788 4479 2630 2667
"196301" 1572573 288168 0 74491 213677 0 156021 3850 70567 47319 23248 10 31665 10656 0 39273 455641 22156 1184 93355 117121 423227 15700 266744 256795 171301 68935 0 2627 7930 6003 4558 2680 2711
"196302" 1607207 294408 0 73318 221090 0 157001 4362 70564 47582 22982 1 31642 10389 0 40043 477302 23306 1155 94378 121414 422381 15862 276332 265487 175751 72217 0 3381 8108 6030 5327 2760 2758
"196303" 1640013 302085 0 76214 225871 0 158004 4754 71976 47853 24123 1 31128 9877 0 40268 497411 24118 1188 95473 124643 421073 16018 284030 272586 180611 74362 0 3095 8268 6251 5788 2850 2806
"196304" 1633218 310625 0 77735 232890 0 159802 4196 72892 48149 24743 1 32094 10143 0 40476 469895 24819 1222 96635 127964 426078 16178 292936 281156 185054 77870 0 3510 8407 6316 5987 2940 2853
"196401" 1675977 313772 0 75206 238566 0 162153 4649 74239 48383 25856 1 32475 9961 0 40828 499442 26433 1245 97719 132524 426300 16389 296958 285171 188724 78041 0 3275 8612 6519 5819 3070 2898
"196402" 1712572 321600 0 75716 245884 0 163627 5403 74497 48590 25907 1 33112 9509 0 41105 515081 27156 1152 98806 137404 431135 16611 306382 294495 193315 81812 0 4066 8791 6511 5826 3120 2941
"196403" 1752946 332305 0 80761 251544 0 164853 5042 74484 48798 25686 1 34138 9628 0 41560 532323 28523 1149 99913 141251 435766 16863 313275 301450 198023 84142 0 3526 8985 6775 5669 3170 2986
"196404" 1787593 339173 0 80368 258805 0 166179 5173 73571 49060 24511 246 34854 10290 0 42045 544127 28447 1669 101051 144772 445012 17163 322060 310302 202282 87352 0 4825 9155 6688 5519 3200 3039
"196501" 1820688 344803 0 78321 266482 0 168815 6231 76555 49267 27288 22 33771 10113 0 42123 557830 29751 1623 102149 148653 449583 17481 325710 313866 205839 87645 0 4014 9358 7010 5477 3270 3097
