,LevFac,LogLev,Mkt-RF,SMB,HML,RF
197401,-0.3222842520611502,1.8873856355205103,-0.0016,0.0968,0.059500000000000004,0.0063
197404,-0.012401344559889393,1.874984290960621,-0.0528,-0.0068000000000000005,0.0092,0.0075
197407,-0.06890587038608098,1.80607842057454,-0.0806,0.0078000000000000005,0.0516,0.006999999999999999
197410,0.01284259509616903,1.818921015670709,0.1611,-0.034300000000000004,-0.09910000000000001,0.0051
197501,-0.12116845485177086,1.697752560818938,0.1367,0.1106,0.08259999999999999,0.0058
197504,-0.022428639015990903,1.6753239218029472,0.042199999999999994,-0.0064,-0.0113,0.0044
197507,-0.12523927053902906,1.5500846512639181,-0.066,0.026600000000000002,0.0176,0.0048
197510,0.1571098826238604,1.7071945338877785,0.053200000000000004,-0.0408,0.0034999999999999996,0.005600000000000001
197601,0.18859580028096734,1.8957903341687459,0.1215,0.0487,0.0863,0.004699999999999999
197604,0.03858611260048228,1.9343764467692282,-0.0149,-0.0008,-0.0016,0.0042
197607,0.16551458264610597,2.099891029415334,-0.0106,0.0028000000000000004,0.0174,0.004699999999999999
197610,0.1206548508128864,2.2205458802282205,-0.0242,0.0014000000000000002,-0.0017000000000000001,0.0040999999999999995
197701,-0.17263656321778598,2.0479093170104345,-0.0403,0.0475,0.0432,0.0036
197704,0.07435551740218393,2.1222648344126185,0.0015,-0.0013,0.0338,0.0038
197707,-0.07739743631467455,2.044867398097944,-0.0169,0.0209,-0.006,0.0042
197710,0.13507941848629423,2.179946816584238,-0.043899999999999995,0.011899999999999999,0.016200000000000003,0.0049
197801,0.013311670266699327,2.1932584868509375,-0.06,0.022799999999999997,0.0338,0.0049
197804,0.023389390745608196,2.2166478775965457,0.0787,0.0036,-0.0354,0.0054
197807,-0.02115647681044841,2.1954914007860973,0.0512,0.0029,-0.01,0.005600000000000001
197810,-0.06921350456431741,2.12627789622178,-0.11900000000000001,-0.0989,0.0126,0.0068000000000000005
197901,-0.0720158099281285,2.0542620862936514,0.042199999999999994,0.0355,0.0219,0.0077
197904,0.23553108008739265,2.289793166381044,-0.0007000000000000001,0.0217,0.011200000000000002,0.008
197907,-0.0593254423789511,2.230467724002093,0.0083,0.0128,0.0179,0.0077
197910,-0.17296650953831705,2.057501214463776,-0.081,-0.0338,-0.0183,0.0087
198001,0.10852332796663422,2.16602454243041,0.055,0.016200000000000003,0.018500000000000003,0.008
198004,-0.038657112139378835,2.1273674302910313,0.0395,0.0105,0.0103,0.0126
198007,0.07818581349856712,2.2055532437895984,0.06509999999999999,0.040999999999999995,-0.0629,0.0053
198010,-0.2269025086138119,1.9786507351757865,0.0104,0.0239,-0.029300000000000003,0.0095
198101,0.11903365346214034,2.097684388637927,-0.0506,0.0291,0.0674,0.0104
198104,-0.07230003585389433,2.0253843527840325,-0.0216,0.045,0.022799999999999997,0.0108
198107,-0.057162879193895844,1.9682214735901367,-0.0155,-0.0207,-0.0060999999999999995,0.0124
198110,0.14398088545408383,2.1122023590442205,0.0492,0.0213,-0.0409,0.0121
198201,-0.014992272898015635,2.097210086146205,-0.0323,-0.0125,0.0319,0.008
198204,-0.012163415582719495,2.0850466705634854,0.032400000000000005,0.016399999999999998,-0.0308,0.0113
198207,0.0017472729976200085,2.0867939435611054,-0.032,0.0091,0.0007000000000000001,0.0105
198210,0.2105810888407187,2.297375032401824,0.113,0.023799999999999998,-0.0362,0.0059
198301,-0.23581431067798908,2.061560721723835,0.0359,0.0282,-0.0072,0.0069
198304,0.014519039298340974,2.076079761022176,0.0666,0.0046,0.0043,0.0070999999999999995
198307,0.04641356487449588,2.122493325896672,-0.0406,0.015,0.0554,0.0074
198310,0.03996894477671198,2.162462270673384,-0.034300000000000004,-0.0355,0.0496,0.0076
198401,-0.08417021833902227,2.0782920523343615,-0.0192,-0.0034999999999999996,0.0748,0.0076
198404,-0.0452757108694426,2.033016341464919,-0.0051,-0.0116,0.011899999999999999,0.008100000000000001
198407,0.10842728670665025,2.141443628171569,-0.027200000000000002,-0.022000000000000002,0.0039000000000000003,0.008199999999999999
198410,0.30403314135670767,2.445476769528277,-0.0084,-0.0111,0.0059,0.01
198501,-0.32101443545806907,2.124462334070208,0.0797,0.032799999999999996,-0.052000000000000005,0.006500000000000001
198504,0.09991331736354292,2.2243756514337507,-0.0096,0.0009,0.036000000000000004,0.0072
198507,-0.028171608030877593,2.196204043402873,-0.0072,0.028300000000000002,-0.016200000000000003,0.0062
