"DATES" "FL893065603.Q" "FL893065603.Q" "FL153065605.Q" "FL113065603.Q" "FL213065603.Q" "FL313065605.Q" "FL763065633.Q" "FL443065605.Q" "FL543065633.Q" "FL223065603.Q" "FL403065605.Q" "FL413065605.Q"
"195201" 6814 6814 2752 0 33 300 1030 47 1574 5 1028 45
"195202" 7021 7021 2832 0 38 309 1063 48 1632 6 1046 47
"195203" 7134 7134 2865 0 44 320 1060 50 1671 6 1068 50
"195204" 7236 7236 2890 0 49 330 1058 53 1705 7 1091 53
"195301" 7396 7396 2950 0 54 335 1080 50 1751 7 1114 55
"195302" 7587 7587 3020 0 60 340 1104 50 1814 7 1136 56
"195303" 7667 7667 3039 0 66 346 1090 50 1853 7 1158 58
"195304" 7737 7737 3045 0 72 352 1082 53 1886 7 1180 60
"195401" 7916 7916 3116 0 78 354 1100 53 1935 8 1211 61
"195402" 8116 8116 3179 0 84 356 1140 55 1989 9 1242 62
"195403" 8187 8187 3164 0 90 367 1150 55 2021 8 1262 70
"195404" 8246 8246 3140 0 97 378 1159 56 2048 9 1281 78
"195501" 8472 8472 3277 0 103 288 1205 57 2102 10 1344 86
"195502" 8707 8707 3302 0 109 283 1263 59 2178 10 1408 95
"195503" 8866 8866 3331 0 114 280 1280 59 2233 11 1453 105
"195504" 9022 9022 3371 0 118 280 1297 58 2273 12 1497 116
"195601" 9291 9291 3465 0 121 281 1320 62 2336 12 1567 127
"195602" 9589 9589 3564 0 123 282 1353 68 2410 13 1638 138
"195603" 9759 9759 3612 0 125 290 1358 63 2466 13 1689 143
"195604" 9835 9835 3632 0 127 296 1336 59 2481 14 1741 149
"195701" 10033 10033 3699 0 129 319 1350 60 2501 14 1804 157
"195702" 10231 10231 3765 0 130 312 1370 58 2546 16 1868 166
"195703" 10348 10348 3801 0 132 335 1375 57 2569 16 1893 170
"195704" 10397 10397 3799 0 134 349 1367 57 2584 17 1917 173
"195801" 10524 10524 3841 0 137 350 1395 57 2599 18 1952 175
"195802" 10754 10754 3937 0 140 364 1440 57 2631 21 1987 177
"195803" 10957 10957 4022 0 143 378 1461 55 2656 22 2037 183
"195804" 11109 11109 4076 0 146 397 1471 53 2667 22 2087 190
"195901" 11357 11357 4154 0 149 412 1505 53 2692 24 2173 195
"195902" 11744 11744 4301 0 151 425 1570 54 2756 26 2260 201
"195903" 11948 11948 4377 0 153 443 1585 54 2796 28 2310 202
"195904" 12101 12101 4434 0 156 448 1588 55 2827 30 2360 203
"196001" 12271 12271 4486 0 159 461 1591 54 2859 33 2424 204
"196002" 12559 12559 4594 0 161 464 1646 53 2912 36 2487 206
"196003" 12697 12697 4641 0 164 482 1643 53 2946 39 2525 204
"196004" 12838 12838 4683 0 168 496 1648 54 2982 42 2564 201
"196101" 13063 13063 4761 0 173 506 1677 50 3005 45 2646 200
"196102" 13437 13437 4910 0 179 529 1716 51 3079 48 2728 197
"196103" 13737 13737 4973 0 186 589 1740 51 3128 52 2778 240
"196104" 13917 13917 4949 0 194 638 1747 51 3170 54 2828 286
"196201" 14222 14222 5048 0 204 628 1816 51 3212 58 2898 307
"196202" 14674 14674 5221 0 217 615 1927 51 3286 59 2968 330
"196203" 14944 14944 5269 0 229 633 1978 52 3346 61 3010 366
"196204" 15193 15193 5339 0 235 625 2022 51 3400 64 3052 405
"196301" 15561 15561 5398 0 236 649 2127 51 3464 67 3125 444
"196302" 16151 16151 5634 0 232 649 2241 50 3592 70 3198 485
"196303" 16573 16573 5800 0 227 661 2302 51 3713 71 3253 495
"196304" 16822 16822 5870 0 222 668 2327 52 3792 73 3309 509
"196401" 17334 17334 6010 0 222 694 2412 52 3921 78 3413 532
"196402" 18068 18068 6278 0 223 712 2558 53 4086 83 3516 559
"196403" 18536 18536 6457 0 224 711 2620 53 4197 87 3617 570
"196404" 18942 18942 6627 0 223 707 2638 53 4304 91 3718 581
"196501" 19474 19474 6751 0 223 730 2688 52 4425 97 3888 620
"196502" 20184 20184 6960 0 223 756 2794 51 4578 104 4058 660
"196503" 20697 20697 7145 0 223 771 2853 52 4688 110 4170 685
"196504" 21187 21187 7283 0 223 787 2911 52 4823 116 4281 711
"196601" 21697 21697 7303 0 224 799 2988 53 4968 123 4503 736
"196602" 22321 22321 7445 0 227 786 3028 53 5165 131 4725 761
"196603" 22775 22775 7559 0 229 813 3109 53 5227 139 4841 805
"196604" 23052 23052 7591 0 230 872 3113 53 5240 145 4958 850
"196701" 23440 23440 7763 0 230 814 3123 52 5274 153 5131 900
"196702" 23993 23993 7926 0 227 796 3199 51 5377 161 5304 952
"196703" 24546 24546 8054 0 225 816 3268 112 5463 163 5456 989
"196704" 25017 25017 8178 0 221 811 3321 117 5569 165 5609 1026
"196801" 25623 25623 8384 0 224 825 3416 116 5621 173 5793 1071
"196802" 26387 26387 8630 0 230 830 3581 115 5731 180 5973 1117
"196803" 26836 26836 8905 0 237 876 3557 116 5775 181 6064 1125
"196804" 27177 27177 9115 0 242 923 3538 117 5803 182 6126 1131
"196901" 27647 27647 9212 0 245 979 3662 117 5785 185 6317 1145
"196902" 28342 28342 9319 0 245 1037 3873 117 5849 189 6557 1156
"196903" 28752 28752 9456 0 247 981 3883 117 5865 272 6676 1255
"196904" 28995 28995 9774 0 255 924 3831 114 5773 254 6714 1356
"197001" 29592 29592 10032 0 320 873 4038 107 5675 236 6833 1478
"197002" 29922 29922 10162 0 323 915 4054 101 5670 194 6995 1508
"197003" 30241 30241 10175 0 329 844 4250 103 5667 184 7101 1588
"197004" 30492 30492 10219 0 338 773 4351 118 5649 190 7187 1667
"197101" 30823 30823 10300 0 342 723 4486 111 5545 171 7347 1798
"197102" 31786 31786 11417 0 350 667 3999 107 5564 169 7579 1934
"197103" 32115 32115 11379 0 364 590 4156 79 5594 176 7767 2010
"197104" 32381 32381 11447 0 381 513 4205 50 5601 171 7917 2096
"197201" 33096 33096 11759 0 391 481 4324 53 5535 160 8139 2254
"197202" 34109 34109 12181 0 404 432 4547 60 5582 160 8430 2313
"197203" 34855 34855 12401 0 413 429 4657 60 5617 167 8745 2366
"197204" 35361 35361 12277 0 425 391 4781 62 5678 209 9094 2444
"197301" 36490 36490 12663 3 429 453 4970 59 5643 268 9567 2435
"197302" 37961 37961 13173 6 433 351 5240 59 5737 286 10077 2599
"197303" 38952 38952 13377 9 447 412 5378 61 5867 289 10525 2587
"197304" 39806 39806 13527 13 465 376 5442 64 5996 311 10948 2664
"197401" 40694 40694 13856 13 469 392 5607 59 5999 310 11299 2690
"197402" 42318 42318 14168 13 481 546 5828 51 6128 306 12177 2620
"197403" 43737 43737 14546 13 489 548 6007 56 6247 306 12877 2648
"197404" 44922 44922 14993 11 499 607 6049 62 6327 245 13484 2645
"197501" 46785 46785 15444 13 507 583 6107 60 6428 239 14699 2705
"197502" 48530 48530 16020 16 515 963 6242 52 6573 242 15507 2400
"197503" 49084 49084 16296 19 529 1191 6308 54 6631 239 15607 2210
"197504" 49853 49853 16640 24 545 1345 6371 59 6753 3 16116 1997
"197601" 50797 50797 16743 23 563 1454 6353 55 6815 3 16782 2006
"197602" 52310 52310 17219 23 627 1598 6363 58 7005 2 17485 1930
"197603" 53921 53921 17723 24 647 1728 6563 56 7184 1 18082 1913
"197604" 55412 55412 18179 30 666 1910 6721 60 7425 1 18643 1777
"197701" 57380 57380 18757 34 670 2024 6998 58 7645 1 19452 1741
"197702" 60338 60338 19869 39 681 2263 7361 52 8146 22 20314 1591
"197703" 62366 62366 20512 45 687 2567 7617 52 8484 18 21014 1370
"197704" 63949 63949 20920 57 693 2754 7751 44 8851 25 21623 1231
"197801" 65949 65949 21501 63 718 2831 7901 45 9205 24 22384 1277
"197802" 68742 68742 22407 69 737 3115 8210 46 9712 23 23274 1149
"197803" 71045 71045 23061 75 746 3485 8412 37 10116 22 24104 987
"197804" 72757 72757 23441 83 777 3579 8497 48 10499 22 24855 956
"197901" 76434 76434 24682 85 827 4306 8523 48 10913 21 26023 1006
"197902" 80935 80935 26251 88 875 5084 8663 49 11461 21 27418 1025
"197903" 84333 84333 27350 92 929 5706 8716 39 11837 26 28604 1034
"197904" 86755 86755 28007 101 986 5903 8590 49 12143 26 29919 1031
"198001" 90582 90582 28976 98 1050 6608 8526 40 12433 25 31790 1036
"198002" 94135 94135 29730 100 1124 7002 8468 40 12743 16 33861 1051
"198003" 95871 95871 29773 113 1204 7376 8497 30 12818 16 35065 979
"198004" 97487 97487 29730 139 1243 7662 8563 40 12958 15 36280 857
"198101" 100097 100097 30236 167 1281 7744 8479 40 12975 15 38275 885
"198102" 103181 103181 30697 197 1311 8079 8481 50 13044 15 40523 784
"198103" 105609 105609 31007 235 1344 8262 8450 30 13149 15 42365 752
"198104" 107229 107229 31083 279 1372 8269 8384 40 13100 15 43939 748
"198201" 108951 108951 31418 326 1376 8430 8375 29 12954 15 45401 627
"198202" 110282 110282 31096 364 1366 8576 8532 29 13005 15 46690 609
"198203" 111097 111097 31084 382 1358 8708 8588 28 12939 15 47412 583
"198204" 111311 111311 31072 386 1369 8767 8435 28 12835 15 47823 581
"198301" 111540 111540 31072 347 1356 8763 8511 28 12687 4 48112 660
"198302" 112372 112372 31004 316 1342 9003 8898 27 12671 0 48545 566
"198303" 113108 113108 31009 305 1344 9073 9124 90 12756 0 48860 547
"198304" 113721 113721 31101 307 1336 9214 9387 157 12742 0 48929 548
"198401" 112970 112970 29947 375 1336 9301 9659 215 12570 0 49021 546
"198402" 113339 113339 29364 446 1347 9470 10001 305 12595 0 49303 508
"198403" 113467 113467 28683 525 1355 9386 10184 388 12643 0 49527 776
"198404" 112422 112422 27882 612 1361 9757 10177 464 12466 0 49187 516
"198501" 112722 112722 28356 643 1370 9947 10305 540 12005 0 49040 516
"198502" 111579 111579 28068 662 1374 10097 10607 623 11539 0 48050 559
"198503" 108737 108737 26776 651 1375 10281 11036 749 11068 0 46360 441
"198504" 94090 94090 20338 617 1375 10392 10088 688 10596 0 39638 358
"198601" 91624 91624 19259 571 1553 10341 10339 745 10363 0 38026 427
"198602" 89130 89130 18395 545 1561 10450 10593 638 10127 0 36397 424
"198603" 86609 86609 17509 569 1569 10484 10850 604 9889 0 34749 386
"198604" 84088 84088 16547 635 1547 10742 11106 685 9651 0 33101 74
"198701" 82047 82047 15631 642 1535 10640 11440 805 9393 0 31891 70
"198702" 79983 79983 14819 649 1533 10567 11777 770 9133 0 30668 67
"198703" 77896 77896 14108 656 1519 10372 12117 758 8870 0 29431 65
"198704" 75810 75810 13308 663 1527 10235 12458 757 8607 0 28194 61
"198801" 74572 74572 12677 670 1526 10136 12626 756 8512 0 27620 49
"198802" 73333 73333 12134 677 1522 10018 12795 682 8417 0 27046 42
