"DATES" "FL153040005.Q" "FL313140003.Q" "FL543140003.Q" "FL153040005.Q" "FL153050005.Q" "FL543150005.Q" "FL573150005.Q" "FL223150005.Q" "FL344090005.Q" "FL153050005.Q"
"197401" 153061 7789 145272 153061 367676 57019 188647 86897 35113 367676
"197402" 154793 7816 146977 154793 367681 57733 183906 87130 38912 367681
"197403" 156548 7842 148706 156548 348136 58695 166895 84420 38126 348136
"197404" 158399 7871 150528 158399 367498 60372 181175 87713 38238 367498
"197501" 161446 9015 152431 161446 400150 62694 205777 93732 37947 400150
"197502" 163796 9394 154402 163796 441607 65593 232741 100230 43043 441607
"197503" 165855 9433 156422 165855 443098 68877 232562 99697 41962 443098
"197504" 168626 10152 158474 168626 466998 72349 248404 104184 42061 466998
"197601" 170615 10053 160562 170615 496217 76120 268445 110329 41323 496217
"197602" 173075 10387 162688 173075 512522 80343 269840 114658 47681 512522
"197603" 175297 10440 164857 175297 521486 84666 273122 117386 46312 521486
"197604" 177824 10751 167073 177824 534520 88740 279670 119453 46657 534520
"197701" 180124 10803 169321 180124 537867 92446 280506 119449 45466 537867
"197702" 182557 10970 171587 182557 557299 95847 290187 124337 46928 557299
"197703" 184993 11069 173924 184993 573921 99313 294643 126863 53102 573921
"197704" 187808 11422 176386 187808 589857 103217 302148 131260 53232 589857
"197801" 190464 11475 178989 190464 602112 107458 308471 134217 51966 602112
"197802" 193533 11781 181752 193533 635742 111959 328275 142083 53425 635742
"197803" 196398 11848 184550 196398 678666 116692 353046 149275 59653 678666
"197804" 199369 12112 187257 199369 691400 121630 356982 152529 60259 691400
"197901" 202002 12094 189908 202002 720298 126736 377580 157431 58551 720298
"197902" 204897 12357 192540 204897 746076 131964 391449 162617 60046 746076
"197903" 207494 12359 195135 207494 785257 137504 413559 166587 67607 785257
"197904" 210305 12630 197675 210305 801128 143546 420887 168436 68259 801128
"198001" 212764 12598 200166 212764 819642 150151 431217 172113 66161 819642
"198002" 215454 12842 202612 215454 875484 157384 467000 183742 67358 875484
"198003" 217872 12860 205012 217872 933258 164801 500558 190975 76924 933258
"198004" 220559 13195 207364 220559 969655 171960 523692 196820 77183 969655
"198101" 222852 13163 209689 222852 988771 178243 533711 202378 74439 988771
"198102" 225503 13497 212006 225503 1007881 183634 538503 210091 75653 1007881
"198103" 227711 13473 214238 227711 1017402 189900 528439 212168 86895 1017402
"198104" 230141 13833 216308 230141 1063520 199792 553903 222646 87179 1063520
"198201" 232060 13868 218192 232060 1092816 209369 572454 226680 84313 1092816
"198202" 234096 14232 219864 234096 1133894 220367 594246 232936 86345 1133894
"198203" 235743 14242 221501 235743 1231916 233354 654310 245736 98516 1231916
"198204" 237958 14679 223279 237958 1289101 242900 687323 259633 99245 1289101
"198301" 239874 14707 225167 239874 1369991 252335 747896 273386 96374 1369991
"198302" 242244 15112 227132 242244 1475057 265284 819193 291845 98735 1475057
"198303" 244290 15164 229126 244290 1507791 272354 828061 295876 111500 1507791
"198304" 246737 15637 231100 246737 1535809 281650 838345 302027 113787 1535809
"198401" 247998 15723 232275 247998 1520601 287889 811369 309703 111640 1520601
"198402" 249521 16177 233344 249521 1517385 295754 785004 321080 115547 1517385
"198403" 250880 16230 234650 250880 1628658 310503 849120 340071 128964 1628658
"198404" 252787 16721 236066 252787 1707455 328343 897829 349021 132262 1707455
"198501" 254900 16757 238143 254900 1806270 340677 963650 361080 140863 1806270
"198502" 257747 17226 240521 257747 1876115 356665 1000252 374359 144839 1876115
"198503" 260564 17282 243282 260564 1873283 363585 974665 376292 158741 1873283
"198504" 264336 17829 246507 264336 2088568 260441 1250867 405130 172130 2088568
"198601" 268266 17859 250407 268266 2206609 273503 1334293 429111 169702 2206609
"198602" 272862 18355 254507 272862 2263942 295200 1344507 449066 175169 2263942
"198603" 277435 18428 259007 277435 2233391 305194 1289006 452550 186641 2233391
"198604" 282599 18871 263728 282599 2326777 327864 1316569 480662 201682 2326777
"198701" 289604 18998 270606 289604 2543685 341692 1475402 528008 198583 2543685
"198702" 295990 19487 276503 295990 2630110 349692 1527793 547991 204634 2630110
"198703" 303304 20518 282786 303304 2755131 362976 1605094 568493 218568 2755131
"198704" 309540 20076 289464 309540 2504830 348628 1385999 537167 233036 2504830
"198801" 315686 20097 295589 315686 2571298 376195 1405565 560145 229393 2571298
"198802" 322107 20617 301490 322107 2648161 393820 1440035 577533 236773 2648161
"198803" 327582 20654 306928 327582 2671332 413447 1418379 589040 250466 2671332
"198804" 335651 21249 314402 335651 2738343 435495 1432196 603185 267467 2738343
"198901" 339423 21271 318152 339423 2825225 445524 1488883 627407 263411 2825225
"198902" 348088 21798 326290 348088 2953830 465443 1549675 666743 271969 2953830
"198903" 353884 21790 332094 353884 3090321 476863 1634245 693716 285497 3090321
"198904" 365250 22406 342844 365250 3168958 495495 1663257 705994 304212 3168958
"199001" 371326 22402 348924 371326 3164838 512988 1639060 713223 299567 3164838
"199002" 379254 22950 356304 379254 3283840 548008 1688799 739774 307259 3283840
"199003" 385289 22985 362304 385289 3181983 552419 1596903 711022 321639 3181983
"199004" 391738 23594 368144 391738 3310346 569775 1658457 741739 340375 3310346
"199101" 399936 23655 376281 399936 3507465 593001 1783108 796118 335238 3507465
"199102" 408344 24227 384117 408344 3555580 605784 1800090 804598 345108 3555580
"199103" 413070 24118 388952 413070 3689947 619070 1875632 834518 360727 3689947
"199104" 418577 24790 393787 418577 3830592 621189 1959655 867661 382087 3830592
"199201" 425924 24674 401250 425924 3809325 632897 1927328 872355 376745 3809325
"199202" 430537 25287 405250 430537 3880670 652436 1955146 885585 387503 3880670
"199203" 440204 25454 414750 440204 3982740 670045 1992961 915559 404175 3982740
"199204" 447710 26229 421481 447710 4139420 693365 2062805 956958 426292 4139420
"199301" 456231 26232 429999 456231 4297923 715826 2172007 990513 419577 4297923
"199302" 465825 26872 438953 465825 4379298 740380 2200635 1007963 430320 4379298
"199303" 475164 26941 448223 475164 4515989 763366 2262381 1043719 446523 4515989
"199304" 484813 27622 457191 484813 4617492 775115 2308312 1065630 468435 4617492
"199401" 491128 27628 463500 491128 4588734 787578 2282755 1056746 461655 4588734
"199402" 497307 28307 469000 497307 4658471 785322 2337240 1063560 472349 4658471
"199403" 514405 28405 486000 514405 4824859 795600 2446378 1094281 488600 4824859
"199404" 520348 28890 491458 520348 4898270 796640 2473306 1116779 511545 4898270
"199501" 533340 28940 504400 533340 5103733 821383 2596849 1180314 505187 5103733
"199502" 547871 29371 518500 547871 5331035 850846 2719421 1243459 517309 5331035
"199503" 556470 29445 527025 556470 5561779 874241 2847092 1306221 534225 5561779
"199504" 566188 29909 536279 566188 5725145 890646 2939418 1354021 541060 5725145
"199601" 570801 30001 540800 570801 5884453 901701 3033236 1401705 547811 5884453
"199602" 578909 30609 548300 578909 6021424 911067 3101906 1446633 561818 6021424
"199603" 594048 30648 563400 594048 6154459 924215 3176808 1476251 577185 6154459
"199604" 610646 30526 580120 610646 6386667 974046 3268476 1538335 605810 6386667
"199701" 624036 31236 592800 624036 6418330 1004676 3255460 1560416 597778 6418330
"199702" 639637 31787 607850 639637 6929632 1054480 3563786 1698913 612453 6929632
"199703" 655613 31763 623850 655613 7313669 1095115 3784602 1802538 631414 7313669
"199704" 664963 32263 632700 664963 7360723 1116330 3759877 1825403 659113 7360723
"199801" 677277 32443 644834 677277 7872573 1185202 4067274 1966486 653611 7872573
"199802" 690600 33096 657504 690600 7921074 1223418 4034310 1995721 667625 7921074
"199803" 693522 33099 660423 693522 7435633 1197652 3702153 1856147 679681 7435633
"199804" 718262 33555 684707 718262 8265392 1288399 4198089 2062882 716022 8265392
"199901" 735925 33724 702201 735925 8411403 1321284 4261751 2119213 709155 8411403
"199902" 749813 34398 715415 749813 8759024 1373487 4432283 2228418 724836 8759024
"199903" 756180 34455 721725 756180 8484790 1349430 4247021 2150256 738083 8484790
"199904" 783859 34956 748903 783859 9264137 1478439 4651464 2360228 774006 9264137
"200001" 800974 35248 765726 800974 9586066 1532659 4852777 2434421 766209 9586066
"200002" 806519 35904 770615 806519 9469386 1532740 4751012 2408831 776803 9469386
"200003" 818706 35958 782748 818706 9581928 1568741 4770800 2450241 792146 9581928
"200004" 819098 36396 782702 819098 9171312 1526331 4508058 2340267 796656 9171312
"200101" 823042 36555 786487 823042 8600621 1499469 4109532 2191470 800150 8600621
"200102" 840295 37148 803147 840295 8948866 1558118 4274123 2299371 817254 8948866
"200103" 843982 37155 806827 843982 8299849 1522098 3844144 2109350 824257 8299849
"200104" 880004 37781 842223 880004 8764339 1558530 4095861 2250257 859691 8764339
"200201" 894158 37713 856445 894158 8932152 1569497 4212449 2299554 850652 8932152
"200202" 901153 38713 862440 901153 8484556 1564381 3906917 2157951 855307 8484556
"200203" 902878 38684 864194 902878 7868314 1554868 3553844 1895937 863665 7868314
"200204" 920915 39354 881561 920915 8189585 1604920 3717343 1973540 893782 8189585
"200301" 936271 39373 896898 936271 8157750 1631908 3710077 1933296 882469 8157750
"200302" 959653 39793 919860 959653 8847528 1710275 4125100 2107500 904653 8847528
"200303" 973038 39930 933108 973038 9084556 1747226 4214360 2202721 920249 9084556
"200304" 1013152 40480 972672 1013152 9718939 1803200 4561326 2395950 958463 9718939
"200401" 1022468 40468 982000 1022468 9914925 1870446 4637550 2457261 949668 9914925
"200402" 1031940 40940 991000 1031940 10013659 1910530 4667523 2474045 961561 10013659
"200403" 1038194 40994 997200 1038194 10006237 1950559 4621582 2455105 978991 10006237
"200404" 1060352 41566 1018786 1060352 10635470 2027879 4963011 2621251 1023329 10635470
"200501" 1059415 41567 1017848 1059415 10568064 2048915 4927627 2577457 1014065 10568064
"200502" 1067195 41985 1025210 1067195 10809612 2096533 5059222 2638879 1014978 10809612
"200503" 1077684 42055 1035629 1077684 11155259 2147199 5267866 2702680 1037514 11155259
"200504" 1082599 42702 1039897 1082599 11460065 2197371 5427756 2763404 1071534 11460065
"200601" 1102346 42778 1059568 1102346 11864154 2252759 5653893 2890115 1067387 11864154
"200602" 1110119 43333 1066786 1110119 11790046 2249171 5582173 2885144 1073558 11790046
"200603" 1133472 43470 1090002 1133472 12153401 2282581 5778639 2994697 1097484 12153401
"200604" 1163730 44204 1119526 1163730 12750581 2332445 6120492 3156553 1141091 12750581
"200701" 1172739 44173 1128566 1172739 12922118 2361805 6227563 3200954 1131796 12922118
"200702" 1191134 44742 1146392 1191134 13442288 2429824 6533181 3346125 1133158 13442288
"200703" 1199551 44737 1154814 1199551 13582128 2466539 6601454 3359063 1155072 13582128
"200704" 1201518 45388 1156130 1201518 13390748 2450796 6444810 3297934 1197208 13390748
"200801" 1187232 45313 1141919 1187232 12624344 2386316 5993348 3073257 1171423 12624344
"200802" 1196350 45804 1150546 1196350 12555534 2386952 5945119 3044273 1179190 12555534
"200803" 1197701 45698 1152003 1197701 11807993 2326222 5445721 2847563 1188487 11807993
"200804" 1179835 46390 1133445 1179835 10408481 2184599 4588025 2414657 1221200 10408481
"200901" 1182970 46344 1136626 1182970 9885947 2153647 4283071 2256861 1192368 9885947
"200902" 1204511 46862 1157649 1204511 10656057 2216692 4766518 2458014 1214833 10656057
"200903" 1227299 46908 1180391 1227299 11547887 2302276 5306561 2689367 1249683 11547887
"200904" 1242054 47514 1194540 1242054 11926597 2322978 5507389 2771851 1324379 11926597
"201001" 1263669 47429 1216240 1263669 12304409 2372617 5745041 2869008 1317743 12304409
"201002" 1265420 47609 1217811 1265420 11607762 2303686 5352389 2640655 1311032 11607762
"201003" 1299980 47784 1252196 1299980 12261885 2410561 5697932 2817804 1335589 12261885
