"DATES" "FL893065505.Q" "FL163165505.Q" "FL103165505.Q" "FL113165505.Q" "FL643165503.Q" "FL893065505.Q" "FL153065505.Q" "FL103065503.Q" "FL113065503.Q" "FL213065503.Q" "FL313065505.Q" "FL763065505.Q" "FL443065505.Q" "FL513065503.Q" "FL543065505.Q" "FL573065505.Q" "FL223065505.Q" "FL413065505.Q" "FL673065505.Q" "FL613065503.Q" "FL643065503.Q"
"196502" 53197 7192 25708 20297 0 53197 10523 86 0 0 111 13371 11739 130 15768 856 410 68 0 135 0
"196503" 54413 7457 26022 20934 0 54413 10307 86 0 0 119 13926 12104 137 16180 889 432 86 0 147 0
"196504" 55661 7468 27028 21165 0 55661 10093 88 0 0 127 14377 12428 142 16790 913 454 104 0 145 0
"196601" 57017 7870 27261 21886 0 57017 10118 93 0 0 105 14840 12774 140 17251 948 480 125 0 143 0
"196602" 58796 7713 28608 22475 0 58796 10303 100 0 0 120 15478 13103 140 17777 976 510 147 0 142 0
"196603" 60317 8023 29329 22965 0 60317 10429 108 0 0 130 16028 13280 140 18337 1013 540 170 0 142 0
"196604" 61468 8063 30234 23171 0 61468 10456 114 0 0 140 16366 13440 143 18847 1071 566 194 0 131 0
"196701" 62233 8442 30532 23259 0 62233 10355 115 0 0 148 16468 13646 171 19298 1095 588 219 0 130 0
"196702" 63577 8514 30752 24311 0 63577 10387 113 0 0 155 16970 13989 176 19694 1094 611 245 0 143 0
"196703" 64924 8963 30670 25291 0 64924 10402 111 0 0 177 17475 14380 181 20036 1118 622 274 0 148 0
"196704" 66249 7218 33152 25879 0 66249 10422 112 0 0 196 17931 14733 185 20467 1125 632 301 0 145 0
"196801" 67542 9008 32462 26045 27 67542 10289 106 0 0 222 18396 15108 188 20834 1130 652 327 0 140 150
"196802" 69114 8919 32753 27388 54 69114 10128 104 0 0 248 19098 15550 190 21160 1122 669 352 0 150 343
"196803" 70927 9277 32938 28605 107 70927 10161 103 0 0 265 19771 16027 192 21609 1130 674 368 0 157 470
"196804" 73019 9166 34028 29691 134 73019 9898 100 0 0 283 20505 16555 193 22388 1132 692 383 0 170 720
"196901" 74367 9744 34254 30130 239 74367 10070 123 0 0 302 20950 16825 195 22707 1136 700 397 0 169 793
"196902" 75792 9754 33787 32004 247 75792 9928 160 100 0 322 21459 17149 196 23065 1133 709 411 0 184 976
"196903" 77271 10118 33184 33717 253 77271 9871 201 200 0 343 21954 17482 197 23488 1150 713 428 0 179 1065
"196904" 79051 9801 34147 34815 288 79051 9756 236 300 0 365 22113 17899 200 24370 1172 696 444 0 199 1301
"197001" 78950 10449 45760 22451 290 78950 9019 194 400 92 389 22248 18028 208 24662 1178 714 459 0 135 1224
"197002" 81253 10526 46420 24007 300 81253 9781 202 500 117 411 22392 18308 220 25145 1176 764 474 0 337 1426
"197003" 84057 10754 47342 25613 348 84057 10869 208 600 165 425 22825 18663 233 25495 1203 806 486 0 440 1639
"197004" 86503 10553 48710 26874 366 86503 10838 214 700 187 439 23284 19424 245 26018 1176 911 496 0 541 2030
"197101" 87700 11194 49149 26967 390 87700 10189 219 800 251 453 23595 20025 245 26422 1178 908 507 0 661 2247
"197102" 90090 11041 49842 28795 413 90090 9647 199 900 300 465 24477 20999 240 26847 1148 921 518 0 844 2585
"197103" 93327 11401 50262 31240 424 93327 9157 220 1000 397 501 25500 22336 233 27497 1136 913 554 0 984 2899
"197104" 96983 11167 52383 32978 456 96983 8604 239 1100 413 539 26306 23893 223 28503 1269 924 589 0 1141 3240
"197201" 100034 11674 54890 32982 488 100034 8567 237 1200 504 550 27353 24871 215 28853 1276 949 506 0 1498 3455
"197202" 104306 11511 56282 35889 624 104306 8726 199 1300 593 544 28785 26218 204 29353 1210 948 542 0 1771 3913
"197203" 108330 11967 57536 38129 699 108330 8841 271 1400 599 537 30415 27454 193 30060 1155 988 582 0 1547 4288
"197204" 114168 11931 60309 41157 771 114168 9307 226 1500 664 320 31751 29076 181 31608 1096 1070 867 0 1535 4967
"197301" 118253 11787 62761 42851 854 118253 8931 264 1567 752 314 33342 30305 176 32307 1092 1178 867 0 1699 5459
"197302" 124008 11879 68758 42425 946 124008 9150 300 1626 783 263 35224 31857 173 33363 1055 1335 970 0 1739 6170
"197303" 129035 11776 79557 36753 949 129035 8458 312 1665 816 331 37181 33078 171 34651 1020 1393 950 0 1889 7120
"197304" 133706 11939 90347 30449 972 133706 8253 324 1688 857 218 38696 33888 166 36496 1071 1544 1124 0 1905 7476
"197401" 137455 12434 91931 32072 1017 137455 8228 397 1764 925 272 39855 34884 164 37397 1081 1622 1118 0 2018 7730
"197402" 142377 12104 92694 36556 1023 142377 8190 471 1830 977 419 41926 36032 162 38579 1068 1733 1065 0 2226 7699
"197403" 145045 12048 90249 41706 1042 145045 7178 617 1869 982 1524 43092 36812 161 39739 1057 1784 0 0 2362 7868
"197404" 148279 11562 90040 45619 1059 148279 7152 746 1888 1198 1629 43679 37228 157 41256 1064 2013 0 0 2597 7672
"197501" 150411 11952 89930 47472 1057 150411 8016 813 1860 1254 1700 43924 37853 151 42268 1107 2120 0 0 2542 6803
"197502" 153431 11634 91062 49697 1039 153431 8707 860 1836 1254 1863 44598 39232 172 43265 1102 2236 0 0 2438 5868
"197503" 157058 11594 92863 51590 1010 157058 9601 944 1820 1251 1946 45694 40923 191 44042 1123 2319 0 0 2539 4665
"197504" 161019 11072 94841 54095 1012 161019 10021 1035 1811 1242 2138 46882 42513 221 45196 1166 2313 0 0 2677 3804
"197601" 163221 11586 93884 56699 1053 163221 9758 1353 1812 1244 2218 47431 43490 221 45887 1166 2346 0 0 2795 3500
"197602" 166355 11321 96333 57567 1134 166355 9704 1351 1842 1243 2255 48033 45230 245 46479 1158 2421 0 0 3203 3191
"197603" 170146 11753 98428 58760 1205 170146 9704 1327 1940 1264 2424 49246 46731 244 47336 1158 2506 0 0 3391 2875
"197604" 174189 11507 100640 60702 1340 174189 9386 1329 2096 1245 2512 50349 48099 273 48864 1228 2559 0 0 3697 2552
"197701" 177453 11569 101483 63075 1327 177453 9275 1336 2166 1288 2634 51420 48979 327 49557 1270 2579 0 0 4243 2379
"197702" 180348 11734 103621 63728 1265 180348 8768 1352 2271 1281 2806 52273 50109 368 50447 1359 2714 0 0 4393 2207
"197703" 185795 12036 107239 65293 1227 185795 8772 1492 2461 1281 2966 54315 51552 395 51797 1336 2772 0 0 4622 2034
"197704" 193261 12132 112845 67071 1213 193261 8848 1612 2722 1282 3094 56935 53010 384 54435 1334 2925 0 0 4819 1861
"197801" 197958 12553 115762 68635 1008 197958 8745 1473 2910 1296 3746 58931 54010 375 55652 1328 2919 0 0 4742 1831
"197802" 203343 12567 119883 69789 1105 203343 8734 1347 3138 1293 3405 62248 54901 365 57245 1377 2851 0 0 4641 1798
"197803" 208876 12937 121997 72732 1211 208876 8715 1397 3466 1289 3620 64549 55690 366 59153 1376 2902 0 0 4605 1748
"197804" 214511 13004 123393 76801 1313 214511 8373 1422 3875 1323 3661 66187 56561 391 62232 1379 3024 0 0 4350 1733
"197901" 219175 13538 125970 78315 1351 219175 8023 1473 4344 1327 3943 68088 56962 448 63855 1401 3059 0 0 4532 1720
"197902" 225711 13976 125022 85371 1343 225711 7590 1528 4789 1372 4111 71135 57984 428 65964 1375 3077 0 0 4652 1706
"197903" 233353 14298 125016 92722 1317 233353 7435 1584 5175 1455 4316 74378 59156 458 68358 1422 3076 0 0 4848 1692
"197904" 239448 14372 123280 100489 1307 239448 7191 1627 5516 1521 4502 76562 59926 650 70920 1437 3182 0 0 4736 1678
"198001" 243912 14740 120224 107648 1301 243912 7319 1582 5466 1539 4904 77645 60002 774 73554 1511 3271 0 0 4692 1653
"198002" 248864 14500 115574 117498 1293 248864 7407 1657 5492 1644 5165 79353 60306 821 75725 1541 3340 0 0 4784 1629
"198003" 253808 14943 112379 125200 1286 253808 7239 1713 5708 1627 5429 80985 60568 865 77916 1765 3388 0 0 5000 1605
"198004" 259903 14836 112454 131334 1280 259903 6993 1776 6079 1681 5682 82333 61565 994 80666 1836 3529 0 0 5189 1580
"198101" 267511 15427 112416 138388 1280 267511 6365 4156 6873 1698 5861 84314 61841 1055 82616 1963 3568 0 0 5629 1572
"198102" 278496 15394 118221 143600 1281 278496 5654 8009 7704 1831 6107 87644 62490 1147 84571 2063 3736 0 0 5975 1565
"198103" 288922 15795 123402 148440 1285 288922 4674 12435 8626 2032 6365 90930 62973 1249 86070 2066 3861 0 0 6084 1557
"198104" 299684 15537 118648 164206 1293 299684 3525 17479 9619 2163 6667 93319 63516 1341 88163 2115 3928 0 0 6299 1550
"198201" 306619 16373 116932 172006 1308 306619 926 22543 10159 2324 6850 95780 63572 1406 89573 1283 4018 0 0 6620 1565
"198202" 315647 16546 113350 184420 1331 315647 790 23020 10631 2589 7018 99484 64448 1448 91200 2500 4192 0 0 6747 1580
"198203" 324780 17004 105918 200504 1353 324780 665 24644 10930 2780 7220 103339 65861 1501 91687 3093 4434 0 0 7031 1595
"198204" 333680 17066 103818 211428 1369 333680 563 26862 11091 3062 7388 106032 66263 1600 93547 4127 4474 0 0 7061 1610
"198301" 346330 19699 118642 206610 1379 346330 1887 27419 11253 3220 7452 109914 69077 1749 95356 5914 4494 0 0 7012 1583
"198302" 360215 21739 122222 214869 1385 360215 2138 28411 11532 3288 7551 114193 73973 1954 97416 6289 4542 0 0 7372 1556
"198303" 373975 23919 126565 222103 1388 373975 2485 27530 12101 3433 7655 119136 78098 2160 100209 7294 4547 0 0 7798 1529
"198304" 389424 25507 131851 230681 1386 389424 2467 28733 12905 3430 7760 123761 82791 2311 103831 6923 4786 0 0 8223 1503
"198401" 408654 27827 135304 244083 1441 408654 2473 32388 13845 3494 7775 133379 87146 2414 104770 5806 4841 0 0 8710 1613
"198402" 429688 29476 141185 257495 1532 429688 2325 35995 14848 3531 7845 140288 93319 2490 107548 5427 5053 0 0 9289 1730
"198403" 451779 31076 144903 274181 1619 451779 1876 40869 16010 3611 7957 148192 99261 2580 109801 4796 5092 0 0 9893 1841
"198404" 471898 30889 146617 292731 1661 471898 1197 44025 17297 3694 8056 157333 103809 2664 111175 5277 5378 0 0 10075 1918
"198501" 487050 31708 135731 317943 1668 487050 1986 44007 18244 3751 8102 163086 107656 2869 113421 5908 5472 0 0 10574 1974
"198502" 505953 31515 137953 334810 1676 505953 1464 45559 19151 3892 8177 169817 112245 3047 117295 6749 5505 0 85 10916 2051
"198503" 522126 32940 135376 352125 1686 522126 1844 46091 19960 4129 8264 177547 115380 3197 120183 6494 5531 0 83 11289 2134
"198504" 541661 33066 145458 361440 1698 541661 2127 46062 20692 4423 8349 185539 114115 3339 127670 7195 5552 0 564 12188 3846
"198601" 554231 34854 146748 370841 1788 554231 872 43139 20887 5087 8367 192397 118743 3623 130718 7632 5699 0 548 12521 3998
"198602" 565823 39208 148861 375815 1940 565823 470 41748 21077 5077 8458 200522 118171 3843 136325 6169 5647 0 1084 13032 4200
"198603" 579131 42395 152351 382455 1930 579131 577 39460 21254 5017 8524 210296 118018 4075 140841 5775 5973 0 1145 13909 4267
"198604" 601969 38279 160854 400968 1869 601969 1022 34697 20171 5101 8446 229090 119431 4348 149111 4585 6342 132 1116 14527 3850
"198701" 639606 40419 190482 406775 1930 639606 2000 29567 19347 5157 8463 241086 144416 4444 151420 6125 6195 127 1601 15652 4006
"198702" 655668 42543 200441 410751 1933 655668 500 28205 18273 5209 8553 254385 144858 4750 155611 5935 6197 126 2395 16683 3988
