"DATES" "FL793120005.Q" "FL713120005.Q" "FL713123005.Q" "FL713124003.Q" "FL713122605.Q" "FL713125005.Q" "FL763127005.Q" "FL723123005.Q" "FL763122605.Q" "FL763129205.Q" "FL443127005.Q" "FL473127003.Q" "FL793120005.Q" "FL153020005.Q" "FL143020005.Q" "FL103020003.Q" "FL113020003.Q" "FL133020003.Q" "FL213020005.Q" "FL313020005.Q" "FL263020005.Q" "FL263027003.Q" "FL263025003.Q" "FL793020005.Q" "FL743020003.Q" "FL443020005.Q" "FL473020005.Q" "FL513020003.Q" "FL543020003.Q" "FL573020005.Q" "FL223020003.Q" "FL633020000.Q" "FL403020005.Q" "FL613020003.Q" "FL643020003.Q" "FL663020003.Q" "FL903020005.Q"
"198101" 462806 120695 3526 0 528 116641 330146 10219 20667 299260 8541 3424 462806 231672 111988 73026 31565 7397 9573 19813 41101 21195 19906 26631 2754 7504 1600 2976 2185 3932 784 -2007 384 3569 0 2950 22028
"198102" 477261 123395 3401 0 468 119526 339830 17006 22707 300117 10383 3653 477261 238019 108277 68773 32055 7449 10806 17720 43523 23175 20348 27925 2775 7658 1400 3004 2546 3741 716 -611 384 3592 0 2720 30991
"198103" 479389 123802 3977 0 501 119324 340108 19560 23088 297460 11763 3716 479389 247319 104552 64426 32621 7505 9412 23978 43818 23589 20229 29568 2833 8398 1500 3021 3118 3572 743 -820 450 3614 0 3139 20742
"198104" 505568 132376 4745 0 684 126947 356499 10803 18993 326703 12812 3881 505568 270997 98485 57674 33251 7560 10964 17367 40651 19677 20974 31372 2900 8913 1600 2989 4279 3427 624 -549 710 3635 0 2844 35732
"198201" 482742 129867 3350 0 552 125965 334968 12869 15625 306474 13742 4165 482742 265086 95035 53891 33530 7614 8846 18910 36708 16177 20531 28825 2999 9296 2100 3110 1902 2925 652 -1732 521 3654 0 3398 29332
"198202" 488633 133326 4559 0 731 128036 335680 11355 16542 307783 15048 4579 488633 263846 95410 53690 34052 7668 10008 17130 39639 17273 22366 32332 3145 10474 1600 3101 3265 2819 760 -270 491 3672 0 3275 30268
"198203" 513289 141943 11398 0 512 130033 349771 20841 14906 314024 16660 4915 513289 274298 97156 54252 35179 7725 8678 34884 38088 15418 22670 36018 3294 11609 1600 3075 3615 2570 836 745 427 3690 0 4557 24167
"198204" 543333 142529 5462 0 435 136632 375794 16864 15582 343348 19291 5719 543333 286706 112599 68019 36794 7786 9409 24513 39458 16017 23441 37112 3400 11981 1800 3025 4612 2260 981 278 560 3711 0 4504 33536
"198301" 532312 142103 4070 0 587 137446 360969 14563 15913 330493 22815 6425 532312 290920 108481 61905 38722 7854 7424 20669 40345 16500 23845 35491 3470 12949 2100 2944 3049 2115 1202 -521 499 3732 0 3952 28982
"198302" 564983 151276 9297 0 379 141600 381253 22160 16930 342163 25264 7190 564983 297896 117165 68535 40701 7929 9317 33178 42378 17309 25069 35856 3503 12983 2500 2819 3113 2248 1226 -659 356 3754 0 4013 29193
"198303" 574415 162925 17025 0 487 145413 377136 22836 15966 338334 26727 7627 574415 297712 124328 73516 42807 8005 7234 41761 42508 16453 26055 34702 3536 12966 2200 2699 2673 2587 1161 -940 623 3776 0 3421 26170
"198304" 582798 155524 4124 0 461 150939 390786 11521 17138 362127 28492 7996 582798 294081 142662 89573 45014 8075 8729 16444 45145 17599 27546 38188 3600 13733 2200 2628 3964 2731 1400 -275 765 3801 0 3641 37549
"198401" 578304 156100 4187 0 509 151404 384656 13040 17009 354607 29305 8243 578304 279908 156511 102485 45892 8134 10543 18381 45042 17518 27524 36385 3699 12626 2400 2705 2792 3087 1623 -563 764 3526 0 3726 31534
"198402" 590336 162329 4920 0 412 156997 387266 12040 17374 357852 31957 8784 590336 289162 152314 97238 46900 8176 12940 18636 46736 17786 28950 36501 3825 12077 2200 2891 2798 3490 1790 -286 663 3528 0 3525 34047
"198403" 597152 166360 8979 0 386 156995 388775 24718 16914 347143 32736 9281 597152 287417 153186 96723 48233 8230 10669 34521 46640 17300 29340 36419 3958 11184 2600 3058 2682 3478 2003 -614 952 3630 0 3488 28300
"198404" 629721 165809 5829 0 422 159558 419526 15546 19277 384703 34891 9495 629721 308624 160848 102698 49826 8324 13760 21828 49641 19699 29942 38980 4075 11749 2600 3118 4631 3309 1999 -1236 1346 3485 0 3904 36040
"198501" 602308 165149 3617 0 394 161138 390286 13639 17805 358842 36738 10135 602308 305258 150844 90366 52028 8450 10987 17379 48382 18199 30183 36360 4194 10933 3100 3432 2743 3548 2339 -2360 944 3550 0 3937 33098
"198502" 640436 171357 3876 0 439 167042 418274 24004 19066 375204 39623 11182 640436 312894 159604 96506 54496 8602 14109 27693 50957 19505 31452 41134 4325 11456 3200 3862 3238 3793 2886 -353 1147 3829 0 3751 34045
"198503" 660642 171710 4720 0 724 166266 435098 16652 20287 398159 42043 11791 660642 326491 173424 107016 57629 8779 12860 21029 53402 21011 32391 41854 4438 10984 3100 4227 3712 3833 2496 -1610 2008 4466 0 4200 31582
"198504" 713479 182369 9901 0 540 171928 473707 25797 20651 427259 44762 12641 713479 323710 198320 125710 61297 11313 14831 33973 54449 21191 33258 49208 4500 13334 3300 4312 5130 3281 2351 154 2129 4442 0 6275 38988
"198601" 685385 176704 3897 511 338 171958 449794 11948 19943 417903 46487 12400 685385 333698 192328 118317 62597 11414 12639 14951 53548 20281 33267 46875 4529 12004 4200 4654 3501 2823 2300 409 2106 4818 0 5531 31346
"198602" 738507 181624 3744 450 370 177060 491777 25224 21379 445174 52887 12219 738507 367329 190651 116057 63077 11517 18099 26717 55385 21749 33636 46872 4533 11977 3900 5052 4171 2433 2200 101 2450 4830 0 5225 33454
"198603" 747563 187072 8006 663 382 178021 491334 28211 21051 442072 56557 12600 747563 388696 183407 108568 63219 11620 14470 33585 55583 21433 34150 46729 4498 10128 3800 5409 4159 2108 2499 -665 2662 5935 0 6196 25093
"198604" 838882 195701 8015 917 424 186345 568246 27480 23451 517315 61899 13036 838882 439581 202448 127220 63505 11723 17282 32840 59554 23875 35679 56173 4406 13933 4000 5629 5781 1904 3082 -32 3657 5363 0 8450 31004
"198701" 763926 190443 4094 577 466 185306 496476 8649 21532 466295 63507 13500 763926 408252 202883 127413 63690 11780 12712 10024 57597 21998 35599 49909 4248 9212 4300 5711 4835 1812 3709 666 3065 5576 0 6775 22549
"198702" 821170 206282 14266 458 346 191212 533487 30924 22253 480310 67207 14194 821170 422779 208014 132349 63828 11837 15650 42488 59587 22599 36988 47491 4002 9206 4000 5656 4039 1757 4301 381 2366 5471 0 6312 25161
"198703" 815533 202869 9580 419 507 192363 531068 32975 20447 477646 67196 14400 815533 431580 208393 132527 63971 11895 13190 37426 58588 20954 37634 45117 3751 7438 3300 5562 4116 1705 4712 397 2093 6075 0 5968 21239
"198704" 842856 212432 5759 1027 313 205333 548498 21644 22157 504697 67205 14721 842856 443169 212887 136764 64170 11953 16548 21410 62015 22470 39545 52051 3571 10102 4000 5526 4891 1677 4844 -323 3587 6728 0 7448 34776
"198801" 820392 207930 2882 436 649 203963 529703 23520 21239 484944 67959 14800 820392 431371 211561 133874 65670 12017 18981 20996 61529 21888 39641 52104 3405 8506 4000 5485 3902 1875 4852 13 3353 7057 0 9656 23850
"198802" 861244 220898 10194 351 443 209910 552969 32559 22542 497868 72516 14861 861244 435873 219470 140365 67023 12082 23229 39514 64482 22985 41497 54846 3257 8474 4100 5418 4090 2473 5095 121 3140 7727 0 10951 23830
"198803" 856140 227590 13412 358 392 213428 539916 34154 21094 484668 73354 15280 856140 429482 218940 138996 67797 12147 22227 44806 63815 21486 42329 57745 3123 9758 4200 5374 3729 3556 4736 2211 3301 7585 0 10172 19125
"198804" 885122 230061 9051 548 374 220088 565611 28979 21562 515070 73964 15486 885122 441350 231440 150715 68513 12212 24882 32118 65592 21936 43656 59561 2997 11949 4200 5397 4575 4548 4410 656 3556 7883 0 9390 30179
"198901" 827511 226332 4919 246 415 220752 514164 13513 21749 478902 71215 15800 827511 425235 226204 144897 69023 12284 20594 13572 66575 22164 44411 53216 2888 9886 4500 5495 3813 5130 3685 -1653 3101 7559 0 8812 22115
"198902" 864682 239477 12627 156 288 226406 539537 34390 20618 484529 69547 16121 864682 421157 228155 146995 68802 12358 23257 42937 67208 20906 46302 56347 2791 9995 4300 5668 4210 5089 3593 -461 3400 8031 0 9731 25621
"198903" 852261 238925 13892 209 366 224458 525835 30278 21165 474392 71031 16470 852261 417489 229499 148486 68581 12432 22385 36747 67491 21531 45960 57128 2708 9699 4600 5859 4428 4707 3298 1627 3169 8284 0 8749 21522
"198904" 892152 240285 6672 1222 607 231784 562218 25582 21498 515138 72837 16812 892152 443516 241711 159770 69434 12507 25237 25570 69510 22105 47405 57842 2637 11237 4800 6012 5027 4142 3171 106 2284 8668 0 9758 28766
"199001" 853528 240341 5372 241 302 234426 524251 16719 20236 487296 71361 17575 853528 427299 235067 152184 70248 12635 21772 15129 70890 20538 50352 57368 2598 10639 5200 6162 4916 3677 3790 -446 2055 8632 0 10145 26003
"199002" 886964 249320 6050 183 382 242705 547768 32072 20035 495661 71531 18345 886964 436643 232695 149299 70630 12766 23595 31113 74822 20417 54405 57183 2599 10390 4900 6346 4920 3288 4318 350 2234 9112 0 8726 30913
"199003" 889638 255984 8165 235 437 247147 545285 36595 21731 486959 70039 18330 889638 432322 230264 145884 71483 12897 22355 33389 81463 22168 59295 58751 2589 8636 5000 6476 4904 3425 4716 556 2112 9458 0 10879 31094
"199004" 934740 264446 9521 162 390 254373 583954 30919 21405 531630 68019 18321 934740 432824 250069 165841 71199 13029 23960 25417 85786 21795 63991 71121 2509 10655 4800 6463 4925 3312 4974 11247 2109 9879 0 10248 45563
"199101" 906410 273881 11545 124 236 261976 546021 26325 20114 499582 67058 19450 906410 450756 219957 134911 71831 13215 21757 32672 88384 20350 68034 59403 2359 12410 5300 6284 5069 3254 4366 -2107 1955 10345 0 10168 33481
"199102" 934262 278743 12435 141 234 265933 565626 36038 18640 510948 69331 20562 934262 448941 227112 140775 72934 13403 25506 40223 88446 18874 69572 64232 2126 13191 5600 5914 5165 3195 4640 1933 1855 10019 0 10594 39802
"199103" 948302 273892 8535 213 392 264752 584834 38534 19584 526716 69026 20550 948302 453434 238733 153127 72013 13593 27287 27232 93086 19976 73110 60982 1898 11820 5300 5537 5437 3107 3038 2914 1753 11107 0 9071 47548
"199104" 1022519 295097 18333 1626 985 274153 621562 36414 19409 565739 85313 20547 1022519 484750 259138 172695 72660 13783 30432 50916 97198 20394 76804 61187 1759 13071 5400 5334 5451 3012 3807 -208 1205 12165 0 10191 38898
"199201" 993288 281986 7557 175 384 273870 604840 16693 18976 569171 84862 21600 993288 496244 254056 165313 74748 13995 28216 23391 96597 19360 77237 60337 1677 12096 6300 5298 5423 2979 3960 -677 1269 12036 0 9976 34447
"199202" 1034709 295878 14242 165 233 281238 637610 36104 20771 580735 78577 22644 1034709 508796 252690 162765 75718 14207 29717 48971 98769 21004 77765 57622 1577 11331 6300 5409 5309 2989 4435 -2532 1009 11482 0 10313 38144
"199203" 1073175 313607 25113 216 554 287724 657182 38203 21991 596988 78586 23800 1073175 537521 252199 160377 77400 14422 29133 59309 105872 22545 83327 57720 1464 9598 6800 5544 5089 2971 6409 -3863 927 12130 0 10651 31421
"199204" 1134667 311315 8000 247 237 302831 714324 30552 21664 662108 83963 25065 1134667 596054 260302 168398 77267 14637 31610 31741 109791 21901 87890 61715 1297 12459 6600 5576 4828 2974 6515 -2653 1196 12556 0 10367 43454
"199301" 1089339 310062 7267 212 327 302256 674632 18750 21191 634691 79695 24950 1089339 572993 254494 161189 78395 14910 30655 22661 111840 21518 90322 61984 1166 10612 6500 5525 4927 3007 5836 -1021 1011 13335 0 11086 34712
"199302" 1168153 341203 28818 183 294 311908 718169 36516 21123 660530 83908 24873 1168153 594448 261245 167310 78748 15187 32977 61834 117200 21417 95783 60738 1016 10433 6400 5405 5027 3030 6129 -2248 851 13823 0 10872 39711
"199303" 1182084 338171 17673 200 508 319790 732439 38426 24943 669070 85674 25800 1182084 617658 258801 164342 78993 15466 33732 53892 126907 25451 101456 60551 934 11680 6300 5275 5126 3078 5460 -3056 1303 13444 0 11007 30543
"199304" 1251981 348467 15186 285 396 332600 788418 42633 21247 724538 88337 26759 1251981 644496 284151 188883 79522 15746 33561 52188 126151 21643 104508 70430 1000 15455 6500 5189 5225 3170 6619 -1204 2123 14072 0 12281 41004
"199401" 1220704 344814 6551 210 460 337593 764288 39780 22190 702318 84552 27050 1220704 614394 287198 188114 83232 15852 34644 45982 131866 22650 109216 75383 912 17043 6800 5145 5331 3267 5476 551 1720 14225 0 14913 31237
"199402" 1229478 358228 9709 177 615 347727 760667 42889 22557 695221 82752 27831 1229478 612738 288768 187194 85615 15959 35404 51684 138125 23172 114953 68465 942 12512 6700 5101 5436 3420 5794 -1801 1579 14601 0 14181 34294
"199403" 1205718 362183 7211 215 347 354410 734670 30383 23162 681125 80665 28200 1205718 603483 296562 190806 89688 16068 31737 36394 142467 23509 118958 68645 1072 12329 6300 5057 5541 3601 7137 -2418 1649 14918 0 13459 26430
"199404" 1240202 374238 7496 772 256 365714 756739 23751 23204 709784 80430 28795 1240202 614476 308333 200620 91536 16177 35349 27819 148553 23460 125093 69625 1449 13897 6500 5013 5646 4044 6737 -2520 1337 15500 0 12022 36047
"199501" 1191644 375906 4904 290 380 370332 706837 15634 22646 668557 79501 29400 1191644 593001 296906 184072 96533 16301 34136 16328 153446 23026 130420 65712 1231 12302 7200 4973 5532 4245 5139 -6609 1276 16433 0 13990 32115
"199502" 1239798 398487 21296 131 182 376878 731495 39731 22144 669620 79656 30160 1239798 596835 289564 174351 98786 16427 37243 59027 153882 22326 131556 70941 1487 13268 7100 4932 5417 4448 4687 -2082 1603 16811 0 13270 32306
"199503" 1188685 385573 8942 218 219 376194 694002 30307 23559 640136 78610 30500 1188685 561706 301857 182891 102412 16554 35652 38689 156367 23778 132589 71889 1173 13402 7100 4892 5303 4657 5145 -2613 1098 16944 0 14788 22525
"199504" 1211356 391153 6249 818 404 383682 710841 19003 24118 667720 78472 30890 1211356 561925 326480 205085 104714 16681 38704 22173 158455 24522 133933 71753 1599 15553 7400 4851 5188 4871 4207 -3486 1512 16309 0 13749 31866
"199601" 1158169 389673 7335 234 210 381894 659301 16832 23218 619251 78195 31000 1158169 544508 306507 180759 109074 16674 34018 24179 154050 23428 130622 70729 1405 14027 8000 4811 4970 5105 4772 -2923 1064 16574 0 12924 24178
"199602" 1181293 397507 7981 223 191 389112 673195 31360 27160 614675 77990 32601 1181293 527624 319274 186804 115803 16667 34291 42763 161720 27351 134369 72583 1495 13527 7600 3756 4856 5339 5883 -2724 711 16813 0 15327 23038
"199603" 1183701 400670 7986 269 270 392145 672288 37794 25308 609186 78204 32539 1183701 509501 337237 200848 119729 16660 31148 47479 166489 25578 140911 75775 1429 14285 6800 4089 4741 5568 7186 -3590 605 17517 1845 15300 16072
"199604" 1200366 414419 7991 785 181 405462 676272 28684 26927 620661 77199 32476 1200366 494673 355018 214349 124016 16653 33157 38314 175192 27108 148084 80891 1413 14194 7500 3938 4316 5574 7466 -1127 780 18953 2233 15651 23121
"199701" 1167428 414807 6258 247 926 407376 641973 24028 26823 591122 76449 34199 1167428 463341 363318 218156 128452 16710 32689 39963 178559 27749 150810 79048 1383 13138 7900 4233 3470 6134 5353 -425 1170 18976 2956 14760 10510
"199702" 1204302 432273 16711 211 195 415156 661114 34243 29424 597447 75594 35321 1204302 463398 361007 209617 134622 16768 31800 57758 184754 29619 155135 89871 1435 13578 7600 4062 4040 6448 8820 -444 3250 20144 2860 18078 15714
"199703" 1163917 428099 7947 288 193 419671 626786 33511 28213 565062 72288 36744 1163917 427356 371038 214453 139759 16826 34134 49307 189503 28406 161097 86248 1402 14186 7200 4168 3680 7257 6505 -2161 2190 19050 3820 18951 6331
"199704" 1209189 444255 5669 799 464 437323 656444 27779 31714 596951 71890 36600 1209189 448131 370059 206931 146243 16885 37542 41582 202687 32178 170509 96456 1361 15234 8100 4235 8128 6955 5314 1507 2097 18554 3289 21682 12732
"199801" 1172525 443370 5755 255 177 437183 616775 21691 31492 563592 71780 40600 1172525 404770 388883 225405 146167 17311 32622 37857 202119 31669 170450 100606 1328 15910 8400 3709 3549 6617 6666 3521 1797 19610 4572 24927 5668
"199802" 1224691 464140 18344 198 211 445387 650616 48510 30404 571702 71197 38738 1224691 423114 381768 217437 146590 17741 34300 82928 202898 30615 172283 96965 1516 15749 8100 3594 4824 6257 7610 -116 2238 20116 4842 22235 2718
"199803" 1176771 460698 5044 254 357 455043 608991 30036 28117 550838 69394 37688 1176771 410959 385422 218731 148514 18177 32171 47053 207264 28474 178790 95535 1382 15677 7600 3801 4415 5907 7749 -1938 2501 18653 3854 25934 -1633
"199804" 1220288 483276 6171 1501 177 475427 622921 13157 28640 581124 71054 43037 1220288 463775 364513 194964 150937 18612 33640 23186 213173 28817 184356 108087 1993 18471 9100 4014 5405 6114 9973 -1025 4952 19644 4068 25378 13914
"199901" 1185829 485022 5509 98 180 479235 589280 16418 26964 545898 68627 42900 1185829 451402 361411 193039 149611 18761 32736 29145 212974 27144 185830 91880 1609 15039 9200 3219 2694 5847 7600 -6068 3289 21241 3751 24459 6281
"199902" 1218494 498806 6810 96 425 491475 607177 42043 27493 537641 69453 43058 1218494 421056 379395 210949 149534 18912 32451 61206 216156 27918 188238 103891 1260 16125 9000 3661 4001 6252 9450 -1773 2727 21855 3692 27641 4339
"199903" 1209667 510133 6734 62 256 503081 588075 46016 27341 514718 68559 42900 1209667 403290 386820 215797 151958 19065 32559 62916 219734 27597 192137 105431 1652 16635 15600 3145 3919 6580 9370 -7352 3175 21619 4354 26734 -1083
"199904" 1332283 591523 28511 1123 85 561804 626358 49561 28664 548133 69037 45365 1332283 417731 405823 230973 155632 19218 37551 87921 237512 28749 208763 138623 2248 20556 26400 4254 5451 7429 9225 -3312 12107 21152 4402 28711 7122
"200001" 1228081 532743 4531 61 138 528013 574406 37503 28723 508180 69632 51300 1228081 382174 407333 225329 162740 19264 32531 48487 229047 28861 200186 122092 1917 16414 26400 3131 4047 7845 11100 -2929 1055 21529 4466 27117 6417
"200002" 1234690 540601 6284 76 118 534123 573783 48693 29890 495200 69871 50435 1234690 356355 421489 234831 167348 19310 32042 60162 230188 30008 200180 123511 2079 17384 24000 2707 5644 8562 12778 -4188 1596 21816 4164 26969 10943
"200003" 1199808 542964 8643 51 152 534118 536561 39333 31500 465728 69383 50900 1199808 321088 439298 252986 166956 19356 30464 55735 231468 31652 199816 120906 1417 16913 25200 3059 3658 9689 12556 -518 1503 22878 3770 20781 849
"200004" 1218787 556380 5599 1249 229 549303 540895 16384 30692 493819 70260 51252 1218787 335110 429896 246429 164064 19403 37700 24271 236327 30921 205406 141118 1708 19038 26715 3671 4958 10766 9935 1478 4412 23722 4386 30329 14365
"200101" 1200749 556187 6135 116 83 549853 517183 23878 28472 464833 72179 55200 1200749 360985 366784 178046 169182 19556 35326 30666 234884 28555 206329 160278 1865 19034 33046 10552 17844 9549 8313 -3761 4482 24256 4144 30954 11826
"200102" 1231239 567388 7632 138 115 559503 536183 37699 29563 468921 73461 54207 1231239 348648 359204 166443 173050 19711 34148 48951 237780 29678 208102 190526 1721 20706 40515 11758 24272 9900 13291 -1925 5239 23270 4713 37066 11982
"200103" 1256533 586259 10218 63 622 575356 541768 36353 29001 476414 72934 55572 1256533 352210 367186 176651 170668 19867 33269 50562 247218 29623 217595 201973 2520 20532 30017 13627 29893 9997 13369 -9656 8357 24147 5443 53727 4115
"200104" 1360842 603808 7070 693 74 595971 628847 47459 25840 555548 73453 54734 1360842 407257 366476 181916 164536 20024 41679 66852 255114 25914 229200 219586 2771 21030 36787 13086 36848 9924 11448 5379 6667 23034 5492 47120 3878
"200201" 1263853 613400 6104 74 267 606955 523049 9510 24173 489366 74051 53353 1263853 376338 352261 166932 165175 20154 40255 25212 257277 24440 232837 210212 1684 21053 33537 16966 35072 9943 12126 889 7212 22532 6144 43054 2298
"200202" 1302036 630049 8511 84 103 621351 536462 37122 24144 475196 75125 60400 1302036 365814 348885 162786 165814 20285 43970 53502 264296 24247 240049 218371 2727 20948 40423 17218 34609 10110 11004 -2385 8561 23073 6393 45690 7198
"200203" 1327591 630739 8259 84 164 622232 563164 54582 23774 484808 73969 59719 1327591 361228 350669 163798 166453 20418 42580 77651 265093 23938 241155 237727 2707 22227 40369 25599 43672 10173 11959 -3379 13181 24183 6576 40460 -7357
"200204" 1352951 645685 4787 1052 146 639700 571505 31065 25187 515253 75297 60464 1352951 414482 328696 141053 167092 20551 46843 47536 273394 25333 248061 238195 2484 24817 38361 25930 35255 10247 12925 -1394 14756 25201 5396 44217 3805
"200301" 1336025 654726 7119 81 267 647259 540180 8528 1835 529817 75319 65800 1336025 382632 351748 162492 168537 20719 43833 23346 253954 2102 251852 276834 3049 23911 55225 30192 43799 10317 13910 -1671 21107 26226 6593 44176 3678
"200302" 1393787 662063 7304 67 917 653775 588777 26680 2802 559295 76285 66662 1393787 398153 368922 178051 169983 20888 45000 41852 254033 3719 250314 278979 2995 27024 52446 36142 44403 10827 14731 -7238 19251 28155 6664 43579 6848
"200303" 1376408 665510 7565 87 96 657762 567944 29839 2256 535849 77890 65064 1376408 362543 391409 198922 171428 21059 45593 53292 254277 2352 251925 277884 2397 25879 45638 35113 46758 10871 14075 -6291 20287 30386 8914 43857 -8590
"200304" 1437425 683034 6044 578 176 676236 607216 30154 4071 572991 80685 66490 1437425 398371 385768 191664 172874 21230 53815 54124 262899 4247 258652 284898 2468 24840 41543 34573 47263 10383 13741 -2095 28778 27069 9173 47162 -2450
"200401" 1434584 681621 6250 95 97 675179 603218 17524 7074 578620 79532 70213 1434584 363564 440320 215573 203259 21488 52975 22675 262881 7171 255710 285342 3184 22672 50438 31110 46297 10395 13426 -10984 29027 26569 10246 52962 6827
"200402" 1473961 696564 6335 100 293 689836 627327 40545 8302 578480 80292 69778 1473961 335897 472244 221931 228566 21747 49151 46845 272843 8595 264248 290912 2730 22946 39799 31081 51450 10875 12517 713 28119 25546 11708 53428 6069
"200403" 1463134 702876 6278 103 142 696353 609967 32254 8353 569360 79785 70506 1463134 307546 503486 227605 253873 22008 42647 35405 276416 8495 267921 288652 3083 22383 38851 34459 52150 10908 17103 889 19949 25974 9823 53080 8982
"200404" 1522783 720768 6182 1142 95 713349 646732 26919 13238 606575 81172 74111 1522783 344051 495628 194178 279180 22270 46976 21930 285286 13333 271953 311975 3505 21342 40166 25852 53283 10486 16267 558 39135 26278 12222 62881 16937
"200501" 1499555 718255 5503 90 153 712509 622422 20235 14895 587292 81418 77460 1499555 322867 510027 189337 298255 22435 56834 20806 285292 15048 270244 292811 3620 22228 43740 24044 47160 10529 14321 -5784 33325 25476 13320 60832 10918
"200502" 1514557 724237 4610 111 117 719399 631079 30598 18629 581852 82424 76817 1514557 291326 555392 215462 317329 22601 58099 33467 288794 18746 270048 279222 3798 23107 37522 23266 52397 10714 13410 -10680 26442 25921 14373 58952 8257
"200503" 1481772 730161 4618 107 115 725321 587939 32975 20375 534589 83808 79864 1481772 209352 607721 248547 336404 22770 47048 34784 292819 20490 272329 280531 3278 23742 37265 23077 53583 10793 16747 -2790 20523 20960 15625 57728 9517
"200504" 1527205 750822 4775 2019 95 743933 610326 33886 19654 556786 84987 81070 1527205 216875 646167 267750 355479 22938 56475 36832 300149 19749 280400 261458 3044 23702 38145 21007 47748 10787 15823 -854 14603 17409 13584 56460 9249
"200601" 1507823 754589 5664 76 98 748751 583560 4234 18665 560661 86676 82998 1507823 208514 645991 248776 373758 23457 56287 8384 299198 18763 280435 281402 2697 21056 47321 28692 49853 10897 14215 -4284 16483 17148 14803 62521 8047
"200602" 1536882 760477 5699 87 156 754535 604997 41495 23888 539614 88680 82728 1536882 203295 600337 184317 392038 23982 55993 45674 302134 24044 278090 320892 2630 20693 40208 36606 50444 11123 13516 9956 30929 16237 13897 74653 8557
"200603" 1491113 756315 5601 94 112 750508 571787 48309 24951 498527 88140 74871 1491113 178256 597168 162339 410317 24512 55116 51217 300832 25063 275769 299250 2459 20942 40291 41365 51012 11233 13006 1689 15589 15695 16191 69778 9274
"200604" 1507259 774349 4960 812 113 768464 574403 28025 28822 517556 85897 72610 1507259 173105 604540 150900 428597 25043 61888 32928 311562 28935 282627 315772 2911 20447 44381 29919 56054 11198 13088 6664 16374 15808 18448 80480 7464
"200701" 1486306 769145 4546 88 104 764407 566783 3862 30166 532755 74233 76145 1486306 173404 603936 133445 445016 25475 54981 7100 306732 30270 276462 332789 2701 19255 59429 31714 59002 11322 16230 -1599 15078 16176 21622 81859 7364
"200702" 1482710 774585 4955 77 211 769342 560645 22246 34206 504193 73334 74146 1482710 125547 634406 147058 461436 25912 48479 28040 309244 34417 274827 331389 2143 19180 52321 32983 56807 11441 16199 -3554 19000 16418 18626 89825 5605
"200703" 1482763 775214 5875 86 128 769125 564551 71816 31385 461350 72464 70534 1482763 47270 651533 147324 477855 26354 45410 76930 306995 31513 275482 347629 2907 19297 42809 45187 63385 11529 18860 4092 17998 16759 18511 86295 6996
"200704" 1532933 792115 16379 1684 111 773941 587677 42912 34064 510701 79431 73710 1532933 90259 662939 141868 494275 26796 57107 56516 306127 34175 271952 349951 2603 19960 43310 42698 58343 11775 17916 1883 13654 16194 16635 104980 10034
"200801" 1521725 775879 5883 94 113 769789 590322 42925 37161 510236 76737 78787 1521725 82739 633048 101525 504493 27030 51936 42861 315975 37274 278701 382133 2649 23965 60480 41844 63088 11853 18012 -9902 11383 16964 19419 122378 13033
"200802" 1533984 786274 5257 139 226 780652 586756 50217 33467 503072 83942 77012 1533984 76998 605866 68608 509994 27264 51857 53796 312624 33693 278931 424379 2718 22068 47922 40589 71831 11761 17919 534 58542 16914 17976 115605 8464
"200803" 1941907 1149333 332749 26185 131 790268 639071 41454 42697 554920 78980 74523 1941907 54675 617163 73738 515925 27500 51599 372151 327604 42828 284776 510820 2633 18651 36130 43430 73868 14353 17780 8755 94445 16682 22159 161934 7895
"200804" 2101314 1220333 365707 21073 1380 832173 729090 3453 67614 658023 76572 75319 2101314 270750 579311 32704 518871 27736 65634 368001 370133 68994 301139 441050 3230 8720 37615 27921 82760 12258 17760 7481 88328 16452 18447 120078 6435
"200901" 1966697 1142833 267395 20874 1154 853410 666624 4303 49268 613053 76449 80791 1966697 255550 598434 59190 511296 27948 60628 271930 363377 50422 312955 412090 4308 10225 36869 25960 70278 12281 17610 12722 84074 17079 17520 103164 4688
"200902" 2082298 1196561 316241 19973 1764 858583 729399 4038 47022 678339 75853 80485 2082298 284617 650808 123077 499568 28163 85287 319085 359806 48786 311020 376738 3291 6342 32315 33909 65671 11936 17658 -6991 81008 17511 22060 92028 5957
"200903" 2060006 1154381 273562 15855 1918 863046 735872 3701 43026 689145 90499 79254 2060006 248779 702158 188349 485430 28379 71279 274763 360143 44944 315199 396567 2807 7922 37349 33581 64109 14453 17674 4164 87525 17096 27954 81933 6317
"200904" 2093410 1102739 191872 35115 2425 873327 814038 3789 44552 765697 89691 86942 2093410 268602 767471 266610 472265 28596 85005 193626 360748 46977 313771 411677 4190 4541 39052 27618 50693 16427 17588 17926 99406 16987 26528 90721 6281
"201001" 2067070 1120506 216721 19315 1683 882787 767961 4113 45514 718334 90078 88525 2067070 162283 846997 358462 459876 28659 81276 219455 363233 47197 316036 389142 3876 848 37237 28273 46981 18915 17486 5082 99015 15877 25375 90177 4684
"201002" 2173052 1207754 287813 27368 1229 891344 787899 3234 46796 737869 89154 88245 2173052 136983 875375 398309 448342 28724 81707 291630 366161 48025 318136 418354 5389 5224 39859 37104 56322 21859 17591 7544 99106 16141 26143 86072 2842
