"DATES" "FL313161505.Q" "FL313161400.Q" "FL313161105.Q" "FL893061505.Q" "FL153061505.Q" "FL313161400.Q" "FL153061105.Q" "FL103061103.Q" "FL113061003.Q" "FL213061105.Q" "FL263061105.Q" "FL713061100.Q" "FL763061105.Q" "FL723061100.Q" "FL753061103.Q" "FL733061103.Q" "FL743061103.Q" "FL443061105.Q" "FL473061105.Q" "FL513061103.Q" "FL543061103.Q" "FL573061105.Q" "FL223061103.Q" "FL343061105.Q" "FL633061100.Q" "FL653061105.Q" "FL553061103.Q" "FL563061103.Q" "FL403061105.Q" "FL673061103.Q" "FL663061105.Q" "FL314104005.Q"
"196001" 232352 45736 186616 232352 75466 45736 29730 19986 0 13200 10387 25166 54766 54160 523 0 83 9951 192 5532 6828 2537 5663 0 0 605 359 0 1556 0 158 234277
"196002" 229995 45611 184384 229995 74183 45611 28572 18247 0 13511 10296 26323 54818 54210 519 0 89 9584 194 5437 6574 2457 5724 0 0 615 391 0 1437 0 204 231997
"196003" 231859 45579 186280 231859 73602 45579 28023 16446 0 13775 10429 26480 58301 57690 515 0 96 9494 196 5439 6577 2408 5653 0 0 608 421 0 1450 0 580 233401
"196004" 234042 45642 188400 234042 72194 45642 26552 15752 0 13739 10651 26984 61611 61003 507 0 101 9344 200 5446 6427 2404 5711 0 0 619 445 0 1494 0 1021 235982
"196101" 231760 45906 185854 231760 72095 45906 26189 15225 0 13581 10635 26388 60329 59670 555 0 104 9973 204 5239 6543 2407 5855 0 0 539 447 0 1757 0 543 234000
"196102" 232089 46045 186044 232089 70684 46045 24639 14636 0 13946 10288 27003 62533 61824 603 0 106 9786 209 5118 6408 2429 5872 0 0 511 441 0 1708 0 517 234105
"196103" 237420 46228 191192 237420 72300 46228 26072 13288 0 13790 10874 26881 66913 66126 680 0 107 9851 214 5206 6428 2431 5865 0 0 549 432 0 1635 0 763 239273
"196104" 240701 46445 194256 240701 71944 46445 25499 14096 0 14002 11035 28722 67221 66578 536 0 107 9906 220 5358 6134 2425 5800 0 0 688 426 0 1419 0 1305 243170
"196201" 241030 46602 194428 241030 73081 46602 26479 14217 0 13976 11023 28579 65231 64440 682 0 109 10506 225 5275 6307 2421 6025 0 0 652 418 0 1952 0 1142 243878
"196202" 240747 46664 194083 240747 73108 46664 26444 13061 0 14220 11468 29413 65381 64443 827 0 111 10207 229 5214 6279 2459 6075 0 0 511 406 0 1594 0 1122 243729
"196203" 241789 46817 194972 241789 74836 46817 28019 11645 0 14581 12118 28802 65057 64250 693 0 114 10305 234 5276 6331 2524 6125 0 0 789 398 0 1622 0 1146 244220
