"DATES" "FL313161505.Q" "FL313161400.Q" "FL313161105.Q" "FL893061505.Q" "FL153061505.Q" "FL313161400.Q" "FL153061105.Q" "FL103061103.Q" "FL113061003.Q" "FL213061105.Q" "FL263061105.Q" "FL713061100.Q" "FL763061105.Q" "FL723061100.Q" "FL753061103.Q" "FL733061103.Q" "FL743061103.Q" "FL443061105.Q" "FL473061105.Q" "FL513061103.Q" "FL543061103.Q" "FL573061105.Q" "FL223061103.Q" "FL343061105.Q" "FL633061100.Q" "FL653061105.Q" "FL553061103.Q" "FL563061103.Q" "FL403061105.Q" "FL673061103.Q" "FL663061105.Q" "FL314104005.Q"
"198202" 858032 67442 790590 858032 177719 67442 110277 12805 2945 125498 135478 127005 114672 110838 2841 152 841 13548 1203 13495 10952 62040 32417 0 22402 3895 578 0 2102 0 -722 861900
"198203" 915442 67589 847853 915442 195440 67589 127851 15150 3014 122790 141723 130591 117268 113417 2798 184 869 13248 1086 14125 12705 67904 35849 0 38221 4594 592 0 6133 0 -4991 919238
"198204" 978111 68346 909765 978111 185125 68346 116779 21011 3244 126269 150687 135607 134040 129167 3757 216 900 16609 1276 14712 16529 75171 36898 0 42646 5087 599 0 3402 0 9199 981784
"198301" 1033871 68821 965050 1033871 192879 68821 124058 24404 3987 132181 156612 136651 152143 146332 4645 220 946 21161 1543 16069 19715 79729 39812 0 44873 4611 602 0 3407 0 3492 1037565
"198302" 1080727 69697 1011030 1080727 209601 69697 139904 26870 4711 140253 161723 140511 167355 160701 5424 222 1008 24819 2913 16781 22088 83051 43672 0 28279 5170 603 0 3198 0 -871 1084346
"198303" 1127468 70565 1056903 1127468 227834 70565 157269 24105 5386 142847 162120 146171 173292 166903 5034 288 1067 29016 3213 18173 24513 89104 46278 0 22074 4395 600 0 3864 0 4483 1131049
"198304" 1163441 71485 1091956 1163441 230677 71485 159192 30144 6023 149226 163562 150558 179509 172660 5390 359 1100 31915 2684 19424 28636 93332 48910 0 22839 4059 592 0 1824 0 -473 1166993
"198401" 1212520 72249 1140271 1212520 247092 72249 174843 38101 6139 153515 165238 150814 188122 181496 5183 328 1115 34648 3294 20686 30886 95026 54561 0 19251 4762 575 0 2412 0 -2602 1215998
"198402" 1243186 72937 1170249 1243186 273395 72937 200458 37282 6155 159585 171303 152859 180647 174161 5068 310 1108 37076 3813 22002 31752 92126 59177 0 14787 5352 545 0 3048 0 -7718 1246628
"198403" 1296544 73698 1222846 1296544 290670 73698 216972 33740 5920 161924 176035 155018 180075 173613 4996 368 1098 39631 4105 24137 35035 98766 64331 0 13527 6209 519 0 6411 0 491 1299951
"198404" 1360810 74515 1286295 1360810 277732 74515 203217 36467 5481 165994 200289 159223 181512 175172 4812 428 1100 39720 3711 25955 41204 108409 67914 0 25231 6609 512 0 2707 0 12140 1364195
"198501" 1403360 75443 1327917 1403360 298516 75443 223073 30156 5468 176228 195702 160983 192649 186253 4807 472 1117 41135 4925 26749 42665 112160 73822 0 25935 12016 518 0 5333 0 -1600 1406706
"198502" 1449237 76697 1372540 1449237 282562 76697 205865 42730 5488 190544 209640 169110 195594 189942 3992 522 1138 34300 5642 27024 45019 119446 77190 0 24576 16628 531 0 6720 0 -3507 1452554
"198503" 1496064 78248 1417816 1496064 298559 78248 220311 35913 5588 196949 216962 169702 196161 189922 4424 648 1167 37372 5950 30004 46615 122980 79910 0 22520 23199 559 0 10557 0 -3436 1499362
"198504" 1586595 79777 1506818 1586595 282236 79777 202459 41102 5754 258670 226392 177798 189387 182628 4773 777 1209 34515 6153 32338 51700 128559 85383 0 24405 38816 612 0 6786 0 -4011 1589884
"198601" 1624193 81423 1542770 1624193 254918 81423 173495 33539 9425 263205 235450 176620 194260 188100 4148 704 1308 32456 6336 35771 53627 131511 95028 0 29048 47685 689 0 10035 0 14590 1627417
"198602" 1675490 83821 1591669 1675490 235648 83821 151827 40715 10008 292695 253810 183849 194448 186851 5497 643 1457 35342 7198 38585 52798 126866 98507 0 22189 56230 789 0 13315 0 12498 1678707
"198603" 1732564 87769 1644795 1732564 257829 87769 170060 38961 10530 292579 264227 184437 194805 186234 6298 670 1603 38430 7757 42240 55032 125191 104604 0 23767 66261 906 0 13844 0 11164 1736163
"198604" 1802221 93332 1708889 1802221 270915 93332 177583 40325 10771 315727 269388 197625 197711 188508 6876 633 1694 37996 7959 46127 59033 112820 115329 0 27804 71245 1038 0 16288 0 4120 1805865
"198701" 1829312 94672 1734640 1829312 253412 94672 158740 37705 10720 344782 278755 196409 193561 182953 8194 690 1724 43907 9208 48663 61253 112993 122815 0 18302 83090 1285 0 18578 0 -6126 1833933
"198702" 1861775 96803 1764972 1861775 270274 96803 173471 32734 10365 348605 287408 210248 192520 182929 7169 730 1692 46004 10014 50679 57641 107282 129503 390 20009 89068 1061 0 15114 0 -17144 1865927
"198703" 1884211 98533 1785678 1884211 285732 98533 187199 31671 9971 352819 285414 211941 198422 188533 7495 730 1664 47416 10970 52561 57246 110239 135414 727 15071 87114 1034 0 17056 0 -26607 1888134
"198704" 1944599 101103 1843496 1944599 308191 101103 207088 31790 9799 357626 296301 218906 194393 185449 6493 746 1705 47549 11186 54693 57078 113027 138866 1086 14148 84051 1604 0 20990 0 -16685 1949764
"198801" 1985917 104023 1881894 1985917 307672 104023 203649 31319 9796 367029 329942 217496 195642 185951 7502 667 1522 41642 12458 56939 57077 103579 143570 1434 14691 84598 2277 0 24459 0 -15703 1990959
"198802" 2003476 106167 1897309 2003476 338854 106167 232687 26880 9897 363439 341268 222450 190801 181107 7390 658 1646 39736 13487 59163 58298 104513 142940 1844 12970 84534 3547 0 20108 0 -31253 2010450
"198803" 2038056 107781 1930275 2038056 365350 107781 257569 26761 10079 355855 340942 223573 191472 181686 7328 673 1785 37209 13874 61526 58515 114263 148740 2265 10711 82508 4418 0 21301 0 -31306 2050252
"198804" 2082291 109556 1972735 2082291 393500 109556 283944 27933 10318 364256 353839 233662 185276 176007 6610 761 1898 34856 14440 64187 58564 112723 150659 2726 11416 80271 4800 0 26261 0 -47396 2104885
"198901" 2120293 112167 2008126 2120293 410285 112167 298118 37140 10655 355914 368034 228643 192397 183452 6196 755 1994 32564 13994 66858 57021 104469 151057 3210 12584 78355 5500 0 27272 0 -35659 2142592
"198902" 2129014 114020 2014994 2129014 426148 114020 312128 39716 11129 358584 360797 231767 178393 169773 5790 747 2083 26467 13327 69746 55028 109652 151664 3742 10954 77392 5989 0 7264 0 -8745 2152595
"198903" 2164969 115706 2049263 2164969 430215 115706 314509 44739 11605 359807 386117 221051 166936 158237 5816 716 2167 25674 12822 72603 52741 115254 153198 4263 12499 79444 6282 0 14714 0 -4995 2190324
"198904" 2227025 117725 2109300 2227025 394897 117725 277172 51432 11946 369087 423742 226775 165284 155746 6432 858 2248 26792 12115 75176 52917 122443 152396 4852 14621 81425 6629 0 12990 0 21506 2251235
"199001" 2278412 119881 2158531 2278412 417115 119881 297234 44125 12183 401112 415674 217899 178809 166628 8933 925 2323 28782 11243 77401 59182 111156 162764 5413 30971 82411 6651 0 18507 0 -2986 2310016
"199002" 2314409 121866 2192543 2314409 424536 121866 302670 45692 12347 404999 421266 231383 177292 164908 9240 753 2391 26619 10289 79209 58980 116570 168301 6024 27641 83963 6561 0 23942 0 -11205 2347353
"199003" 2377818 123909 2253909 2377818 469746 123909 345837 36616 12452 407261 434145 234373 180016 166350 10468 741 2457 25440 9337 81120 59934 119786 170147 6703 33527 83919 6556 0 40079 0 -33339 2410431
"199004" 2465769 126213 2339556 2465769 503983 126213 377770 37649 12512 410555 438363 235090 172064 157427 11424 687 2526 25879 8546 83649 59151 122386 168235 7302 44864 87108 6830 0 34326 0 7277 2498129
"199101" 2522435 129706 2392729 2522435 509421 129706 379715 34502 12497 415619 443257 240965 187545 169510 14770 686 2579 25754 9191 88802 63000 114826 177144 8041 64880 88670 7408 0 37728 0 -6815 2548796
"199102" 2567118 133178 2433940 2567118 522036 133178 388858 34726 12373 416835 453173 247484 196246 180366 12523 761 2596 25652 9575 96038 65104 114273 178753 8503 54504 91001 8307 0 38214 0 -5679 2591928
"199103" 2669630 135368 2534262 2669630 528038 135368 392670 42221 12254 430235 457598 258554 217546 198960 14412 1523 2651 23997 10127 103184 72274 117013 163948 9180 63654 98649 9252 0 43002 0 8904 2687242
"199104" 2757798 138122 2619676 2757798 535475 138122 397353 43426 12249 435538 476289 266486 232457 207769 20843 1028 2817 24962 14075 108064 77751 117119 165494 9841 78282 103900 9967 0 40754 0 5669 2776364
"199201" 2843971 142020 2701951 2843971 558043 142020 416023 42011 12356 460017 491891 265796 255882 230198 18662 3928 3094 28242 16400 112270 80317 106537 171904 10417 83479 99750 10490 0 53606 0 -15437 2859746
"199202" 2907447 145359 2762088 2907447 565188 145359 419829 57611 12560 435563 513373 276883 266954 236000 23598 3874 3482 29738 18431 114895 82362 105737 177959 11131 78456 104268 10855 0 51144 0 -5661 2923317
"199203" 2980723 150327 2830396 2980723 583763 150327 433436 52292 13040 429310 517962 279712 287474 252733 25342 5492 3907 29755 19850 113244 86254 108252 197677 11904 78684 105990 11195 0 54792 0 -427 2998850
"199204" 3061551 157267 2904284 3061551 627348 157267 470081 60589 12976 418175 520339 295011 294375 254345 29591 6144 4295 33980 19938 113628 88778 108662 203534 12667 78434 110430 11642 0 58702 0 -7657 3080345
"199301" 3120602 163628 2956974 3120602 651148 163628 487520 42943 13288 433959 534782 298461 310164 268172 31813 5489 4690 31203 21213 116805 96075 99047 204950 13349 76663 113082 12160 0 56305 0 -4995 3140186
"199302" 3180635 166536 3014099 3180635 652525 166536 485989 47830 13386 441228 540158 313143 307206 264531 31673 5865 5137 31215 22529 121038 101624 97820 211378 14083 75403 119351 12678 0 59358 0 -1318 3201239
"199303" 3222623 169089 3053534 3222623 629318 169089 460229 53078 13453 433979 562514 319357 313867 270811 31927 5597 5532 30258 22018 125475 108703 110628 221833 14850 73499 130917 13196 0 65354 0 -19674 3247284
"199304" 3309878 171925 3137953 3309878 673232 171925 501307 48839 13600 447775 594551 332015 322191 274986 36113 5319 5773 28241 22550 129266 109980 104312 217450 15433 79443 134006 13714 0 51593 0 -28313 3336469
"199401" 3361433 175000 3186433 3361433 701800 175000 526800 57537 11124 443409 605360 337260 344430 293981 39220 5829 5400 29342 23652 131274 106761 104041 224335 16083 67929 131384 13476 0 57066 0 -44830 3387698
"199402" 3367981 177135 3190846 3367981 738758 177135 561623 53152 15507 425212 604184 347644 330132 280543 39562 4827 5200 29514 24209 133312 109342 112453 220641 16940 58571 132815 13238 0 55481 0 -53124 3395425
"199403" 3404123 178623 3225500 3404123 781456 178623 602833 60794 16126 398154 626320 353010 313330 266152 37341 4837 5000 28189 22495 135349 112854 118448 217370 17998 58655 129893 13000 0 46405 0 -45723 3432291
"199404" 3465570 179923 3285647 3465570 870974 179923 691051 50820 18330 370011 632571 364519 290407 248028 32656 4578 5145 27121 22063 137375 107084 121147 215554 18977 66136 130461 12762 0 51942 0 -42684 3492319
"199501" 3531482 181366 3350116 3531482 878270 181366 696904 41270 20338 350471 670713 363707 308059 245515 53242 3949 5353 23678 21178 137717 111163 121877 224973 20216 66368 131764 12335 0 56621 0 -29236 3557924
"199502" 3556655 182559 3374096 3556655 868071 182559 685512 47962 21244 313657 724385 372641 298357 226912 59959 5632 5854 21378 20210 138222 111774 121944 217221 20933 57512 133027 11908 0 56338 0 -129 3583499
"199503" 3576467 183527 3392940 3576467 865955 183527 682428 43647 22701 304289 780277 367669 289373 221465 58937 3039 5932 21530 19884 138676 111837 120595 211282 21662 62936 137052 11481 0 53727 0 -8106 3603413
"199504" 3608518 184994 3423524 3608518 828013 184994 643019 57098 23626 289791 816947 378197 278673 207604 62276 3404 5389 18414 18308 139066 108102 120770 208194 22197 69963 143835 11054 0 57996 0 18274 3636747
"199601" 3689566 185839 3503727 3689566 832080 185839 646241 57356 25057 283605 888669 377056 284028 208405 67778 2793 5052 18759 19305 139488 105818 121969 213528 22686 85725 143944 11083 0 54195 0 5215 3717215
"199602" 3665547 186496 3479051 3665547 827804 186496 641308 63106 27092 283255 910263 383914 280203 200135 72038 2770 5260 19462 19060 133899 100672 121886 221067 23044 80622 138653 11112 0 34513 0 -14080 3693757
"199603" 3705583 186784 3518799 3705583 850992 186784 664208 52144 27775 263745 971905 383910 274983 195155 71857 3314 4657 17709 18243 130504 101802 117763 213439 23829 83619 131611 11141 0 34454 0 -3985 3733024
"199604" 3755076 187007 3568069 3755076 888873 187007 701866 47095 28550 256993 1040330 390907 261821 172952 80714 4025 4130 17380 17416 126166 93226 115969 212791 24421 90220 125824 11170 0 18760 0 -12836 3781691
"199701" 3803456 186503 3616953 3803456 908530 186503 722027 54405 30114 248126 1091734 395076 282454 180147 93987 3580 4740 16999 17812 94300 93218 116828 211138 24835 82165 128603 10820 0 19057 0 -22758 3829714
"199702" 3734198 186338 3547860 3734198 848127 186338 661789 40178 30723 243332 1113289 410914 265923 172417 85764 2902 4840 16339 17935 94749 93841 116746 214907 25327 74792 131150 10470 0 13465 0 -28009 3760517
"199703" 3745046 186167 3558879 3745046 820661 186167 634494 36848 31574 235205 1157026 411822 261780 163249 90508 2687 5336 15269 15747 95735 96737 117374 223531 25599 75018 136134 10120 0 21687 0 -42821 3771135
"199704" 3778273 186496 3591777 3778273 797847 186496 611351 26846 32235 239318 1153213 430736 270072 166811 95073 3971 4217 14569 15611 96414 85454 117950 218997 26141 86182 136383 9770 0 25879 0 -5344 3804799
"199801" 3804776 186179 3618597 3804776 804292 186179 618113 21850 34170 238140 1158014 433182 278474 171974 99679 2256 4565 14842 14980 92355 82542 114751 212146 26520 83298 141816 9515 0 11960 0 31929 3830694
"199802" 3723334 185967 3537367 3723334 784864 185967 598897 19024 35854 258470 1159523 439773 263784 153964 103805 1675 4340 12615 14477 87195 78986 112153 213210 26807 81333 140193 9260 0 15089 0 -29276 3748892
"199803" 3694644 185888 3508756 3694644 763416 185888 577528 20292 37039 271846 1121618 446047 219824 128760 86352 968 3744 11121 13540 82459 75227 108103 207823 27414 82268 140475 9005 0 19024 0 38103 3720099
"199804" 3723674 186627 3537047 3723674 733064 186627 546437 23615 37974 280757 1166244 452141 214101 124838 84795 913 3555 10170 13139 76766 71341 104771 212576 28475 107863 140952 8750 0 25158 0 15817 3752175
"199901" 3731513 186532 3544981 3731513 702194 186532 515662 22992 37275 288434 1153717 465686 224698 134584 85984 1143 2987 10604 12123 73680 70280 106778 211463 28677 98858 137281 8816 0 29837 0 48120 3759631
"199902" 3623358 186482 3436876 3623358 667316 186482 480834 21103 36826 298601 1135597 484866 217475 130155 83161 1154 3005 10631 12505 70529 67986 113326 213790 29582 83769 135562 8805 0 27339 0 -12250 3651626
"199903" 3605020 186220 3418800 3605020 647502 186220 461282 21191 36878 299230 1152245 489037 219976 123959 92495 881 2641 10447 10811 67873 65346 120442 204790 30427 86821 126893 8766 0 28188 0 -21843 3633296
"199904" 3652683 186449 3466234 3652683 810159 186449 623710 19420 37179 304521 1058365 477963 228922 122838 94503 8773 2808 10143 9613 64860 62751 121539 198824 31424 103822 117289 7566 0 30943 6 -42626 3680967
"200001" 3625686 185263 3440423 3625686 747729 185263 562466 21881 37675 306266 1059370 501708 218421 125262 89739 922 2498 9945 9368 63527 61741 118874 196900 31311 99097 115617 7604 0 25151 10 -6509 3653454
"200002" 3435675 184634 3251041 3435675 636863 184634 452229 23978 37921 309254 1032891 504950 204187 116397 84355 1069 2366 9117 8849 61267 60490 117152 194886 31893 78478 119330 7564 0 20659 84 -24138 3463902
"200003" 3382498 184339 3198159 3382498 574533 184339 390194 23141 38917 307862 1008879 511413 203129 108600 91203 1100 2226 8779 8604 59629 59466 115435 185471 32514 78097 122106 7555 0 29023 98 7847 3410119
"200004" 3357764 184753 3173011 3357764 579071 184753 394318 18105 40162 309989 1021426 511703 184541 87871 94029 835 1806 8734 8218 57807 58108 111627 179057 33420 91563 127442 6653 0 13262 128 -3252 3385090
"200101" 3381989 184753 3197236 3381989 533253 184753 348500 16108 41329 316915 1019783 523862 172003 72165 97915 765 1158 7995 7980 56058 57217 118107 177342 35316 97379 122172 5721 0 11891 427 61131 3408756
"200102" 3224266 185455 3038811 3224266 450666 185455 265211 16063 42246 324800 988301 535110 174028 69870 102192 929 1037 7472 6559 55887 56180 111675 183128 36863 94553 120588 5823 0 12281 494 1549 3251314
"200103" 3292988 186403 3106585 3292988 451326 186403 264923 16864 42412 321165 995064 534136 176120 65267 108594 844 1415 6586 6441 56312 55205 111437 166813 38460 114740 113585 5820 0 12581 512 67409 3319948
"200104" 3352690 190329 3162361 3352690 434048 190329 243719 16852 42829 328438 1095208 551675 162654 56457 103830 1200 1167 11384 7420 57472 57966 105240 155099 40581 137544 117600 6716 0 13613 535 9816 3379467
"200201" 3403908 191902 3212006 3403908 415259 191902 223357 20664 42831 327641 1109955 575356 165945 68616 94055 1275 1999 14080 7587 59702 65867 110571 163285 42107 139527 121624 4940 0 18049 581 -1663 3430236
"200202" 3424548 192710 3231838 3424548 352248 192710 159538 25139 42833 333649 1148159 590683 183786 75227 105714 1731 1114 12728 8183 62384 73664 108532 153870 43592 125313 123761 4755 0 20635 709 9925 3451323
"200203" 3513649 193252 3320397 3513649 334008 193252 140756 28351 42835 338576 1211343 604191 192046 74606 114976 1407 1057 10306 6936 66804 82605 107369 156284 47160 121684 130362 4752 2099 25025 864 49 3540819
"200204" 3609754 194872 3414882 3609754 263709 194872 68837 31354 42837 354673 1285498 629406 205841 86364 116699 1288 1490 9193 7525 71970 89335 103609 158882 50166 142239 134846 3937 1977 25729 940 -3912 3637029
"200301" 3673689 196870 3476819 3673689 294753 196870 97883 34525 43351 349974 1322878 641464 136790 89337 44507 1325 1621 9199 7454 73771 89716 111572 162134 54223 149686 142911 4018 1527 25256 1006 17481 3700569
"200302" 3779890 199120 3580770 3779890 374157 199120 175037 36575 43866 347857 1415263 652118 126776 77949 44497 2358 1972 9953 8357 78143 87821 115443 161290 54800 145914 152244 4135 1267 25477 1642 -63208 3806899
"200303" 3887460 201501 3685959 3887460 348150 201501 146649 35355 44380 357675 1484336 656116 126361 81166 39872 2986 2337 11244 9179 81889 86569 112144 155486 55574 135559 147088 4414 1761 23967 2071 8142 3914483
"200304" 4008203 203801 3804402 4008203 407994 203801 204193 33690 44895 364220 1513524 666665 132067 93453 33412 2722 2480 12238 8764 86245 80195 116880 148631 55267 132058 144195 4556 2068 13462 2811 37778 4033069
"200401" 4143790 204405 3939385 4143790 395734 204405 191329 34925 46220 374113 1658086 674084 144120 102638 36540 2146 2796 9926 8731 90437 81940 114022 143553 55795 125958 149021 5842 2967 13049 3350 11917 4168922
"200402" 4185391 204570 3980821 4185391 409737 204570 205167 34008 47545 381236 1785765 687391 140501 100910 33488 2403 3700 9150 8986 92775 81813 115426 134943 57872 102800 149416 6469 3710 13724 4195 -82071 4209612
"200403" 4268734 204140 4064594 4268734 370182 204140 166042 31880 48870 381659 1834956 700341 122061 82909 34385 1550 3217 7810 8579 100428 82482 113595 140837 60419 100561 147741 6682 4077 13024 5321 -12771 4292917
"200404" 4370722 204395 4166327 4370722 492591 204395 288196 34014 50195 389133 1813553 717819 107765 74235 27725 1969 3836 8377 8857 106551 81910 113004 151016 60650 98207 149034 6842 4881 12860 8035 -44572 4394983
"200501" 4535574 204188 4331386 4535574 462362 204188 258174 49230 51689 411993 1908080 717326 125865 88082 32173 1576 4034 7582 8337 108046 85283 114403 157982 62862 102528 151523 7026 7214 13033 10096 -26886 4559650
"200502" 4493119 204167 4288952 4493119 410086 204167 205919 52929 53184 443963 1918847 724722 109487 76270 27352 2368 3497 8992 8442 106427 88573 115424 171253 65564 88845 152499 7389 7738 12569 15299 -69113 4516849
"200503" 4565983 203585 4362398 4565983 418035 203585 214450 48484 54679 467593 1962575 736360 108729 75472 27529 2393 3335 8672 7917 108096 92630 116715 164794 67526 85552 152061 7129 8866 12814 20941 -84185 4589619
"200504" 4678033 205103 4472930 4678033 464287 205103 259184 52117 56174 481441 1984391 744215 97048 64157 27843 1113 3935 12339 7722 106870 95449 116539 153821 68400 88573 155658 7118 9701 13069 27694 -64593 4701868
"200601" 4834414 205917 4628497 4834414 581680 205917 375763 50010 56213 486079 2024045 758542 96878 66144 24043 2657 4034 8057 8032 105733 94613 116779 152981 69874 84751 157271 6706 10045 13435 32479 -79789 4857996
"200602" 4759583 205169 4554414 4759583 545620 205169 340451 44880 56252 499410 2026412 766364 101430 68086 26992 2626 3726 10287 7748 103309 92785 117655 150911 74426 79598 157512 7127 11813 13758 40874 -148588 4783222
"200603" 4803196 203599 4599597 4803196 499531 203599 295932 44794 56291 502085 2065460 768924 97790 62341 29877 2274 3298 7955 7833 105710 91120 125787 154712 76155 71469 157126 7142 12089 13971 47698 -110446 4826581
"200604" 4861747 202376 4659371 4861747 394104 202376 191728 45463 56329 516947 2126178 778915 94925 61938 26795 2505 3687 12473 7431 109985 87878 130808 156208 76730 82652 160668 7358 13072 14247 56415 -67039 4885256
"200701" 5014264 200278 4813986 5014264 396168 200278 195890 39167 57082 534997 2208924 780901 105060 69915 31250 748 3147 7709 6998 101644 83748 141367 158348 80368 91122 166176 7154 13882 14526 60407 -41484 5037444
"200702" 4904015 198591 4705424 4904015 348465 198591 149874 33119 57834 580304 2196987 790522 95730 68483 23261 825 3161 7436 7254 89303 79578 151258 159349 81278 89569 171492 6640 16059 14837 66336 -139335 4927171
"200703" 5009960 197070 4812890 5009960 411047 197070 213977 38968 58587 538549 2208258 779632 103077 70030 30131 705 2211 8036 8555 79839 75255 161216 138941 85447 127544 172320 6472 17157 15050 71348 -95338 5032913
"200704" 5099199 196395 4902804 5099199 260386 196395 63991 38319 59339 537632 2376442 740611 112331 73020 30403 7074 1834 7036 10418 71278 70586 169513 141626 88047 178149 179178 5617 19650 15547 77458 -59964 5122338
"200801" 5299107 195325 5103782 5299107 328242 195325 132917 27239 60806 531000 2496423 591234 109687 64057 37893 6332 1405 6045 9561 71973 80099 173927 142048 96595 296347 182674 5386 21028 15716 76751 -23674 5322565
"200802" 5250624 194903 5055721 5250624 382608 194903 187705 28797 61767 519868 2591597 478841 97522 49450 35019 11846 1207 4959 10231 69502 89896 177854 141841 98869 283722 188309 5180 22596 16051 73911 -93297 5274145
"200803" 5777537 194153 5583384 5777537 412620 194153 218467 25505 62839 503211 2806977 476627 117153 71496 30815 13650 1192 2972 9903 66004 97398 186604 143933 105912 460003 191336 4723 26577 16422 69991 -9173 5800635
"200804" 6338184 193975 6144209 6338184 243337 193975 49362 30455 63193 485511 3251437 475921 93180 53399 35496 3095 1190 2963 8847 65637 105724 184935 146413 112295 577683 187905 3185 27043 16767 65129 190624 6361530
"200901" 6804397 193876 6610521 6804397 474303 193876 280427 38511 62284 516856 3461330 492323 117145 70996 44742 560 847 3648 8283 71369 119622 214258 150233 116672 519652 193043 3270 31648 17567 61438 130942 6826945
"200902" 7143060 193492 6949568 7143060 468866 193492 275374 44151 60876 514378 3581222 656466 123659 82668 33190 7033 768 4617 12442 75778 124250 236535 159894 116876 489739 202241 3673 35575 19261 56624 155937 7165334
"200903" 7520786 192352 7328434 7520786 609901 192352 417549 44337 59179 504356 3695694 769160 180277 118972 56446 4170 689 6017 13028 81491 128724 280700 167270 117438 426420 214622 3895 38625 21500 52427 105725 7543988
"200904" 7781929 191199 7590730 7781929 764428 191199 573229 45952 57599 505889 3697244 776588 185439 117701 61423 5819 496 6772 14158 88547 133467 310721 174500 119124 406380 255499 4395 41738 21853 48659 122977 7805424
"201001" 8259584 190194 8069390 8259584 907639 190194 717445 52313 56112 506369 3889990 776705 251342 181592 63053 5793 904 7145 15877 88786 140988 341624 179662 120581 374736 269921 5023 46327 60107 44717 123620 8283165
"201002" 8603804 189565 8414239 8603804 1080655 189565 891090 52540 54727 511796 4013565 776989 246180 181169 58712 5015 1284 6697 17245 89465 150539 407377 184486 124509 351224 278341 4891 51873 72179 41434 87092 8627654
"201003" 8993793 188698 8805095 8993793 1083203 188698 894505 51794 53756 508724 4258739 811669 311946 220209 73408 17211 1118 6015 19557 92638 161841 459305 187846 128218 310270 292665 5006 51681 69519 38260 91141 9017764
