"DATES" "FL893193005.Q" "FL103193005.Q" "FL113193003.Q" "FL313193013.Q" "FL263193005.Q" "FL713193005.Q" "FL763193005.Q" "FL723193005.Q" "FL753193005.Q" "FL733193005.Q" "FL743193005.Q" "FL443193005.Q" "FL473193005.Q" "FL543193005.Q" "FL403193005.Q" "FL613193005.Q" "FL643193005.Q" "FL663193005.Q" "FL503193005.Q" "FL893093005.Q" "FL103093005.Q" "FL113093005.Q" "FL213093005.Q" "FL313093003.Q" "FL263093005.Q" "FL713093005.Q" "FL763093005.Q" "FL723093005.Q" "FL753093005.Q" "FL733093005.Q" "FL743093005.Q" "FL443093005.Q" "FL473093005.Q" "FL543093005.Q" "FL573093005.Q" "FL223093003.Q" "FL653093003.Q" "FL633093005.Q" "FL403093005.Q" "FL613093005.Q" "FL643093005.Q" "FL663093005.Q" "FL903090005.Q"
"195802" 20757 3501 0 308 3000 526 3084 3406 -308 0 -14 2344 511 2811 474 3229 0 786 183 12451 1021 0 0 0 3931 259 2142 1382 393 0 367 1855 -89 1043 1335 0 0 0 314 869 0 -229 8306
"195803" 21796 3903 0 335 2768 135 3300 3636 -322 0 -14 2954 544 2862 448 3600 0 776 171 12041 1016 0 0 0 3846 244 1748 913 465 0 370 1813 -91 1061 1345 0 0 0 318 978 0 -237 9755
"195804" 21918 3950 0 317 2609 236 3470 3843 -358 0 -15 2468 577 2767 477 4155 0 776 116 12234 805 0 0 0 3789 240 1897 1073 448 0 376 1992 -96 1083 1366 0 0 0 320 1083 0 -245 9684
"195901" 22762 4036 0 317 2599 363 3577 3944 -352 0 -15 3133 604 2652 612 3955 0 765 149 13115 1268 0 0 0 3846 245 2045 1091 591 0 363 2048 -99 1112 1410 0 0 0 308 1186 0 -254 9647
"195902" 22629 4019 0 317 2541 131 3913 4275 -348 0 -14 3207 630 2601 531 3825 0 764 150 13209 1483 0 0 0 2998 279 2136 999 791 0 346 2643 -103 1149 1455 0 0 0 316 1116 0 -263 9420
"195903" 23858 4101 0 317 2719 173 4150 4555 -391 0 -14 3721 657 2494 481 4105 0 754 186 14202 1512 0 0 0 3225 319 2819 1561 953 0 305 2447 -106 1187 1518 0 0 0 342 1211 0 -272 9656
"195904" 23808 4188 0 317 2781 498 3818 4270 -437 0 -15 2871 686 2554 559 4628 0 756 152 13060 1041 0 0 0 3264 363 2052 1288 440 0 324 2299 -111 1220 1570 0 0 0 363 1280 0 -281 10748
"196001" 23080 4166 0 317 2861 127 3626 4126 -483 0 -17 3422 719 2733 575 3608 0 746 180 14811 2202 0 0 0 3647 365 2306 1396 580 0 330 2154 -114 1248 1652 0 0 0 343 1299 0 -291 8269
"196002" 22929 4095 0 317 2880 626 3031 3453 -403 0 -19 3220 750 2870 563 3642 0 746 189 14681 1519 0 0 0 3757 535 2311 1279 696 0 336 2430 -118 1270 1725 0 0 0 360 1193 0 -301 8248
"196003" 23120 4155 0 317 3127 129 2588 3148 -540 0 -20 3819 776 2902 591 3761 0 747 208 14466 1879 0 0 0 3434 384 2294 1322 629 0 343 2135 -120 1294 1818 0 0 0 392 1267 0 -311 8654
"196004" 21457 4063 0 317 2788 319 2024 2676 -630 0 -22 2982 798 2927 565 3751 0 746 177 13450 1675 0 0 0 2838 317 2219 1280 582 0 357 2102 -126 1327 1863 0 0 0 366 1191 0 -322 8007
"196101" 23352 4198 0 317 3157 162 2487 3188 -677 0 -24 3827 824 3000 651 3754 0 735 240 12682 1883 0 0 0 2324 321 1688 1128 192 0 368 2111 -129 1371 1895 0 0 0 370 1181 0 -333 10670
"196102" 22785 4133 0 317 2962 83 2338 3080 -717 0 -25 3529 849 3197 545 3897 0 733 202 14781 1867 0 0 0 2528 371 2519 1877 258 0 384 2669 -133 1427 1942 0 0 0 380 1246 0 -35 8004
"196103" 24113 4355 0 317 2764 -23 2435 3228 -767 0 -26 4400 872 3280 529 4194 0 734 256 14003 1825 0 0 0 2335 354 1980 1351 229 0 400 2646 -136 1483 1985 0 0 0 384 1504 0 -357 10110
"196104" 24221 4467 0 317 2986 160 2466 3374 -882 0 -26 3751 890 3240 591 4443 0 736 174 14742 1782 0 0 0 2719 348 1887 1292 177 0 418 2806 -142 1525 2021 0 0 0 387 1778 0 -369 9479
"196201" 25561 4598 0 221 2831 94 2943 3875 -904 0 -28 4818 903 3135 594 4382 0 726 316 15008 2547 0 0 0 2342 379 1609 1009 174 0 426 2889 -146 1558 2135 0 0 0 386 1691 0 -382 10553
"196202" 25800 4825 0 214 2635 134 2792 3685 -863 0 -30 4518 915 3205 645 4936 0 727 254 16693 2455 0 0 0 2331 365 2146 1553 163 0 430 3697 -149 1580 2351 0 0 0 384 1928 0 -395 9107
"196203" 26361 4890 0 214 1924 120 2851 3681 -799 0 -31 5263 921 3260 552 5378 0 716 272 16620 2613 0 0 0 1996 398 1905 1309 160 0 436 3609 -152 1600 2480 0 0 0 404 2176 0 -409 9741
"196204" 25202 4920 0 214 1420 240 2388 3227 -808 0 -31 4442 923 3572 606 5472 0 716 289 16569 2199 0 0 0 1849 411 2304 1529 325 0 450 3635 -158 1628 2555 0 0 0 400 2169 0 -423 8633
"196301" 26575 5122 0 214 1183 7 3124 3911 -754 0 -33 5353 924 3493 680 5450 0 710 315 16832 2975 0 0 0 1810 394 1738 1077 200 0 461 3717 -162 1661 2611 0 0 0 382 2144 0 -438 9743
"196302" 27562 5202 0 179 971 20 3299 4089 -756 0 -34 5292 919 3750 653 6278 0 711 288 19078 3473 0 0 0 1841 376 2433 1787 174 0 472 4436 -166 1699 2632 0 0 0 394 2413 0 -453 8484
"196303" 29609 5500 0 179 259 -7 4254 5029 -741 0 -34 6243 914 3857 576 6842 0 706 286 19261 3835 0 0 0 1703 392 1989 1308 194 0 487 4371 -169 1738 2670 0 0 0 439 2762 0 -469 10348
"196304" 28838 5648 0 179 156 120 3682 4508 -792 0 -34 5439 906 3940 628 7128 0 706 306 19304 3204 0 0 0 1800 351 2159 1321 335 0 503 4591 -176 1774 2785 0 0 0 375 2926 0 -485 9534
"196401" 30047 5924 0 179 545 6 3843 4720 -838 0 -39 6190 891 3938 657 6888 0 696 290 19128 3915 0 0 0 1489 437 1481 611 344 0 526 4526 -180 1808 2972 0 0 0 376 2806 0 -502 10919
"196402" 31668 5985 0 120 1350 34 4064 5068 -959 0 -45 5923 876 4106 730 7449 0 697 334 20712 4267 0 0 0 1182 349 2033 1046 434 0 553 5043 -186 1840 3255 0 0 0 359 3089 0 -519 10956
"196403" 33641 6306 0 120 1815 80 4377 5541 -1118 0 -46 6617 862 4128 638 7748 0 688 262 21136 4395 0 0 0 956 458 2257 1238 441 0 578 4754 -191 1872 3551 0 0 0 394 3227 0 -537 12505
"196404" 33387 6269 0 120 2097 804 3893 5290 -1348 0 -49 5649 847 4205 695 7841 0 686 281 21298 3970 0 0 0 1223 359 2465 1283 581 0 601 4727 -199 1909 3781 0 0 0 387 3232 0 -556 12089
"196501" 35280 6626 0 121 1831 521 4788 6308 -1468 0 -52 6470 835 4305 759 7962 0 676 386 22876 4889 0 0 0 1318 464 2833 1344 884 0 605 4594 -203 1951 3955 0 0 0 381 3269 0 -575 12404
"196502" 35488 6863 0 246 1684 401 4868 6257 -1334 0 -55 6355 823 4526 719 7924 0 675 404 24292 5261 0 0 0 925 412 3343 1554 1192 0 597 5199 -208 2000 4105 0 0 0 420 3430 0 -595 11196
"196503" 37303 7112 0 247 1616 301 5582 6658 -1019 0 -57 7142 810 4590 645 8155 0 666 437 24096 4985 0 0 0 1287 446 2707 1473 644 0 590 5063 -212 2048 4186 0 0 0 434 3768 0 -616 13207
"196504" 30113 7129 0 247 -4223 289 5438 6536 -1037 0 -61 6155 796 4642 844 7634 0 666 496 23027 4435 0 0 0 330 451 2994 1776 614 0 604 5123 -221 2092 4340 0 0 0 442 3678 0 -637 7086
"196601" 31163 7546 0 247 -4431 157 6245 7183 -876 0 -62 7185 787 4334 972 6973 0 655 493 24710 6507 0 0 0 471 609 2818 1559 636 0 623 4650 -225 1963 4551 0 0 0 441 3584 0 -659 6453
"196602" 30395 7394 0 91 -4556 237 6939 7848 -847 0 -62 6702 780 4704 775 6099 0 647 583 26283 6173 0 0 0 637 610 4332 2651 1029 0 652 4891 -230 1853 4820 0 0 0 393 3486 0 -682 4112
"196603" 31863 7698 0 356 -5011 172 7768 8694 -863 0 -63 7099 771 5099 774 5707 0 637 793 24293 5751 0 0 0 -213 690 3746 2088 974 0 684 4495 -232 1735 5132 0 0 0 486 3409 0 -706 7570
"196604" 28840 7621 0 656 -3870 386 5936 6923 -922 0 -65 5755 761 5032 752 4418 0 626 767 21289 3999 0 0 0 -931 650 3660 2187 757 0 716 4204 -240 1948 5355 0 0 0 351 3023 0 -730 7551
"196701" 29868 7869 0 632 -4367 190 7217 8373 -1090 0 -66 6692 759 4769 753 4001 0 621 732 21422 4388 0 0 0 -1313 733 2688 1648 299 0 741 4503 -244 2586 5550 0 0 0 296 2973 0 -738 8446
"196702" 30739 7949 0 839 -4773 304 7240 8405 -1098 0 -67 6957 757 5178 772 4105 0 611 800 24052 3857 0 0 0 -305 663 3498 2163 567 0 768 5290 -251 2552 5842 0 0 0 293 3360 0 -747 6687
"196703" 32361 8444 0 823 -5160 300 8061 9162 -1034 0 -67 8026 753 5458 764 3518 0 599 775 23860 4057 0 0 0 -838 848 2994 1897 305 0 792 5313 -255 2511 6090 0 0 0 419 3476 0 -755 8501
"196704" 26242 6914 0 1019 -7173 445 6727 7736 -942 0 -67 7210 749 5736 813 2394 0 586 822 24645 4171 0 0 0 -1114 671 3810 2811 187 0 812 5482 -263 2510 6360 0 0 0 392 3390 0 -764 1597
"196801" 33353 9049 0 1203 -7371 437 9697 10700 -937 0 -66 8224 742 5704 838 2884 0 570 1376 26591 5102 0 0 0 -850 790 4412 3210 358 0 844 5393 -269 2540 6655 0 0 0 385 3206 0 -773 6762
"196802" 32644 9243 0 1359 -7175 536 8123 9326 -1138 0 -65 8187 734 5877 945 3151 0 551 1113 28121 4759 0 0 0 -62 787 4558 3061 652 0 845 5897 -277 2591 6781 0 0 0 376 3492 0 -781 4523
"196803" 35496 10035 0 1199 -7101 479 8769 9971 -1137 0 -65 9022 727 5932 823 3905 0 535 1171 26342 3775 0 0 0 -691 818 4321 3708 -259 0 872 5573 -280 2656 6965 0 0 0 339 3656 0 -790 9154
"196804" 33536 10404 0 1215 -9678 780 10331 11790 -1393 0 -66 8030 721 6169 781 3234 0 527 1022 28878 4344 0 0 0 -1009 906 5997 4305 736 0 956 5461 -290 2734 7151 0 0 0 405 3978 0 -799 4658
"196901" 36766 11504 0 1172 -10324 425 11523 13962 -2729 385 -95 9240 713 6121 884 3607 0 521 1380 31686 5443 0 0 0 -569 843 6617 4105 984 390 1138 5319 -298 2855 7382 0 0 0 418 4485 0 -809 5080
"196902" 37845 12014 0 990 -10390 712 9824 12234 -2840 565 -135 9540 708 6389 903 5166 0 500 1489 35510 5470 0 0 0 361 776 7794 4992 731 633 1438 5745 -306 2979 7590 0 0 0 526 5393 0 -818 2335
"196903" 45473 12861 0 923 -11723 513 17122 19311 -2990 939 -138 10042 704 6390 1104 5365 0 481 1691 33904 5104 0 0 0 539 896 7260 4464 679 407 1710 4788 -310 3052 7807 0 0 0 613 4982 0 -827 11569
"196904" 36491 12978 0 917 -15243 1084 13523 14750 -1465 379 -141 8865 703 6542 1278 3802 0 457 1585 28645 4759 0 0 0 -3710 776 6439 3925 -41 749 1806 4897 -321 3168 7998 0 0 0 761 4715 0 -837 7846
"197001" 35826 1405 7623 317 -14756 950 14162 17859 -3722 170 -145 9521 706 6422 1476 5767 0 448 1785 32502 5338 0 0 0 -3077 930 8033 4197 607 1310 1919 4675 -330 3262 8227 0 0 0 833 5457 0 -846 3324
"197002" 33627 1410 7763 317 -14837 1106 12046 15481 -3404 118 -149 9904 711 6654 1558 5641 0 438 916 33694 6078 0 0 0 -4360 866 8816 4563 -21 2290 1984 5006 -341 3349 8631 0 0 0 920 5585 0 -856 -67
"197003" 37186 1366 8105 304 -14818 1063 13653 17482 -3845 170 -154 10950 717 6608 1643 5273 0 437 1885 32293 5319 0 0 0 -3662 997 7066 4738 -560 866 2022 5243 -346 3432 8715 0 0 0 830 5565 0 -866 4893
"197004" 30307 992 8581 304 -17818 1544 12023 13949 -3290 1522 -158 10534 723 6688 1799 3111 0 427 1399 30416 5238 0 0 0 -5532 866 5713 3293 -1407 1765 2062 5623 -360 3514 8853 0 0 0 1528 5848 0 -875 -109
"197101" 36353 1426 9335 314 -18414 1038 14267 17590 -4265 1109 -167 11086 710 6662 1699 6597 0 415 1218 38567 9948 1000 0 0 -5227 964 6308 4582 -812 652 1886 6075 -377 3638 8982 0 0 0 1485 6595 61 -885 -2214
"197102" 33339 1132 9739 311 -20124 987 10215 14153 -5276 1513 -175 12883 693 6913 1657 7434 0 403 1096 40583 9597 2000 0 0 -4958 990 4898 3554 -1085 706 1723 7633 -395 3786 9241 0 0 0 1636 7034 17 -896 -7244
"197103" 39609 1421 10424 311 -22108 785 15054 16582 -4728 3385 -185 13687 676 6981 2046 8923 0 382 1027 44756 11021 3000 0 0 -5850 971 6168 4170 -821 863 1956 8307 -405 3935 9472 0 0 0 1861 7078 104 -906 -5147
