"DATES" "FL893163005.Q" "FL103163003.Q" "FL263163003.Q" "FL793163005.Q" "FL763163005.Q" "FL443163053.Q" "FL673163005.Q" "FL613163003.Q" "FL643163003.Q" "FL663163003.Q" "FL503163005.Q" "FL893163005.Q" "FL153063005.Q" "FL213063003.Q" "FL313063763.Q" "FL263063005.Q" "FL763063005.Q" "FL443063005.Q" "FL473063003.Q" "FL513063003.Q" "FL543063005.Q" "FL573063005.Q" "FL223063005.Q" "FL343063005.Q" "FL633063003.Q" "FL653063005.Q" "FL553063003.Q" "FL563063003.Q" "FL403063005.Q" "FL613063003.Q" "FL643063003.Q" "FL663063005.Q" "FL503063005.Q"
"195201" 45869 40873 3438 1558 0 0 0 1558 0 0 0 45869 6134 0 0 330 2520 2302 0 902 28241 3684 746 0 0 287 340 0 0 0 0 383 0
"195202" 47470 42343 3487 1640 0 0 0 1640 0 0 0 47470 6355 0 0 336 2602 2435 0 987 28994 3931 797 0 0 303 352 0 0 0 0 378 0
"195203" 48486 43470 3404 1612 0 0 0 1612 0 0 0 48486 6130 0 0 349 2467 2509 0 926 29699 4223 923 0 0 312 364 0 0 0 0 584 0
"195204" 49605 44497 3426 1682 0 0 0 1682 0 0 0 49605 5997 0 0 359 2340 2549 0 967 30569 4548 1010 0 0 342 375 0 0 0 0 549 0
"195301" 50809 45257 3477 2075 0 0 0 2075 0 0 0 50809 5846 0 0 342 2344 2626 0 1006 31368 4862 1141 0 0 332 386 0 0 0 0 556 0
"195302" 52246 46270 3352 2624 0 0 0 2624 0 0 0 52246 6113 0 0 360 2325 2743 0 1041 31947 5150 1268 0 0 325 398 0 0 0 0 576 0
"195303" 53018 46800 3307 2911 0 0 0 2911 0 0 0 53018 5748 0 0 375 2380 2793 0 1070 32501 5409 1395 0 0 324 409 0 0 0 0 614 0
"195304" 54383 48012 3314 3057 0 0 0 3057 0 0 0 54383 5987 0 0 374 2393 2791 0 1092 33275 5647 1526 0 0 340 420 0 0 0 0 538 0
"195401" 55366 48789 3485 3092 0 0 0 3092 0 0 0 55366 5719 0 0 367 2487 2918 0 1110 33914 5910 1661 0 0 373 431 0 0 0 0 476 0
"195402" 56270 49724 3422 3124 0 0 0 3124 0 0 0 56270 5622 0 0 359 2316 2961 0 1124 34457 6210 1808 0 0 402 442 0 0 0 0 569 0
"195403" 57253 50999 3324 2930 0 0 0 2930 0 0 0 57253 5473 0 0 381 2255 2994 0 1136 34970 6547 1960 0 0 433 452 0 0 0 0 652 0
