"DATES" "FL893170005.Q" "FL163170003.Q" "FL103170005.Q" "FL113170003.Q" "FL133170005.Q" "FL213170003.Q" "FL313170005.Q" "FL263170003.Q" "FL663170003.Q" "FL893070005.Q" "FL103070005.Q" "FL113070003.Q" "FL213070003.Q" "FL313070000.Q" "FL263070005.Q" "FL513070003.Q" "FL673070003.Q" "FL903070005.Q"
"195201" 45475 1058 30361 6707 3052 1270 2500 427 100 55769 43161 7702 2057 1600 373 876 0 -10294
"195202" 43494 1084 28227 6413 3441 1395 2400 434 100 54723 41944 7539 1964 2000 375 901 0 -11229
"195203" 46490 1110 30753 6699 3346 1515 2500 427 140 59314 45745 7945 2092 2200 407 925 0 -12824
"195204" 48947 1133 33077 6544 3149 1637 2775 482 150 59241 45588 7838 2199 2251 417 948 0 -10294
"195301" 48368 1154 31088 7605 3257 1764 2883 457 160 61571 46552 8891 2169 2577 415 967 0 -13203
"195302" 48776 1173 31407 7483 3483 1888 2679 493 170 60611 45823 8743 2181 2490 391 983 0 -11835
"195303" 50030 1192 32222 7700 3569 2018 2667 482 180 62293 47306 8850 2234 2514 393 996 0 -12263
"195304" 49460 1212 32800 7269 2785 2151 2600 463 180 58797 44774 8233 2203 2214 367 1006 0 -9337
"195401" 48504 1233 30154 8470 2949 2290 2763 455 190 60216 45058 9097 2155 2527 362 1017 0 -11712
"195402" 48736 1255 30197 8575 3206 2432 2412 469 190 59671 44959 8777 2161 2416 328 1030 0 -10935
"195403" 51009 1277 31519 9205 3432 2579 2308 489 200 62464 47320 8916 2259 2608 316 1045 0 -11455
"195404" 53753 1298 34832 8877 2921 2727 2366 532 200 62537 48147 8174 2378 2445 329 1064 0 -8784
"195501" 54003 1318 34093 10075 2659 2884 2220 554 200 65715 50454 8955 2386 2472 364 1084 0 -11712
"195502" 56181 1336 35703 10023 3155 3044 2145 575 200 66736 51998 8476 2478 2333 345 1106 0 -10555
"195503" 60883 1356 39673 10429 3294 3206 2166 559 200 71342 56393 8521 2686 2229 383 1130 0 -10459
"195504" 64939 1381 43874 10060 3176 3369 2283 586 210 72233 57659 7907 2863 2274 374 1156 0 -7294
"195601" 64385 1413 41991 11132 3155 3537 2289 648 220 74372 58795 8912 2832 2266 382 1185 0 -9987
"195602" 66624 1452 43720 11089 3456 3709 2302 666 230 75913 59839 8993 2928 2516 420 1217 0 -9289
"195603" 69135 1493 45420 11424 3626 3882 2367 693 230 80110 63399 9474 3035 2493 457 1252 0 -10975
"195604" 71309 1530 47992 10988 3176 4057 2608 728 230 79746 63446 9051 3127 2350 481 1291 0 -8437
"195701" 70726 1563 46320 11983 3137 4242 2534 707 240 81885 64579 9927 3095 2455 499 1330 0 -11159
"195702" 70598 1594 46312 11426 3370 4430 2479 747 240 81525 64718 9159 3083 2638 557 1370 0 -10927
"195703" 71971 1625 47428 11488 3390 4620 2427 753 240 83388 66705 8997 3138 2568 570 1410 0 -11417
"195704" 74349 1658 49578 10987 3476 4815 2769 816 250 81003 65109 8378 3238 2261 566 1451 0 -6654
"195801" 71629 1694 45517 12213 3509 5017 2667 762 250 83024 66156 9617 3108 2123 530 1490 0 -11395
"195802" 73335 1731 46871 11925 3934 5223 2606 795 250 83043 66353 9516 3178 1946 523 1527 0 -9708
"195803" 77184 1769 50103 12191 3963 5437 2674 787 260 88198 71072 9874 3345 1816 528 1563 0 -11014
"195804" 80719 1809 53810 11626 3931 5657 2832 794 260 88212 71514 9377 3499 1723 500 1599 0 -7493
"195901" 81693 2060 53685 12340 3893 5883 2802 760 270 90615 73082 10079 3569 1692 554 1639 0 -8922
"195902" 83743 2100 55502 11920 4337 6108 2679 827 270 92393 75163 9556 3686 1687 618 1683 0 -8650
"195903" 84684 2150 55842 12076 4507 6331 2669 829 280 94501 77036 9648 3748 1702 636 1731 0 -9817
"195904" 87081 2200 59100 10750 4423 6548 2903 877 280 93256 76979 8234 3875 1722 664 1782 0 -6175
"196001" 88551 2240 58535 12319 4413 6769 3108 877 290 97579 79373 9755 3961 1822 838 1830 0 -9028
"196002" 89411 2290 59438 11680 4704 6997 2997 1015 290 97337 79922 9010 4022 1771 740 1872 0 -7926
"196003" 90959 2270 60426 11964 4672 7229 3078 1030 290 100572 82814 9246 4112 1761 732 1907 0 -9613
"196004" 92767 2310 61935 11228 4541 7463 3359 1641 290 99114 81835 8554 4214 1790 787 1934 0 -6347
"196101" 92168 2310 60270 12242 4519 7709 3444 1374 300 101141 82604 9731 4211 1792 849 1954 0 -8973
"196102" 93559 2410 61734 11645 4765 7950 3211 1544 300 103584 85285 9421 4293 1749 867 1969 0 -10025
"196103" 95733 2440 63376 11549 4826 8193 3365 1684 300 107475 88755 9655 4413 1798 873 1981 0 -11742
"196104" 97560 2500 65676 10619 4686 8451 3618 1710 300 105807 87577 8904 4521 1776 1036 1993 0 -8247
"196201" 97262 2550 64315 11374 4629 8707 3410 1967 310 107727 88610 9724 4529 1780 1049 2035 0 -10465
"196202" 98036 2580 65041 10735 5009 8963 3465 1933 310 108352 89888 9068 4587 1821 895 2093 0 -10316
"196203" 101407 2600 67540 10831 5093 9224 3634 2165 320 112687 93774 9153 4766 1886 955 2153 0 -11280
"196204" 102538 2630 68611 10049 5169 9489 4051 2219 320 110590 92000 8462 4844 2005 1078 2201 0 -8052
"196301" 102625 2680 68025 10512 5202 9764 3964 2153 325 113392 93755 9149 4879 2292 1078 2239 0 -10767
"196302" 103549 2760 69619 9668 5606 10041 3758 1772 325 115053 95454 8702 4950 2545 1132 2270 0 -11504
"196303" 106095 2850 71911 9268 5671 10329 3925 1811 330 118373 98517 8697 5100 2500 1260 2299 0 -12278
"196304" 109947 2940 75976 8232 5624 10623 4381 1841 330 117661 98100 7961 5308 2490 1470 2332 0 -7714
"196401" 107747 3070 72804 8602 5791 10921 4268 1951 340 119561 99195 8574 5241 2553 1630 2368 0 -11814
"196402" 109359 3120 74377 8261 6129 11230 3914 1988 340 121340 100951 8454 5350 2573 1606 2406 0 -11981
"196403" 113131 3170 77360 8263 6118 11544 4088 2238 350 127270 106316 8661 5554 2675 1619 2445 0 -14139
"196404" 118736 3200 82924 7495 5824 11861 4476 2606 350 127724 106719 8106 5840 2734 1841 2484 0 -8988
"196501" 119415 3270 82781 7850 6065 12183 4483 2423 360 131100 109385 8627 5903 2770 1892 2523 0 -11685
"196502" 122290 3380 85261 7394 6406 12519 4531 2439 360 134475 112603 8266 6070 2898 2077 2561 0 -12185
"196503" 126346 3490 88536 7468 6437 12871 4790 2384 370 140807 118258 8487 6291 3096 2073 2602 0 -14461
"196504" 132435 3620 94592 6630 6394 13231 5048 2550 370 142432 120046 7930 6603 3122 2082 2649 0 -9997
"196601" 131937 3730 93372 6896 6288 13598 5035 2638 380 146460 123066 8627 6616 3330 2117 2704 0 -14523
"196602" 134168 3820 95670 5850 6683 13973 5130 2652 390 150894 127428 8260 6750 3493 2197 2766 0 -16726
"196603" 138379 3890 98923 5914 6762 14354 5401 2735 400 158038 132912 8915 6975 3964 2440 2832 0 -19659
"196604" 143494 3970 103800 5086 6762 14752 5831 2883 410 158139 132467 8491 7244 4371 2668 2898 0 -14645
"196701" 139837 4070 99739 5481 6292 15166 5723 2946 420 160012 132968 9150 7112 4868 2950 2964 0 -20175
"196702" 142256 4240 100977 5198 6575 15581 6141 3114 430 162702 134782 8982 7256 5435 3216 3031 0 -20446
"196703" 145894 4420 103648 5599 6575 15996 6152 3064 440 168136 139084 9422 7459 5746 3325 3100 0 -22242
"196704" 152836 4600 109723 5183 6575 16424 6483 3398 450 170073 140882 9022 7822 5839 3332 3176 0 -17237
"196801" 149923 4740 108829 4076 5365 16867 6200 3386 460 172232 143767 7893 7742 6066 3517 3247 0 -22309
"196802" 155247 4800 113445 4026 5589 17328 6046 3533 480 178331 149074 7736 8025 6248 3931 3317 0 -23084
"196803" 162469 4990 119316 4671 5533 17797 6095 3567 500 186420 155913 8263 8388 6309 4156 3391 0 -23951
"196804" 170025 5150 126213 4179 5431 18278 6467 3797 510 190657 159554 7655 8769 6414 4789 3476 0 -20632
"196901" 170630 5290 126219 4901 4909 18770 6124 3897 520 196935 164621 8257 8842 6850 4793 3572 0 -26305
"196902" 176907 5460 131262 5119 5129 19274 6090 4033 540 204374 170996 8345 9173 7203 4977 3680 0 -27467
"196903" 184222 5620 137469 5625 5152 19780 5929 4087 560 214068 179386 8705 9543 7466 5176 3792 0 -29846
"196904" 193661 5820 145730 5219 5020 20285 6389 4618 580 217901 182722 8110 10008 7333 5830 3898 0 -24240
"197001" 192407 5980 143498 5717 4517 20802 6224 5079 590 222421 186944 8331 9991 7165 5979 4011 0 -30014
