"DATES" "FL893190005.Q" "FL543077003.Q" "FL103190005.Q" "FL113190005.Q" "FL313190005.Q" "FL263190005.Q" "FL713190005.Q" "FL763190005.Q" "FL443190005.Q" "FL473193005.Q" "FL513190005.Q" "FL543190005.Q" "FL403190005.Q" "FL613190005.Q" "FL643193005.Q" "FL663190005.Q" "FL503190005.Q" "FL893090005.Q" "FL153090005.Q" "FL103090005.Q" "FL113090003.Q" "FL133090005.Q" "FL213093005.Q" "FL313090005.Q" "FL263090005.Q" "FL713090005.Q" "FL763090005.Q" "FL443090005.Q" "FL473090005.Q" "FL513092003.Q" "FL543090005.Q" "FL573090005.Q" "FL223093003.Q" "FL343150005.Q" "FL633093005.Q" "FL653093003.Q" "FL403093005.Q" "FL613090005.Q" "FL643093005.Q" "FL663090005.Q" "FL503094505.Q" "FL903090005.Q"
"195801" 90905 1877 8021 125 13193 31562 451 3039 2404 478 13472 8743 2790 3575 0 1023 153 81829 13027 28789 2618 1634 0 2989 9670 259 1986 3216 -86 147 3100 1715 0 11511 0 0 298 956 0 0 0 9076
"195802" 93193 1903 8323 127 13455 32169 879 3340 2344 511 13670 9067 2940 3259 0 1023 183 84887 13045 29764 2642 1649 0 3148 9829 259 2632 3721 -89 149 3145 1749 0 11859 0 0 314 1071 0 0 0 8306
"195803" 95224 1931 8840 129 13792 32420 492 3557 2954 544 13872 9211 2668 3630 0 1013 171 85469 13164 30263 2675 1666 0 3233 9836 244 2245 3428 -91 152 3194 1785 0 12170 0 0 318 1187 0 0 0 9755
"195804" 96462 1969 8923 131 13817 32827 599 3752 2468 577 14154 9255 2675 4188 0 1011 116 86778 13242 30797 2709 1684 0 3167 9904 240 2404 3580 -96 154 3258 1835 0 12280 0 0 320 1300 0 0 0 9684
"195901" 98621 2017 9151 134 13916 33475 737 3860 3133 604 14421 9244 2794 3988 0 999 149 88974 13379 31937 2751 1707 0 3266 10090 245 2566 3611 -99 157 3339 1894 0 12413 0 0 308 1410 0 0 0 9647
"195902" 100537 2074 9313 137 14242 34417 511 4199 3207 630 14723 9298 2778 3859 0 1000 150 91117 13513 33068 2796 1734 0 3471 9406 279 2667 4263 -103 160 3436 1965 0 12798 0 0 316 1348 0 0 0 9420
"195903" 102887 2133 9520 139 14513 35023 556 4439 3721 657 15027 9302 2539 4140 0 992 186 93231 13661 33743 2853 1759 0 3366 9759 319 3356 3869 -106 163 3537 2038 0 13121 0 0 342 1451 0 0 0 9656
"195904" 104001 2187 9658 142 14512 35660 885 4112 2871 686 15320 9496 2662 4663 0 995 152 93253 13801 33925 2896 1782 0 3411 9868 363 2597 3754 -111 166 3628 2117 0 13164 0 0 363 1529 0 0 0 10748
"196001" 104623 2238 9729 144 14543 36470 522 3923 3422 719 15570 9808 2722 3644 0 989 180 96354 13927 35800 2934 1801 0 3552 10354 365 2863 3641 -114 169 3711 2201 0 13251 0 0 343 1556 0 0 0 8269
"196002" 106438 2288 9736 145 15170 37076 1026 3333 3220 750 15803 10092 2933 3680 0 997 189 98190 14049 35607 2961 1815 0 3784 10539 535 2876 4132 -118 171 3787 2297 0 13936 0 0 360 1459 0 0 0 8248
"196003" 107700 2336 9877 147 15228 37783 532 2895 3819 776 16026 10275 2991 3801 0 1006 208 99046 14183 36458 3000 1829 0 3883 10317 384 2866 3846 -120 174 3863 2391 0 14038 0 0 392 1542 0 0 0 8654
"196004" 107726 2379 9845 149 15251 38387 728 2332 2982 798 16264 10459 3193 3787 0 995 177 99719 14332 37089 3035 1846 0 4104 9763 317 2801 4029 -126 178 3943 2476 0 14090 0 0 366 1476 0 0 0 8007
"196101" 111209 2417 10099 151 15261 39588 585 2800 3827 824 16481 10688 3465 3792 0 991 240 100539 14481 38147 3074 1867 0 4181 9344 321 2288 4216 -129 181 4029 2552 0 14141 0 0 370 1476 0 0 0 10670
"196102" 112895 2448 10154 154 16018 40216 508 2654 3529 849 16692 11038 3506 3936 0 991 202 104891 14643 39237 3112 1892 0 4288 9662 371 3126 4915 -133 184 4120 2616 0 14927 0 0 380 1551 0 0 0 8004
"196103" 115440 2478 10452 157 16056 40833 409 2754 4400 872 16896 11278 3371 4234 0 994 256 105330 14803 39761 3165 1914 0 4291 9533 354 2598 4768 -136 187 4210 2682 0 14996 0 0 384 1820 0 0 0 10110
"196104" 117023 2512 10493 160 16043 41869 605 2810 3751 890 17153 11450 3606 4484 0 1023 174 107544 14966 40383 3201 1931 0 4530 9972 348 2522 5093 -142 190 4291 2761 0 15006 0 0 387 2105 0 0 0 9479
"196201" 119324 2549 10678 161 15952 42266 547 3290 4818 903 17334 11517 3552 4424 0 1018 316 108771 15102 41752 3233 1942 0 4579 9651 379 2257 5110 -146 194 4365 2884 0 15054 0 0 386 2029 0 0 0 10553
"196202" 121763 2587 10929 161 16770 42929 592 3142 4518 915 17492 11774 3698 4979 0 1023 254 112656 15245 42483 3254 1945 0 4732 9738 365 2803 6006 -149 197 4430 3037 0 15908 0 0 384 2278 0 0 0 9107
"196203" 123315 2626 11080 163 16757 42941 582 3204 5263 921 17658 12008 3404 5422 0 1015 272 113574 15388 43395 3293 1949 0 4796 9469 398 2571 5711 -152 201 4494 3196 0 15923 0 0 404 2538 0 0 0 9741
"196204" 123777 2667 11361 164 16814 43229 707 2718 4442 923 17832 12440 3703 5511 0 977 289 115144 15545 43766 3329 1965 0 4891 9404 411 2980 5974 -158 204 4567 3323 0 15999 0 0 400 2544 0 0 0 8633
"196301" 126763 2711 11659 166 16837 43976 485 3457 5353 924 18087 12472 3858 5490 0 974 315 117020 15700 45542 3377 1997 0 4943 9436 394 2430 6130 -162 208 4649 3414 0 16048 0 0 382 2532 0 0 0 9743
"196302" 130541 2758 11903 167 17730 44963 501 3632 5292 919 18404 12803 3888 6318 0 974 288 122057 15862 47033 3433 2044 0 5218 9602 376 3133 6898 -166 211 4739 3466 0 17000 0 0 394 2814 0 0 0 8484
