"DATES" "FL263192005.Q" "FL103092005.Q" "FL723092000.Q" "FL513092003.Q" "FL543092003.Q" "FL613092003.Q" "FL663092003.Q" "FL103192005.Q" "FL115114005.Q" "FL753192003.Q" "FL513192003.Q" "FL543192003.Q" "FL613192003.Q" "FL663192003.Q" "FL503192003.Q" "FL263092001.Q" "FL313092803.Q" "FL313092803.Q" "FL713164003.Q" "FL713164003.Q" "FL403192405.Q" "FL103092403.Q" "FL113092403.Q" "FL133092403.Q" "FL313092403.Q" "FL723092403.Q" "FL443092405.Q" "FL473092403.Q" "FL543092403.Q" "FL723194733.Q" "FL443194733.Q" "FL543194733.Q" "FL613194733.Q" "FL663194735.Q" "FL733094705.Q" "FL103094105.Q" "FL103094105.Q" "FL753194503.Q" "FL663194505.Q" "FL503094505.Q" "FL503194305.Q" "FL153094305.Q" "FL313094303.Q"
"195201" 13357 12945 50 86 126 71 79 2636 80 188 332 287 22 171 0 3716 635 635 242 242 669 0 17 123 239 0 290 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195202" 13953 13532 52 88 128 74 79 2705 81 191 333 288 23 173 0 3794 635 635 245 245 681 0 18 124 239 0 300 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195203" 14264 13834 54 90 130 77 79 2751 82 194 334 289 24 175 0 3849 635 635 247 247 688 0 18 125 239 0 306 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195204" 14721 14261 59 90 135 83 93 2806 84 199 351 304 23 178 0 3945 635 635 253 253 698 0 18 126 239 0 315 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195301" 15108 14639 61 92 137 86 93 2891 85 202 352 305 24 181 0 4040 635 635 257 257 723 0 19 127 239 0 338 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195302" 15545 15066 63 94 139 90 93 2915 87 206 353 307 25 186 0 4079 635 635 260 260 739 0 17 129 239 0 354 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195303" 15926 15436 66 96 141 94 93 2995 89 210 354 309 26 190 0 4173 635 635 262 262 748 0 18 131 239 0 360 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195304" 16253 15735 69 96 145 98 110 3066 91 207 366 317 24 180 0 4251 635 635 265 265 758 0 19 132 239 0 368 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195401" 16564 16036 71 98 147 102 110 3134 93 211 367 319 25 185 0 4334 635 635 270 270 786 0 19 133 231 0 403 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195402" 16990 16450 74 100 150 106 110 3225 95 214 368 321 26 189 0 4438 635 635 272 272 783 0 18 135 210 0 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195403" 17216 16664 77 102 153 110 110 3312 97 217 369 323 27 193 0 4538 635 635 276 276 792 0 19 136 210 0 427 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195404" 17631 17036 81 113 155 116 130 3300 99 233 411 356 27 207 0 4633 635 635 288 288 898 0 20 137 303 0 438 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195501" 17944 17337 84 115 158 120 130 3395 101 236 412 358 28 211 0 4741 635 635 294 294 933 0 19 140 303 0 471 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195502" 18469 17849 87 117 161 125 130 3502 104 240 414 360 29 216 0 4865 635 635 295 295 960 0 18 143 303 0 496 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195503" 18852 18218 91 119 164 130 130 3587 106 244 416 362 30 221 0 4966 635 635 298 298 972 0 20 145 303 0 504 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195504" 19395 18720 95 123 167 136 154 3616 109 255 450 390 30 226 0 5076 635 635 303 303 990 2 21 148 303 0 516 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195601" 19981 19293 98 125 170 141 154 3723 111 259 452 392 31 231 0 5199 635 635 310 310 1048 4 20 152 303 0 569 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195602" 20679 19975 102 128 173 147 154 3819 113 262 453 393 32 234 0 5306 635 635 316 316 1072 6 21 155 300 0 590 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195603" 21540 20820 106 131 176 153 154 3902 115 265 454 394 33 237 0 5400 670 670 320 320 1085 10 21 158 300 0 596 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195604" 22505 21740 112 133 179 160 181 3967 118 261 460 399 31 223 0 5459 670 670 326 326 1102 13 21 161 300 0 607 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195701" 23140 22360 116 135 182 166 181 4010 118 264 461 400 32 228 0 5513 670 670 331 331 1230 18 22 164 375 0 651 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195702" 24411 23613 121 138 185 173 181 4066 120 265 462 401 32 232 0 5578 670 670 333 333 1252 23 25 168 368 0 668 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195703" 24882 24066 126 141 188 180 181 4076 121 266 463 402 32 236 0 5596 670 670 338 338 1264 27 25 170 368 0 674 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195704" 25394 24524 131 144 192 189 214 4228 123 254 449 389 30 237 0 5710 670 670 345 345 1283 32 26 172 368 0 685 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"195801" 25736 24843 134 147 195 196 221 4313 125 255 450 390 30 237 0 5800 670 670 350 350 1338 36 26 174 368 0 734 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
