"DATES" "FL544090005.Q" "FL543020003.Q" "FL543034003.Q" "FL544004005.Q" "FL543069100.Q" "FL543061103.Q" "FL543061703.Q" "FL543062003.Q" "FL543063005.Q" "FL543069005.Q" "FL543065000.Q" "FL543064105.Q" "FL543064203.Q" "FL543090005.Q" "FL544190005.Q" "FL542150005.Q" "FL543169333.Q" "FL543140003.Q" "FL543150005.Q" "FL543178003.Q" "FL543190005.Q"
"195201" 67779 1015 0 62708 0 10818 0 1133 28241 2627 19889 2236 0 1820 64292 0 0 52288 6845 165 4994
"195202" 68730 1077 0 63490 0 10363 0 1123 28994 2661 20349 2301 0 1862 65428 0 0 52976 7129 148 5175
"195203" 70039 1065 0 64826 0 10455 0 1163 29699 2697 20812 2245 0 1903 66618 0 0 53707 7417 159 5335
"195204" 71472 1146 0 65938 0 10252 0 1153 30569 2713 21251 2446 0 1942 67837 0 0 54480 7700 149 5508
"195301" 72555 990 0 67190 0 10120 0 1203 31368 2758 21741 2396 0 1979 69035 0 0 55246 7980 139 5670
"195302" 73669 948 0 68314 0 10090 0 1218 31947 2806 22253 2395 0 2012 70194 0 0 55988 8259 125 5822
"195303" 74822 1030 0 69332 0 9987 0 1258 32501 2850 22736 2413 0 2047 71334 0 0 56701 8539 160 5934
"195304" 76513 1215 0 70638 0 9829 0 1298 33275 2914 23322 2573 0 2087 72482 0 0 57388 8825 231 6038
"195401" 77851 1060 0 71886 0 9720 0 1463 33914 2972 23817 2773 0 2132 73655 0 0 58093 9113 185 6264
"195402" 79180 1101 0 72977 0 9399 0 1657 34457 3032 24432 2920 0 2182 74864 0 0 58831 9401 140 6492
"195403" 80504 1111 0 74066 0 9138 0 1791 34970 3084 25083 3093 0 2234 76079 0 0 59600 9695 168 6616
"195404" 82188 1240 0 75397 0 9070 0 1846 35378 3127 25976 3268 0 2283 77273 0 0 60389 10000 183 6701
"195501" 83468 1061 0 76817 0 9136 0 1984 35741 3188 26768 3261 0 2329 78486 0 0 61170 10322 189 6805
"195502" 84870 1089 0 77910 0 9086 0 1984 36097 3225 27518 3499 0 2372 79744 0 0 61931 10663 156 6994
"195503" 86384 1160 0 79200 0 9164 0 2016 36476 3267 28277 3606 0 2418 81038 0 0 62688 11004 198 7148
"195504" 87851 1265 0 80476 0 8576 0 2038 37127 3290 29445 3633 0 2477 82351 0 0 63459 11325 222 7345
"195601" 89198 1050 0 81800 0 8077 0 2193 37788 3346 30396 3800 0 2548 83649 0 0 64251 11624 204 7570
"195602" 90346 1086 0 83036 0 7954 0 2186 38190 3414 31292 3591 0 2633 84916 0 0 65070 11895 154 7797
"195603" 91670 1084 0 84414 0 7834 0 2251 38767 3450 32112 3453 0 2719 86159 0 0 65875 12175 244 7865
