"DATES" "FL774110005.Q" "FL714110005.Q" "FL713113003.Q" "FL723025000.Q" "FL764110005.Q" "FL714010005.Q" "FL764116005.Q" "FL764116205.Q" "FL724116205.Q" "FL723192603.Q" "FL723092605.Q" "FL754116205.Q" "FL753192603.Q" "FL753092605.Q" "FL734116205.Q" "FL733192603.Q" "FL733092603.Q" "FL764016205.Q" "FL724016203.Q" "FL754016203.Q" "FL904010005.Q" "FL724112005.Q" "FL724112205.Q" "FL754012205.Q" "FL733030003.Q" "FL904010005.Q" "FL724012205.Q" "FL754112205.Q" "FL734112205.Q" "FL754112005.Q" "FL754112205.Q" "FL754012205.Q" "FL734112005.Q" "FL734112205.Q" "FL733030003.Q" "FL894010005.Q" "FL764116005.Q" "FL774010005.Q" "FL714010005.Q" "FL713022003.Q" "FL713068705.Q" "FL764010005.Q" "FL763013005.Q" "FL723025000.Q" "FL443013053.Q" "FL473013003.Q" "FL904010005.Q"
"195704" 26590 22369 19034 3335 4221 1474 1959 2079 331 331 0 1748 2121 373 0 0 0 120 79 41 788 939 1006 218 0 788 67 67 0 -151 67 218 0 0 0 25802 1959 23843 1474 1424 50 22369 19034 3335 0 0 788
"195801" 24165 21316 18426 2890 2849 822 2099 2192 401 401 0 1791 2171 380 0 0 0 93 65 28 -72 82 150 222 0 -72 68 68 0 -154 68 222 0 0 0 24237 2099 22138 822 704 118 21316 18426 2890 0 0 -72
"195802" 24558 21585 18568 3017 2973 924 2304 2432 515 515 0 1917 2317 400 0 0 0 128 114 14 -255 -95 -21 234 0 -255 74 74 0 -160 74 234 0 0 0 24813 2304 22509 924 796 128 21585 18568 3017 0 0 -255
"195803" 25294 21241 18101 3140 4053 1286 2276 2416 465 465 0 1951 2357 406 0 0 0 140 125 15 491 652 729 238 0 491 77 77 0 -161 77 238 0 0 0 24803 2276 22527 1286 949 337 21241 18101 3140 0 0 491
"195804" 26094 21753 18504 3249 4341 1342 2111 2247 292 292 0 1955 2361 406 0 0 0 136 120 16 888 1047 1125 237 0 888 78 78 0 -159 78 237 0 0 0 25206 2111 23095 1342 1296 46 21753 18504 3249 0 0 888
"195901" 25690 21284 18194 3090 4406 1318 2270 2369 458 458 0 1911 2339 428 0 0 0 99 84 15 818 981 1055 237 0 818 74 74 0 -163 74 237 0 0 0 24872 2270 22602 1318 746 572 21284 18194 3090 0 0 818
"195902" 26533 21448 18188 3260 5085 1738 2207 2304 450 450 0 1854 2315 461 0 0 0 97 82 15 1140 1307 1378 238 0 1140 71 71 0 -167 71 238 0 0 0 25393 2207 23186 1738 846 892 21448 18188 3260 0 0 1140
"195903" 25678 21000 17760 3240 4678 1280 2086 2202 391 391 0 1811 2300 489 0 0 0 116 102 14 1312 1483 1551 239 0 1312 68 68 0 -171 68 239 0 0 0 24366 2086 22280 1280 951 329 21000 17760 3240 0 0 1312
"195904" 26573 21186 18174 3012 5387 2043 2132 2260 525 525 0 1735 2164 429 0 0 0 128 114 14 1212 1390 1454 242 0 1212 64 64 0 -178 64 242 0 0 0 25361 2132 23229 2043 1590 453 21186 18174 3012 0 0 1212
"196001" 25893 21076 17716 3360 4817 1638 2374 2483 643 643 0 1840 2286 446 0 0 0 109 95 14 805 1006 1058 253 0 805 52 52 0 -201 52 253 0 0 0 25088 2374 22714 1638 823 815 21076 17716 3360 0 0 805
"196002" 25841 21018 17528 3490 4823 1135 2738 2857 923 923 0 1934 2409 475 0 0 0 119 103 16 950 1176 1217 267 0 950 41 41 0 -226 41 267 0 0 0 24891 2738 22153 1135 868 267 21018 17528 3490 0 0 950
"196003" 27298 21598 18058 3540 5700 1580 2978 3115 1057 1057 0 2058 2542 484 0 0 0 137 120 17 1142 1392 1424 282 0 1142 32 32 0 -250 32 282 0 0 0 26156 2978 23178 1580 987 593 21598 18058 3540 0 0 1142
"196004" 26568 20427 17081 3346 6141 1893 2960 3122 948 948 0 2174 2676 502 0 0 0 162 144 18 1288 1564 1585 297 0 1288 21 21 0 -276 21 297 0 0 0 25280 2960 22320 1893 1868 25 20427 17081 3346 0 0 1288
"196101" 24535 19622 15992 3630 4913 861 3223 3371 1004 1004 0 2367 2900 533 0 0 0 148 131 17 829 1095 1128 299 0 829 33 33 0 -266 33 299 0 0 0 23706 3223 20483 861 755 106 19622 15992 3630 0 0 829
"196102" 25149 19619 16716 2903 5530 1206 3553 3717 1162 1162 0 2555 3123 568 0 0 0 164 148 16 771 1026 1072 301 0 771 46 46 0 -255 46 301 0 0 0 24378 3553 20825 1206 1171 35 19619 16716 2903 0 0 771
"196103" 26326 20180 16310 3870 6146 1382 3562 3743 1170 1170 0 2573 3133 560 0 0 0 181 164 17 1202 1464 1506 304 0 1202 42 42 0 -262 42 304 0 0 0 25124 3562 21562 1382 1300 82 20180 16310 3870 0 0 1202
"196104" 28555 21076 17387 3689 7479 2415 3087 3363 1033 1033 0 2330 2866 536 0 0 0 276 254 22 1977 2262 2345 368 0 1977 83 83 0 -285 83 368 0 0 0 26578 3087 23491 2415 2300 115 21076 17387 3689 0 0 1977
"196201" 26010 20686 16786 3900 5324 1088 3349 3544 1191 1191 0 2353 2888 535 0 0 0 195 177 18 887 1159 1214 327 0 887 55 55 0 -272 55 327 0 0 0 25123 3349 21774 1088 918 170 20686 16786 3900 0 0 887
"196202" 26141 20391 17206 3185 5750 1505 3362 3559 1190 1190 0 2369 2910 541 0 0 0 197 182 15 883 1141 1168 285 0 883 27 27 0 -258 27 285 0 0 0 25258 3362 21896 1505 1462 43 20391 17206 3185 0 0 883
"196203" 28648 21375 17105 4270 7273 2403 3338 3514 1126 1126 0 2388 2926 538 0 0 0 176 161 15 1532 1814 1829 297 0 1532 15 15 0 -282 15 297 0 0 0 27116 3338 23778 2403 1641 762 21375 17105 4270 0 0 1532
"196204" 29196 21973 17454 4519 7223 2940 2981 3242 851 851 0 2391 2943 552 0 0 0 261 242 19 1302 1531 1639 337 0 1302 108 108 0 -229 108 337 0 0 0 27894 2981 24913 2940 2903 37 21973 17454 4519 0 0 1302
"196301" 26160 20620 16410 4210 5540 1417 3563 3775 1291 1291 0 2484 3039 555 0 0 0 212 194 18 560 810 889 329 0 560 79 79 0 -250 79 329 0 0 0 25600 3563 22037 1417 1223 194 20620 16410 4210 0 0 560
"196302" 26328 20448 16965 3483 5880 1734 3427 3696 1130 1130 0 2566 3134 568 0 0 0 269 252 17 719 992 1041 322 0 719 49 49 0 -273 49 322 0 0 0 25609 3427 22182 1734 1638 96 20448 16965 3483 0 0 719
"196303" 27677 21171 16621 4550 6506 1900 3466 3720 1100 1100 0 2620 3191 571 0 0 0 254 236 18 1140 1439 1497 357 0 1140 58 58 0 -299 58 357 0 0 0 26537 3466 23071 1900 1435 465 21171 16621 4550 0 0 1140
"196304" 28421 21308 17049 4259 7113 2631 3233 3593 1000 1000 0 2593 3176 583 0 0 0 360 340 20 1249 1521 1629 380 0 1249 108 108 0 -272 108 380 0 0 0 27172 3233 23939 2631 2600 31 21308 17049 4259 0 0 1249
"196401" 26861 21111 16611 4500 5750 1552 3472 3788 1150 1150 0 2638 3234 596 0 0 0 316 297 19 726 980 1099 373 0 726 119 119 0 -254 119 373 0 0 0 26135 3472 22663 1552 1497 55 21111 16611 4500 0 0 726
"196402" 27137 21512 16973 4539 5625 1712 3291 3674 1000 1000 0 2674 3290 616 0 0 0 383 364 19 622 857 987 365 0 622 130 130 0 -235 130 365 0 0 0 26515 3291 23224 1712 1633 79 21512 16973 4539 0 0 622
"196403" 28443 21901 17121 4780 6542 1660 3579 3884 1059 1059 0 2825 3472 647 0 0 0 305 285 20 1303 1584 1667 364 0 1303 83 83 0 -281 83 364 0 0 0 27140 3579 23561 1660 1567 93 21901 17121 4780 0 0 1303
"196404" 29515 22382 17850 4532 7133 2762 3717 4080 1118 1118 0 2962 3639 677 0 0 0 363 341 22 654 1167 1271 617 0 654 104 104 0 -513 104 617 0 0 0 28861 3717 25144 2762 2606 156 22382 17850 4532 0 0 654
"196501" 28701 22117 17277 4840 6584 1223 4387 4690 1503 1503 0 3187 3900 713 0 0 0 303 281 22 974 1314 1420 446 0 974 106 106 0 -340 106 446 0 0 0 27727 4387 23340 1223 1114 109 22117 17277 4840 0 0 974
"196502" 31039 23207 18229 4978 7832 1995 4560 4890 1474 1474 0 3416 4161 745 0 0 0 330 308 22 1277 1668 1778 501 0 1277 110 110 0 -391 110 501 0 0 0 29762 4560 25202 1995 1349 646 23207 18229 4978 0 0 1277
"196503" 30244 23167 17797 5370 7077 1528 4404 4684 1582 1582 0 3102 3815 713 0 0 0 280 255 25 1145 1650 1716 571 0 1145 66 66 0 -505 66 571 0 0 0 29099 4404 24695 1528 1405 123 23167 17797 5370 0 0 1145
"196504" 30547 23298 18447 4851 7249 2344 3830 4138 1383 1383 0 2755 3437 682 0 0 0 308 282 26 1075 1572 1688 613 0 1075 116 116 0 -497 116 613 0 0 0 29472 3830 25642 2344 2248 96 23298 18447 4851 0 0 1075
"196601" 30007 23411 17941 5470 6596 1967 4036 4332 1711 1711 0 2621 3307 686 0 0 0 296 268 28 593 1058 1155 562 0 593 97 97 0 -465 97 562 0 0 0 29414 4036 25378 1967 1388 579 23411 17941 5470 0 0 593
"196602" 31666 23798 18564 5234 7868 2244 4157 4438 1793 1793 0 2645 3386 741 0 0 0 281 252 29 1467 2013 2092 625 0 1467 79 79 0 -546 79 625 0 0 0 30199 4157 26042 2244 1957 287 23798 18564 5234 0 0 1467
"196603" 34054 23900 18070 5830 10154 2626 5564 5844 3027 3027 0 2817 3584 767 0 0 0 280 250 30 1964 2401 2546 582 0 1964 145 145 0 -437 145 582 0 0 0 32090 5564 26526 2626 1647 979 23900 18070 5830 0 0 1964
"196604" 36521 25244 19794 5450 11277 2683 6693 7002 4036 4036 0 2966 3740 774 0 0 0 309 279 30 1901 2267 2468 567 0 1901 201 201 0 -366 201 567 0 0 0 34620 6693 27927 2683 2510 173 25244 19794 5450 0 0 1901
"196701" 32437 24589 18619 5970 7848 1289 6001 6341 3412 3412 0 2929 3677 748 0 0 0 340 309 31 558 989 1236 678 0 558 247 247 0 -431 247 678 0 0 0 31879 6001 25878 1289 1260 29 24589 18619 5970 0 0 558
"196702" 32846 24359 19505 4854 8487 1398 5655 5967 3166 3166 0 2801 3615 814 0 0 0 312 280 32 1434 1886 2178 744 0 1434 292 292 0 -452 292 744 0 0 0 31412 5655 25757 1398 1345 53 24359 19505 4854 0 0 1434
"196703" 36545 26291 20039 6252 10254 1406 6845 7172 4059 4059 0 3113 3959 846 0 0 0 327 292 35 2003 2739 2969 966 0 2003 230 230 0 -736 230 966 0 0 0 34542 6845 27697 1406 1235 171 26291 20039 6252 0 0 2003
"196704" 38840 27023 21092 5931 11817 2624 7259 7625 4241 4241 0 3384 4261 877 0 0 0 366 328 38 1934 2945 3107 1173 0 1934 162 162 0 -1011 162 1173 0 0 0 36906 7259 29647 2624 2483 141 27023 21092 5931 0 0 1934
"196801" 38480 27482 21232 6250 10998 2734 8100 8399 4920 4920 0 3479 4432 953 0 0 0 299 259 40 164 1296 1486 1322 0 164 190 190 0 -1132 190 1322 0 0 0 38316 8100 30216 2734 1344 1390 27482 21232 6250 0 0 164
"196802" 40241 26652 21462 5190 13589 2230 9439 9747 6202 6202 0 3545 4586 1041 0 0 0 308 267 41 1920 3231 3452 1532 0 1920 221 221 0 -1311 221 1532 0 0 0 38321 9439 28882 2230 1938 292 26652 21462 5190 0 0 1920
"196803" 44683 29073 22413 6660 15610 3335 10524 10848 7104 7104 0 3744 4686 942 0 0 0 324 284 40 1751 3157 3416 1665 0 1751 259 259 0 -1406 259 1665 0 0 0 42932 10524 32408 3335 1770 1565 29073 22413 6660 0 0 1751
"196804" 44659 29054 21859 7195 15605 3670 9404 9781 6039 6039 0 3742 4806 1064 0 0 0 377 337 40 2531 3816 4087 1556 0 2531 271 271 0 -1285 271 1556 0 0 0 42128 9404 32724 3670 3482 188 29054 21859 7195 0 0 2531
"196901" 46172 28556 22066 6490 17616 3031 13199 13564 9621 9621 0 3943 5127 1184 0 0 0 365 322 43 1386 2862 3213 1827 0 1386 351 351 0 -1476 351 1827 0 0 0 44786 13199 31587 3031 2034 997 28556 22066 6490 0 0 1386
"196902" 50652 27066 20808 6258 23586 2521 17100 17438 13269 13269 0 4169 5407 1238 0 0 0 338 291 47 3965 5702 6128 2163 0 3965 426 426 0 -1737 426 2163 0 0 0 46687 17100 29587 2521 1472 1049 27066 20808 6258 0 0 3965
"196903" 49158 29458 22508 6950 19700 3839 13516 13912 9519 10199 680 4393 5710 1317 0 0 0 396 344 52 2345 4097 4595 2250 0 2345 498 498 0 -1752 498 2250 0 0 0 46813 13516 33297 3839 2313 1526 29458 22508 6950 0 0 2345
"196904" 52282 29405 22085 7320 22877 3623 16844 17263 12529 13242 713 4734 6013 1279 0 0 0 419 363 56 2410 4110 4697 2287 0 2410 587 587 0 -1700 587 2287 0 0 0 49872 16844 33028 3623 3440 183 29405 22085 7320 0 0 2410
"197001" 50782 29508 22568 6940 21274 3791 15542 15894 11355 12045 690 4539 6080 1541 0 0 0 352 285 67 1941 3975 4670 2729 0 1941 695 695 0 -2034 695 2729 0 0 0 48841 15542 33299 3791 2237 1554 29508 22568 6940 0 0 1941
"197002" 49923 29081 21991 7090 20842 2892 14861 15333 10775 11404 629 4558 6134 1576 0 0 0 472 390 82 3089 5715 6494 3405 0 3089 779 779 0 -2626 779 3405 0 0 0 46834 14861 31973 2892 2562 330 29081 21991 7090 0 0 3089
"197003" 51134 31198 23938 7260 19936 3166 13538 14035 9541 10195 654 4494 6188 1694 0 0 0 497 399 98 3232 5832 6592 3360 0 3232 760 760 0 -2600 760 3360 0 0 0 47902 13538 34364 3166 2313 853 31198 23938 7260 0 0 3232
"197004" 49305 31197 24150 7047 18108 4596 10456 11016 6523 7236 713 4493 6252 1759 0 0 0 560 450 110 3056 5363 6426 3370 0 3056 1063 1063 0 -2307 1063 3370 0 0 0 46249 10456 35793 4596 4261 335 31197 24150 7047 0 0 3056
"197101" 47600 33162 25932 7230 14438 2941 7305 7939 3486 4045 559 4453 6284 1831 0 0 0 634 514 120 4192 7254 8163 3971 0 4192 909 909 0 -3062 909 3971 0 0 0 43408 7305 36103 2941 2550 391 33162 25932 7230 0 0 4192
"197102" 45377 32184 24550 7634 13193 2995 5976 6600 2135 2658 523 4465 6431 1966 0 0 0 624 496 128 4222 8547 9655 5433 0 4222 1108 1108 0 -4325 1108 5433 0 0 0 41155 5976 35179 2995 2549 446 32184 24550 7634 0 0 4222
"197103" 45391 33524 25424 8100 11867 2909 6424 7117 2468 2968 500 4649 6721 2072 0 0 0 693 557 136 2534 6336 7961 5427 0 2534 1625 1625 0 -3802 1625 5427 0 0 0 42857 6424 36433 2909 2527 382 33524 25424 8100 0 0 2534
"197104" 47564 35329 27788 7541 12235 4382 5846 6616 1642 2300 658 4974 6967 1993 0 0 0 770 625 145 2007 3587 6619 4612 0 2007 3032 3032 0 -1580 3032 4612 0 0 0 45557 5846 39711 4382 4343 39 35329 27788 7541 0 0 2007
"197201" 45803 36521 28471 8050 9282 3703 5213 6114 1485 2130 645 4629 6743 2114 0 0 0 901 747 154 366 -1503 4568 4202 0 366 6071 6071 0 1869 6071 4202 0 0 0 45437 5213 40224 3703 2673 1030 36521 28471 8050 0 0 366
"197202" 45156 34281 27482 6799 10875 3429 5618 6496 1622 2265 643 4874 7195 2321 0 0 0 878 717 161 1828 54 7567 5739 0 1828 7513 7513 0 1774 7513 5739 0 0 0 43328 5618 37710 3429 3299 130 34281 27482 6799 0 0 1828
