"DATES" "FL654090005.Q" "FL652050003.Q" "FL654004005.Q" "FL653069100.Q" "FL653061105.Q" "FL653061703.Q" "FL653062003.Q" "FL653063005.Q" "FL653069803.Q" "FL653064100.Q" "FL653093003.Q" "FL654090005.Q"
"197403" 32320 1693 7212 1693 826 0 0 4693 0 23415 0 32320
"197404" 35152 1407 7398 1407 1109 0 0 4882 0 26347 0 35152
"197501" 40968 1543 7453 1543 785 0 0 5125 0 31972 0 40968
"197502" 46061 1345 7619 1345 949 0 0 5325 0 37097 0 46061
"197503" 40876 1076 8030 1076 1493 0 0 5461 0 31770 0 40876
"197504" 43034 1341 8029 1341 1066 0 0 5622 0 33664 0 43034
"197601" 46920 723 7672 723 1435 0 0 5514 0 38525 0 46920
"197602" 47003 742 7624 742 1196 0 23 5663 0 38637 0 47003
"197603" 45799 570 7795 570 1368 0 111 5746 0 37434 0 45799
"197604" 46510 823 8405 823 1086 0 525 5971 0 37282 0 46510
"197701" 43037 790 9243 790 1368 0 984 6101 0 33004 0 43037
"197702" 46401 1167 10838 1167 1985 0 1403 6283 0 34396 0 46401
"197703" 45617 1360 11807 1360 1740 0 1875 6832 0 32450 0 45617
"197704" 45491 1335 12290 1335 1763 0 2155 7037 0 31866 0 45491
"197801" 44493 1788 13090 1788 1833 0 2587 6882 0 29615 0 44493
"197802" 46687 1815 13025 1815 1818 0 2640 6752 0 31847 0 46687
"197803" 48619 1429 12593 1429 1748 0 2783 6633 0 34597 0 48619
"197804" 46050 1883 12508 1883 1584 0 2683 6358 0 31659 0 46050
"197901" 47697 1842 13179 1842 1722 0 3013 6602 0 32676 0 47697
"197902" 48943 1844 14194 1844 1502 0 3660 7188 0 32905 0 48943
"197903" 51166 1925 14585 1925 1379 0 4069 7212 0 34656 0 51166
"197904" 51789 1808 14545 1808 1536 0 4039 7162 0 35436 0 51789
"198001" 47052 1936 14211 1936 1679 0 3654 6942 0 30905 0 47052
"198002" 52395 1710 16506 1710 2592 0 4169 8035 0 34179 0 52395
"198003" 58226 2157 17136 2157 1939 0 4439 8601 0 38933 0 58226
"198004" 61809 2306 17057 2306 1853 0 4420 8478 0 42446 0 61809
"198101" 62207 1764 17830 1764 2651 0 4730 8685 0 42613 0 62207
