"DATES" "FL893111005.Q" "FL313111303.Q" "FL263111005.Q" "FL313011303.Q" "FL263111403.Q" "FL263111503.Q" "FL893011005.Q" "FL313011005.Q" "FL313011205.Q" "FL313011303.Q" "FL313011405.Q" "FL313011505.Q" "FL313111303.Q" "FL713011005.Q" "FL713011203.Q" "FL713011405.Q" "FL713011505.Q" "FL903011005.Q"
"196603" 1520 0 1520 0 372 1148 14876 1070 98 0 424 548 0 13806 13258 -52 600 -13356
"196604" 1647 0 1647 0 326 1321 14882 905 76 0 383 446 0 13977 13159 -57 875 -13235
"196701" 671 0 671 0 357 314 13855 620 77 0 417 126 0 13235 13107 -60 188 -13184
"196702" 1105 0 1105 0 367 738 14274 645 59 0 426 160 0 13629 13110 -59 578 -13169
"196703" 1572 0 1572 0 372 1200 14649 926 71 0 430 425 0 13723 13006 -58 775 -13077
"196704" 2765 0 2765 0 420 2345 14830 1304 83 0 480 741 0 13526 11982 -60 1604 -12065
"196801" 3223 0 3223 0 477 2746 13926 1959 219 0 534 1206 0 11967 10484 -57 1540 -10703
"196802" 3382 0 3382 0 903 2479 14063 2748 314 0 964 1470 0 11315 10367 -61 1009 -10681
"196803" 3879 0 3879 0 926 2953 14634 3058 388 0 988 1682 0 11576 10367 -62 1271 -10755
"196804" 4818 0 4818 0 1290 3528 15710 3340 525 0 1348 1467 0 12370 10367 -58 2061 -10892
"196901" 4922 0 4922 0 1321 3601 15758 3371 469 0 1379 1523 0 12387 10367 -58 2078 -10836
"196902" 4904 0 4904 0 1549 3355 16057 3915 786 0 1608 1521 0 12142 10367 -59 1834 -11153
"196903" 5579 0 5579 0 1782 3797 16743 4076 797 0 1838 1441 0 12667 10367 -56 2356 -11164
"196904" 5105 0 5105 0 2324 2781 16964 4691 1492 0 2385 814 0 12273 10367 -61 1967 -11859
"197001" 6314 867 5447 920 2577 1950 18217 4872 536 920 2637 779 867 12478 11367 -60 1171 -11903
"197002" 5306 867 4439 957 2350 1132 17195 4340 522 957 2419 442 867 11988 11367 -69 690 -11889
"197003" 4900 867 4033 991 1944 1098 16394 3785 377 991 1999 418 867 11742 11117 -55 680 -11494
"197004" 4282 867 3415 851 1935 629 15354 3573 340 851 2010 372 867 10914 10732 -75 257 -11072
"197101" 4963 1584 3379 1443 1680 256 15926 3672 231 1443 1775 223 1584 10670 10732 -95 33 -10963
"197102" 4581 1584 2997 1247 1428 322 15088 3149 175 1247 1501 226 1584 10355 10332 -73 96 -10507
"197103" 3508 1584 1924 1097 577 250 13715 2053 75 1097 654 227 1584 10078 10132 -77 23 -10207
"197104" 3779 1720 2059 1194 585 280 13985 2192 74 1194 661 263 1720 10073 10132 -76 17 -10206
"197201" 5254 2491 2763 1965 586 212 14916 2897 74 1965 663 195 2491 9528 9588 -77 17 -9662
"197202" 5340 2491 2849 1958 434 457 15830 2989 80 1958 512 439 2491 10350 10410 -78 18 -10490
"197203" 5221 2491 2730 1958 449 323 15708 2785 77 1958 532 218 2491 10432 10410 -83 105 -10487
"197204" 5155 2491 2664 1958 465 241 15642 2627 77 1958 543 49 2491 10524 10410 -78 192 -10487
"197301" 5428 2767 2661 2175 478 8 15915 2814 77 2175 558 4 2767 10334 10410 -80 4 -10487
"197302" 5411 2767 2644 2166 470 8 15898 2810 77 2166 563 4 2767 10321 10410 -93 4 -10487
"197303" 5424 2767 2657 2166 483 8 15911 2810 77 2166 563 4 2767 10334 10410 -80 4 -10487
"197304" 5493 2767 2726 2166 552 8 17145 2887 85 2166 632 4 2767 11491 11567 -80 4 -11652
"197401" 5703 2767 2936 2166 761 9 17355 3101 85 2166 847 3 2767 11487 11567 -86 6 -11652
"197402" 6061 2767 3294 2195 1005 94 17713 3371 85 2195 1087 4 2767 11575 11567 -82 90 -11652
"197403" 6964 2723 4241 2282 1713 246 18616 4159 85 2282 1788 4 2723 11734 11567 -75 242 -11652
"197404" 7040 2809 4231 2374 1852 5 18692 4312 0 2374 1935 3 2809 11571 11652 -83 2 -11652
"197501" 7498 2862 4636 2423 2194 19 19118 4655 0 2423 2227 5 2862 11601 11620 -33 14 -11620
"197502" 7458 2836 4622 2418 2179 25 19078 4625 0 2418 2207 0 2836 11617 11620 -28 25 -11620
"197503" 7363 2671 4692 2301 2144 247 18962 4662 0 2301 2165 196 2671 11629 11599 -21 51 -11599
"197504" 7312 2685 4627 2335 2212 80 18911 4571 0 2335 2236 0 2685 11655 11599 -24 80 -11599
"197601" 7995 2653 5342 2351 2420 571 19594 4801 0 2351 2450 0 2653 12140 11599 -30 571 -11599
