"DATES" "FL744090005.Q" "FL743020003.Q" "FL744004005.Q" "FL743061103.Q" "FL743061703.Q" "FL743062003.Q" "FL743063005.Q" "FL743068005.Q" "FL743065103.Q" "FL743065505.Q" "FL743093005.Q" "FL744190005.Q" "FL743127003.Q" "FL743131005.Q" "FL743135005.Q" "FL743193005.Q"
"195201" 854 176 458 252 0 47 14 0 118 27 220 841 854 0 0 -13
"195202" 863 175 466 259 0 47 14 0 118 28 222 850 863 0 0 -13
"195203" 872 173 475 267 0 47 14 0 118 29 224 860 872 0 0 -12
"195204" 877 170 480 271 0 48 14 0 117 30 227 865 877 0 0 -12
"195301" 879 170 483 271 0 49 15 0 117 31 226 867 879 0 0 -12
"195302" 878 171 485 269 0 50 16 0 118 32 222 865 878 0 0 -13
"195303" 878 172 485 266 0 51 17 0 119 32 221 865 878 0 0 -13
"195304" 879 173 484 263 0 52 18 0 119 32 222 866 879 0 0 -13
"195401" 886 173 487 265 0 53 18 0 119 32 226 873 886 0 0 -13
"195402" 896 172 494 270 0 55 18 0 119 32 230 882 896 0 0 -14
"195403" 908 171 501 275 0 57 18 0 119 32 236 895 908 0 0 -13
"195404" 918 167 503 277 0 58 15 0 120 33 248 905 918 0 0 -13
"195501" 927 168 509 275 0 59 15 0 124 36 250 914 927 0 0 -13
"195502" 934 169 515 269 0 59 16 0 131 40 250 922 934 0 0 -12
"195503" 943 171 521 263 0 59 17 0 138 44 251 932 943 0 0 -11
"195504" 956 174 527 259 0 59 18 0 144 47 255 945 956 0 0 -11
"195601" 972 178 536 260 0 60 19 0 148 49 258 960 972 0 0 -12
"195602" 991 183 547 265 0 61 20 0 151 50 261 980 991 0 0 -11
"195603" 1013 189 558 270 0 63 21 0 153 51 266 1001 1013 0 0 -12
"195604" 1039 195 570 274 0 65 22 0 155 54 274 1027 1039 0 0 -12
"195701" 1070 202 580 277 0 67 22 0 156 58 288 1058 1070 0 0 -12
"195702" 1106 210 588 279 0 69 21 0 156 63 308 1094 1106 0 0 -12
"195703" 1143 218 596 281 0 71 20 0 156 68 329 1131 1143 0 0 -12
"195704" 1177 223 602 284 0 73 16 0 157 72 352 1164 1177 0 0 -13
"195801" 1211 229 620 289 0 75 17 0 163 76 362 1197 1211 0 0 -14
"195802" 1247 235 645 296 0 77 20 0 172 80 367 1233 1247 0 0 -14
"195803" 1278 239 669 302 0 79 23 0 181 84 370 1264 1278 0 0 -14
"195804" 1296 240 680 303 0 81 24 0 185 87 376 1281 1296 0 0 -15
"195901" 1108 188 557 233 0 70 24 0 156 74 363 1093 1108 0 0 -15
"195902" 919 130 443 173 0 59 23 0 126 62 346 905 919 0 0 -14
"195903" 614 74 235 87 0 37 22 0 68 21 305 600 614 0 0 -14
"195904" 611 66 221 81 0 35 19 0 65 21 324 596 611 0 0 -15
"196001" 622 67 225 83 0 36 19 0 65 22 330 605 622 0 0 -17
"196002" 641 71 234 89 0 37 19 0 66 23 336 622 641 0 0 -19
"196003" 665 77 245 96 0 38 19 0 68 24 343 645 665 0 0 -20
"196004" 688 83 248 101 0 38 15 0 70 24 357 666 688 0 0 -22
"196101" 716 91 257 104 0 39 15 0 73 26 368 692 716 0 0 -24
"196102" 749 101 264 106 0 40 14 0 76 28 384 724 749 0 0 -25
"196103" 783 111 272 107 0 41 13 0 81 30 400 757 783 0 0 -26
"196104" 815 119 278 107 0 41 9 0 88 33 418 789 815 0 0 -26
"196201" 845 124 295 109 0 41 9 0 98 38 426 817 845 0 0 -28
"196202" 873 127 316 111 0 41 9 0 111 44 430 843 873 0 0 -30
"196203" 903 129 338 114 0 41 9 0 124 50 436 872 903 0 0 -31
"196204" 938 131 357 119 0 40 9 0 135 54 450 907 938 0 0 -31
"196301" 978 134 383 127 0 44 11 0 145 56 461 945 978 0 0 -33
"196302" 1023 136 415 139 0 51 15 0 154 56 472 989 1023 0 0 -34
"196303" 1069 138 444 150 0 58 18 0 162 56 487 1035 1069 0 0 -34
"196304" 1110 141 466 155 0 61 19 0 171 60 503 1076 1110 0 0 -34
"196401" 1150 144 480 155 0 62 17 0 181 65 526 1111 1150 0 0 -39
"196402" 1189 147 489 151 0 62 12 0 192 72 553 1144 1189 0 0 -45
"196403" 1226 150 498 146 0 62 7 0 204 79 578 1180 1226 0 0 -46
"196404" 1257 151 505 142 0 61 1 0 217 84 601 1208 1257 0 0 -49
"196501" 1280 151 524 141 0 63 1 0 233 86 605 1228 1280 0 0 -52
"196502" 1292 148 547 141 0 65 3 0 252 86 597 1237 1292 0 0 -55
"196503" 1308 146 572 141 0 68 6 0 271 86 590 1251 1308 0 0 -57
"196504" 1344 144 596 141 0 73 8 0 286 88 604 1283 1344 0 0 -61
"196601" 1399 149 627 145 0 80 12 0 297 93 623 1337 1399 0 0 -62
"196602" 1472 158 662 151 0 90 17 0 304 100 652 1410 1472 0 0 -62
"196603" 1550 168 698 158 0 100 22 0 310 108 684 1487 1550 0 0 -63
"196604" 1620 176 728 163 0 107 25 0 319 114 716 1555 1620 0 0 -65
"196701" 1693 187 765 172 0 112 33 0 333 115 741 1627 1693 0 0 -66
"196702" 1771 200 803 183 0 115 41 0 351 113 768 1704 1771 0 0 -67
"196703" 1847 214 841 194 0 117 50 0 369 111 792 1780 1847 0 0 -67
"196704" 1914 226 876 204 0 118 60 0 382 112 812 1847 1914 0 0 -67
"196801" 1969 231 894 210 0 120 65 0 393 106 844 1903 1969 0 0 -66
"196802" 1990 237 908 213 0 122 68 0 401 104 845 1925 1990 0 0 -65
"196803" 2036 243 921 216 0 124 70 0 408 103 872 1971 2036 0 0 -65
"196804" 2166 249 961 220 0 153 71 0 417 100 956 2100 2166 0 0 -66
"196901" 2402 257 1007 226 0 161 72 0 425 123 1138 2307 2191 106 106 -95
"196902" 2770 266 1066 232 0 169 72 0 433 160 1438 2635 2231 270 270 -135
"196903" 3115 275 1130 239 0 177 72 0 441 201 1710 2977 2271 422 422 -138
"196904" 3281 284 1191 248 0 184 74 0 449 236 1806 3140 2297 492 492 -141
"197001" 3456 305 1232 255 0 190 72 0 521 194 1919 3311 2419 519 519 -145
"197002" 3578 334 1260 261 0 193 68 0 536 202 1984 3429 2505 537 537 -149
"197003" 3675 364 1289 268 0 198 64 0 551 208 2022 3521 2572 552 552 -154
"197004" 3775 387 1326 277 0 207 59 0 569 214 2062 3617 2642 567 567 -158
"197101" 3732 408 1438 307 0 263 59 0 590 219 1886 3565 2612 560 560 -167
"197102" 3696 443 1530 332 0 276 59 0 664 199 1723 3521 2587 555 555 -175
"197103" 4065 507 1602 401 0 251 60 0 670 220 1956 3880 2845 610 610 -185
"197104" 4284 514 1637 438 0 224 60 0 676 239 2133 4088 2999 643 643 -196
"197201" 4174 561 1655 399 0 278 61 0 680 237 1958 3971 2922 626 626 -203
"197202" 4067 623 1629 368 0 305 62 0 695 199 1815 3856 2847 610 610 -211
"197203" 4408 676 1843 508 0 301 63 0 700 271 1889 4191 3086 661 661 -217
"197204" 4750 683 1924 643 0 293 64 0 698 226 2143 4527 3325 713 713 -223
"197301" 4792 688 1843 558 0 296 69 0 656 264 2261 4567 3354 719 719 -225
"197302" 4666 694 1761 473 0 299 74 0 615 300 2211 4438 3266 700 700 -228
"197303" 4975 832 1896 521 0 326 74 0 663 312 2247 4733 3482 747 747 -242
"197304" 5223 969 2033 570 0 353 74 0 712 324 2221 4968 3656 784 784 -255
"197401" 5182 850 2055 445 0 443 75 0 695 397 2277 4926 3627 778 778 -256
"197402" 5138 730 2178 421 0 534 75 0 677 471 2230 4880 3597 771 771 -258
"197403" 5220 675 2457 400 0 600 75 0 765 617 2088 4963 3654 783 783 -257
"197404" 5290 787 2498 346 0 565 75 0 766 746 2005 5035 3703 794 794 -255
