DATES,LevFacOri,ZLevFacOri,ZLogLevOri,LevFacCurrent,ZLevFacCurrent,ZLogLevCurrent
1968Q1,0.010282843804204633,-0.1498576602632038,0.5489154566402019,-0.023052997309986556,-0.3577350279837335,-0.40346073832603885
1968Q2,0.037532904123219746,0.052167497804119084,0.5393658860490914,-0.020950106888739037,-0.3307477023257797,-0.35046902107066613
1968Q3,0.22672286370356343,1.4547747229447776,0.6413589043366964,0.16459908645074606,2.050487408942019,-0.1668764956273615
1968Q4,-0.06327864190013543,-0.695224188010528,0.54209019041304,-0.1021907343970488,-1.3733447150234832,-0.235789859651918
1969Q1,-0.08894087220454153,-0.8854775699448789,0.08296392505399929,-0.1315147495244859,-1.7496728098432945,-0.8912704581941331
1969Q2,0.08347249933896332,0.3927522112454016,0.17605698962959876,0.01472369620096204,0.12707003830016622,-0.7495531442469313
1969Q3,-0.005933632648742582,-0.270082576477998,-0.0816799271694674,-0.07884080162101179,-1.0736846692354531,-1.161487725052111
1969Q4,0.15380146228593664,0.9141536206271882,0.21164551960391764,0.1481972633109318,1.8399955364288818,-0.5870416786684619
1970Q1,0.10241238838925623,0.533167829940123,0.07798131734561947,0.043223389953610414,0.4928192512327141,-0.8212026488321879
1970Q2,-0.025713414939224025,-0.41672495440269297,-0.004578798421281848,-0.09385126448633209,-1.2663205981121965,-0.9648718983030706
1970Q3,0.264755925211495,1.7367423653269283,0.23492230867457364,0.21597313983879676,2.7097934265755645,-0.6167760537762109
1970Q4,0.11879419044646354,0.6546184289953296,0.5109657874247392,0.09187650931294943,1.117206315417849,-0.13654535749730431
1971Q1,0.05513574856392495,0.18267060087748851,0.31878460833906,0.01828014292048541,0.1727114967590431,-0.4210133803839874
1971Q2,-0.06976721233449906,-0.7433288326346925,0.15067580244362433,-0.1177438664208022,-1.572944957948732,-0.6582205701496764
1971Q3,0.040445560656162144,0.07376120767392447,0.055905654532843116,0.007843489241668153,0.03877329020121744,-0.7857255493634977
1971Q4,0.09006470199904365,0.44162515937187713,0.3108718684291424,0.01887040753557505,0.1802866244170695,-0.46703191642046415
1972Q1,0.00334255384638657,-0.20131124089189883,0.039849840745783606,0.004957314758039927,0.0017337326910623712,-0.7804819107561645
1972Q2,-0.0038328770458859254,-0.2545080978251277,-0.027799444222260317,-0.02551144405413952,-0.389285365665063,-0.8131128407732371
1972Q3,0.08543897837522,0.4073311968874485,-0.03468970858876029,0.06343525281870797,0.7522070537463137,-0.7946787610090108
1972Q4,0.12244312633393437,0.6816707305614079,0.29689667668859293,0.05571194360692627,0.6530904004250353,-0.37534249718426005
1973Q1,-0.21770970658861832,-1.840137626327766,-0.3555584211482405,-0.18614885785945648,-2.450816558832883,-1.181315748751789
1973Q2,-0.14656258009152717,-1.3126705562244088,-0.6706431672329525,-0.15206165696482113,-2.013360388023049,-1.5435118815770053
1973Q3,-0.08641825732814098,-0.8667755317408689,-0.9581694754313032,-0.0857284806309458,-1.1620773094750103,-1.8896639831545647
1973Q4,-0.018219388410130682,-0.3611661087936674,-0.846194415403678,-0.049189664196521654,-0.6931584688599034,-1.723894750163789
1974Q1,-0.10379340723282804,-0.9955905642524998,-1.3413483419153305,-0.09599528889012471,-1.2938358144159667,-2.3472466790582
1974Q2,0.04150571193372145,0.0816209051174101,-1.3604016292341536,-0.015297652371122267,-0.25820724596514794,-2.3987439129560246
1974Q3,0.028638093651448898,-0.013776410961633387,-1.4662678391502908,-0.003992142910653251,-0.11311862772047761,-2.558025035618647
1974Q4,-0.07043289580364262,-0.7482640440251307,-1.4465366194341602,-0.13176881553462277,-1.7529333516598828,-2.612254037739139
1975Q1,0.08847489997868296,0.4298387632795721,-1.6326984806032885,0.09423491107689289,1.147472731486299,-2.7769042186233133
1975Q2,0.02861674316147267,-0.013934698175010772,-1.6671575911681236,0.01449131474296258,0.12408778396083593,-2.756934998094769
1975Q3,-0.025177551364999287,-0.41275219536957874,-1.8595738081078488,-0.008029412294590837,-0.16493069673383767,-2.9271687371626682
1975Q4,0.06712217429458978,0.2715349749210947,-1.618191938601458,0.030932297320130933,0.3350822069054076,-2.601133461799908
1976Q1,0.36505255885213617,2.4803166190224974,-1.3284354567519827,0.3058523492776889,3.8632531934272567,-2.215714271119384
1976Q2,0.08216220354645037,0.38303800468958493,-1.2691521841727058,0.04175100537782464,0.4739234867939251,-2.1251227348657262
1976Q3,0.24344494333512445,1.5787480551587658,-1.014857427391954,0.1822028034647244,2.2764037187252275,-1.8234163956263787
1976Q4,0.028111547276647775,-0.017680094599527716,-0.8294846617336965,0.02554248293993726,0.26591232794047387,-1.5048738550009724
1977Q1,0.0035263341723534014,-0.19994873934260116,-1.0947215499467282,0.022784066314331053,0.2305123436981249,-1.765438173333189
1977Q2,0.10885994616752498,0.5809684169499802,-0.980482563201229,0.08190788454682504,0.9892745315231157,-1.5681111704248756
1977Q3,0.0004919301917021418,-0.22244505445730256,-1.099395120200369,0.03820187383939983,0.42837590729923913,-1.590493678347969
1977Q4,0.03926410610774361,0.06500219800204282,-0.8918606098212873,-0.020760870279768515,-0.3283191449739113,-1.3820015507991703
1978Q1,0.17594066996706448,1.0782881905658868,-0.8714087082504531,0.13330015351418087,1.6488143177666608,-1.3650984972289015
1978Q2,0.05375854668873856,0.17246036929385436,-0.8354735094551804,0.039573613313658974,0.4459800485020605,-1.2585396539444398
1978Q3,0.05268054043193336,0.1644682994826671,-0.867978084211314,0.053460579849375627,0.6241976505767147,-1.2370922709215828
