,Low,2,3,4,High
Small,2.5225,2.5957,3.9214,4.0948,5.1433
2,1.9227,3.3361,5.1965,5.7275,7.9804
3,1.9559,4.3693,4.9748,6.2373,8.2604
4,3.6056,5.6202,7.341,7.0877,8.07
Big,2.9714,4.6668,5.1228,8.7841,5.1727
