,Mkt-RF,SMB,HML,RF,Mom,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
1927Q1,0.05173934726000029,-0.004993472464000059,0.040044272372000034,0.00842345170000014,0.005700000000000038,0.050880962272051855,0.05161136329502014,0.0962982825562626,0.05927598044536819,0.05668430921394463,0.09897679813182236
1927Q2,0.048061224386000134,-0.013178738321000139,0.009270532159999956,0.008121819499999683,0.0641296992,0.0025819748459614544,0.06220334275754347,0.06719203574938049,0.09643016237494195,0.0305454875712996,0.04678191525658848
1927Q3,0.10413755053999996,-0.012697154934999677,0.018335689279999956,0.008624623399999587,0.07706461238000006,0.08068353498302194,0.10183553240782528,0.1318875230513339,0.14072426831336582,0.08926752376631408,0.12458852973288703
1927Q4,0.022708468033000084,-0.024004282840000113,-0.08671461941499992,0.007418144699999907,0.022546470500000027,0.04527697845383538,-0.022811558182321612,-0.05053651628590994,0.055538214444859735,0.010206758290671969,-0.030017682879602048
1928Q1,0.08126414272399973,0.08146308248000023,-0.019005903616000075,0.006815381549999833,0.024098954731999855,0.20201651867594062,0.1380352576056385,0.1725336486538629,0.09163949663087778,0.0830483539764284,0.07784301564217744
1928Q2,0.11496885582499994,0.016071360792,0.014504598800000101,0.008423231054000002,-0.024797030350000027,0.06870774384961531,0.18208801728683066,0.15394471931023723,0.14880812912460972,0.11084440031222798,0.09477162554125385
1928Q3,-0.028462432240000002,-0.02505723328000009,-0.03253666640000008,0.009530111744000314,0.07266798735199997,-0.034917718516046525,-0.07067448473885396,-0.05295880820118437,0.0018776741462318558,-0.04051142605272018,-0.040377056839652536
1928Q4,0.11189754239299998,0.025580072959999978,-0.034199031111999956,0.010032865423999837,0.12683301632,0.1989656601706331,0.13149298275897503,0.1202046410776838,0.13496289165787845,0.08964613449972814,0.13845994565304642
1929Q1,0.17498935248000014,-0.059915160209999985,0.00870402116000002,0.00781724775199999,0.05900455413200012,0.09680810334966261,0.12459173649388666,0.13519806959346492,0.1958119611514917,0.18891678498251863,0.1724582659494438
1929Q2,0.002654394829999962,-0.06285290473599991,0.04216343376599996,0.010637484064000224,0.04665905481999988,-0.061337094855458796,0.00444740942644728,-0.032639431052403856,0.003253977620199411,0.04216504470135396,0.05854882741969325
1929Q3,0.07302151071999985,-0.110447432992,-0.016609819984000018,0.012954635504,0.08918225635999999,-0.04091241181216265,-0.013013385763700702,-0.03684470340657664,0.0975867207205734,0.11324109720218511,0.058568297038226635
