"DATES" "FL384104005.Q" "FL384104005.Q" "FL103169100.Q" "FL313161505.Q" "FL313161705.Q" "FL253162005.Q" "FL103163003.Q" "FL193168005.Q" "FL383169005.Q" "FL383165005.Q" "FL193165105.Q" "FL383165405.Q" "FL193165505.Q" "FL893065603.Q" "FL153166000.Q" "FL384104005.Q" "FL154104005.Q" "FL144104005.Q" "FL104104005.Q" "FL114104005.Q" "FL134104005.Q" "FL214104005.Q" "FL314104005.Q" "FL264104005.Q" "FL263169105.Q" "FL263163003.Q" "FL263168005.Q" "FL263169005.Q" "FL394104005.Q"
"196001" 692232 692232 427 232352 978 67248 73216 45158 22201 194895 132526 19199 30899 12271 55757 692232 199365 190269 138190 32750 19329 68321 234277 21783 0 5486 2741 13556 714015
"196002" 702268 702268 547 229995 953 68353 74107 47052 23397 199242 135313 19702 31668 12559 58622 702268 205908 194839 140949 33773 20117 69524 231997 22190 0 5611 2700 13879 724458
"196003" 711443 711443 782 231859 392 69924 74889 46655 23302 204050 138529 20293 32531 12697 59590 711443 210343 196525 141447 34864 20214 71174 233401 22556 0 5687 2734 14135 733999
"196004" 724735 724735 769 234042 688 70971 76216 48359 24087 208355 141324 20786 33407 12838 61248 724735 215580 200962 145235 35762 19965 72211 235982 23215 0 5784 3010 14421 747950
"196101" 726425 726425 623 231760 934 72420 76577 48139 24430 212203 143595 21424 34121 13063 59339 726425 216018 202697 145070 37100 20527 73710 234000 23853 0 5869 3017 14967 750278
"196102" 737031 737031 726 232089 656 73250 78530 49142 24936 217105 146552 21943 35173 13437 60597 737031 221416 206857 147399 38141 21317 74653 234105 23854 0 6042 3209 14603 760885
"196103" 750714 750714 1017 237420 436 75018 79237 48844 24920 222740 150128 22790 36085 13737 61082 750714 225576 209406 148007 39645 21754 76459 239273 24548 0 6109 3260 15179 775262
"196104" 768436 768436 1094 240701 995 76349 80611 50611 25722 228918 153976 23622 37403 13917 63435 768436 232266 215185 152668 40959 21558 77815 243170 25456 0 6221 3740 15495 793892
"196201" 775063 775063 1131 241030 1294 78037 81437 50448 26397 233251 156437 24218 38374 14222 62038 775063 233808 217789 153438 42063 22288 79588 243878 26358 0 6422 4129 15807 801421
"196202" 789552 789552 1092 240747 1347 79203 82981 52238 27128 239381 160186 24937 39584 14674 65435 789552 241229 223679 156844 43421 23414 80915 243729 26832 0 6737 4144 15951 816384
"196203" 800468 800468 1363 241789 748 80552 83558 53067 27026 245739 164293 25769 40733 14944 66626 800468 246978 226954 158338 44888 23728 82316 244220 26716 0 6831 4099 15786 827184
"196204" 821388 821388 1198 246773 1538 81800 84643 55783 27922 252387 168256 26732 42206 15193 69344 821388 254251 233322 163052 46414 23856 83770 250045 27544 0 7215 4153 16176 848932
"196301" 829002 829002 1214 247224 1739 82976 85579 54890 29053 257392 171301 27382 43148 15561 68935 829002 256795 236478 164290 47504 24684 85007 250722 28298 0 7709 3981 16608 857300
"196302" 844772 844772 987 247048 1489 84724 86695 57287 29729 264596 175751 28202 44492 16151 72217 844772 265487 242186 167119 49045 26023 86776 250323 29582 0 8216 4105 17261 874354
"196303" 855880 855880 1111 247312 936 85899 87225 57264 29758 272013 180611 28994 45835 16573 74362 855880 272586 245203 168083 50602 26518 88053 250038 29889 0 8287 4268 17334 885769
"196304" 877027 877027 968 250685 1367 87040 88414 60828 30651 279204 185054 30024 47304 16822 77870 877027 281156 252780 173742 52632 26406 89243 253848 30795 0 8208 4785 17802 907822
"196401" 885612 885612 948 250961 1236 88177 89091 60130 32203 284825 188724 30936 47831 17334 78041 885612 285171 256076 175095 53563 27417 90376 253990 31549 0 8097 5148 18304 917161
"196402" 902452 902452 889 249477 1364 89948 90362 63074 33376 292150 193315 32095 48672 18068 81812 902452 294495 263107 179194 55004 28909 92222 252628 32462 0 8249 5374 18839 934914
"196403" 918197 918197 1081 252366 1177 91760 91058 63256 33637 299720 198023 33313 49848 18536 84142 918197 301450 267267 181254 56694 29318 94132 255348 33199 0 8205 5766 19228 951396
"196404" 940874 940874 1125 255852 2222 93160 92408 67474 34300 306981 202282 34578 51179 18942 87352 940874 310302 275048 187535 58504 29009 95624 259900 34997 0 8675 6512 19810 975871
"196501" 952184 952184 847 255616 2308 94661 93342 69327 35759 312679 205839 35384 51982 19474 87645 952184 313866 281360 191659 59563 30138 97184 259774 36416 0 8765 7435 20216 988600
"196502" 969125 969125 727 252438 1966 96858 94941 72897 37096 319959 210278 36300 53197 20184 92243 969125 323235 290097 197157 61340 31601 99513 256280 36633 0 8835 7039 20759 1005758
"196503" 982544 982544 926 251156 2268 98905 96634 73888 37033 327343 214990 37243 54413 20697 94391 982544 330159 295476 200334 63013 32129 101624 255285 36732 0 8977 7036 20719 1019276
"196504" 1008014 1008014 797 257013 2670 100397 97260 79512 38418 334458 219397 38213 55661 21187 97489 1008014 338731 304581 207560 64710 32311 103174 261528 37454 0 9135 7101 21218 1045468
"196601" 1021715 1021715 820 257117 3110 101842 100223 80014 40287 341206 223305 39187 57017 21697 97096 1021715 341823 313170 212691 66859 33620 104665 262057 38074 0 9494 6916 21664 1059789
"196602" 1041025 1041025 861 251276 4629 104141 102790 87179 41573 348371 227179 40075 58796 22321 100205 1041025 350844 325410 221673 68759 34978 107051 257720 38615 0 9629 6887 22099 1079640
"196603" 1053841 1053841 1466 253273 3922 105524 105223 87598 41827 354019 230219 40708 60317 22775 100989 1053841 355023 331092 225732 69796 35564 108731 258995 38716 0 9736 6919 22061 1092557
"196604" 1075508 1075508 1622 259316 4025 106633 107474 90948 43584 358484 232689 41275 61468 23052 103422 1075508 361248 339099 232141 71454 35504 110037 265124 39457 0 9870 7051 22536 1114965
"196701" 1085684 1085684 2677 260390 5489 107874 110617 90396 45083 361810 234169 41968 62233 23440 101348 1085684 360273 346474 237600 72238 36637 111288 267649 40883 0 10159 6946 23778 1126567
"196702" 1097624 1097624 3242 250713 7100 110195 114236 95089 45522 367396 237025 42801 63577 23993 104131 1097624 367159 357238 244818 74354 38066 113659 259568 41645 0 10396 6595 24654 1139269
"196703" 1118803 1118803 3264 259277 6919 112319 118745 92729 45353 374653 241435 43748 64924 24546 105544 1118803 372159 362821 248078 76233 38510 115889 267934 42545 0 10785 6728 25032 1161348
"196704" 1151459 1151459 3034 268170 8180 113793 122132 99239 46406 381938 245857 44815 66249 25017 108567 1151459 380428 375589 258089 78685 38815 117372 278070 43340 0 11086 6695 25559 1194799
"196801" 1167104 1167104 3482 273511 8537 115278 124734 97952 48474 387864 249262 45464 67515 25623 107272 1167104 383628 380812 261234 79670 39908 118914 283750 44239 0 11389 6490 26360 1211343
"196802" 1187892 1187892 3400 268923 9458 117323 128262 103838 50061 395223 253560 46216 69060 26387 111404 1187892 394023 392646 269091 82150 41405 121158 280065 44615 0 11449 6417 26749 1232507
"196803" 1212330 1212330 4928 275665 10477 119319 131563 103314 50094 402810 258066 47088 70820 26836 114160 1212330 401100 400221 274359 84225 41637 123197 287812 45310 0 11683 6422 27205 1257640
"196804" 1243347 1243347 4249 277597 11340 122132 135025 111226 51390 411064 262817 48185 72885 27177 119324 1243347 412835 413796 285124 87090 41583 126125 290591 46066 0 12170 6296 27600 1289413
"196901" 1257510 1257510 4880 277439 11552 125803 138462 111543 53354 415593 264740 49078 74128 27647 118884 1257510 413395 423556 291743 89002 42811 129933 290626 46872 0 12487 6182 28203 1304382
"196902" 1275720 1275720 4914 265455 11043 129343 141743 119206 56602 423739 269621 50231 75545 28342 123675 1275720 424615 439449 302416 92621 44412 133548 278108 47931 0 12692 6179 29060 1323651
"196903" 1300154 1300154 5778 271648 9379 132054 144467 120550 58913 431552 274395 51387 77018 28752 125813 1300154 431985 449220 308334 96004 44882 136325 282625 48494 0 13107 5883 29504 1348648
"196904" 1330376 1330376 5356 276827 9036 133518 147000 127990 62051 439367 278575 53034 78763 28995 129231 1330376 442680 462003 317774 99612 44617 138257 287436 49248 0 13198 6029 30021 1379624
"197001" 1339842 1339842 7044 279213 8584 135658 150069 125857 64314 442440 280864 53324 78660 29592 126663 1339842 435952 474182 336701 91505 45976 140356 289353 49865 0 13480 6052 30333 1389707
"197002" 1361209 1361209 6895 273568 8098 138998 155797 131446 66941 450045 284264 54906 80953 29922 129421 1361209 442878 491564 349017 95127 47420 143570 283198 50300 0 13422 5947 30931 1411509
"197003" 1387689 1387689 7361 281041 7999 141582 161157 130055 67378 459692 288246 57496 83709 30241 131424 1387689 449003 501792 354504 99568 47720 146348 290546 50854 0 13818 5989 31047 1438543
"197004" 1420197 1420197 7133 289923 8078 145501 166756 132555 67891 468700 292122 59949 86137 30492 133660 1420197 457086 513295 362101 103606 47588 150317 299499 52054 0 14072 5824 32158 1472251
"197101" 1439043 1439043 8333 292511 7371 149746 172222 128280 70017 476491 296238 62120 87310 30823 134072 1439043 459528 523495 368037 106716 48741 154655 301366 52962 0 14354 5656 32952 1492005
"197102" 1475315 1475315 6856 294438 7136 153986 177621 134771 72184 489411 303099 64849 89677 31786 138912 1475315 472820 540652 377343 112321 50987 158807 303037 53954 0 14622 5754 33578 1529269
"197103" 1511863 1511863 7434 303786 6695 157928 181204 135504 72339 503508 311300 67190 92903 32115 143465 1511863 484509 552463 383772 117193 51498 162965 311926 55415 0 14934 6627 33854 1567278
"197104" 1555228 1555228 6247 315920 7028 161652 185563 140090 72346 517139 318361 69870 96527 32381 149243 1555228 499394 564713 390563 122586 51564 166747 324374 56576 0 15012 7291 34273 1611804
"197201" 1582653 1582653 7538 319902 7114 165807 188338 139301 75025 530781 325700 72439 99546 33096 148847 1582653 504838 578269 399233 126139 52897 171129 328417 58007 0 15495 7726 34786 1640660
"197202" 1618428 1618428 8126 313895 7099 169358 192150 146235 76147 549196 335666 75739 103682 34109 156222 1618428 522722 599119 409795 134163 55162 174210 322377 57958 0 15917 7899 34142 1676386
"197203" 1654697 1654697 7761 318373 7561 172942 195187 146657 76424 568263 347287 78490 107631 34855 161529 1654697 537598 612056 415686 140509 55860 177747 327296 59116 0 15789 9278 34049 1713813
"197204" 1711184 1711184 6968 330119 7927 175818 197750 156044 79227 588574 357319 82497 113398 35361 168757 1711184 555405 635683 429866 149004 56813 180710 339386 61123 0 16042 10389 34692 1772307
"197301" 1758673 1758673 5871 338062 8188 180262 199202 169269 82333 603958 365896 84173 117399 36490 171528 1758673 567949 659113 442967 157050 59097 184043 347568 63001 0 16175 11305 35521 1821674
"197302" 1804323 1804323 6032 331839 7771 183929 202249 180499 85127 626479 377965 87491 123062 37961 180398 1804323 588505 688058 459845 165952 62261 186850 340910 65142 0 16325 12417 36400 1869465
"197303" 1847620 1847620 6335 330286 8213 187988 204906 188041 87626 647530 389833 90659 128086 38952 186695 1847620 607155 709957 476608 169308 64041 190725 339783 64931 0 16546 11689 36696 1912551
"197304" 1895501 1895501 8382 336704 8357 192693 206909 194105 90342 665029 399776 92713 132735 39806 192980 1895501 624890 729502 495610 168482 65410 194779 346330 67419 0 17000 13104 37315 1962920
"197401" 1928492 1928492 9235 339703 8714 197202 210614 199066 93662 679836 407850 94854 136438 40694 190460 1928492 629187 750882 507951 175756 67176 198757 349666 69068 15 17677 14574 36802 1997560
"197402" 1978581 1978581 9967 333787 8685 201835 216000 215709 96645 699176 418787 96717 141354 42318 196777 1978581 649843 782475 527545 184288 70642 202564 343699 75411 1 18150 17873 39387 2053992
"197403" 2024122 2024122 12569 338265 8477 206004 220192 221276 101135 714963 428803 98420 144003 43737 201241 2024122 667468 802163 537087 192514 72562 206553 347938 77207 90 18565 16915 41637 2101329
"197404" 2069945 2069945 12513 348829 8227 207999 226579 230468 106620 726784 435114 99528 147220 44922 201926 2069945 680286 823227 551556 198352 73319 208213 358219 81237 181 19372 17760 43924 2151182
"197501" 2099328 2099328 14009 368846 7934 210167 236009 221425 108931 736095 439891 100065 149354 46785 195912 2099328 679289 832356 555004 201744 75608 209744 377939 83546 255 21480 16528 45283 2182874
"197502" 2146134 2146134 11658 385698 7885 214248 244281 222920 111591 751920 450774 100224 152393 48530 195933 2146134 693044 845720 560965 205149 79606 212670 394700 87409 388 22701 18530 45790 2233543
"197503" 2196637 2196637 11780 409201 7876 216917 247958 219903 113643 768176 462722 100322 156048 49084 201183 2196637 711518 852455 563070 208258 81127 214487 418177 91083 407 23967 20526 46183 2287720
