"DATES" "FL893169175.Q" "FL893169105.Q" "FL103169100.Q" "FL263169105.Q" "FL263169110.Q" "FL263169123.Q" "FL793169100.Q" "FL763169105.Q" "FL673169105.Q" "FL613169100.Q" "FL643169103.Q" "FL503169105.Q" "FL763169605.Q" "FL893169175.Q" "FL163069103.Q" "FL103069100.Q" "FL213069103.Q" "FL263069103.Q" "FL713069603.Q" "FL763069175.Q" "FL443069105.Q" "FL473069103.Q" "FL513069103.Q" "FL543069100.Q" "FL573069105.Q" "FL223069103.Q" "FL633069175.Q" "FL653069100.Q" "FL403069105.Q" "FL663069103.Q" "FL503069105.Q"
"196104" 7396 4686 1094 0 0 0 3592 0 0 3592 0 0 2710 7396 2188 1089 0 1360 48 2170 0 0 0 193 0 0 0 174 0 0 174
"196201" 8238 5715 1131 0 0 0 4584 0 0 4584 0 0 2523 8238 3090 562 0 1384 21 2036 0 0 0 513 0 0 0 316 0 0 316
"196202" 8230 5865 1092 0 0 0 4773 0 0 4773 0 0 2365 8230 3105 907 0 1317 40 1832 0 0 0 521 0 0 0 254 0 0 254
"196203" 8881 6577 1363 0 0 0 5214 0 0 5214 0 0 2304 8881 3342 1079 0 1293 14 1965 0 0 0 643 0 0 0 273 0 0 272
"196204" 8676 6000 1198 0 0 0 4802 0 0 4802 0 0 2676 8676 2993 1304 0 1387 52 2015 0 0 0 347 0 0 0 289 0 0 289
"196301" 9716 7101 1214 0 0 0 5887 0 0 5887 0 0 2615 9716 3850 1092 0 1370 29 2145 0 0 0 599 0 0 0 316 0 0 315
"196302" 9977 7253 987 0 0 0 6266 0 0 6266 0 0 2724 9977 4362 1008 0 1427 23 2093 0 0 0 487 0 0 0 289 0 0 288
"196303" 9922 7186 1111 0 0 0 6075 0 0 6075 0 0 2736 9922 4754 445 0 1568 16 1948 0 0 0 619 0 0 0 286 0 0 286
"196304" 9709 6790 968 0 0 0 5822 0 0 5822 0 0 2919 9709 4196 969 0 1437 70 2044 0 0 0 380 0 0 0 307 0 0 306
"196401" 10923 7790 948 0 0 0 6842 0 0 6842 0 0 3133 10923 4649 1341 0 1582 40 2225 0 0 0 506 0 0 0 290 0 0 290
"196402" 11276 8096 889 0 0 0 7207 0 0 7207 0 0 3180 11276 5403 1058 0 1696 23 2131 0 0 0 297 0 0 0 334 0 0 334
"196403" 11735 8528 1081 0 0 0 7447 0 0 7447 0 0 3207 11735 5042 1729 0 1653 59 2354 0 0 0 373 0 0 0 263 0 0 262
"196404" 11861 8442 1125 0 0 0 7317 0 0 7317 0 0 3419 11861 5173 1694 0 1620 59 2505 0 0 0 248 0 0 0 281 0 0 281
"196501" 12535 9177 847 0 0 0 8330 0 0 8330 0 0 3358 12535 6231 995 0 1885 93 2084 0 0 0 474 0 0 0 387 0 0 386
"196502" 12891 9502 727 0 0 0 8775 0 0 8775 0 0 3389 12891 6710 678 0 1859 3 2253 0 0 0 579 0 0 0 405 0 0 404
"196503" 13210 9863 926 0 0 0 8937 0 0 8937 0 0 3347 13210 6422 893 0 1940 11 2328 0 0 0 741 0 0 0 438 0 0 437
"196504" 12726 9300 797 0 0 0 8503 0 0 8503 0 0 3426 12726 6044 1370 0 1982 75 1970 0 0 0 293 0 0 0 496 0 0 496
"196601" 14456 11034 820 0 0 0 10214 0 0 10214 0 0 3422 14456 6752 2375 0 1996 30 2031 0 0 0 286 0 0 0 493 0 0 493
"196602" 14545 11091 861 0 0 0 10230 0 0 10230 0 0 3454 14545 6728 2473 0 2121 138 1700 0 0 0 219 0 0 0 583 0 0 583
"196603" 15527 12123 1466 0 0 0 10657 0 0 10657 0 0 3404 15527 7463 1952 0 2388 48 1791 0 0 0 298 0 0 0 794 0 0 793
"196604" 17284 13645 1622 0 0 0 12023 0 0 12023 0 0 3639 17284 8294 2852 0 2212 69 1943 0 0 0 380 0 0 0 767 0 0 767
"196701" 20234 16493 2677 0 0 0 13816 0 0 13816 0 0 3741 20234 9855 3495 0 2228 0 2638 0 0 0 553 0 0 0 733 0 0 732
"196702" 20779 16607 3242 0 0 0 13365 0 0 13365 0 0 4172 20779 9807 3418 0 2234 36 2818 0 0 0 865 0 0 0 801 0 0 800
"196703" 20941 16754 3264 0 0 0 13490 0 0 13490 0 0 4187 20941 9031 3916 0 2155 60 3091 0 0 0 1138 0 0 0 775 0 0 775
"196704" 21445 17085 3034 0 0 0 14051 0 0 14051 0 0 4360 21445 10135 3952 0 2247 75 2911 0 0 0 480 0 0 0 823 0 0 822
"196801" 23506 19127 3482 0 0 0 15645 0 0 15645 0 0 4379 23506 10576 3819 0 2362 100 3221 0 0 0 676 0 0 0 1376 0 0 1376
"196802" 23840 19511 3400 0 0 0 16111 0 0 16111 0 0 4329 23840 10809 4603 0 2475 134 2923 0 0 0 670 0 0 0 1113 0 0 1113
