"DATES" "FL714090005.Q" "FL713011005.Q" "FL713014003.Q" "FL713012003.Q" "FL713022003.Q" "FL713068705.Q" "FL713068703.Q" "FL723069143.Q" "FL712050000.Q" "FL714004005.Q" "FL713069603.Q" "FL713061100.Q" "FL713061705.Q" "FL713068005.Q" "FL713068303.Q" "FL713068473.Q" "FL663168005.Q" "FL713068513.Q" "FL713068523.Q" "FL713068533.Q" "FL713068543.Q" "FL713068553.Q" "FL713064103.Q" "FL713090005.Q" "FL713091103.Q" "FL713093005.Q" "FL714190005.Q" "FL713113003.Q" "FL723025000.Q" "FL713120005.Q" "FL713123005.Q" "FL713123023.Q" "FL713123030.Q" "FL713123043.Q" "FL713122605.Q" "FL713124003.Q" "FL713125005.Q" "FL712150003.Q" "FL713190005.Q" "FL713164003.Q" "FL713193005.Q"
"195901" 52585 20408 0 5090 746 572 572 0 70 25454 12 25424 0 18 0 18 0 0 0 0 0 0 0 245 0 245 51650 18194 3090 29629 1231 714 517 0 315 0 28083 0 737 374 363
"195902" 52898 19671 0 5123 846 892 892 0 70 26017 6 25994 0 17 0 17 0 0 0 0 0 0 0 279 0 279 51848 18188 3260 29889 929 394 535 0 306 0 28654 0 511 380 131
"195903" 52654 19318 0 5153 951 329 329 0 70 26514 0 26513 0 1 0 1 0 0 0 0 0 0 0 319 0 319 51563 17760 3240 30007 1081 377 704 0 318 0 28608 0 556 383 173
"195904" 53683 19394 0 5155 1590 453 453 0 73 26655 44 26606 0 5 0 5 0 0 0 0 0 0 0 363 0 363 52897 18174 3012 30826 895 391 504 0 353 0 29578 0 885 387 498
"196001" 51857 19352 0 5184 823 815 815 0 125 25193 7 25166 0 20 0 20 0 0 0 0 0 0 0 365 0 365 50976 17716 3360 29378 947 436 511 0 231 0 28200 0 522 395 127
"196002" 52663 19242 0 5198 868 267 267 0 225 26328 5 26323 0 0 0 0 0 0 0 0 0 0 0 535 0 535 51787 17528 3490 29743 899 395 504 0 264 0 28580 0 1026 400 626
"196003" 52594 18579 0 5219 987 593 593 0 325 26507 8 26480 0 19 0 19 0 0 0 0 0 0 0 384 0 384 51718 18058 3540 29588 958 404 554 0 200 0 28430 0 532 403 129
"196004" 52584 17666 0 5242 1868 25 25 0 420 27046 54 26984 0 8 0 8 0 0 0 0 0 0 0 317 0 317 51767 17081 3346 30612 862 377 485 0 226 0 29524 0 728 409 319
"196101" 50505 17329 0 5253 755 106 106 0 310 26431 35 26388 0 8 0 8 0 0 0 0 0 0 0 321 0 321 49605 15992 3630 29398 926 437 489 0 282 0 28190 0 585 423 162
"196102" 51588 17440 0 5281 1171 35 35 0 260 27030 26 27003 0 1 0 1 0 0 0 0 0 0 0 371 0 371 50677 16716 2903 30550 787 379 408 0 256 0 29507 0 508 425 83
