"DATES" "FL724090005.Q" "FL723020005.Q" "FL724005005.Q" "FL723069175.Q" "FL723061100.Q" "FL723061705.Q" "FL723061753.Q" "FL723061763.Q" "FL723061795.Q" "FL723062000.Q" "FL723063005.Q" "FL723065773.Q" "FL723063663.Q" "FL723063095.Q" "FL723068005.Q" "FL723065005.Q" "FL723066000.Q" "FL723067003.Q" "FL723064105.Q" "FL723064203.Q" "FL293169723.Q" "FL723090005.Q" "FL724190005.Q" "FL724110005.Q" "FL713022003.Q" "FL713068705.Q" "FL724112005.Q" "FL724116005.Q" "FL723127005.Q" "FL723123005.Q" "FL723122605.Q" "FL723129205.Q" "FL723131005.Q" "FL723135005.Q" "FL722150005.Q" "FL723169175.Q" "FL723163003.Q" "FL723169305.Q" "FL723178003.Q" "FL723190005.Q" "FL723194733.Q" "FL723193005.Q" "FL724004005.Q" "FL723066303.Q"
"195704" 195977 22369 171160 610 58239 2410 0 0 2410 13915 1566 0 0 1566 46859 23108 20232 4221 0 0 1046 1402 180708 2665 1424 50 939 252 115203 3898 1558 109747 51322 6462 -313 1056 0 0 952 3361 0 3361 167985 0
"195801" 195578 21316 171726 973 59550 3082 0 0 3082 14512 1612 0 0 1612 44930 23161 19706 4200 0 0 1223 1313 180019 1240 704 118 82 336 112363 5560 1224 105579 52772 8573 -375 1235 0 0 1013 3198 0 3198 168749 0
"195802" 202894 21585 178355 1013 62740 2541 0 0 2541 15808 1863 0 0 1863 45091 23708 20191 5400 0 0 1082 1872 187089 1230 796 128 -95 401 116532 9460 1473 105599 54455 9845 -291 1093 0 0 819 3406 0 3406 174037 0
"195803" 203543 21241 179867 1013 64720 2760 0 0 2760 16342 1595 0 0 1595 44972 24435 20330 3700 0 0 1025 1410 187395 2278 949 337 652 340 114180 4220 1078 108882 55923 9382 67 1035 0 0 894 3636 0 3636 177192 0
"195804" 210764 21753 186476 818 66376 2985 0 0 2985 16505 1523 0 0 1523 47646 25251 20711 4661 0 0 955 1580 194602 2561 1296 46 1047 172 120791 4250 1529 115012 56696 9069 -252 965 0 0 929 3843 0 3843 182770 0
"195901" 206815 21284 183076 822 63160 2475 0 0 2475 16713 1545 0 0 1545 47456 25900 21105 3900 0 0 843 1612 190478 2673 746 572 981 374 115427 3590 1422 110415 57702 8982 88 852 0 0 810 3944 0 3944 180019 0
"195902" 210131 21448 186367 656 60860 2028 0 0 2028 16886 1545 0 0 1545 50966 26872 22454 4100 0 0 786 1530 193570 3413 846 892 1307 368 116368 4420 1586 110362 59026 8594 534 794 0 0 566 4275 0 4275 183053 0
"195903" 212264 21000 188403 752 59230 1958 0 0 1958 16989 1542 0 0 1542 52770 27546 23516 4100 0 0 763 2098 195374 3052 951 329 1483 289 118456 6140 1479 110837 59934 7829 255 771 0 0 522 4555 0 4555 185066 0
"195904" 215759 21186 191819 711 58937 1864 0 0 1864 16958 1444 0 0 1444 54798 28059 24180 4868 0 0 921 1833 198836 3844 1590 453 1390 411 121810 5050 1525 115235 60236 7305 -28 930 0 0 469 4270 0 4270 187872 0
"196001" 209915 21076 185793 755 54160 1607 0 0 1607 16945 1364 0 0 1364 54873 28141 24448 3500 0 0 1093 1953 192759 3192 823 815 1006 548 115276 4410 1086 109780 60268 7233 968 1104 0 0 592 4126 0 4126 183386 0
"196002" 213121 21018 189153 826 54210 1579 0 0 1579 16716 1311 0 0 1311 56759 28375 25577 3800 0 0 1106 1844 195602 3131 868 267 1176 820 117710 7030 1354 109326 61326 7691 405 1117 0 0 769 3453 0 3453 186459 0
"196003" 218607 21598 193781 959 57690 1710 0 0 1710 17108 1321 0 0 1321 55816 28601 26176 4400 0 0 1334 1894 200751 3909 987 593 1392 937 119776 7440 1385 110951 62726 8485 228 1348 0 0 1131 3148 0 3148 190715 0
"196004" 224987 20427 201076 1114 61003 2261 0 0 2261 17569 1263 0 0 1263 57614 28712 26423 5117 0 0 1622 1862 206839 4261 1868 25 1564 804 123722 5945 1649 116128 62504 10832 -262 1638 0 0 1468 2676 0 2676 197581 0
"196101" 221337 19622 198202 1321 59670 2411 0 0 2411 18469 1261 0 0 1261 55337 28765 26968 4000 0 0 1785 1728 203073 2829 755 106 1095 873 117591 4160 2106 111325 65070 11163 52 1802 0 0 1378 3188 0 3188 195987 0
"196102" 226863 19619 202943 1413 61824 2405 0 0 2405 18115 1126 0 0 1126 56546 29279 27308 4927 0 0 1817 2484 208093 3246 1171 35 1026 1014 119271 6362 2002 110907 67306 12358 30 1835 0 0 967 3080 0 3080 199833 0
"196103" 234031 20180 209944 1697 66126 2354 0 0 2354 19641 1099 0 0 1099 56655 29809 27463 5100 0 0 1938 1969 214825 3852 1300 82 1464 1006 123221 7750 2136 113335 68058 13452 274 1957 0 0 783 3228 0 3228 206782 0
"196104" 242391 21076 217242 2019 66578 2939 0 0 2939 20345 1103 0 0 1103 59878 30321 27869 6190 0 0 2146 1927 223045 5456 2300 115 2262 779 128746 5946 2586 120214 69471 13239 14 2168 0 0 577 3374 0 3374 213198 0
"196201" 239749 20686 215408 1908 64440 3189 0 0 3189 21715 1152 0 0 1152 59040 30708 27856 5400 0 0 1998 1657 220307 3261 918 170 1159 1014 121985 6260 2884 112841 73020 15268 173 2018 0 0 707 3875 0 3875 212006 0
"196202" 246634 20391 222159 1687 64443 3575 0 0 3575 23165 1038 0 0 1038 61496 32039 29457 5259 0 0 1874 2210 226714 3654 1462 43 1141 1008 124344 9554 2814 111976 76436 15907 55 1892 0 0 741 3685 0 3685 218774 0
"196203" 251058 21375 225883 1826 64250 3213 0 0 3213 24093 1015 0 0 1015 62477 33256 29953 5800 0 0 1825 1975 230941 5182 1641 762 1814 965 124443 8090 2364 113989 79275 15279 264 1843 0 0 974 3681 0 3681 221908 0
"196204" 263634 21973 237336 1867 66434 4352 0 0 4352 25460 1118 0 0 1118 66105 34287 30563 7150 0 0 2120 2205 243180 5080 2903 37 1531 609 133317 7158 2740 123419 82207 16073 63 2141 0 0 1072 3227 0 3227 232306 0
"196301" 259283 20620 234823 1982 64840 4254 0 0 4254 26335 1187 0 0 1187 64088 35042 31095 6000 0 0 2071 1769 238811 3324 1223 194 810 1097 125274 7330 2470 115474 84848 17847 433 2092 0 0 1082 3911 0 3911 230894 0
"196302" 267429 20448 242336 1928 63542 4339 0 0 4339 27817 1130 0 0 1130 67298 36729 32675 6878 0 0 2158 2487 246465 3604 1638 96 992 878 129328 11060 2804 115464 88043 18129 288 2179 0 0 805 4089 0 4089 237616 0
"196303" 270621 21171 245264 1791 61810 4525 0 0 4525 28955 959 0 0 959 68067 38142 33615 7400 0 0 2167 2019 249710 4203 1435 465 1439 864 128528 8850 2786 116892 90169 18437 342 2189 35 0 778 5029 0 5029 240031 0
"196304" 281177 21308 255510 1885 63240 4683 0 0 4683 29972 775 0 0 775 73195 39183 34677 7900 0 0 2312 2047 260739 4812 2600 31 1521 660 135577 6548 3064 125965 92671 19956 26 2335 233 0 621 4508 0 4508 249922 0
"196401" 278627 21111 253680 2045 61500 4136 0 0 4136 30760 1222 0 0 1222 71460 39954 35503 7100 0 0 2482 1354 257796 3385 1497 55 980 853 129182 7870 3159 118153 94706 21703 356 2506 420 0 818 4720 0 4720 249062 0
"196402" 287351 21512 261521 1955 59322 4342 0 0 4342 31419 1304 0 0 1304 75923 41384 37642 8230 0 0 2519 1799 265706 3205 1633 79 857 636 133235 10257 3484 119494 97647 22261 457 2544 533 0 756 5068 0 5068 255810 0
"196403" 292984 21901 266541 2166 60710 4314 0 0 4314 32682 1283 0 0 1283 75838 42665 38783 8100 0 0 2540 2002 271234 4018 1567 93 1584 774 134858 9200 3680 121978 99882 22833 75 2566 677 0 784 5541 0 5541 260981 0
"196404" 305820 22382 278672 2338 62991 5206 0 0 5206 33534 1263 0 0 1263 81516 43675 39765 8384 0 0 2708 2058 283574 4706 2606 156 1167 777 141532 6510 3897 131125 102468 24696 540 2735 773 0 834 5290 0 5290 272996 0
"196501" 305697 22117 278783 1863 59040 5343 0 0 5343 34892 1316 0 0 1316 83367 44480 40682 7800 0 0 2660 2137 283380 3759 1114 109 1314 1222 134683 8350 3825 122508 106906 26699 773 2686 893 0 673 6308 0 6308 273643 0
"196502" 317268 23207 289019 2057 56853 5218 0 0 5218 36541 1370 0 0 1370 88659 46210 43133 8978 0 0 2684 2358 294285 4829 1349 646 1668 1166 139612 11796 3740 124076 109851 28093 850 2711 1490 0 592 6257 0 6257 282725 0
"196503" 319915 23167 291810 2129 55930 5376 0 0 5376 37894 1239 0 0 1239 90212 47996 44334 6700 0 0 2651 2287 296889 4505 1405 123 1650 1327 137153 7370 3940 125843 113170 29389 1136 2678 1517 0 683 6658 0 6658 287761 0
