"DATES" "FL614090005.Q" "FL613020003.Q" "FL613030003.Q" "FL614004005.Q" "FL613063003.Q" "FL613069500.Q" "FL613065000.Q" "FL613066005.Q" "FL613090005.Q" "FL614190005.Q" "FL614104005.Q" "FL613169100.Q" "FL613163003.Q" "FL613168000.Q" "FL313069223.Q" "FL613178003.Q" "FL613190005.Q" "FL613192003.Q" "FL613194003.Q" "FL613193005.Q" "FL613066303.Q"
"195201" 10173 860 287 8599 0 2615 476 5508 427 7832 6229 1318 1558 3353 0 247 1356 22 0 1334 0
"195202" 11006 866 289 9393 0 2764 512 6117 458 8346 6642 1503 1640 3499 0 225 1479 23 0 1456 0
"195203" 11548 872 291 9871 0 2831 570 6470 514 8705 6873 1631 1612 3630 0 253 1579 24 0 1555 0
"195204" 12490 878 293 10782 0 3127 598 7057 537 9377 7455 1418 1682 4355 0 246 1676 23 0 1653 0
"195301" 12889 882 294 11294 0 3372 481 7441 419 9717 7853 1610 2075 4168 0 214 1650 24 0 1626 0
"195302" 13609 887 296 11947 0 3428 546 7973 479 10392 8401 1519 2624 4258 0 198 1793 25 0 1768 0
"195303" 14248 892 297 12464 0 3396 663 8405 595 11137 8973 1709 2911 4353 0 240 1924 26 0 1898 0
"195304" 14252 897 299 12500 0 3252 624 8624 556 11052 8884 1643 3057 4184 0 319 1849 24 0 1825 0
"195401" 14122 906 302 12329 0 3336 653 8340 585 11055 8837 1868 3092 3877 0 294 1924 25 0 1899 0
"195402" 14359 915 305 12523 0 3304 685 8534 616 11145 8899 1760 3124 4015 0 205 2041 26 0 2015 0
"195403" 14621 903 301 12709 0 3138 778 8793 708 10955 8615 1716 2930 3969 0 233 2107 27 0 2080 0
"195404" 15108 877 292 13166 0 3258 845 9063 773 11042 8295 1491 2759 4045 0 235 2512 27 0 2485 0
"195501" 15511 888 296 13455 0 3036 945 9474 872 11958 8894 1797 2852 4245 0 198 2866 28 0 2838 0
"195502" 17140 911 304 14893 0 3316 1114 10463 1032 13460 9294 2005 2775 4514 0 171 3995 29 0 3966 0
"195503" 18439 948 316 15902 0 3158 1359 11385 1273 14472 9774 1971 2944 4859 0 238 4460 30 0 4430 0
"195504" 19580 995 332 16972 0 3762 1372 11838 1281 15477 9867 1739 3156 4972 0 274 5336 30 0 5306 0
"195601" 19919 999 333 17394 0 4113 1287 11994 1193 16025 11008 2297 3724 4987 0 250 4767 31 0 4736 0
"195602" 20090 998 333 17575 0 3969 1280 12326 1184 16226 11275 2241 3954 5080 0 192 4759 32 0 4727 0
