"DATES" "FL793130005.Q" "FL793131005.Q" "FL763131005.Q" "FL723131005.Q" "FL753131005.Q" "FL743131005.Q" "FL443131005.Q" "FL473131005.Q" "FL793135005.Q" "FL763135005.Q" "FL723135005.Q" "FL753135005.Q" "FL743135005.Q" "FL443135005.Q" "FL473135003.Q" "FL793130005.Q" "FL153030005.Q" "FL143030005.Q" "FL103030003.Q" "FL113030003.Q" "FL213030005.Q" "FL313030003.Q" "FL263030005.Q" "FL793030005.Q" "FL443030053.Q" "FL473030005.Q" "FL573030005.Q" "FL223030005.Q" "FL633030000.Q" "FL403030005.Q" "FL613030003.Q"
"195201" 78610 73989 34765 34753 12 0 38129 1095 4621 4621 4515 106 0 0 0 78610 73209 900 900 0 1637 290 1660 914 0 260 367 0 0 0 287
"195202" 80959 76228 35607 35594 13 0 39428 1193 4731 4731 4612 119 0 0 0 80959 75462 900 900 0 1631 317 1697 952 0 282 381 0 0 0 289
"195203" 82465 77811 36185 36170 15 0 40368 1258 4654 4654 4523 131 0 0 0 82465 76984 900 900 0 1624 325 1656 976 0 289 396 0 0 0 291
"195204" 85041 80183 37027 37011 16 0 41805 1351 4858 4858 4714 144 0 0 0 85041 79312 900 900 0 1628 351 1807 1043 0 339 411 0 0 0 293
"195301" 87021 82113 37538 37521 17 0 43188 1387 4908 4908 4752 156 0 0 0 87021 81226 900 900 0 1658 345 1852 1040 0 319 427 0 0 0 294
"195302" 89868 84736 38453 38434 19 0 44760 1523 5132 5132 4964 168 0 0 0 89868 83815 900 900 0 1742 340 1969 1102 0 362 444 0 0 0 296
"195303" 91503 86346 39039 39019 20 0 45712 1595 5157 5157 4978 179 0 0 0 91503 85398 900 900 0 1696 344 2050 1115 0 357 461 0 0 0 297
"195304" 94270 88467 39545 39524 21 0 47234 1688 5803 5803 5614 189 0 0 0 94270 87476 900 900 0 1957 342 2408 1187 0 410 478 0 0 0 299
"195401" 96947 90512 39967 39945 22 0 48821 1724 6435 6435 6233 202 0 0 0 96947 89459 950 950 0 2283 344 2683 1228 0 429 497 0 0 0 302
"195402" 100284 93406 41010 40986 24 0 50566 1830 6878 6878 6665 213 0 0 0 100284 92375 1000 1000 0 2335 335 2964 1275 0 454 516 0 0 0 305
"195403" 102332 95052 41464 41439 25 0 51662 1926 7280 7280 7055 225 0 0 0 102332 93957 1050 1050 0 2438 344 3223 1320 0 483 536 0 0 0 301
"195404" 104819 97834 42194 42168 26 0 53603 2037 6985 6985 6752 233 0 0 0 104819 96616 1100 1100 0 2419 370 2900 1414 0 566 556 0 0 0 292
"195501" 106910 99965 42583 42557 26 0 55316 2066 6945 6945 6712 233 0 0 0 106910 98714 1075 1075 0 2377 374 2937 1433 0 560 577 0 0 0 296
