"DATES" "FL554090005.Q" "FL554004005.Q" "FL553061103.Q" "FL553062003.Q" "FL553063003.Q" "FL553064103.Q" "FL554090005.Q" "FL564090005.Q" "FL564004005.Q" "FL563061103.Q" "FL563062003.Q" "FL563063003.Q" "FL563064103.Q" "FL564090005.Q"
"197203" 8139 2636 659 0 1977 5503 8139 0 0 0 0 0 0 0
"197204" 8450 2704 676 0 2028 5746 8450 0 0 0 0 0 0 0
"197301" 8780 2897 702 0 2195 5883 8780 0 0 0 0 0 0 0
"197302" 9051 3053 740 0 2313 5998 9051 0 0 0 0 0 0 0
"197303" 9673 3192 774 0 2418 6481 9673 0 0 0 0 0 0 0
"197304" 9855 3252 788 0 2464 6603 9855 0 0 0 0 0 0 0
"197401" 9797 3331 784 0 2547 6466 9797 0 0 0 0 0 0 0
"197402" 9495 3228 760 0 2468 6267 9495 0 0 0 0 0 0 0
"197403" 8349 3111 732 0 2379 5238 8349 0 0 0 0 0 0 0
"197404" 8954 3044 716 0 2328 5910 8954 0 0 0 0 0 0 0
"197501" 10078 3107 710 0 2397 6971 10078 0 0 0 0 0 0 0
"197502" 10675 3106 710 0 2396 7569 10675 0 0 0 0 0 0 0
"197503" 9511 3119 713 0 2406 6392 9511 0 0 0 0 0 0 0
"197504" 8952 3133 716 0 2417 5819 8952 0 0 0 0 0 0 0
"197601" 10051 3258 724 0 2534 6793 10051 0 0 0 0 0 0 0
"197602" 9757 3333 741 0 2592 6424 9757 0 0 0 0 0 0 0
"197603" 9602 3385 752 0 2633 6217 9602 0 0 0 0 0 0 0
"197604" 9319 3355 746 0 2609 5964 9319 0 0 0 0 0 0 0
"197701" 8673 3230 718 0 2512 5443 8673 0 0 0 0 0 0 0
"197702" 8429 2998 666 0 2332 5431 8429 0 0 0 0 0 0 0
"197703" 7694 2770 616 0 2154 4924 7694 0 0 0 0 0 0 0
"197704" 7373 2654 590 0 2064 4719 7373 0 0 0 0 0 0 0
"197801" 7050 2720 588 0 2132 4330 7050 0 0 0 0 0 0 0
"197802" 7297 2811 608 0 2203 4486 7297 0 0 0 0 0 0 0
"197803" 7599 2923 632 0 2291 4676 7599 0 0 0 0 0 0 0
"197804" 8039 2974 643 0 2331 5065 8039 0 0 0 0 0 0 0
"197901" 8056 3061 644 0 2417 4995 8056 0 0 0 0 0 0 0
"197902" 7986 3035 639 0 2396 4951 7986 0 0 0 0 0 0 0
"197903" 7897 3001 632 0 2369 4896 7897 0 0 0 0 0 0 0
"197904" 7855 2985 628 0 2357 4870 7855 0 0 0 0 0 0 0
"198001" 7366 2989 629 0 2360 4377 7366 0 0 0 0 0 0 0
"198002" 7429 3013 634 0 2379 4416 7429 0 0 0 0 0 0 0
"198003" 7471 3029 638 0 2391 4442 7471 0 0 0 0 0 0 0
"198004" 7920 3010 634 0 2376 4910 7920 0 0 0 0 0 0 0
"198101" 8160 3182 621 0 2561 4978 8160 0 0 0 0 0 0 0
"198102" 7874 3064 598 0 2466 4810 7874 0 0 0 0 0 0 0
"198103" 7199 2952 576 0 2376 4247 7199 0 0 0 0 0 0 0
"198104" 7068 2898 565 0 2333 4170 7068 0 0 0 0 0 0 0
"198201" 6982 3187 567 0 2620 3795 6982 0 0 0 0 0 0 0
"198202" 6831 3254 578 0 2676 3577 6831 0 0 0 0 0 0 0
"198203" 7104 3332 592 0 2740 3772 7104 0 0 0 0 0 0 0
"198204" 7488 3370 599 0 2771 4118 7488 0 0 0 0 0 0 0
"198301" 7344 3082 602 0 2480 4262 7344 0 0 0 0 0 0 0
"198302" 7669 3100 603 0 2497 4569 7669 0 0 0 0 0 0 0
"198303" 7593 3142 600 0 2542 4451 7593 0 0 0 0 0 0 0
"198304" 7441 3149 592 0 2557 4292 7441 0 0 0 0 0 0 0
"198401" 7194 3126 575 0 2551 4068 7194 0 0 0 0 0 0 0
"198402" 6987 3133 545 0 2588 3854 6987 0 0 0 0 0 0 0
"198403" 6780 2815 519 0 2296 3965 6780 0 0 0 0 0 0 0
"198404" 6384 2672 512 0 2160 3712 6384 0 0 0 0 0 0 0
"198501" 6866 2943 518 200 2225 3923 6866 0 0 0 0 0 0 0
"198502" 7101 3071 531 400 2140 4030 7101 0 0 0 0 0 0 0
"198503" 7370 3557 559 650 2348 3813 7370 0 0 0 0 0 0 0
"198504" 8280 4070 612 950 2508 4210 8280 0 0 0 0 0 0 0
"198601" 10409 4542 689 1200 2653 5867 10409 0 0 0 0 0 0 0
"198602" 12164 5337 789 1450 3098 6827 12164 0 0 0 0 0 0 0
"198603" 12976 6132 906 1700 3526 6844 12976 0 0 0 0 0 0 0
"198604" 14472 6986 1038 2000 3948 7486 14472 0 0 0 0 0 0 0
"198701" 18309 7587 1285 2241 4061 10722 18309 0 0 0 0 0 0 0
"198702" 20025 7933 1061 2458 4414 12092 20025 0 0 0 0 0 0 0
"198703" 22067 8956 1034 2751 5171 13111 22067 0 0 0 0 0 0 0
"198704" 21346 10967 1604 3271 6092 10379 21346 0 0 0 0 0 0 0
"198801" 25422 14134 2277 3914 7943 11288 25422 0 0 0 0 0 0 0
"198802" 31986 19708 3547 4996 11165 12278 31986 0 0 0 0 0 0 0
"198803" 37918 24682 4418 6175 14089 13236 37918 0 0 0 0 0 0 0
"198804" 43176 28834 4800 7497 16537 14342 43176 0 0 0 0 0 0 0
"198901" 44532 31464 5500 8565 17399 13068 44532 0 0 0 0 0 0 0
"198902" 45834 31645 5989 9426 16230 14189 45834 0 0 0 0 0 0 0
"198903" 50042 34512 6282 11252 16978 15530 50042 0 0 0 0 0 0 0
"198904" 52489 35390 6629 12101 16660 17099 52489 0 0 0 0 0 0 0
"199001" 55110 37898 6651 12923 18324 17212 55110 0 0 0 0 0 0 0
"199002" 53156 36563 6561 12768 17234 16593 53156 0 0 0 0 0 0 0
"199003" 52398 36398 6556 13248 16594 16000 52398 0 0 0 0 0 0 0
"199004" 52880 36692 6830 14121 15741 16188 52880 0 0 0 0 0 0 0
"199101" 55894 38766 7408 16225 15133 17128 55894 0 0 0 0 0 0 0
"199102" 61342 42557 8307 19233 15017 18785 61342 0 0 0 0 0 0 0
"199103" 66622 46088 9252 22405 14431 20534 66622 0 0 0 0 0 0 0
"199104" 71234 49482 9967 25413 14102 21752 71234 0 0 0 0 0 0 0
"199201" 77815 55306 10490 29411 15405 22509 77815 0 0 0 0 0 0 0
"199202" 82885 60007 10855 33176 15976 22878 82885 0 0 0 0 0 0 0
"199203" 87824 64628 11195 36731 16702 23196 87824 0 0 0 0 0 0 0
"199204" 93466 69666 11642 39682 18342 23800 93466 0 0 0 0 0 0 0
"199301" 97204 74662 12160 42700 19802 22542 97204 133 0 0 0 0 133 133
"199302" 103158 79658 12678 45718 21262 23500 103158 277 0 0 0 0 277 277
"199303" 109998 84654 13196 48736 22722 25344 109998 290 0 0 0 0 290 290
"199304" 116141 89650 13714 51754 24182 26491 116141 464 0 0 0 0 464 464
"199401" 116045 88725 13476 52159 23090 27320 116045 655 0 0 0 0 655 655
"199402" 115773 87800 13238 52564 21998 27973 115773 392 0 0 0 0 392 392
"199403" 117600 86875 13000 52969 20906 30725 117600 322 0 0 0 0 322 322
"199404" 117830 85950 12762 53374 19814 31880 117830 424 0 0 0 0 424 424
"199501" 122488 88078 12335 54573 21170 34410 122488 450 0 0 0 0 450 450
"199502" 127475 90206 11908 55772 22526 37269 127475 643 0 0 0 0 643 643
"199503" 132656 92334 11481 56971 23882 40322 132656 774 0 0 0 0 774 774
"199504" 136388 94462 11054 58170 25238 41926 136388 1052 0 0 0 0 1052 1052
"199601" 138597 95197 11083 58410 25704 43400 138597 1359 0 0 0 0 1359 1359
"199602" 140352 95932 11112 58650 26170 44420 140352 1560 0 0 0 0 1560 1560
"199603" 141452 96667 11141 58890 26636 44785 141452 1739 0 0 0 0 1739 1739
"199604" 144389 97402 11170 59130 27102 46987 144389 2401 0 0 0 0 2401 2401
"199701" 141695 97119 10820 59206 27093 44576 141695 2751 0 0 0 0 2751 2751
"199702" 146214 96836 10470 59282 27084 49378 146214 3636 0 0 0 0 3636 3636
"199703" 148027 96553 10120 59358 27075 51474 148027 4941 0 0 0 0 4941 4941
"199704" 145895 96270 9770 59434 27066 49625 145895 6702 0 0 0 0 6702 6702
"199801" 150573 97503 9515 59751 28237 53070 150573 8213 0 0 0 0 8213 8213
"199802" 149718 98736 9260 60068 29408 50982 149718 9215 0 0 0 0 9215 9215
"199803" 141714 99969 9005 60385 30579 41745 141714 9799 0 0 0 0 9799 9799
"199804" 148808 101202 8750 60702 31750 47606 148808 15564 0 0 0 0 15564 15564
"199901" 153772 103157 8816 62482 31859 50615 153772 16415 0 0 0 0 16415 16415
"199902" 163183 106907 8805 65360 32742 56276 163183 20625 0 0 0 0 20625 20625
"199903" 146957 110221 8766 68881 32574 36736 146957 21063 0 0 0 0 21063 21063
"199904" 152082 110815 7566 69712 33537 41267 152082 33862 0 0 0 0 33862 33862
"200001" 154149 112182 7604 70614 33964 41967 154149 36793 0 0 0 0 36793 36793
"200002" 152282 111115 7564 70095 33456 41167 152282 46091 0 0 0 0 46091 46091
