"DATES" "FL263191103.Q" "FL313091105.Q" "FL713091103.Q" "FL313131003.Q" "FL313131003.Q" "FL403197033.Q" "FL403197033.Q" "FL543077003.Q" "FL543077003.Q" "FL543195005.Q" "FL543195013.Q" "FL543195023.Q" "FL543195033.Q" "FL543195005.Q" "FL513176003.Q" "FL153076005.Q" "FL103076003.Q" "FL113076003.Q" "FL133076005.Q" "FL573095405.Q" "FL573095405.Q" "FL573074005.Q" "FL573074005.Q" "FL663097005.Q" "FL663097005.Q" "FL343150005.Q" "FL343150005.Q" "FL313195105.Q" "FL313195105.Q"
"195201" 334 334 0 2777 2777 345 345 1105 1105 2699 353 2346 0 2699 8156 3980 1578 1574 1024 0 0 139 139 0 0 7552 7552 0 0
"195202" 334 334 0 2728 2728 407 407 1123 1123 2767 368 2399 0 2767 8417 4138 1607 1626 1046 0 0 145 145 0 0 7938 7938 0 0
"195203" 326 326 0 2680 2680 380 380 1142 1142 2838 383 2455 0 2838 8677 4293 1636 1680 1068 0 0 151 151 0 0 8363 8363 0 0
"195204" 337 337 0 2656 2656 420 420 1162 1162 3560 399 2516 645 3560 8916 4432 1666 1730 1088 0 0 160 160 0 0 8411 8411 0 0
"195301" 348 348 0 2618 2618 469 469 1184 1184 3652 416 2581 655 3652 9140 4559 1696 1778 1107 0 0 167 167 0 0 8471 8471 0 0
"195302" 320 320 0 2567 2567 505 505 1207 1207 3752 435 2652 665 3752 9355 4677 1728 1825 1125 0 0 175 175 0 0 8804 8804 0 0
"195303" 310 310 0 2509 2509 481 481 1231 1231 3853 454 2725 674 3853 9557 4784 1759 1872 1142 0 0 182 182 0 0 8902 8902 0 0
"195304" 305 305 0 2465 2465 558 558 1254 1254 3951 470 2797 684 3951 9741 4877 1786 1919 1159 0 0 191 191 0 0 8941 8941 0 0
"195401" 280 280 0 2415 2415 739 739 1275 1275 4044 483 2868 693 4044 9901 4949 1808 1968 1176 0 0 199 199 0 0 8961 8961 0 0
"195402" 339 339 0 2355 2355 819 819 1294 1294 4134 493 2938 703 4134 10032 4998 1823 2019 1192 0 0 205 205 0 0 9273 9273 0 0
