"DATES" "FL893167005.Q" "FL153167005.Q" "FL263167003.Q" "FL663167005.Q" "FL663167003.Q" "FL723067003.Q" "FL753067000.Q" "FL893167005.Q" "FL153067005.Q" "FL263067003.Q" "FL763067005.Q" "FL663067003.Q"
"197202" 32683 12661 339 19683 5235 13598 850 32683 4925 310 14448 13000
"197203" 33988 13058 336 20594 5044 14700 850 33988 4733 311 15550 13394
"197204" 37444 13080 405 23959 5388 17409 1162 37444 5022 366 18571 13485
"197301" 31769 12037 364 19368 5158 13500 710 31769 4848 310 14210 12401
"197302" 29545 10602 243 18700 4836 13330 534 29545 4520 316 13864 10845
"197303" 27530 9926 255 17349 4993 12099 257 27530 4703 290 12356 10181
"197304" 29499 8918 231 20350 5199 14559 592 29499 4866 333 15151 9149
"197401" 25231 8277 225 16729 4992 11500 237 25231 4609 383 11737 8502
"197402" 25053 7792 241 17020 4647 12132 241 25053 4293 354 12373 8033
"197403" 24406 7554 178 16674 4325 12099 250 24406 4027 298 12349 7732
"197404" 25870 7390 193 18287 4184 13585 518 25870 3891 293 14103 7583
"197501" 23687 7372 209 16106 4203 11599 304 23687 3854 349 11903 7581
"197502" 24646 7476 233 16937 4353 12322 262 24646 3973 380 12584 7709
"197503" 22925 7772 258 14895 4580 10000 315 22925 4237 343 10315 8030
"197504" 28466 8286 319 19861 4832 14599 430 28466 4468 364 15029 8605
"197601" 29112 9626 333 19153 5311 13399 443 29112 4900 411 13842 9959
"197602" 31278 11223 0 20055 5438 14000 617 31278 5438 0 14617 11223
"197603" 31990 11645 0 20345 5557 14199 589 31990 5557 0 14788 11645
"197604" 39896 12510 0 27386 5730 20787 869 39896 5730 0 21656 12510
"197701" 37776 12936 0 24840 5907 18099 834 37776 5907 0 18933 12936
"197702" 39516 14024 0 25492 6177 18621 694 39516 6177 0 19315 14024
"197703" 41050 13981 0 27069 5190 20891 988 41050 5190 0 21879 13981
"197704" 44158 14527 0 29631 5739 22564 1328 44158 5739 0 23892 14527
"197801" 44018 16401 0 27617 7567 18620 1430 44018 7567 0 20050 16401
"197802" 49788 18950 0 30838 8938 20642 1258 49788 8938 0 21900 18950
"197803" 52282 20731 0 31551 10349 19590 1612 52282 10349 0 21202 20731
"197804" 46691 17145 0 29546 8521 19583 1442 46691 8521 0 21025 17145
"197901" 44025 16326 0 27699 7887 18412 1400 44025 7887 0 19812 16326
"197902" 52252 18958 0 33294 10725 20889 1680 52252 10725 0 22569 18958
"197903" 53342 20249 0 33093 11463 20222 1408 53342 11463 0 21630 20249
"197904" 47966 17458 0 30508 10354 18754 1400 47966 10354 0 20154 17458
"198001" 47117 18735 0 28382 11663 15754 965 47117 11663 0 16719 18735
"198002" 47936 18620 0 29316 12635 15721 960 47936 12635 0 16681 18620
"198003" 50887 19972 0 30915 14808 14997 1110 50887 14808 0 16107 19972
"198004" 61897 24737 0 37160 16236 19908 1016 61897 16236 0 20924 24737
"198101" 57277 21807 0 35470 15884 18459 1127 57277 15884 0 19586 21807
"198102" 59772 22179 0 37593 14709 20890 1994 59772 14709 0 22884 22179
"198103" 56345 21068 0 35277 13300 20430 1547 56345 13300 0 21977 21068
"198104" 63961 23023 0 40938 14729 24587 1622 63961 14729 0 26209 23023
"198201" 54236 19250 0 34986 14632 19501 853 54236 14632 0 20354 19250
"198202" 55968 19099 0 36869 15378 20541 950 55968 15378 0 21491 19099
"198203" 61220 20798 0 40422 17579 21878 965 61220 17579 0 22843 20798
"198204" 69844 25791 0 44053 17838 25050 1165 69844 17838 0 26215 25791
"198301" 71108 26743 0 44365 21354 22266 745 71108 21354 0 23011 26743
"198302" 81421 32758 0 48663 22345 25765 553 81421 22345 0 26318 32758
"198303" 79455 33781 0 45674 21581 23041 1052 79455 21581 0 24093 33781
"198304" 83395 34177 0 49218 20557 27017 1644 83395 20557 0 28661 34177
"198401" 77829 31723 0 46106 18376 26035 1695 77829 18376 0 27730 31723
"198402" 78182 32657 0 45525 18946 25290 1289 78182 18946 0 26579 32657
"198403" 76177 30415 0 45762 18395 25853 1514 76177 18395 0 27367 30415
"198404" 87862 31834 0 56028 21573 31695 2760 87862 21573 0 34455 31834
"198501" 82366 30614 0 51752 20994 28726 2032 82366 20994 0 30758 30614
"198502" 99860 36878 0 62982 25030 35169 2783 99860 25030 0 37952 36878
"198503" 102833 38968 0 63865 24919 35766 3180 102833 24919 0 38946 38968
"198504" 131188 50699 0 80489 35051 38485 6953 131188 35051 0 45438 50699
"198601" 143123 52848 0 90275 40976 42719 6580 143123 40976 0 49299 52848
"198602" 137211 52842 0 84369 39027 40059 5283 137211 39027 0 45342 52842
"198603" 133008 55521 0 77487 37033 35031 5423 133008 37033 0 40454 55521
"198604" 141075 57429 0 83646 44015 32548 7083 141075 44015 0 39631 57429
"198701" 132637 53567 0 79070 42661 30659 5750 132637 42661 0 36409 53567
"198702" 135991 56889 0 79102 41590 33105 4407 135991 41590 0 37512 56889
"198703" 141540 59395 0 82145 41350 34892 5903 141540 41350 0 40795 59395
"198704" 115277 41797 0 73480 39103 29374 5003 115277 39103 0 34377 41797
"198801" 119456 40625 0 78831 40208 32494 6129 119456 40208 0 38623 40625
"198802" 118308 41231 0 77077 41222 29795 6060 118308 41222 0 35855 41231
"198803" 116493 42131 0 74362 38871 30111 5380 116493 38871 0 35491 42131
"198804" 118296 43506 0 74790 40886 28991 4913 118296 40886 0 33904 43506
"198901" 116637 39338 0 77299 41744 31084 4471 116637 41744 0 35555 39338
"198902" 131301 44641 0 86660 48302 33709 4649 131301 48302 0 38358 44641
"198903" 127750 44294 0 83456 44675 33632 5149 127750 44675 0 38781 44294
"198904" 133913 42540 0 91373 53190 33170 5013 133913 53190 0 38183 42540
