"DATES" "FL253162005.Q" "FL213162005.Q" "FL213162400.Q" "FL213162205.Q" "FL163162005.Q" "FL103162005.Q" "FL253162005.Q" "FL153062005.Q" "FL103062003.Q" "FL113062003.Q" "FL213062003.Q" "FL263062003.Q" "FL763062005.Q" "FL443062005.Q" "FL513062003.Q" "FL543062003.Q" "FL223062003.Q" "FL633062000.Q" "FL653062003.Q" "FL553062003.Q" "FL563062003.Q" "FL403062005.Q" "FL663062003.Q"
"195201" 25016 25016 1787 23229 0 0 25016 7499 825 0 2093 0 9586 247 1582 1133 1751 0 0 0 0 0 300
"195202" 27480 27480 1700 25780 0 0 27480 9835 488 0 2105 0 9964 243 1728 1123 1794 0 0 0 0 0 200
"195203" 28695 28695 1863 26832 0 0 28695 10606 578 0 2113 0 10310 278 1739 1163 1838 0 0 0 0 0 70
"195204" 29657 29657 1779 27878 0 0 29657 10957 813 0 2111 0 10308 335 1869 1153 1883 0 0 0 0 0 228
"195301" 31221 31221 1906 29315 0 0 31221 11875 865 0 2114 0 10647 411 2023 1203 1933 0 0 0 0 0 150
"195302" 32379 32379 1778 30601 0 0 32379 12743 933 0 2144 0 10659 394 2202 1218 1986 0 0 0 0 0 100
"195303" 33795 33795 1992 31803 0 0 33795 13542 1021 0 2203 0 10815 412 2402 1258 2042 0 0 0 0 0 100
"195304" 35012 35012 1948 33064 0 0 35012 13873 1005 0 2293 0 10965 428 2617 1298 2103 0 0 0 0 0 430
"195401" 36516 36516 2137 34379 0 0 36516 14386 963 0 2384 0 11555 470 2829 1463 2166 0 0 0 0 0 300
"195402" 37866 37866 2033 35833 0 0 37866 14678 922 0 2441 0 12069 535 3032 1657 2232 0 0 0 0 0 300
"195403" 39376 39376 2192 37184 0 0 39376 15246 997 0 2468 0 12480 570 3222 1791 2302 0 0 0 0 0 300
"195404" 40663 40663 2058 38605 0 0 40663 15964 972 0 2467 0 12728 608 3402 1846 2376 0 0 0 0 0 300
"195501" 42155 42155 2163 39992 0 0 42155 16484 1065 0 2456 0 13164 659 3587 1984 2456 0 0 0 0 0 300
"195502" 43267 43267 1975 41292 0 0 43267 17509 1059 0 2455 0 12974 663 3781 1984 2542 0 0 0 0 0 300
"195503" 44668 44668 2177 42491 0 0 44668 18360 1209 0 2463 0 13045 659 3984 2016 2632 0 0 0 0 0 300
"195504" 45697 45697 2086 43611 0 0 45697 19174 1219 0 2479 0 12924 646 4194 2038 2723 0 0 0 0 0 300
"195601" 46932 46932 2242 44690 0 0 46932 19569 1494 0 2495 0 12981 689 4395 2193 2816 0 0 0 0 0 300
"195602" 47853 47853 2093 45760 0 0 47853 20436 1333 0 2503 0 13023 678 4583 2186 2911 0 0 0 0 0 200
"195603" 49038 49038 2285 46753 0 0 49038 21308 1295 0 2499 0 13143 677 4756 2251 3009 0 0 0 0 0 100
"195604" 49862 49862 2180 47682 0 0 49862 21900 1342 0 2480 0 13067 675 4915 2273 3110 0 0 0 0 0 100
"195701" 50925 50925 2330 48595 0 0 50925 22537 1419 0 2465 0 13246 683 5072 2289 3214 0 0 0 0 0 0
"195702" 51836 51836 2164 49672 0 0 51836 22812 1403 0 2474 0 13485 686 5232 2322 3322 0 0 0 0 0 100
"195703" 53192 53192 2411 50781 0 0 53192 23526 1510 0 2514 0 13674 692 5397 2348 3431 0 0 0 0 0 100
"195704" 54369 54369 2355 52014 0 0 54369 23851 1479 0 2590 0 14081 685 5568 2376 3539 0 0 0 0 0 200
"195801" 55829 55829 2566 53263 0 0 55829 24382 1217 0 2666 0 14677 717 5737 2460 3648 0 0 0 0 0 325
"195802" 56972 56972 2450 54522 0 0 56972 23317 1682 0 2705 0 15975 725 5904 2534 3760 0 0 0 0 0 370
"195803" 58513 58513 2748 55765 0 0 58513 23794 1979 0 2723 0 16510 738 6073 2613 3868 0 0 0 0 0 215
"195804" 59819 59819 2770 57049 0 0 59819 24616 1958 0 2737 0 16671 729 6249 2681 3963 0 0 0 0 0 215
"195901" 61397 61397 3033 58364 0 0 61397 25460 1958 0 2745 0 16867 763 6453 2828 4048 0 0 0 0 0 275
"195902" 62655 62655 2983 59672 0 0 62655 26068 2009 0 2747 0 17029 747 6690 2991 4124 0 0 0 0 0 250
"195903" 64594 64594 3544 61050 0 0 64594 27058 2455 0 2738 0 17110 758 6955 3148 4192 0 0 0 0 0 180
"195904" 65661 65661 3173 62488 0 0 65661 28362 1794 0 2714 0 17078 721 7239 3200 4251 0 0 0 0 0 302
"196001" 67248 67248 3323 63925 0 0 67248 28972 2449 0 2688 0 17065 709 7500 3284 4305 0 0 0 0 0 276
"196002" 68353 68353 3154 65199 0 0 68353 30072 2179 0 2674 0 16836 695 7727 3357 4356 0 0 0 0 0 457
