"DATES" "FL653164205.Q" "FL653164205.Q" "FL153064205.Q" "FL103064203.Q" "FL213064203.Q" "FL263064203.Q" "FL723064203.Q" "FL473064203.Q" "FL513064203.Q" "FL543064203.Q" "FL573064205.Q" "FL223064203.Q"
"195201" 3612 3612 3612 0 0 0 0 0 0 0 0 0
"195202" 3696 3696 3696 0 0 0 0 0 0 0 0 0
"195203" 3837 3837 3837 0 0 0 0 0 0 0 0 0
"195204" 3932 3932 3932 0 0 0 0 0 0 0 0 0
"195301" 3867 3867 3867 0 0 0 0 0 0 0 0 0
"195302" 3778 3778 3778 0 0 0 0 0 0 0 0 0
"195303" 3753 3753 3753 0 0 0 0 0 0 0 0 0
"195304" 4146 4146 4146 0 0 0 0 0 0 0 0 0
"195401" 4512 4512 4512 0 0 0 0 0 0 0 0 0
"195402" 4895 4895 4895 0 0 0 0 0 0 0 0 0
"195403" 5469 5469 5469 0 0 0 0 0 0 0 0 0
"195404" 6110 6110 6110 0 0 0 0 0 0 0 0 0
"195501" 6525 6525 6525 0 0 0 0 0 0 0 0 0
"195502" 7186 7186 7186 0 0 0 0 0 0 0 0 0
"195503" 7257 7257 7257 0 0 0 0 0 0 0 0 0
"195504" 7839 7839 7839 0 0 0 0 0 0 0 0 0
"195601" 8555 8555 8555 0 0 0 0 0 0 0 0 0
"195602" 8613 8613 8613 0 0 0 0 0 0 0 0 0
"195603" 8506 8506 8506 0 0 0 0 0 0 0 0 0
"195604" 9046 9046 9046 0 0 0 0 0 0 0 0 0
"195701" 9106 9106 9106 0 0 0 0 0 0 0 0 0
"195702" 9687 9687 9687 0 0 0 0 0 0 0 0 0
"195703" 9001 9001 9001 0 0 0 0 0 0 0 0 0
"195704" 8714 8714 8714 0 0 0 0 0 0 0 0 0
"195801" 9463 9463 9463 0 0 0 0 0 0 0 0 0
"195802" 10610 10610 10610 0 0 0 0 0 0 0 0 0
"195803" 11791 11791 11791 0 0 0 0 0 0 0 0 0
"195804" 13242 13242 13242 0 0 0 0 0 0 0 0 0
"195901" 14132 14132 14132 0 0 0 0 0 0 0 0 0
"195902" 14973 14973 14973 0 0 0 0 0 0 0 0 0
"195903" 14747 14747 14747 0 0 0 0 0 0 0 0 0
"195904" 15818 15818 15818 0 0 0 0 0 0 0 0 0
"196001" 15312 15312 15312 0 0 0 0 0 0 0 0 0
"196002" 16097 16097 16097 0 0 0 0 0 0 0 0 0
"196003" 15640 15640 15640 0 0 0 0 0 0 0 0 0
"196004" 17026 17026 17026 0 0 0 0 0 0 0 0 0
"196101" 19440 19440 19440 0 0 0 0 0 0 0 0 0
"196102" 20003 20003 20003 0 0 0 0 0 0 0 0 0
"196103" 21007 21007 21007 0 0 0 0 0 0 0 0 0
"196104" 22875 22875 22875 0 0 0 0 0 0 0 0 0
"196201" 23048 23048 22981 31 0 0 0 0 0 4 32 0
"196202" 18436 18436 18257 82 0 0 0 0 0 11 86 0
"196203" 19088 19088 18796 134 0 0 0 0 0 18 140 0
"196204" 21271 21271 20909 168 0 0 0 0 0 22 172 0
"196301" 22549 22549 22156 187 0 0 0 0 0 22 184 0
"196302" 23693 23693 23306 193 0 0 0 0 0 17 177 0
"196303" 24496 24496 24118 195 0 0 0 0 0 14 169 0
"196304" 25215 25215 24819 203 0 0 0 0 0 17 176 0
"196401" 26881 26881 26433 214 0 0 0 0 0 33 201 0
"196402" 27682 27682 27156 225 0 0 0 0 0 60 241 0
"196403" 29131 29131 28523 238 0 0 0 0 0 87 283 0
"196404" 29116 29116 28447 253 0 0 0 0 0 104 312 0
"196501" 30465 30465 29751 270 0 0 0 0 0 113 331 0
"196502" 30037 30037 29291 289 0 0 0 0 0 116 341 0
"196503" 32825 32825 32050 309 0 0 0 0 0 117 349 0
"196504" 35220 35220 34410 330 0 0 0 0 0 120 360 0
"196601" 36173 36173 35326 351 0 0 0 0 0 124 372 0
"196602" 35429 35429 34547 370 0 0 0 0 0 128 384 0
"196603" 32224 32224 31301 393 0 0 0 0 0 133 397 0
"196604" 34829 34829 33850 425 0 0 0 0 0 140 414 0
"196701" 39280 39280 38226 469 0 0 0 0 0 150 435 0
"196702" 40429 40429 39284 523 0 0 0 0 0 163 459 0
"196703" 43249 43249 42006 581 0 0 0 0 0 177 485 0
"196704" 44308 44308 42973 635 0 0 0 0 0 190 510 0
"196801" 41949 41949 40523 692 0 0 0 0 0 199 535 0
"196802" 47493 47493 45972 759 0 0 0 0 0 201 561 0
"196803" 49914 49914 48300 816 0 0 0 0 0 211 587 0
"196804" 51232 51232 49529 845 0 0 0 0 0 244 614 0
"196901" 50339 50339 48554 845 0 0 0 0 0 301 639 0
"196902" 48052 48052 46190 816 0 0 0 0 0 382 664 0
"196903" 47940 47940 46004 777 0 0 0 0 0 470 689 0
"196904" 47588 47588 45578 745 0 0 0 0 0 550 715 0
"197001" 48369 48369 46279 719 0 0 0 0 0 634 737 0
"197002" 39201 39201 37027 688 0 0 0 0 0 734 752 0
"197003" 44172 44172 41919 662 0 0 0 0 0 817 774 0
"197004" 46812 46812 44501 645 0 0 0 0 0 849 817 0
"197101" 52687 52687 50329 645 0 0 0 0 0 831 882 0
"197102" 52961 52961 50571 659 0 0 0 0 0 763 968 0
"197103" 52214 52214 49798 677 0 0 0 0 0 677 1062 0
"197104" 55446 55446 53006 690 0 0 0 0 0 600 1150 0
"197201" 57548 57548 55084 701 0 0 0 0 0 526 1237 0
"197202" 56656 56656 54180 711 0 0 0 0 0 435 1330 0
"197203" 56209 56209 53712 721 0 0 0 0 0 357 1419 0
"197204" 58926 58926 56383 732 0 0 0 0 0 317 1494 0
"197301" 52843 52843 50224 743 0 0 0 0 0 321 1555 0
"197302" 48013 48013 45290 754 0 0 0 0 0 366 1603 0
"197303" 51927 51927 49090 765 0 0 0 0 0 425 1647 0
"197304" 46635 46635 43695 775 0 0 0 0 0 470 1695 0
"197401" 44521 44521 41490 785 0 0 0 0 0 512 1734 0
"197402" 40662 40662 37557 794 0 0 0 0 0 560 1751 0
"197403" 32320 32320 29123 804 0 0 0 0 0 603 1790 0
"197404" 35152 35152 31813 816 0 0 0 0 0 628 1895 0
"197501" 40968 40968 37436 832 0 0 0 0 0 635 2065 0
"197502" 46061 46061 42283 851 0 0 0 0 0 626 2301 0
"197503" 40876 40876 36835 871 0 0 0 0 0 611 2559 0
"197504" 43034 43034 38749 890 0 0 0 0 0 600 2795 0
"197601" 46920 46920 42619 912 0 0 0 0 0 594 2795 0
"197602" 47003 47003 42441 942 0 0 0 0 0 587 3033 0
"197603" 45799 45799 40957 964 0 0 0 0 0 581 3297 0
"197604" 46510 46510 41436 964 0 0 0 0 0 576 3534 0
"197701" 43037 43037 37826 941 0 0 0 0 0 578 3692 0
"197702" 46401 46401 41151 895 0 0 0 0 0 584 3771 0
"197703" 45617 45617 40413 841 0 0 0 0 0 592 3771 0
"197704" 45491 45491 40355 790 0 0 0 0 0 600 3746 0
"197801" 44493 44493 39400 738 0 0 0 0 0 605 3750 0
"197802" 46687 46687 41664 667 0 0 0 0 0 606 3750 0
"197803" 48619 48619 43683 615 0 0 0 0 0 613 3708 0
"197804" 46050 46050 41080 618 0 0 0 0 0 637 3715 0
"197901" 47697 47697 42476 680 0 0 0 0 0 679 3862 0
"197902" 48943 48943 43252 800 0 0 0 0 0 739 4152 0
"197903" 51166 51166 44837 939 0 0 0 0 0 805 4585 0
"197904" 51789 51789 44798 1060 0 0 0 0 0 865 5066 0
"198001" 47052 47052 39456 1177 0 0 0 0 0 919 5500 0
"198002" 52395 52395 44130 1304 0 0 0 0 0 967 5994 0
"198003" 58226 58226 49129 1421 0 0 0 0 0 1021 6655 0
"198004" 61809 61809 52060 1507 0 0 0 0 0 1093 7149 0
"198101" 62207 62207 52359 1541 0 0 0 0 0 1168 7139 0
"198102" 62444 62444 53153 1504 0 0 0 0 0 1231 6556 0
