"DATES" "FL153166000.Q" "FL153166000.Q" "FL103066005.Q" "FL113066003.Q" "FL313066220.Q" "FL723066000.Q" "FL443066005.Q" "FL473066000.Q" "FL403066005.Q" "FL673066000.Q" "FL613066005.Q"
"197401" 190460 190460 18135 3121 0 99294 8642 19527 0 0 41741
"197402" 196777 196777 19332 3166 0 102221 8763 20449 0 0 42846
"197403" 201241 201241 19718 3040 0 104123 8950 21631 0 0 43779
"197404" 201926 201926 20276 3083 0 102989 9133 21895 0 0 44550
"197501" 195912 195912 18926 2645 0 100425 9136 21959 0 0 42821
"197502" 195933 195933 19703 2659 0 101549 9134 22878 0 0 40010
"197503" 201183 201183 20083 2532 0 104026 9616 24687 0 0 40239
"197504" 206996 206996 21212 2668 0 106055 10096 25666 0 0 41299
"197601" 204908 204908 20306 2339 0 105611 10380 26367 0 0 39905
"197602" 213148 213148 21319 2378 0 110077 10473 28314 0 0 40587
"197603" 220688 220688 21784 2256 0 114633 10615 30182 0 0 41218
"197604" 228961 228961 23500 2481 0 118043 10827 31169 0 0 42941
"197701" 229155 229155 21220 2162 0 119842 10931 32050 410 0 42540
"197702" 242048 242048 22133 2058 0 127616 11253 34352 430 0 44206
"197703" 252953 252953 22565 1846 0 134369 11580 36373 510 0 45710
"197704" 264892 264892 24361 1997 0 140302 11760 37605 515 0 48352
"197801" 266971 266971 23075 1483 0 143291 11832 38724 590 0 47976
"197802" 284526 284526 23707 1347 0 154140 12178 41936 690 0 50528
"197803" 298022 298022 24315 1203 0 161619 13203 43867 745 0 53070
"197804" 311305 311305 26498 1458 0 166512 13090 45172 915 0 57660
"197901" 313819 313819 25092 952 0 168703 13804 45513 1030 0 58725
"197902" 327319 327319 25782 851 0 176177 14464 46534 1140 0 62371
"197903" 341528 341528 26550 721 0 182530 16600 48000 1275 0 65852
"197904" 354616 354616 28298 883 0 185725 19993 47388 1505 0 70824
"198001" 349662 349662 24914 409 0 183415 20427 45723 1732 0 73042
"198002" 345637 345637 25760 225 0 177822 20835 42968 2122 0 75905
"198003" 350336 350336 26888 150 0 179789 21104 43568 2278 0 76559
"198004" 358044 358044 29401 150 0 180215 22652 44055 2639 0 78932
"198101" 353902 353902 27758 75 0 176465 23048 44395 3411 0 78750
"198102" 361610 361610 28775 50 0 179065 23526 46064 3649 0 80481
"198103" 371928 371928 28923 50 0 182849 23398 47372 4331 0 85005
"198104" 377882 377882 30322 25 0 184193 23986 46714 4826 0 87816
"198201" 373537 373537 28025 25 0 182922 23855 46575 5042 0 87093
"198202" 380887 380887 28902 0 0 185223 24225 47018 5418 0 90101
"198203" 386815 386815 29171 0 0 188072 25281 48201 6019 0 90071
"198204" 396718 396718 30787 0 0 190932 26554 48814 6413 0 93218
"198301" 391910 391910 28889 0 0 186947 27892 48835 5790 0 93557
"198302" 403838 403838 30745 0 0 190915 29373 50665 5363 0 96777
"198303" 420612 420612 31866 0 0 200673 30425 53449 5005 0 99194
"198304" 444878 444878 35365 0 0 213663 31489 56119 4581 0 103661
"198401" 452010 452010 33076 0 0 219840 34784 58462 4357 0 101491
"198402" 479799 479799 34566 0 0 236045 37528 62002 5028 0 104630
"198403" 501839 501839 34980 0 0 248051 41074 64980 5429 0 107325
"198404" 526584 526584 38378 0 0 258844 44226 67866 5573 0 111697
"198501" 536023 536023 35506 0 0 267381 47054 68912 5642 0 111528
"198502" 559592 559592 37091 0 0 276513 51280 70979 6082 0 117647
"198503" 585905 585905 38100 0 0 286728 54173 72859 6404 0 127641
"198504" 610574 610574 42505 0 0 297227 57621 74014 6799 0 132408
"198601" 606799 606799 40118 0 0 296270 58351 72078 6947 0 133035
"198602" 627891 627891 41600 0 0 304100 61125 73372 7808 0 139886
"198603" 649888 649888 42515 0 0 311443 61652 75545 7987 0 150746
"198604" 666355 666355 47017 0 0 320187 62913 77075 8174 0 150989
"198701" 644317 644317 44423 0 0 309795 62264 74654 8305 0 144876
"198702" 660313 660313 46571 0 0 316822 63899 76372 8959 0 147690
"198703" 679637 679637 48075 0 0 325602 62981 79777 9562 0 153640
"198704" 698640 698640 54028 0 0 334090 65335 81028 10043 0 154116
"198801" 693732 693732 50913 0 0 333855 65007 81080 10691 0 152186
"198802" 710128 710128 52830 0 0 341529 67039 83137 11495 0 154098
"198803" 725838 725838 53787 0 0 351421 66713 86523 12467 0 154927
"198804" 745206 745206 60757 0 0 360816 66753 88340 13202 0 155338
"198901" 753193 753193 52653 0 0 355578 66000 86747 13673 33377 145165
"198902" 769617 769617 54392 0 0 363704 65463 88288 14243 34535 148992
"198903" 784207 784207 55776 0 0 371715 64552 90948 14916 35835 150465
"198904" 809285 809285 63829 0 0 383309 62531 91654 16029 47335 144598
"199001" 792320 792320 58512 0 0 372789 60350 90034 16760 53930 139945
"199002" 798712 798712 59585 0 0 372319 57088 90360 17295 62958 139107
"199003" 812302 812302 60075 0 0 379467 53076 91628 17868 67173 143015
"199004" 824391 824391 67141 0 0 381982 49646 91597 19243 76663 138119
"199101" 802207 802207 59186 0 0 370499 49733 88475 20127 83251 130936
"199102" 801306 801306 57385 0 0 368385 46544 88520 20617 88611 131244
"199103" 802500 802500 57243 0 0 366312 43430 89222 20769 97418 128106
"199104" 815581 815581 62988 0 0 370176 42161 90302 21104 102957 125893
"199201" 793353 793353 56032 0 0 357166 39327 89473 21900 106694 122761
"199202" 792332 792332 56873 0 0 355981 38132 88307 22674 109534 120831
"199203" 801933 801933 57843 0 0 357300 37474 90706 23689 113540 121381
"199204" 824769 824769 65741 0 0 362901 37357 91694 24173 120277 122626
"199301" 807262 807262 63351 0 0 358900 36774 91424 24627 119788 112398
"199302" 818662 818662 64553 0 0 366632 37376 95387 25330 119082 110302
"199303" 842668 842668 66608 0 0 379364 37194 98893 26045 123831 110733
"199304" 886169 886169 77229 0 353 395704 37855 101634 26805 130455 116134
"199401" 883876 883876 71705 0 350 397802 37141 101583 27546 127977 119772
"199402" 918580 918580 73256 0 354 413413 38143 108183 28703 132574 123954
"199403" 959953 959953 74741 0 558 434560 38420 114343 29435 137886 130010
"199404" 1021168 1021168 86621 0 6865 458777 38468 119594 30370 146052 134421
"199501" 1024546 1024546 79747 0 6874 459689 37519 120631 31460 153268 135358
"199502" 1063126 1063126 80505 0 6211 471591 38487 125693 33112 166238 141289
"199503" 1109599 1109599 78280 0 7166 485920 39694 129178 34046 189591 145724
"199504" 1168160 1168160 85061 0 9182 502328 40106 131939 34336 213085 152123
"199601" 1162207 1162207 76678 0 11536 490807 40672 131511 33881 224607 152515
"199602" 1196579 1196579 72017 0 13039 503766 42089 136055 33652 242096 153865
"199603" 1229847 1229847 68520 0 15529 513906 44934 140935 32867 257317 155839
"199604" 1273878 1273878 77745 0 17671 527463 44711 144148 33753 273490 154897
"199701" 1254175 1254175 69957 0 20512 505158 45860 143949 32847 278296 157596
