"DATES" "FL474090005.Q" "FL473013003.Q" "FL473020005.Q" "FL473030005.Q" "FL472050000.Q" "FL474004005.Q" "FL473069103.Q" "FL473061105.Q" "FL473061705.Q" "FL473063003.Q" "FL473069503.Q" "FL473065105.Q" "FL473066000.Q" "FL473064203.Q" "FL473090005.Q" "FL474190005.Q" "FL473139000.Q" "FL473127003.Q" "FL473131005.Q" "FL473135003.Q" "FL473169333.Q" "FL473193005.Q"
"195201" 1227 0 155 260 0 837 0 102 0 0 0 357 378 0 -25 1160 1095 0 1095 0 0 65
"195202" 1335 0 154 282 0 926 0 103 0 0 0 404 419 0 -27 1265 1193 0 1193 0 0 72
"195203" 1411 0 152 289 0 999 0 104 0 0 0 360 535 0 -29 1338 1258 0 1258 0 0 80
"195204" 1515 0 152 339 0 1055 0 106 0 0 0 390 559 0 -31 1438 1351 0 1351 0 0 87
"195301" 1564 0 155 319 0 1122 0 107 0 0 0 395 620 0 -32 1480 1387 0 1387 0 0 93
"195302" 1713 0 159 362 0 1227 0 108 0 0 0 428 691 0 -35 1624 1523 0 1523 0 0 101
"195303" 1801 0 164 357 0 1317 0 109 0 0 0 386 822 0 -37 1705 1595 0 1595 0 0 110
"195304" 1914 0 171 410 0 1372 0 112 0 0 0 383 877 0 -39 1811 1688 0 1688 0 0 123
"195401" 1971 0 181 429 0 1401 0 114 0 0 0 361 926 0 -40 1864 1724 0 1724 0 0 140
"195402" 2096 0 194 454 0 1491 0 116 0 0 0 456 919 0 -43 1986 1830 0 1830 0 0 156
"195403" 2212 0 207 483 0 1567 0 118 0 0 0 416 1033 0 -45 2098 1926 0 1926 0 0 172
"195404" 2344 0 216 566 0 1610 0 120 0 0 0 407 1083 0 -48 2227 2037 0 2037 0 0 190
"195501" 2396 0 221 560 0 1664 0 123 0 0 0 505 1036 0 -49 2269 2066 0 2066 0 0 203
"195502" 2551 0 223 588 0 1792 0 127 0 0 0 543 1122 0 -52 2416 2198 0 2198 0 0 218
"195503" 2697 0 224 615 0 1913 0 131 0 0 0 526 1256 0 -55 2552 2318 0 2318 0 0 234
"195504" 2853 0 228 696 0 1987 0 135 0 0 0 524 1328 0 -58 2698 2446 0 2446 0 0 252
"195601" 2979 0 234 759 0 2047 0 139 0 0 0 522 1386 0 -61 2816 2544 0 2544 0 0 272
"195602" 3121 0 241 768 0 2176 0 143 0 0 0 649 1384 0 -64 2949 2657 0 2657 0 0 292
"195603" 3238 0 248 759 0 2297 0 147 0 0 0 596 1554 0 -66 3056 2742 0 2742 0 0 314
"195604" 3441 0 255 862 0 2394 0 150 0 0 0 593 1651 0 -70 3250 2914 0 2914 0 0 336
"195701" 3569 0 261 917 0 2464 0 154 0 0 0 678 1632 0 -73 3368 3009 0 3009 0 0 359
"195702" 3714 0 267 903 0 2620 0 158 0 0 0 686 1776 0 -76 3503 3119 0 3119 0 0 384
"195703" 3839 0 273 872 0 2772 0 162 0 0 0 651 1959 0 -78 3616 3204 0 3204 0 0 412
"195704" 4057 0 282 999 0 2859 0 165 0 0 0 592 2102 0 -83 3824 3381 0 3381 0 0 443
"195801" 4198 0 294 1139 0 2851 0 169 0 0 0 666 2016 0 -86 3958 3480 0 3480 0 0 478
"195802" 4351 0 310 1170 0 2960 0 173 0 0 0 631 2156 0 -89 4103 3592 0 3592 0 0 511
"195803" 4480 0 324 1195 0 3052 0 177 0 0 0 665 2210 0 -91 4223 3679 0 3679 0 0 544
"195804" 4710 0 330 1335 0 3141 0 180 0 0 0 619 2342 0 -96 4446 3869 0 3869 0 0 577
"195901" 4867 0 328 1428 0 3210 0 183 0 0 0 723 2304 0 -99 4589 3985 9 3976 0 0 604
"195902" 5038 0 316 1405 0 3420 0 185 0 0 0 730 2505 0 -103 4746 4116 10 4106 0 0 630
"195903" 5184 0 304 1337 0 3649 0 187 0 0 0 780 2682 0 -106 4877 4220 10 4210 0 0 657
"195904" 5449 0 297 1448 0 3815 0 190 0 0 0 752 2873 0 -111 5127 4441 10 4431 0 0 686
"196001" 5601 0 300 1483 0 3932 0 192 0 0 0 930 2810 0 -114 5267 4548 11 4537 0 0 719
"196002" 5768 0 309 1384 0 4193 0 194 0 0 0 906 3093 0 -118 5422 4672 11 4661 0 0 750
"196003" 5889 0 321 1312 0 4376 0 196 0 0 0 875 3305 0 -120 5529 4753 11 4742 0 0 776
"196004" 6150 0 334 1442 0 4500 0 200 0 0 0 853 3447 0 -126 5779 4981 12 4969 0 0 798
"196101" 6312 0 350 1595 0 4496 0 204 0 0 0 993 3299 0 -129 5930 5106 12 5094 0 0 824
"196102" 6493 0 370 1573 0 4683 0 209 0 0 0 926 3548 0 -133 6100 5251 12 5239 0 0 849
"196103" 6641 0 389 1578 0 4810 0 214 0 0 0 1015 3581 0 -136 6236 5364 12 5352 0 0 872
"196104" 6944 0 402 1754 0 4930 0 220 0 0 0 1083 3627 0 -142 6529 5639 13 5626 0 0 890
"196201" 7137 0 408 1942 0 4933 0 225 0 0 0 1134 3574 0 -146 6705 5802 13 5789 0 0 903
