"DATES" "FL792150005.Q" "FL712150003.Q" "FL762150005.Q" "FL722150005.Q" "FL752150000.Q" "FL732150005.Q" "FL442150005.Q" "FL542150005.Q" "FL642150003.Q" "FL662150005.Q" "FL892050005.Q" "FL102050003.Q" "FL212050003.Q" "FL262050003.Q" "FL792050005.Q" "FL712050000.Q" "FL442050005.Q" "FL472050000.Q" "FL512050003.Q" "FL572050005.Q" "FL222050003.Q" "FL632050000.Q" "FL652050003.Q" "FL402050005.Q" "FL502050003.Q" "FL902050005.Q"
"196303" -2050 0 342 342 0 0 0 0 0 -2392 1803 0 1004 0 799 120 0 0 0 393 0 0 286 0 0 -3853
"196304" -2554 0 26 26 0 0 0 0 0 -2580 74 0 -745 0 819 103 0 0 0 409 0 0 307 0 0 -2628
"196401" -2251 0 356 356 0 0 0 0 0 -2607 139 68 -943 0 1014 280 0 0 0 435 0 0 290 9 0 -2390
"196402" -2247 0 457 457 0 0 0 0 0 -2704 1350 169 0 0 1181 360 0 0 0 471 0 0 334 16 0 -3597
"196403" -2658 0 75 75 0 0 0 0 0 -2733 1709 135 344 0 1230 440 0 0 0 507 0 0 263 20 0 -4367
"196404" -2303 0 540 540 0 0 0 0 0 -2843 -31 309 -1758 0 1418 573 0 0 0 537 0 0 281 27 0 -2272
"196501" -2030 0 773 773 0 0 0 0 0 -2803 952 280 -848 0 1520 550 0 0 0 560 0 0 387 23 0 -2982
"196502" -2062 0 850 850 0 0 0 0 0 -2912 1649 198 0 0 1451 450 0 0 0 577 0 0 405 19 0 -3711
"196503" -1896 0 1136 1136 0 0 0 0 0 -3032 2265 336 539 0 1390 350 0 0 0 594 0 0 438 8 0 -4161
"196504" -1482 0 1749 1749 0 0 0 0 0 -3231 1399 593 -708 0 1514 402 0 0 0 616 0 0 496 0 0 -2881
"196601" -2259 0 943 943 0 0 0 0 0 -3202 1794 512 -265 0 1547 400 0 0 0 642 0 0 493 12 0 -4053
"196602" -1884 0 1399 1399 0 0 0 0 0 -3283 2215 439 0 0 1776 500 0 0 0 671 0 0 583 22 0 -4099
"196603" -1526 0 1592 1592 0 0 0 0 0 -3118 4222 481 1708 0 2033 500 0 0 0 702 0 0 794 37 0 -5748
"196604" -1529 0 1674 1674 0 0 0 0 0 -3203 4035 895 805 0 2335 785 0 0 0 734 0 0 767 49 0 -5564
"196701" -1633 0 1364 1364 0 0 0 0 0 -2997 2719 568 20 0 2131 600 0 0 0 767 0 0 733 31 0 -4352
