"DATES" "FL893178005.Q" "FL103178000.Q" "FL113178003.Q" "FL723178003.Q" "FL443178005.Q" "FL513178003.Q" "FL543178003.Q" "FL613178003.Q" "FL663178003.Q" "FL893078005.Q" "FL213078005.Q" "FL313078005.Q" "FL903078005.Q"
"197204" 20460 15521 2489 730 176 270 811 298 165 9201 4490 4711 11259
"197301" 23530 17634 2853 1005 237 296 993 332 180 10674 4850 5824 12856
"197302" 21365 15760 3222 715 203 264 786 271 144 11247 5423 5824 10118
"197303" 23799 17565 3599 815 209 286 873 296 156 11528 5704 5824 12271
"197304" 25898 19305 3985 815 212 283 847 298 153 11910 6086 5824 13988
"197401" 29869 22325 4419 1075 243 318 1024 325 140 13180 6412 6768 16689
"197402" 28597 21308 4836 775 229 286 809 272 82 13985 7217 6768 14612
"197403" 33399 25444 5208 940 254 307 885 293 68 14443 7675 6768 18956
"197404" 32754 24516 5545 940 272 303 835 298 45 14464 7696 6768 18290
"197501" 31889 22901 5847 1115 316 330 990 329 61 12787 7785 5002 19102
"197502" 26994 18582 6134 615 318 297 757 276 15 13458 8456 5002 13536
"197503" 29746 20917 6383 615 356 312 812 299 52 13994 8992 5002 15752
"197504" 31331 22292 6602 615 391 308 745 298 80 14205 9203 5002 17126
"197601" 35455 25583 6894 615 457 340 938 331 297 19150 9502 9648 16305
"197602" 32717 22915 7187 615 480 316 735 270 199 19963 10315 9648 12754
"197603" 36332 26002 7484 615 539 349 863 295 185 20179 10531 9648 16153
"197604" 38535 27790 7785 615 599 362 878 298 208 20384 10736 9648 18151
"197701" 40373 29197 8065 648 652 386 956 316 153 20044 11005 9039 20329
"197702" 35174 23478 8341 700 706 416 1060 344 129 20991 11952 9039 14183
"197703" 39052 26812 8609 756 760 448 1171 375 121 21232 12193 9039 17820
"197704" 41889 29134 8871 800 813 480 1268 404 119 21286 12247 9039 20603
"197801" 45206 32136 8965 829 873 513 1360 434 96 24705 11959 12746 20501
"197802" 40627 27075 9130 840 947 550 1457 471 157 25613 12867 12746 15014
"197803" 44793 30596 9470 860 1007 583 1541 501 235 25896 13150 12746 18897
"197804" 48845 34055 9951 915 1026 604 1597 510 187 26498 13752 12746 22347
"197901" 54409 38940 10517 1022 999 615 1630 500 186 29263 14319 14944 25146
"197902" 50247 34071 11141 1195 921 619 1645 470 185 30273 15329 14944 19974
"197903" 55674 38687 11910 1348 838 615 1638 432 206 30922 15978 14944 24752
"197904" 58767 40986 12795 1394 791 600 1600 393 208 31590 16646 14944 27177
"198001" 64925 46024 13870 1336 782 627 1676 371 239 30421 18208 12213 34504
"198002" 59540 39592 14768 1176 799 674 1805 353 373 30804 18591 12213 28736
"198003" 62876 42354 15225 990 825 720 1930 335 497 31548 19335 12213 31328
"198004" 64413 43864 15328 848 840 744 1996 310 483 31842 19629 12213 32571
"198101" 67037 46958 15036 740 851 746 2002 285 419 21257 19537 1720 45780
"198102" 61003 41488 14703 641 861 727 1951 258 374 20831 19111 1720 40172
"198103" 62864 44008 14266 556 871 706 1894 229 334 20504 18784 1720 42360
"198104" 58072 39864 13744 484 880 699 1882 195 324 19490 17770 1720 38582
"198201" 57367 39220 13774 435 890 711 1915 159 263 17406 17406 0 39961
"198202" 51431 33080 13941 407 900 738 1988 114 263 18079 18079 0 33352
"198203" 53810 34754 14450 388 910 765 2062 75 406 18794 18794 0 35016
"198204" 55676 35585 15235 363 920 778 2099 53 643 19286 19286 0 36390
"198301" 62042 41447 15738 344 930 778 2100 56 649 21159 19097 2062 40883
"198302" 58334 37404 16224 330 940 766 2069 81 520 22956 20894 2062 35378
"198303" 62354 41038 16668 308 950 752 2033 111 494 23908 21846 2062 38446
"198304" 60353 38646 17081 294 960 742 2017 127 486 24119 22057 2062 36234
"198401" 68022 43234 17188 3589 710 742 2017 132 410 30190 22254 7936 37832
"198402" 64588 39561 17359 3761 748 744 2019 130 266 31142 23206 7936 33446
"198403" 65680 40087 17690 3746 814 750 2036 126 431 30851 22915 7936 34829
"198404" 68097 42167 18151 3584 803 762 2078 124 428 30988 23052 7936 37109
"198501" 69268 42555 18775 3545 859 779 2146 127 482 35093 23757 11336 34175
"198502" 65697 38470 19494 3019 982 799 2236 131 566 36392 25056 11336 29305
"198503" 69970 41296 20450 3070 1223 826 2345 136 624 37929 26593 11336 32041
"198504" 69436 39009 21596 3161 1422 864 2470 141 773 38358 27022 11336 31078
"198601" 71213 40329 21836 3188 1529 910 2624 143 654 45521 27152 18369 25692
"198602" 71284 39574 22148 3411 1589 962 2818 139 643 46727 28358 18369 24557
"198603" 74018 41274 22637 3527 1767 1027 3007 141 638 47313 28944 18369 26705
"198604" 76337 42784 23269 3245 1687 1111 3145 164 932 48139 29770 18369 28198
"198701" 77849 43947 23459 3139 1689 1215 3233 211 956 48112 28860 19252 29737
"198702" 78928 46928 23480 1471 1499 1340 3271 281 658 49337 30085 19252 29591
"198703" 79776 47763 23542 1380 1403 1477 3303 358 550 49901 30649 19252 29875
"198704" 80019 47866 23851 1197 1300 1617 3370 424 394 49504 30252 19252 30515
"198801" 81289 48823 24369 868 1133 1696 3459 482 459 54952 30455 24497 26337
"198802" 79059 46307 25051 231 1117 1775 3556 533 489 56506 32009 24497 22553
"198803" 79333 45149 25860 421 1281 1854 3674 587 507 57691 33194 24497 21642
"198804" 80792 44371 26761 1428 1273 1933 3829 654 543 58384 33887 24497 22408
"198901" 86163 49134 27852 1053 1186 1761 4031 734 412 58247 34403 23844 27916
"198902" 82519 43378 29234 1496 1164 1589 4290 825 543 59692 35848 23844 22827
"198903" 82435 42076 30543 1029 1195 1417 4550 922 703 61051 37207 23844 21384
"198904" 78726 38289 31417 229 1165 1246 4755 1019 606 61212 37368 23844 17514
"199001" 84056 42256 31781 609 1333 1409 4904 1119 645 60259 37760 22499 23797
"199002" 79251 37130 31863 721 1053 1571 4994 1223 696 60711 38212 22499 18540
"199003" 83339 40934 31919 542 1102 1734 5090 1330 688 60920 38421 22499 22419
"199004" 80869 38302 32000 326 984 1897 5255 1441 664 59575 37076 22499 21294
"199101" 77090 34609 32143 -541 1214 2063 5479 1555 568 53725 37285 16440 23365
"199102" 70528 27402 32226 -394 1041 2229 5750 1669 605 54026 37586 16440 16502
"199103" 75770 31379 32372 -12 1110 2395 6049 1790 687 54319 37879 16440 21451
"199104" 72959 28892 32479 -1312 1207 2561 6358 1924 850 53411 36971 16440 19548
"199201" 79119 34543 32641 -1198 1370 2136 6680 2070 877 65858 38209 27649 13261
"199202" 76062 31419 32794 -1262 1245 1710 7022 2226 908 57624 39227 18397 18438
"199203" 80176 35418 32956 -1487 1252 1285 7381 2392 979 56342 39363 16979 23834
"199204" 80227 35344 33121 -1723 1418 860 7754 2565 888 54425 38940 15485 25802
"199301" 83614 41686 32710 -5780 1614 1390 8154 2749 1091 68405 38894 29511 15209
"199302" 80700 38333 32276 -5780 1341 1921 8597 2945 1067 56829 39529 17300 23871
"199303" 85049 41382 31850 -5678 1423 2452 9027 3146 1447 58579 39468 19111 26470
"199304" 86015 40725 31387 -4577 1365 2983 9389 3342 1401 58040 39126 18914 27975
"199401" 90248 45468 31496 -5894 1657 2879 9677 3537 1428 69861 37646 32215 20387
"199402" 85682 41256 32000 -6524 1202 2775 9886 3734 1353 54132 36999 17133 31550
"199403" 88370 42676 32320 -5853 1123 2672 10093 3930 1409 55655 36075 19580 32715
"199404" 86191 40315 32807 -6235 1041 2568 10378 4122 1195 52620 34029 18591 33571
"199501" 96501 49454 32898 -5975 1300 2745 10741 4291 1047 73815 31667 42148 22686
"199502" 90436 40898 33006 -4334 1235 2922 11154 4483 1072 53343 31502 21841 37093
"199503" 94474 42359 33156 -3342 1578 3100 11590 4685 1348 52851 29859 22992 41623
"199504" 94832 40309 33358 -1621 1553 3277 11975 4864 1117 45181 27930 17251 49651
"199601" 103323 49331 33834 -3143 1662 3437 12090 5049 1063 70376 27333 43043 32947
"199602" 101074 45602 34412 -2638 1445 3598 12200 5259 1196 52314 27496 24818 48760
"199603" 106892 49068 35249 -946 864 3759 12350 5469 1079 50186 27198 22988 56706
"199604" 110843 49872 35675 907 1071 3920 12471 5663 1264 116301 26101 90200 -5458
"199701" 125029 62141 36794 904 1524 4038 12741 5847 1040 116113 25913 90200 8916
"199702" 124119 57173 38074 3376 1359 4156 13041 6051 889 116685 26485 90200 7434
"199703" 134304 64368 38974 4462 1481 4274 13364 6271 1110 117217 27017 90200 17087
"199704" 117068 59214 39941 5663 1657 4392 -1617 6473 1345 115248 26873 88375 1820
"199801" 128573 69045 41243 5792 1847 4121 -1230 6670 1085 114120 27570 86550 14453
"199802" 119539 59915 40730 6293 1614 3850 -842 6884 1095 113288 28563 84725 6251
"199803" 132515 68559 43306 7758 1876 3578 -455 7100 793 111695 28795 82900 20820
"199804" 130290 64058 44061 7933 2442 3307 -68 7293 1264 110107 28132 81975 20183
"199901" 135225 69320 43949 6984 2810 3320 65 7488 1289 109568 28518 81050 25657
"199902" 141152 70936 49595 5578 2425 3333 198 7702 1385 110381 30256 80125 30771
"199903" 146512 73587 50261 7321 2254 3346 331 7914 1498 111905 32705 79200 34607
"199904" 150535 71032 52989 10907 1482 3358 464 8123 2180 113799 33474 80325 36736
"200001" 170589 82756 58902 12597 1829 3372 372 8338 2423 116987 35537 81450 53602
"200002" 170017 80244 61712 12242 1862 3386 280 8572 1719 121622 39047 82575 48395
"200003" 172612 80356 60513 15516 2052 3400 188 8815 1772 126622 42922 83700 45990
"200004" 179397 77992 64640 20098 1987 3414 96 9074 2096 128884 45559 83325 50513
"200101" 186348 82860 64763 21880 2802 3491 0 9344 1208 132079 49129 82950 54269
"200102" 181621 77568 65078 21837 2718 3568 -96 9628 1320 133412 50837 82575 48209
"200103" 217892 103125 67078 29225 3639 3644 -192 9926 1447 133562 51362 82200 84330
"200104" 191202 81045 68689 22917 2992 3721 -288 10236 1890 134114 50114 84000 57088
"200201" 190814 85067 69438 21138 2967 1871 -2139 10561 1911 135345 49545 85800 55469
"200202" 198220 88580 69679 28789 2613 20 -3991 10898 1632 139183 51583 87600 59037
"200203" 211963 101055 69919 32342 3455 -1830 -5842 11249 1615 145371 55971 89400 66592
"200204" 200645 92954 70160 33783 2161 -3680 -7694 11614 1347 150189 59539 90650 50456
"200301" 208803 97214 70033 33588 4059 -2501 -7216 11992 1634 155637 63737 91900 53166
"200302" 208704 96413 69905 33454 2680 -1322 -6739 12384 1929 162120 68970 93150 46584
"200303" 213251 98972 69778 32481 3651 -143 -6262 12789 1985 165666 71266 94400 47585
"200304" 198752 81222 69650 35069 2600 1036 -5785 13209 1751 167219 73569 93650 31533
"200401" 220602 90747 71739 38302 3740 3327 -2815 13642 1920 171785 78885 92900 48817
"200402" 205897 92174 73827 23710 3291 1087 -4314 14088 2034 177512 85362 92150 28385
"200403" 222608 100406 75915 31568 3918 -1706 -4375 14549 2333 183537 92137 91400 39071
"200404" 219221 87996 78004 33628 3558 1506 -2690 15024 2195 190862 99637 91225 28359
"200501" 236073 99689 80173 29105 3965 5939 -3141 17735 2608 200128 109078 91050 35945
"200502" 233733 98061 82342 30420 4002 3548 -4181 18287 1254 211069 120194 90875 22664
"200503" 225901 96934 84511 27313 3913 -3812 -4639 19887 1794 220599 129899 90700 5302
"200504" 214516 86222 86680 25778 3646 -1553 -5280 16943 2080 232637 141037 91600 -18121
"200601" 237475 98139 88932 24383 3990 6281 -3923 17107 2566 244791 152291 92500 -7316
"200602" 227977 95147 91184 20938 5432 2159 -6325 16630 2812 258598 165198 93400 -30621
"200603" 241321 94466 93437 29268 5358 4317 -5638 16844 3269 272214 177914 94300 -30893
"200604" 237010 85421 95689 24710 3291 9437 -1312 16969 2805 285146 189046 96100 -48136
"200701" 225734 73230 96634 22119 3900 12558 -1752 15497 3548 298697 200797 97900 -72963
"200702" 205277 63114 97580 15524 2898 10673 -3397 15402 3483 314827 215127 99700 -109550
"200703" 195127 51882 98525 16392 2107 10612 -3555 15695 3469 329350 227850 101500 -134223
"200704" 167747 35828 99471 11108 1326 6997 -4677 15508 2186 342530 237530 105000 -174783
"200801" 173185 55007 100546 151 1606 5948 -7783 15667 2043 356514 248014 108500 -183329
"200802" 131623 37941 101250 -12321 1033 -2990 -11568 15661 2617 371775 259775 112000 -240152
"200803" 124980 54068 102036 -29697 1068 -2721 -17908 15596 2538 384473 268973 115500 -259493
"200804" 40135 38954 102295 -74578 1028 -21109 -24364 15424 2485 389252 269827 119425 -349117
"200901" 42643 40221 101628 -72571 1379 -24233 -21819 15357 2681 397802 274452 123350 -355159
"200902" 32084 34647 100596 -80857 809 -20534 -21640 14563 4500 404040 276765 127275 -371956
"200903" 59341 41649 99352 -65927 1378 -14491 -22647 13779 6248 417179 285979 131200 -357838
"200904" 39442 36272 98194 -67524 1316 -15787 -31407 12659 5719 416063 280938 135125 -376621
"201001" 50846 51885 97104 -73601 1574 -12643 -30412 12555 4384 420891 281841 139050 -370045
"201002" 46073 46062 96089 -64599 1076 -19090 -30455 12630 4360 429893 286918 142975 -383820
"201003" 62835 59306 95378 -64822 942 -15693 -32000 12801 6923 442420 295520 146900 -379585
