"DATES" "FL514090005.Q" "FL513020003.Q" "FL513034003.Q" "FL512050003.Q" "FL514004005.Q" "FL513069103.Q" "FL513061103.Q" "FL513061703.Q" "FL513062003.Q" "FL513063003.Q" "FL513065503.Q" "FL513064105.Q" "FL513064203.Q" "FL513070003.Q" "FL513092003.Q" "FL514190005.Q" "FL513178003.Q" "FL513190005.Q"
"196604" 37522 1329 0 0 22025 0 4991 1276 12040 3575 143 11000 0 2898 270 23647 95 23552
"196701" 39428 1321 0 0 22422 0 4623 1512 12368 3748 171 12432 0 2964 289 24225 174 24051
"196702" 39883 1305 0 0 22752 0 4335 1552 12785 3904 176 12486 0 3031 309 24671 101 24570
"196703" 40953 1291 0 0 23094 0 4325 1304 13205 4079 181 13138 0 3100 330 25208 100 25108
"196704" 41297 1285 0 0 23483 0 4286 1177 13542 4293 185 13000 0 3176 353 25761 97 25664
"196801" 40913 1297 0 0 23932 0 4170 1215 13804 4555 188 12059 0 3247 378 26364 127 26237
"196802" 43256 1324 0 0 24438 0 4007 1371 13998 4872 190 13773 0 3317 404 26910 91 26819
"196803" 44387 1351 0 0 24950 0 3995 1391 14180 5192 192 14263 0 3391 432 27556 115 27441
"196804" 45313 1362 0 0 25413 0 3933 1420 14403 5464 193 14600 0 3476 462 28239 75 28164
"196901" 45388 1361 0 0 25832 0 3781 1511 14651 5694 195 14129 0 3572 494 29114 107 29007
"196902" 45505 1347 0 0 26124 0 3939 1267 14908 5814 196 13826 0 3680 528 29943 101 29842
"196903" 45510 1331 0 0 26578 0 3479 1643 15185 6074 197 13244 0 3792 565 30681 144 30537
"196904" 46155 1321 0 0 27032 0 3448 1615 15496 6273 200 13300 0 3898 604 31600 126 31474
"197001" 46771 1338 0 0 27812 0 3350 1684 15813 6757 208 12964 0 4011 646 32495 172 32323
"197002" 45097 1372 0 0 28586 0 3242 1783 16110 7231 220 10321 0 4127 691 33301 125 33176
"197003" 48069 1408 0 0 29642 0 3388 1638 16481 7902 233 12034 0 4246 739 34191 157 34034
"197004" 50662 1432 0 0 30870 0 3398 1628 17021 8578 245 13200 0 4370 790 35105 193 34912
"197101" 53411 1455 0 0 31821 0 3328 1704 17721 8823 245 14847 0 4443 845 36002 227 35775
"197102" 54590 1476 0 0 32769 0 3220 1824 18575 8910 240 14970 0 4471 904 36873 260 36613
"197103" 56300 1494 0 0 33714 0 3180 1881 19517 8903 233 15605 0 4521 966 37743 248 37495
"197104" 58450 1509 0 0 34647 0 3183 1897 20481 8863 223 16600 0 4661 1033 38721 150 38571
"197201" 61338 1521 0 0 35592 0 3055 2050 21508 8764 215 18225 0 4895 1105 39893 216 39677
"197202" 63314 1531 0 0 36557 0 2886 2254 22639 8574 204 18815 0 5229 1182 41097 202 40895
"197203" 65605 1537 0 0 37490 0 2757 2415 23776 8349 193 19740 0 5574 1264 42406 249 42157
"197204" 68865 1540 0 0 38331 0 2901 2288 24820 8141 181 21800 0 5842 1352 43767 270 43497
"197301" 69263 1540 0 0 39196 0 2734 2451 25807 8028 176 21031 0 6050 1446 44990 296 44694
"197302" 69402 1534 0 0 40003 0 2674 2479 26774 7903 173 20101 0 6218 1546 46152 264 45888
"197303" 72681 1529 0 0 40838 0 2738 2392 27674 7863 171 22302 0 6359 1653 47371 286 47085
"197304" 71257 1527 0 0 41777 0 2837 2310 28462 8002 166 19700 0 6485 1768 48711 283 48428
"197401" 72648 1534 0 0 42835 0 2765 2452 29118 8336 164 19749 0 6639 1891 49888 318 49570
"197402" 71451 1546 0 0 44000 0 2560 2781 29626 8871 162 17119 0 6764 2022 51020 286 50734
"197403" 67845 1560 0 0 45200 0 2525 2940 30102 9472 161 12038 0 6885 2162 52198 307 51891
"197404" 70084 1581 0 0 46371 0 2860 2680 30662 10012 157 12800 0 7020 2312 53297 303 52994
"197501" 73883 1412 0 0 48057 0 3170 2963 31256 10517 151 14759 0 7182 2473 54755 330 54425
"197502" 77345 1455 0 0 49564 0 3509 2914 31835 11134 172 16322 0 7359 2645 56149 297 55852
"197503" 76977 1527 0 0 51336 0 3995 2829 32480 11841 191 13760 0 7526 2828 57759 312 57447
"197504" 80281 1681 0 0 53708 0 4720 3302 33273 12192 221 14200 0 7668 3024 59693 308 59385
"197601" 86109 1486 0 0 57490 0 5460 3574 34636 13599 221 15974 0 7925 3234 62012 340 61672
"197602" 89171 1615 0 0 59738 0 5750 3887 35250 14606 245 16127 0 8232 3459 64656 316 64340
"197603" 93481 1739 0 0 63033 0 6585 4021 36459 15724 244 16451 0 8559 3699 67507 349 67158
"197604" 97861 1910 0 0 66217 0 7300 3859 38679 16106 273 16900 0 8878 3956 70296 362 69934
"197701" 101874 1765 0 0 70579 0 8486 4311 41791 15664 327 16107 0 9193 4230 73330 386 72944
"197702" 107627 1895 0 0 74826 0 7633 4326 43509 18990 368 16872 0 9510 4524 76503 416 76087
"197703" 112568 1828 0 0 79439 0 8770 4225 46227 19822 395 16627 0 9836 4838 79796 448 79348
"197704" 118341 2183 0 0 83708 0 9760 4386 49390 19788 384 17100 0 10176 5174 83117 480 82637
"197801" 122291 1678 0 0 88034 0 9754 4362 53070 20473 375 16698 0 10530 5351 86568 513 86055
"197802" 127802 1821 0 0 91225 0 9222 4525 56471 20642 365 18325 0 10897 5534 90185 550 89635
"197803" 135206 2219 0 0 95804 0 9895 4313 60132 21098 366 20185 0 11274 5724 93865 583 93282
"197804" 139800 2602 0 0 100222 0 10450 4887 62931 21563 391 19400 0 11656 5920 97548 604 96944
"197901" 145673 2125 0 0 104092 0 10896 5124 65766 21858 448 21227 0 12107 6122 101368 615 100753
"197902" 149832 2453 0 0 106125 0 10741 5355 67217 22384 428 22317 0 12605 6332 105220 619 104601
"197903" 157031 2581 0 0 109982 0 10694 5674 70053 23103 458 24806 0 13113 6549 109109 615 108494
"197904" 161672 2852 0 0 113656 0 10665 5971 72811 23559 650 24800 0 13591 6773 113022 600 112422
"198001" 164353 3105 0 0 116352 0 11158 5909 75353 23158 774 23810 0 14081 7005 117069 627 116442
"198002" 169909 3026 0 0 117878 0 10161 5836 77080 23980 821 27179 0 14581 7245 120552 674 119878
"198003" 176234 2985 0 0 120597 0 11082 5775 78962 23913 865 30079 0 15080 7493 123905 720 123185
"198004" 182096 2947 0 0 123524 0 12248 6178 80533 23571 994 32300 0 15575 7750 127768 744 127024
"198101" 186561 2976 0 0 126284 0 13203 6296 81607 24123 1055 33097 0 16189 8015 130936 746 130190
"198102" 189067 3004 4 0 127931 5 12959 6505 82699 24616 1147 32959 0 16879 8290 133994 727 133267
"198103" 189835 3021 18 0 130490 25 13614 6797 83862 24943 1249 30150 0 17583 8573 136924 706 136218
"198104" 194449 2989 35 0 132048 50 13491 6982 83923 26261 1341 32393 0 18117 8867 139474 699 138775
"198201" 194927 3110 71 0 133607 102 13665 7298 84687 26449 1406 30158 0 18674 9307 141728 711 141017
"198202" 196461 3101 172 0 135194 246 13495 7662 85885 26458 1448 29310 0 19206 9478 143892 738 143154
"198203" 202856 3075 378 0 137076 540 14125 8069 86588 26253 1501 32921 0 19725 9681 146049 765 145284
"198204" 212342 3025 1427 0 139627 2038 14712 8515 86968 25794 1600 38500 0 20242 9521 150859 778 150081
"198301" 219332 2944 1975 0 141767 2822 16069 9010 87144 24973 1749 42304 0 20753 9589 153293 778 152515
"198302" 227280 2819 2604 0 142683 3720 16781 9566 86988 23674 1954 47958 0 21254 9962 155435 766 154669
"198303" 231925 2699 3575 0 144718 5108 18173 10143 86747 22387 2160 48930 0 21751 10252 158855 752 158103
"198304" 235197 2628 4801 0 147558 6859 19424 10700 86667 21597 2311 48112 0 22239 9859 163721 742 162979
"198401" 236733 2705 5286 0 150256 7552 20686 11473 86081 22050 2414 45769 0 22871 9846 167289 742 166547
"198402" 239902 2891 5994 0 154165 8563 22002 12266 85528 23316 2490 43229 0 23603 10020 170901 744 170157
"198403" 247836 3058 6165 0 158387 8807 24137 13158 85108 24597 2580 45688 0 24321 10217 174320 750 173570
"198404" 250927 3118 6270 0 161975 8957 25955 13912 84742 25745 2664 44658 0 25000 9906 177944 762 177182
"198501" 260506 3432 6604 0 166558 9434 26749 15462 84943 27101 2869 48796 0 25644 9472 182258 779 181479
"198502" 271709 3862 6881 0 172675 9830 27024 17656 85523 29595 3047 52313 0 26253 9725 191280 799 190481
"198503" 280837 4227 7422 0 182304 10603 30004 19627 87176 31697 3197 50047 0 26759 10078 204058 826 203232
"198504" 298590 4312 8266 0 191821 11809 32338 22157 88248 33930 3339 56969 0 27190 10032 215584 864 214720
"198601" 312332 4654 8285 0 201880 11836 35771 22820 90732 37098 3623 58656 0 28457 10400 224971 910 224061
"198602" 325018 5052 8235 0 211826 11764 38585 22721 93885 41028 3843 59592 0 29549 10764 234965 962 234003
"198603" 339137 5409 8211 0 222991 11731 42240 22367 97642 44936 4075 60265 0 31005 11256 246674 1027 245647
"198604" 353597 5629 8310 0 234585 11872 46127 22262 101937 48039 4348 61163 0 32062 11848 259475 1111 258364
"198701" 366788 5711 8353 0 244851 11933 48663 22281 107141 50389 4444 62121 0 33097 12655 270099 1215 268884
"198702" 379330 5656 8394 0 255377 11992 50679 22293 113625 52038 4750 62974 0 33842 13087 281618 1340 280278
"198703" 391248 5562 8470 0 265372 12100 52561 22309 119972 53562 4868 63894 0 34607 13343 292502 1477 291025
"198704" 405003 5526 8617 0 274641 12310 54693 22340 124765 55539 4994 65056 0 35651 15512 305913 1617 304296
"198801" 417503 5485 8857 0 283170 12654 56939 22365 128262 57811 5139 66358 0 37137 16496 314545 1696 312849
"198802" 429263 5418 9214 0 290904 13164 59163 22366 130723 60219 5269 67697 0 39068 16962 322047 1775 320272
"198803" 441124 5374 9561 0 298348 13659 61526 22409 132529 62819 5406 69308 0 40996 17537 329295 1854 327441
"198804" 453924 5397 9771 0 306009 13958 64187 22563 134060 65667 5574 71424 0 42460 18863 337578 1933 335645
"198901" 466001 5495 9839 0 313438 14055 66858 23133 134751 68862 5779 74344 0 43489 19396 345624 1761 343863
"198902" 478726 5668 9761 0 320920 13944 69746 23925 134774 72504 6027 78367 0 44171 19839 354141 1589 352552
"198903" 491029 5859 9682 0 328320 13831 72603 24897 134580 76139 6270 82064 0 44701 20403 362827 1417 361410
"198904" 503049 6012 9744 0 335641 13921 75176 26007 134766 79311 6460 84005 0 45276 22371 371104 1246 369858
"199001" 511852 6162 9977 0 342826 14253 77401 27244 135208 82105 6615 84005 0 45835 23047 378197 1409 376788
"199002" 517603 6346 10405 0 349802 14865 79209 28594 135776 84606 6752 81878 0 46317 22855 384525 1571 382954
"199003" 524015 6476 10779 0 356829 15399 81120 30149 136382 86930 6849 79798 0 46769 23364 390644 1734 388910
"199004" 533470 6463 10848 0 364159 15497 83649 32000 136936 89192 6885 79940 0 47238 24822 398817 1897 396920
"199101" 544102 6284 10638 0 372174 15197 88802 34361 135084 91871 6859 82218 0 47734 25054 405096 2063 403033
"199102" 556159 5914 10085 0 380239 14407 96038 37412 131523 94093 6766 86539 0 48290 25092 407796 2229 405567
"199103" 567517 5537 9559 0 387760 13656 103184 40291 128130 95859 6640 91089 0 48786 24786 410847 2395 408452
"199104" 575773 5334 9428 0 394125 13469 108064 42135 126778 97168 6511 94054 0 49102 23730 418982 2561 416421
"199201" 584637 5298 9690 0 400541 13843 112270 42989 127215 97836 6388 95673 0 49210 24225 423591 2136 421455
"199202" 591213 5409 10340 0 405688 14772 114895 42897 129179 97678 6267 96186 0 49085 24505 429494 1710 427784
