"DATES" "FL214090005.Q" "FL213020005.Q" "FL213030005.Q" "FL213034003.Q" "FL212050003.Q" "FL214004005.Q" "FL213069103.Q" "FL213061105.Q" "FL213061703.Q" "FL213062003.Q" "FL213063003.Q" "FL213065005.Q" "FL213064103.Q" "FL213064203.Q" "FL213070003.Q" "FL213078005.Q" "FL213093005.Q" "FL214190005.Q" "FL214104005.Q" "FL213162005.Q" "FL213162400.Q" "FL213162205.Q" "FL213169203.Q" "FL213170003.Q"
"196204" 42731 8223 6450 0 466 21697 0 15157 1867 2573 0 2100 0 0 4844 1051 0 93259 83770 81800 3682 78118 1970 9489
"196301" 43658 8097 7309 0 -1 22324 0 16107 1570 2493 0 2154 0 0 4879 1050 0 94771 85007 82976 3508 79468 2031 9764
"196302" 44401 8263 7466 0 0 22659 0 16398 1625 2434 0 2202 0 0 4950 1063 0 96817 86776 84724 3946 80778 2052 10041
"196303" 45326 7636 7458 0 1004 23051 0 16966 1450 2386 0 2249 0 0 5100 1077 0 98382 88053 85899 4005 81894 2154 10329
"196304" 46232 9153 8093 0 -745 23347 0 16314 2402 2334 0 2297 0 0 5308 1076 0 99866 89243 87040 4128 82912 2203 10623
"196401" 46646 9503 8361 0 -943 23420 0 16504 2282 2281 0 2353 0 0 5241 1064 0 101297 90376 88177 4162 84015 2199 10921
"196402" 47512 8666 8680 0 0 23678 0 16446 2576 2243 0 2413 0 0 5350 1138 0 103452 92222 89948 4695 85253 2274 11230
"196403" 48784 8649 8887 0 344 24237 0 16793 2748 2225 0 2471 0 0 5554 1113 0 105676 94132 91760 5092 86668 2372 11544
"196404" 50424 10417 9812 0 -1758 25012 0 17333 2932 2223 0 2524 0 0 5840 1101 0 107485 95624 93160 4889 88271 2464 11861
"196501" 51409 9506 10450 0 -848 25390 0 17597 2998 2221 0 2574 0 0 5903 1008 0 109367 97184 94661 4689 89972 2523 12183
"196502" 52881 9214 10573 0 0 25894 0 17987 3078 2207 0 2622 0 0 6070 1130 0 112032 99513 96858 5309 91549 2655 12519
"196503" 54621 8931 11049 0 539 26655 0 18760 3039 2189 0 2667 0 0 6291 1156 0 114495 101624 98905 5712 93193 2719 12871
"196504" 56595 9834 12186 0 -708 27504 0 19524 3100 2167 0 2713 0 0 6603 1176 0 116405 103174 100397 5507 94890 2777 13231
"196601" 57766 10148 12244 0 -265 27832 0 19835 3098 2141 0 2758 0 0 6616 1191 0 118263 104665 101842 5275 96567 2823 13598
"196602" 59111 10290 12634 0 0 28133 0 20346 2863 2119 0 2805 0 0 6750 1304 0 121024 107051 104141 6051 98090 2910 13973
"196603" 59740 9265 12761 0 1708 27815 0 20248 2607 2112 0 2848 0 0 6975 1216 0 123085 108731 105524 6236 99288 3207 14354
"196604" 60631 10323 13462 0 805 27471 0 20097 2361 2125 0 2888 0 0 7244 1326 0 124789 110037 106633 6168 100465 3404 14752
"196701" 61076 10364 15000 0 20 27244 0 20115 2074 2133 0 2922 0 0 7112 1336 0 126454 111288 107874 6067 101807 3414 15166
"196702" 61974 10406 15651 0 0 27213 0 20003 2126 2136 0 2948 0 0 7256 1448 0 129240 113659 110195 7010 103185 3464 15581
"196703" 62881 10278 15389 0 959 27441 0 20033 2306 2127 0 2975 0 0 7459 1355 0 131885 115889 112319 7826 104493 3570 15996
"196704" 64005 11124 15731 0 256 27621 0 19742 2751 2125 0 3003 0 0 7822 1451 0 133796 117372 113793 8000 105793 3579 16424
"196801" 65084 10373 16272 0 869 28291 0 19320 3842 2085 0 3044 0 0 7742 1537 0 135781 118914 115278 8074 107204 3636 16867
"196802" 66482 11184 16447 0 200 29015 0 19303 4478 2144 0 3090 0 0 8025 1611 0 138486 121158 117323 8427 108896 3835 17328
"196803" 68017 9293 17286 0 1369 30200 0 19514 5396 2149 0 3141 0 0 8388 1481 0 140994 123197 119319 8102 111217 3878 17797
"196804" 69765 10389 18880 0 -1273 31449 0 19926 6157 2171 0 3195 0 0 8769 1551 0 144403 126125 122132 8143 113989 3993 18278
"196901" 71537 10030 18224 0 -160 33076 0 20432 7206 2195 0 3243 0 0 8842 1525 0 148703 129933 125803 9006 116797 4130 18770
