"DATES" "FL214090005.Q" "FL213020005.Q" "FL213030005.Q" "FL213034003.Q" "FL212050003.Q" "FL214004005.Q" "FL213069103.Q" "FL213061105.Q" "FL213061703.Q" "FL213062003.Q" "FL213063003.Q" "FL213065005.Q" "FL213064103.Q" "FL213064203.Q" "FL213070003.Q" "FL213078005.Q" "FL213093005.Q" "FL214190005.Q" "FL214104005.Q" "FL213162005.Q" "FL213162400.Q" "FL213162205.Q" "FL213169203.Q" "FL213170003.Q"
"199602" 1132878 34291 67411 11156 143807 648641 50436 283255 149423 4793 45872 114862 36489 39108 79590 27496 44889 1282001 1043896 1033512 34210 999302 10384 238105
"199603" 1141140 31148 70800 11329 144188 624387 54114 263745 137807 4560 48229 115932 41000 40493 79785 27198 70812 1267556 1024878 1014241 37548 976693 10637 242678
"199604" 1162599 33157 72558 12037 147806 604832 59682 256993 116211 4639 49680 117627 46898 41034 82902 26101 95274 1273594 1026189 1021340 40682 980658 4849 247405
"199701" 1183630 32689 73058 13112 151689 592400 65371 248126 108916 4430 47269 118288 49554 40546 82877 25913 121792 1286627 1034366 1024126 41691 982435 10240 252261
"199702" 1220685 31800 74490 13716 149431 605625 67053 243332 121578 4540 49753 119369 60139 38824 84326 26485 135849 1304020 1046893 1036877 39296 997581 10016 257127
"199703" 1252565 34134 76885 14757 152625 590968 71236 235205 110234 4000 50000 120293 70395 35883 86328 27017 163573 1317642 1055630 1045093 44566 1000527 10537 262012
"199704" 1286937 37542 78361 15629 151373 604961 74000 239318 115436 3900 51000 121307 78426 33636 89245 26873 170891 1343894 1076946 1066957 48996 1017961 9989 266948
"199801" 1344317 32622 84756 16491 160000 605972 79269 238140 110226 3500 52500 122337 87576 30500 90449 27570 208381 1368668 1096757 1086783 49897 1036886 9974 271911
"199802" 1388337 34300 85820 18936 154000 651602 77849 258470 132500 3000 56434 123349 93943 32921 90879 28563 197373 1397993 1120962 1110880 44448 1066432 10082 277031
"199803" 1412784 32171 87833 20680 152079 677543 80743 271846 140508 3040 58302 123104 84353 26420 91882 28795 211028 1407567 1125239 1114893 40797 1074096 10346 282328
"199804" 1474807 33640 93175 46682 155552 714641 86795 280757 154103 3194 62434 127358 98549 34137 96255 28132 174044 1431470 1143753 1133636 42728 1090908 10117 287717
"199901" 1507187 32736 96512 47759 155072 740831 90942 288434 164525 3272 65180 128478 98553 33976 98344 28518 174886 1456018 1162785 1152668 43649 1109019 10117 293233
"199902" 1535842 32451 99354 48597 153653 767589 94720 298601 174399 3333 67653 128883 97972 33606 99936 30256 172428 1474118 1175256 1165057 41503 1123554 10199 298862
"199903" 1554889 32559 102287 49437 152094 785117 98575 299230 184518 3395 70172 129227 97313 33204 101526 32705 168647 1481340 1176730 1166567 42974 1123593 10163 304610
"199904" 1601111 37551 107156 51169 153061 816538 104326 304521 198338 3519 74029 131805 98289 33350 104942 33474 165581 1491548 1181009 1172521 45291 1127230 8488 310539
"200001" 1623045 32531 110425 52088 151373 836755 108539 306266 209390 3587 76783 132190 97579 32914 106684 35537 167159 1501005 1184349 1175824 46952 1128872 8525 316656
"200002" 1635359 32042 112633 52581 148326 854124 111927 309254 218932 3625 78947 131439 96002 32180 107549 39047 160875 1514113 1191301 1182717 45705 1137012 8584 322812
"200003" 1652814 30464 115671 53455 146236 871305 116187 307862 230255 3690 81721 131590 95056 31653 109189 42922 156863 1514562 1185474 1176656 43774 1132882 8818 329088
"200004" 1661903 37700 117766 53860 142753 887283 119484 309989 239741 3723 83811 130535 93214 30821 109867 45559 143080 1533403 1197892 1189025 46648 1142377 8867 335511
"200101" 1680986 35326 120347 54474 139738 910484 123292 316915 250304 3770 86255 129948 91687 30090 110969 49129 138742 1567329 1225220 1216279 52839 1163440 8941 342109
"200102" 1719798 34148 124498 55842 138489 943219 128896 324800 264619 3870 89948 131086 91334 29736 113602 50837 138093 1608360 1259436 1250465 55118 1195347 8971 348924
"200103" 1712744 33269 125659 55839 133722 949487 131395 321165 272631 3875 91469 128952 88674 28624 113441 51362 132667 1620905 1265315 1256423 65514 1190909 8892 355590
"200104" 1748225 41679 129812 57107 131894 981201 136944 328438 287035 3968 95108 129708 87973 28139 115862 50114 124444 1665831 1303401 1294434 70496 1223938 8967 362430
"200201" 1751586 40255 131930 57413 127707 994111 140253 327641 296823 3994 97186 128214 85713 27148 116322 49545 121442 1694846 1325442 1316205 71605 1244600 9237 369404
"200202" 1760734 43970 133631 57678 123382 1013469 143491 333649 306487 4018 99212 126612 83367 26128 116701 51583 110825 1752020 1375576 1366254 76729 1289525 9322 376444
"200203" 1761788 42580 134830 57661 118432 1028455 146037 338576 314684 4022 100758 124378 80600 24974 116507 55971 101778 1782509 1398958 1389463 85135 1304328 9495 383551
"200204" 1799881 46843 138661 58694 115552 1067362 151289 354673 328761 4099 104168 124372 79254 24254 118433 59539 91289 1838680 1447951 1438353 95717 1342636 9598 390729
"200301" 1794255 43833 145801 58656 115478 1062205 151192 349974 328550 4096 104101 124292 79203 24239 118357 63737 82746 1872808 1474818 1465168 97398 1367770 9650 397990
"200302" 1836745 45000 146660 60468 119044 1082084 155861 347857 338697 4223 107316 128130 81649 24987 122012 68970 85871 1934794 1529639 1520016 97180 1422836 9623 405155
"200303" 1860552 45593 150763 61036 120163 1098802 157326 357675 341879 4263 108324 129335 82416 25222 123159 71266 82132 1950979 1538555 1528846 99902 1428944 9709 412424
"200304" 1908204 53815 158973 62705 123450 1125619 161629 364220 351231 4379 111287 132873 84670 25912 126527 73569 72964 1988180 1568486 1558810 106092 1452718 9676 419694
"200401" 1942315 52975 167554 63689 125386 1147454 164164 374113 356740 4448 113033 134956 85998 26318 128512 78885 65544 2033745 1606683 1596938 110266 1486672 9745 427062
"200402" 1959225 49151 162187 64087 126169 1159402 165188 381236 358966 4476 113738 135798 86535 26483 129314 85362 70535 2069155 1634590 1624786 92450 1532336 9804 434565
"200403" 1986095 42647 166847 65161 128283 1172868 167957 381659 364982 4551 115644 138075 87985 26927 131481 92137 71759 2094844 1652693 1642834 98610 1544224 9859 442151
"200404" 2029504 46976 170564 66620 131156 1198064 171719 389133 373157 4653 118235 141167 89956 27530 134426 99637 64575 2132425 1682557 1672563 100171 1572392 9994 449868
"200501" 2084886 56834 169192 67941 133757 1236960 175123 411993 380555 4745 120579 143965 91740 28075 137091 109078 54218 2189525 1731877 1721804 101948 1619856 10073 457648
"200502" 2147295 58099 168955 69177 136190 1283944 178310 443963 387480 4832 122773 146586 93409 28586 139586 120194 49155 2240185 1774619 1764432 91438 1672994 10187 465566
"200503" 2207475 47048 174665 70661 139112 1325598 182136 467593 395795 4936 125408 149730 95413 29200 142581 129899 53298 2286823 1813154 1802726 95720 1707006 10428 473669
"200504" 2246868 56475 183334 71699 141155 1352043 184810 481441 401606 5008 127249 151929 96814 29628 144675 141037 30008 2336538 1854523 1843903 105910 1737993 10620 482015
"200601" 2290049 56287 186375 73264 144237 1375689 188845 486079 410374 5117 130027 155247 98927 30275 147833 152291 24871 2370783 1880407 1869713 106929 1762784 10694 490376
"200602" 2347547 55993 188906 75058 147768 1410799 193468 499410 420421 5243 133210 159047 101350 31017 151453 165198 20005 2421307 1922320 1911398 98949 1812449 10922 498987
"200603" 2392261 55116 197484 76765 151129 1434206 197869 502085 429984 5362 136241 162665 103655 31722 154898 177914 9372 2454550 1946863 1935796 98454 1837342 11067 507687
"200604" 2460718 61888 209559 78536 154615 1470568 202433 516947 439902 5486 139383 166417 106046 32454 158470 189046 -464 2524648 2008211 1996996 102794 1894202 11215 516437
"200701" 2515697 54981 214234 79629 156768 1501896 205252 534997 446027 5562 141324 168734 107522 32906 160677 200797 6287 2591166 2065720 2054293 105588 1948705 11427 525446
"200702" 2679499 48479 215694 84767 166882 1550083 200494 580304 444803 5921 145441 173120 114459 35029 171043 215127 77936 2660395 2125739 2114136 102951 2011185 11603 534656
"200703" 2603673 45410 228285 82246 161919 1527218 201996 538549 460683 5745 145967 174278 111555 33987 165957 227850 19246 2693988 2150030 2138274 105273 2033001 11756 543958
"200704" 2619654 57107 245948 82932 163270 1524635 193765 537632 464527 5793 147185 175733 112982 34270 167341 237530 -6361 2752726 2199254 2187373 120097 2067276 11881 553472
"200801" 2614944 51936 247085 83010 163424 1503950 178966 531000 464964 5798 147324 175898 112087 34303 167499 248014 3636 2788322 2225134 2213143 121443 2091700 11991 563188
"200802" 2603872 51857 242854 83012 163429 1482847 168972 519868 464978 5798 147328 175903 114591 34304 167504 259775 3699 2813209 2240021 2227826 115042 2112784 12195 573188
"200803" 2575024 51599 246539 82517 162454 1445179 152696 503211 462204 5764 146449 174855 108922 34099 166505 268973 8237 2827034 2243689 2231219 122456 2108763 12470 583345
"200804" 2508646 65634 265065 80540 158562 1383474 127600 485511 451131 5626 142941 170665 86253 33282 162516 269827 3493 2843825 2250793 2238077 132637 2105440 12716 593032
"200901" 2504046 60628 278191 80705 158886 1396818 108025 516856 452053 5637 143233 171014 61475 33350 162848 274452 -3307 2882837 2280291 2267425 133278 2134147 12866 602546
"200902" 2534967 85287 267391 82062 161556 1370810 86521 514378 444651 5732 145640 173888 78307 33911 165585 276765 13293 2922074 2309931 2296871 122261 2174610 13060 612143
"200903" 2571318 71279 273008 83945 165264 1358658 81376 504356 440200 5864 148983 177879 100850 34689 169385 285979 28261 2948287 2326512 2313271 135323 2177948 13241 621775
"200904" 2600734 85005 275910 85077 167494 1353941 74295 505889 436543 5943 150993 180278 122379 35157 171670 280938 23163 2993486 2362074 2348538 135450 2213088 13536 631412
"201001" 2645226 81276 281947 86865 171013 1361124 68902 506369 441555 6067 154165 184066 117292 35896 175277 281841 52695 3034238 2393167 2379491 134638 2244853 13676 641071
"201002" 2619605 81707 265116 86112 169530 1342406 56960 511796 432336 6015 152828 182471 108775 30584 173757 286918 74700 3039238 2388445 2374674 119309 2255365 13771 650793
"201003" 2671955 81779 268089 88362 173961 1351663 52762 508724 439943 6172 156823 187239 111814 31514 178299 295520 90954 3062865 2402233 2388335 129269 2259066 13898 660632
