"DATES" "FL444090005.Q" "FL443013053.Q" "FL443020005.Q" "FL443030053.Q" "FL442050005.Q" "FL444004005.Q" "FL443069105.Q" "FL443061105.Q" "FL443061705.Q" "FL443061875.Q" "FL443061675.Q" "FL443061775.Q" "FL443062005.Q" "FL443063005.Q" "FL443065775.Q" "FL443063675.Q" "FL443063075.Q" "FL443069505.Q" "FL443065005.Q" "FL443066005.Q" "FL443064175.Q" "FL443090005.Q" "FL444190005.Q" "FL443139005.Q" "FL443127005.Q" "FL443131005.Q" "FL443135005.Q" "FL442150005.Q" "FL444104005.Q" "FL443163053.Q" "FL443168005.Q" "FL443169305.Q" "FL443178005.Q" "FL443190005.Q" "FL443194733.Q" "FL443193005.Q"
"195903" 100647 0 1975 0 0 93432 0 10753 1891 357 0 1534 758 3653 0 0 3653 19 74638 1720 1371 3869 93046 87345 129 87216 0 0 1974 0 179 1795 6 3721 0 3721
"195904" 102714 0 2423 0 0 95137 0 10229 1982 324 0 1658 721 3627 0 0 3627 25 76840 1713 1400 3754 94824 89560 131 89429 0 0 2387 0 253 2134 6 2871 0 2871
"196001" 104342 0 2125 0 0 97286 0 9951 2502 393 0 2109 709 3592 0 0 3592 27 78574 1931 1290 3641 96480 91365 133 91232 0 0 1690 0 170 1520 3 3422 0 3422
"196002" 107042 0 2362 0 0 99242 0 9584 2533 403 0 2130 695 3627 0 0 3627 21 80835 1947 1306 4132 98925 93761 135 93626 0 0 1941 0 171 1770 3 3220 0 3220
"196003" 109161 0 2130 0 0 101986 0 9494 2575 384 0 2191 687 3699 0 0 3699 45 83499 1987 1199 3846 101125 95412 136 95276 0 0 1888 0 152 1736 6 3819 0 3819
"196004" 112099 0 2616 0 0 104154 0 9344 2536 373 0 2163 672 3781 0 0 3781 40 85819 1962 1300 4029 103672 98485 140 98345 0 0 2199 0 218 1981 6 2982 0 2982
"196101" 115066 0 2484 0 0 106921 0 9973 2568 374 0 2194 666 3803 0 0 3803 39 87785 2087 1445 4216 106458 101000 143 100857 0 0 1628 0 151 1477 3 3827 0 3827
"196102" 118421 0 2665 0 0 109403 0 9786 2563 406 0 2157 687 3797 0 0 3797 26 90535 2009 1438 4915 109564 104004 146 103858 0 0 2029 0 160 1869 2 3529 0 3529
"196103" 121298 0 2557 0 0 112496 0 9851 2555 425 0 2130 687 3717 0 0 3717 37 93522 2127 1477 4768 112440 105746 148 105598 0 0 2289 0 165 2124 5 4400 0 4400
"196104" 125095 0 3072 0 0 115330 0 9906 2520 411 0 2109 677 3571 0 0 3571 45 96429 2182 1600 5093 115776 109162 152 109010 0 0 2858 0 196 2662 5 3751 0 3751
"196201" 128174 0 2972 0 0 118510 0 10506 2659 435 0 2224 633 3560 0 0 3560 66 98908 2178 1582 5110 118887 111765 156 111609 0 0 2298 0 147 2151 6 4818 0 4818
"196202" 131574 0 3066 0 0 121270 0 10207 2584 452 0 2132 582 3478 0 0 3478 81 102195 2143 1232 6006 122444 115034 159 114875 0 0 2887 0 120 2767 5 4518 0 4518
"196203" 135014 0 2905 0 0 125070 0 10305 2680 490 0 2190 563 3470 0 0 3470 108 105731 2213 1328 5711 125798 117367 162 117205 0 0 3163 0 117 3046 5 5263 0 5263
"196204" 139446 0 3669 0 0 128303 0 10219 2615 494 0 2121 527 3455 0 0 3455 134 109091 2262 1500 5974 129653 121572 185 121387 0 0 3633 0 154 3479 6 4442 0 4442
"196301" 143518 0 3397 0 0 132395 0 11014 2713 491 0 2222 475 3407 0 0 3407 111 112325 2350 1596 6130 133639 125578 221 125357 0 0 2609 0 95 2514 99 5353 0 5353
"196302" 148235 0 3423 0 0 136240 0 10935 2693 500 0 2193 458 3300 0 0 3300 84 116401 2369 1674 6898 138163 129351 229 129122 0 0 3442 0 172 3270 78 5292 0 5292
"196303" 152351 0 3231 0 0 140844 0 11011 2739 574 0 2165 451 3262 0 0 3262 181 120669 2531 1738 6538 142222 131675 230 131445 0 0 4219 0 195 4024 85 6243 0 6243
"196304" 156999 0 3740 0 0 144546 0 10948 2718 556 0 2162 440 3160 0 0 3160 36 124640 2604 1800 6913 146470 135914 234 135680 0 0 5028 0 244 4784 89 5439 0 5439
"196401" 160553 0 3538 0 0 148432 0 11426 2762 572 0 2190 424 3192 0 0 3192 92 127882 2654 1891 6692 150027 139405 241 139164 0 0 4336 0 168 4168 96 6190 0 6190
"196402" 165099 0 3560 0 0 152208 0 11312 2817 581 0 2236 409 3153 0 0 3153 73 131816 2628 1934 7397 154353 143342 250 143092 0 0 4998 0 229 4769 90 5923 0 5923
"196403" 168962 0 3300 0 0 156731 0 11455 2888 625 0 2263 409 3122 0 0 3122 94 135987 2776 1976 6955 158167 146367 253 146114 0 0 5081 0 244 4837 102 6617 0 6617
"196404" 173134 0 3820 0 0 160161 0 11432 2838 630 0 2208 391 2991 0 0 2991 92 139650 2767 2000 7153 162096 150736 258 150478 0 0 5610 0 285 5325 101 5649 0 5649
"196501" 176378 0 3509 0 0 163936 0 12038 2956 631 0 2325 381 2996 0 0 2996 116 142514 2935 2044 6889 165303 153784 267 153517 0 0 4953 0 206 4747 96 6470 0 6470
"196502" 180249 0 3540 0 0 167072 0 11720 3011 667 0 2344 360 2957 0 0 2957 127 145906 2991 2003 7634 169113 156771 275 156496 0 0 5901 0 315 5586 86 6355 0 6355
