"DATES" "FL444090005.Q" "FL443013053.Q" "FL443020005.Q" "FL443030053.Q" "FL442050005.Q" "FL444004005.Q" "FL443069105.Q" "FL443061105.Q" "FL443061705.Q" "FL443061875.Q" "FL443061675.Q" "FL443061775.Q" "FL443062005.Q" "FL443063005.Q" "FL443065775.Q" "FL443063675.Q" "FL443063075.Q" "FL443069505.Q" "FL443065005.Q" "FL443066005.Q" "FL443064175.Q" "FL443090005.Q" "FL444190005.Q" "FL443139005.Q" "FL443127005.Q" "FL443131005.Q" "FL443135005.Q" "FL442150005.Q" "FL444104005.Q" "FL443163053.Q" "FL443168005.Q" "FL443169305.Q" "FL443178005.Q" "FL443190005.Q" "FL443194733.Q" "FL443193005.Q"
"198204" 870300 0 11981 13955 20819 756696 6850 16609 90751 76691 0 14060 3308 30666 0 0 30666 5634 576324 26554 3300 63549 856537 740504 19291 655985 65228 13510 72488 3651 2836 66001 920 29115 5286 23829
"198301" 905722 0 12949 15408 22043 783143 6375 21161 103414 88137 0 15277 3299 35152 0 0 35152 6850 579000 27892 3614 68565 890076 776864 22815 689701 64348 14653 66642 3800 2700 60142 930 30987 4999 25988
"198302" 937310 0 12983 16539 21322 813059 5900 24819 111676 96013 0 15663 3151 41137 0 0 41137 7099 589904 29373 4163 69244 922976 800179 25264 700438 74477 18506 65753 3944 2684 59125 940 37598 4730 32868
"198303" 974366 0 12966 14778 23067 846812 5848 29016 122026 106018 0 16008 3141 38970 0 0 38970 8453 608933 30425 4335 72408 960227 828719 26727 711803 90189 21053 65268 3962 2900 58406 950 44237 4852 39385
"198304" 1011657 0 13733 15121 22560 879479 5185 31915 126905 110694 0 16211 3084 42365 0 0 42365 11678 626858 31489 4317 76447 999893 857355 28492 728318 100545 26562 66786 3979 3165 59642 960 48230 5296 42934
"198401" 1049106 670 12626 12715 26871 913254 4585 34648 134295 117706 0 16589 2882 47140 0 0 47140 12111 642809 34784 4145 78825 1039223 889928 29305 746749 113874 30069 69348 4084 6880 58384 710 49168 5192 43976
"198402" 1098661 1167 12077 10999 26085 957422 3984 37076 142827 125879 0 16948 2754 45631 0 0 45631 15787 671835 37528 3955 86956 1089998 916601 31957 757476 127168 39624 78506 3965 7867 66674 748 54519 5041 49478
"198403" 1139026 1329 11184 7314 25057 995460 3385 39631 146417 129125 0 17292 2694 48086 0 0 48086 17613 696560 41074 4219 94463 1130719 941879 32736 771702 137441 44361 86104 4403 7855 73846 814 57561 5923 51638
"198404" 1179745 1627 11749 9622 26311 1018642 3750 39720 143671 125437 0 18234 2753 53730 0 0 53730 20664 710128 44226 4142 107652 1171923 976697 34891 792297 149509 43412 90348 5914 8925 75509 803 60663 6462 54201
"198501" 1199682 1812 10933 11494 22486 1041642 6852 41135 146037 128403 0 17634 2775 52711 0 0 52711 24274 720804 47054 4534 106781 1191996 997648 36738 809189 151721 38851 90545 6249 8656 75640 859 64093 6787 57306
"198502" 1218014 1981 11456 11145 24661 1045221 5343 34300 136685 120071 0 16614 2741 53603 0 0 53603 25643 735626 51280 4822 118728 1210181 1011279 39623 817877 153779 31770 96490 7029 8815 80646 982 69660 7228 62432
"198503" 1246003 2158 10984 11099 20935 1080516 4924 37372 147416 129550 0 17866 2733 53895 0 0 53895 26674 753329 54173 4594 115717 1238105 1022463 42043 826583 153837 33834 106088 8740 10517 86831 1223 74497 7105 67392
"198504" 1274862 2585 13334 11889 22106 1097646 3508 34515 146785 127576 0 19209 3396 56828 0 0 56828 29339 765654 57621 5241 122061 1265496 1032774 44762 832711 155301 40425 111351 10510 10856 89985 1422 79524 7196 72328
"198601" 1292840 2561 12004 12168 27386 1110590 4830 32456 154227 134730 0 19497 3209 57669 0 0 57669 32379 767469 58351 6007 122124 1282096 1048527 46487 841747 160293 40336 110135 11604 10094 88437 1529 81569 7682 73887
"198602" 1327890 2987 11977 10226 29202 1141450 4003 35342 170508 150870 0 19638 3079 58843 0 0 58843 35478 773072 61125 6736 125312 1315229 1058586 52887 844813 160886 48632 119815 12692 11030 96093 1589 86607 7343 79264
"198603" 1350704 3444 10128 9343 28147 1168805 3914 38430 180250 160256 0 19994 3268 64431 0 0 64431 37754 779106 61652 6532 124305 1337209 1069701 56557 852054 161090 50299 127376 14855 12182 100339 1767 88066 6056 82010
"198604" 1376161 4167 13933 15855 19854 1191031 5286 37996 193068 170639 0 22429 3084 64083 0 0 64083 39792 784809 62913 6982 124339 1361510 1076758 61899 858114 156745 57543 135659 15431 10213 110015 1687 89863 7347 82516
"198701" 1403376 4256 9212 9465 28845 1210729 6157 43907 196747 177482 0 19265 2929 61252 0 0 61252 40706 796767 62264 8443 132426 1372865 1074010 63507 859201 151302 61581 136330 18357 9802 108171 1689 99255 6500 92755
"198702" 1440729 4571 9206 8993 27912 1248431 3917 46004 214397 193323 0 21074 2914 64321 0 0 64321 39853 813126 63899 8735 132881 1409041 1077846 67207 860994 149645 80089 144229 17951 10361 115917 1499 105378 6500 98878
"198703" 1464210 4696 7438 8223 21081 1283566 3057 47416 225257 204768 0 20489 3039 68792 0 0 68792 43773 829251 62981 9238 129968 1431114 1092087 67196 869333 155558 81280 150371 18789 9799 121783 1403 105973 6490 99483
"198704" 1504547 5055 10102 7346 18951 1310297 4251 47549 236672 215159 0 21513 3052 88231 15626 0 72605 40882 824325 65335 7026 145770 1472726 1120777 67205 888704 164868 85686 164357 19814 9730 134813 1300 100606 6480 94126
"198801" 1540190 5023 8506 7218 21906 1327900 4006 41642 234344 211096 0 23248 2610 93239 14433 0 78806 39320 847732 65007 7814 161823 1506588 1167659 67959 932343 167357 80410 161410 19790 10374 131246 1133 95976 6470 89506
"198802" 1573147 5555 8474 7156 22148 1360022 3588 39736 242731 220999 0 21732 2718 104100 17958 0 86142 39511 860599 67039 8295 161497 1538990 1180456 72516 939195 168745 91639 168064 21402 10096 136566 1117 97714 6460 91254
"198803" 1609763 5660 9758 7095 23549 1379906 3295 37209 249224 222768 0 26456 2903 107948 20365 0 87583 41012 871602 66713 8327 175468 1574902 1191932 73354 943787 174791 99431 174485 21587 9649 143249 1281 107773 6450 101323
"198804" 1639760 5404 11949 7392 20245 1409258 5093 34856 257240 221487 0 35753 2821 105321 21261 0 84060 49151 888023 66753 8477 177035 1604789 1192644 73964 942813 175867 103945 185992 21683 9853 154456 1273 120935 6440 114495
"198901" 1592236 4972 9886 7200 23840 1408699 3205 32564 255857 221069 0 34788 2614 104512 24478 0 80034 47908 896039 66000 9017 128622 1557873 1178137 71215 930938 175984 104632 196104 21250 9363 165491 1186 77814 6430 71384
"198902" 1593504 4931 9995 7840 26824 1396898 3940 26467 250037 216041 0 33996 2461 100095 24787 0 75308 48287 900148 65463 10116 136900 1558577 1183492 69547 935309 178636 99958 193900 21228 9108 163564 1164 80063 6420 73643
"198903" 1559827 4677 9699 5730 26140 1361988 3530 25674 227152 192474 0 34678 2676 96873 25415 0 71458 48285 893246 64552 11050 140543 1529280 1184372 71031 941013 172328 73472 181617 19639 9168 152810 1195 88624 6410 82214
"198904" 1510394 4569 11237 5311 24151 1316026 4711 26792 208887 175372 0 33515 2631 90960 25379 0 65581 46993 872521 62531 11010 138090 1484431 1170382 72837 935820 161725 57765 171039 18264 9161 143614 1165 84080 6405 77675
"199001" 1479705 4318 10639 6701 27521 1322584 725 28782 201181 170360 0 30821 2816 92748 27194 0 65554 44061 891921 60350 10550 97392 1487860 1155076 71361 933569 150146 55549 161490 17482 9574 134434 1333 114412 6400 108012
"199002" 1417288 4427 10390 5991 23842 1267663 699 26619 190646 160080 0 30566 2752 86815 24892 0 61923 42141 860903 57088 10627 94348 1419498 1105352 71531 894741 139080 56833 152004 14331 9833 127840 1053 104256 6300 97956
"199003" 1367111 4092 8636 5698 23157 1223895 932 25440 185882 155453 0 30429 2930 81550 24455 0 57095 38038 836047 53076 8667 92966 1368088 1072975 70039 872617 130319 51672 142140 13186 9862 119092 1102 100199 6200 93999
"199004" 1323025 3684 10655 5242 21607 1176494 747 25879 185654 154765 0 30889 3015 75622 27140 0 48482 34303 801628 49646 8758 96585 1320676 1050210 68019 862339 119852 42450 140106 12706 9667 117733 984 86926 6000 80926
"199101" 1280009 2284 12410 6008 21752 1124906 850 25754 172750 147061 0 25689 2796 69296 26017 0 43279 27235 776492 49733 9947 102702 1273924 1031363 67058 853817 110488 32535 128290 11626 9532 107132 1214 80522 5750 74772
"199102" 1224340 2531 13191 4874 18622 1080720 948 25652 161439 136752 0 24687 2736 63352 25207 0 38145 24646 755403 46544 9480 94922 1214724 996778 69331 827563 99884 27321 115261 11172 9522 94567 1041 74323 5500 68823
"199103" 1170080 2589 11820 5134 20929 1032556 1061 23997 150379 131185 0 19194 2476 70966 25939 0 45027 20568 719679 43430 9791 87261 1151913 949973 69026 790909 90038 25237 101822 8826 9652 83344 1110 73771 5250 68521
"199104" 1144874 2760 13071 4962 15054 1013220 1295 24962 145035 123571 0 21464 2414 72682 27154 0 45528 19303 705368 42161 10271 85536 1123013 937571 85313 767663 84595 19571 95369 8626 8945 77798 1207 69295 5000 64295
"199201" 1113756 2927 12096 3914 17237 985397 750 28242 139994 120858 0 19136 2273 71827 27694 0 44133 20646 682338 39327 10449 81736 1085068 912446 84862 744521 83063 15688 90740 7153 9359 74228 1370 64824 4750 60074
"199202" 1088853 2679 11331 3488 15986 961419 486 29738 142103 120141 0 21962 2290 69920 26826 0 43094 19125 659625 38132 10370 83580 1054187 886847 78577 730945 77325 17656 88531 6570 8685 73276 1245 59908 4500 55408
"199203" 1069602 2687 9598 3589 14448 947109 518 29755 137773 119375 0 18398 2322 72998 26748 0 46250 18091 648178 37474 10563 81608 1031737 865348 78586 708048 78714 16874 89775 5910 8833 75032 1252 58488 4250 54238
"199204" 1060439 2968 12459 3704 14428 937415 592 33980 143034 120653 0 22381 2055 80003 26447 0 53556 12422 627972 37357 11225 78240 1017460 852868 83963 692249 76656 18550 88366 5476 8935 73955 1418 56258 4000 52258
"199301" 1031767 2844 10612 3432 14229 922639 606 31203 141791 120499 0 21292 2102 81679 27146 0 54533 11262 617222 36774 11294 66717 986035 819565 79695 668124 71746 21229 90830 5000 8627 77203 1614 52797 4000 48797
"199302" 1025963 3156 10433 2883 12355 921552 275 31215 143749 122387 0 21362 2049 83310 25255 0 58055 11045 612533 37376 11381 64203 978275 805259 83908 649431 71920 22493 93963 4347 8291 81325 1341 55219 4000 51219
"199303" 1024413 3205 11680 3279 11866 923249 208 30258 144695 121753 0 22942 2025 88029 25267 0 62762 11068 609772 37194 11919 59215 973448 794505 85674 637629 71202 24447 97043 4192 8042 84809 1423 56030 4188 51842
"199304" 1020172 3385 15455 3045 10578 914128 315 28241 147251 123527 0 23724 2111 89114 30248 0 58866 10806 598435 37855 12536 61045 963781 785482 88337 624102 73043 26093 99630 3935 8445 87250 1365 51211 4446 46765
"199401" 1014590 3206 17043 2780 10039 909746 363 29342 148551 122861 0 25690 2113 97354 32244 0 65110 10356 584526 37141 12022 59754 956333 776272 84552 619639 72081 28593 98252 3825 10191 84236 1657 51559 4400 47159
"199402" 1009214 3306 12512 1958 9808 912429 402 29514 149618 123670 0 25948 2186 96657 31937 0 64720 10249 585660 38143 10939 58262 946137 758900 82752 605302 70846 34235 99696 3506 7851 88339 1202 52104 4400 47704
"199403" 1008030 3028 12329 1358 8649 919432 168 28189 160030 134217 0 25813 2185 92668 30082 0 62586 10236 587536 38420 11006 52228 940249 744423 80665 591779 71979 39149 103392 3236 7565 92591 1123 52162 4400 47762
"199404" 1008646 2819 13897 1277 6463 920842 130 27121 159899 133776 0 26123 2029 86739 29163 0 57576 10265 596191 38468 10355 52993 941277 733643 80430 582256 70957 44537 112423 3099 9326 99998 1041 49633 4400 45233
"199501" 1012725 2502 12302 1064 8771 925300 131 23678 163358 135767 0 27591 2026 84873 27238 0 57635 11892 601823 37519 11299 51487 942076 739376 79501 585825 74050 44621 107690 3081 10019 94590 1300 49089 4417 44672
"199502" 1016208 2633 13268 1021 9892 922368 269 21378 161893 134099 0 27794 2022 86542 29713 0 56829 12071 599706 38487 12590 54436 942430 738194 79656 582369 76169 51087 105897 3120 11295 91482 1235 46017 4432 41585
"199503" 1024512 2575 13402 1088 10081 930377 203 21530 164959 132125 0 32834 2048 84830 28321 0 56509 12528 604585 39694 13582 53407 947719 736158 78610 578904 78644 56502 107171 3132 12402 91637 1578 46310 4460 41850
"199504" 1012757 2616 15553 1123 11222 913277 168 18414 164552 134776 0 29776 1988 78535 24678 0 53857 12751 596763 40106 14283 54683 934557 727939 78472 569353 80114 44535 115047 3063 14572 97412 1553 45483 4491 40992
"199601" 1017589 2602 14027 1018 11212 921791 186 18759 163838 135028 0 28810 1993 79861 24744 0 55117 13888 602594 40672 15901 51038 937904 728128 78195 568244 81689 45064 117790 2872 15241 99677 1662 45260 4531 40729
"199602" 1024456 2581 13527 1002 9274 932730 190 19462 165075 135801 0 29274 1983 78075 23690 0 54385 14354 611502 42089 16058 49284 944961 720713 77990 561643 81080 50042 128316 3077 14760 110479 1445 44445 4577 39868
"199603" 1055729 2323 14285 1397 9936 945153 155 17709 160250 131999 0 28251 2074 76260 23667 0 52593 15961 627810 44934 16422 66213 976767 737212 78204 570870 88138 46468 134768 2736 14478 117554 864 57455 4630 52825
"199604" 1031678 2259 14194 1376 10030 933189 306 17380 156054 127768 0 28286 2090 68597 21002 0 47595 15715 628336 44711 17760 52870 950360 721329 77199 557730 86400 43666 140514 2708 15937 121869 1071 43780 4690 39090
"199701" 1019444 2045 13138 1350 9378 931869 17 16999 156082 127190 0 28892 1939 67869 19544 0 48325 16722 626381 45860 17949 43715 938159 718483 76449 553496 88538 45614 136315 2643 16958 116714 1524 36223 4757 31466
"199702" 1029665 1900 13578 1335 9836 937827 0 16339 159597 128922 0 30675 2027 67166 18399 0 48767 17154 629061 46483 21180 44009 942464 711666 75594 545742 90330 45852 144279 2591 16692 124996 1359 39308 4831 34477
"199703" 1020652 1865 14186 1203 8500 928999 0 15269 154797 124368 0 30429 2082 58460 15682 0 42778 18459 631445 48487 22623 43276 931311 697084 72288 531470 93326 46739 149842 2827 17626 129389 1481 36165 4912 31253
"199704" 1028626 1728 15234 962 9231 928509 0 14569 155266 124074 0 31192 2129 58714 15094 0 43620 18838 631821 47172 23308 49654 937356 695677 71890 525719 98068 41784 160262 2827 19407 138028 1657 37976 5000 32976
"199801" 1043179 1734 15910 1138 11919 931524 0 14842 152635 122710 0 29925 1724 57980 15543 0 42437 19797 637148 47398 26510 54444 947662 696585 71780 523592 101213 45359 162910 2572 22266 138072 1847 40961 6176 34785
"199802" 1046071 1819 15749 1413 14320 930941 3 12615 149784 120354 0 29430 1990 65313 13224 0 52089 20216 632363 48657 26931 54898 948304 690299 71197 515940 103162 48008 170708 2737 23352 144619 1614 37675 7010 30665
"199803" 1056651 1795 15677 1377 15702 939237 0 11121 145461 117866 0 27595 2254 73570 11383 0 62187 22079 634250 50502 23979 58884 960797 685780 69394 508725 107661 47642 186629 2611 27943 156075 1876 38870 7158 31712
"199804" 1088556 1819 18471 1465 14775 965460 0 10170 143676 117225 0 26451 2496 88639 13231 0 75408 24158 643956 52365 24483 62083 993128 693077 71054 508301 113722 51302 212437 2582 29706 180149 2442 33870 8164 25706
"199901" 1110992 1822 15039 1382 15805 991141 0 10604 147739 119084 0 28655 2739 104386 17842 0 86544 25354 646509 53810 25114 60689 1013516 688633 68627 506297 113709 63907 226942 2810 34034 190098 2810 31224 8675 22549
"199902" 1127959 1844 16125 1312 12506 1011679 0 10631 147344 116795 0 30549 2912 109924 20217 0 89707 27037 656518 57313 24877 59616 1030009 688851 69453 503309 116089 65759 241583 2676 35445 203462 2425 31391 9279 22112
"199903" 1144866 1810 16635 1313 12222 1029905 0 10447 146025 114102 0 31923 2927 106281 19529 0 86752 28226 675773 60226 24200 58781 1046933 688359 68559 502831 116969 71857 255390 3030 34641 217719 2254 29073 9043 20030
"199904" 1150476 1575 20556 1344 10596 1032612 0 10143 147103 115697 0 31406 3001 111945 18360 0 93585 30635 668064 61721 23812 59981 1054651 699147 69037 507911 122199 72686 260445 2732 14040 243673 1482 20891 9257 11634
"200001" 1159428 1440 16414 1939 11522 1043667 0 9945 142051 110627 0 31424 3085 115694 17765 0 97929 33368 680358 59166 23681 60765 1064264 704504 69632 505833 129039 61105 279189 2727 32668 243794 1829 17637 9485 8152
"200002" 1181583 1674 17384 1333 12034 1060437 0 9117 139736 108359 0 31377 3030 110570 18779 0 91791 35392 701372 61220 24210 64511 1084309 706258 69871 505171 131216 63601 292148 2737 32671 256740 1862 20440 9607 10833
"200003" 1201881 1641 16913 1133 14712 1080034 0 8779 139377 108769 0 30608 3022 107251 17248 0 90003 37878 720996 62731 24354 63094 1101014 717577 69383 508903 139291 70377 286760 3385 31570 251805 2052 24248 10457 13791
"200004" 1217659 1626 19038 1434 14887 1088802 0 8734 140435 108995 0 31440 3170 109414 18995 0 90419 39316 722973 64760 24231 67641 1114899 726617 70260 514304 142053 53108 301250 6251 35011 259988 1987 31937 11099 20838
"200101" 1248606 1602 19034 1719 16574 1100300 0 7995 145354 113096 0 32258 3998 95947 20640 0 75307 41349 740479 65178 24561 84816 1143295 749088 72179 524791 152118 51785 308103 6088 37938 264077 2802 31517 13265 18252
"200102" 1268308 1994 20706 2336 16633 1116014 0 7472 150739 116902 0 33837 4152 93198 18227 0 74971 43779 751643 65031 25593 85032 1160860 755362 73461 525520 156381 54367 305298 6383 36835 262080 2718 43115 14005 29110
"200103" 1281633 2534 20532 2260 20157 1118556 0 6586 148873 118414 0 30459 4256 88115 16170 0 71945 43610 758342 68774 27140 90454 1170586 768903 72934 528403 167566 37858 310946 6075 40108 264763 3639 49240 14184 35056
"200104" 1291395 2254 21030 2189 20289 1133536 0 11384 161438 115716 0 45722 4810 83863 13191 0 70672 42904 758037 71100 27878 84219 1181264 773207 73453 530917 168837 56914 301211 3639 38488 259084 2992 46940 13039 33901
"200201" 1310587 2319 21053 2802 24025 1137600 0 14080 173598 116726 0 56872 4966 83342 12323 0 71019 44469 745836 71309 28271 94517 1194306 800960 74051 543811 183098 62706 289452 3453 38328 247671 2967 38221 13223 24998
"200202" 1297822 2359 20948 2733 17839 1131145 0 12728 172620 120151 0 52469 5110 85215 11709 0 73506 44344 742470 68658 28611 94187 1175933 802675 75125 543780 183770 54071 280110 2945 39728 237437 2613 36464 12908 23556
"200203" 1330459 2592 22227 3550 21769 1154119 0 10306 168525 125317 0 43208 5250 85826 10982 0 74844 45359 773395 65458 28645 97557 1208103 823253 73969 546749 202535 44397 283184 2880 42153 238151 3455 53814 12231 41583
"200204" 1349462 2832 24817 2581 19951 1166904 0 9193 176160 132701 0 43459 5753 79857 10586 0 69271 46249 780987 68705 29100 103277 1223474 839937 75297 551767 212873 41589 278138 3439 43015 231684 2161 61649 13202 48447
"200301" 1398768 2762 23911 2630 21618 1214412 0 9199 186147 140969 0 45178 5834 81875 9621 0 72254 47376 815362 68619 29923 103512 1269096 859837 75319 560329 224189 42764 307054 4780 65402 236872 4059 55382 13543 41839
"200302" 1429044 3131 27024 2680 18446 1238782 0 9953 192367 142024 0 50343 6039 75390 9473 0 65917 48151 833117 73765 30563 108418 1298281 874418 76285 560842 237291 45459 306965 4843 66994 235128 2680 68759 14664 54095
"200303" 1464056 3409 25879 2650 18097 1261278 0 11244 193260 136158 0 57102 6642 68558 9961 0 58597 57399 851475 72700 31060 121683 1331977 892264 77890 576495 237879 47060 306420 4996 59702 241722 3651 82582 15025 67557
"200304" 1465877 3364 24840 2608 12288 1294249 0 12238 198772 113801 24333 60638 6624 71870 10697 5714 55459 56311 870557 77877 30437 98091 1329809 924765 80685 598989 245091 60909 313415 5124 59019 249272 2600 28120 15566 12554
"200401" 1519807 3211 22672 2950 20818 1350039 0 9926 211895 117847 44183 49865 6794 63903 9370 40388 14145 49610 926446 81465 28233 91884 1379696 945524 79532 581416 284576 57029 344396 5976 66688 271732 3740 29007 17047 11960
"200402" 1561045 3364 22946 3238 15568 1392376 0 9150 208350 118216 41376 48758 6843 58907 8776 37201 12930 55455 965538 88133 27919 95634 1416349 954676 80292 584326 290058 53787 372840 5037 79294 288509 3291 31755 17398 14357
"200403" 1594296 3470 22383 3196 13086 1428100 0 7810 200690 114765 41276 44649 7207 57517 8287 38442 10788 57451 1008250 89175 28855 95206 1444321 976018 79785 589308 306925 55534 371801 5954 84315 281532 3918 37050 18291 18759
"200404" 1649586 3253 21342 3233 9127 1417733 0 8377 136445 90383 23386 22676 7418 59162 8235 40462 10465 57636 1057395 91300 28247 166651 1495026 990192 81172 584548 324472 63263 404789 7618 87884 309287 3558 33224 18960 14264
"200501" 1648770 2930 22228 2837 9397 1496823 0 7582 203632 116893 44483 42256 7665 62366 7057 45194 10115 56387 1068408 90783 27069 87486 1491054 1002750 81418 585274 336058 51827 398306 7514 89937 300855 3965 34206 19319 14887
"200502" 1703214 2977 23107 2806 9657 1551216 0 8992 201476 113282 42880 45314 8442 64203 6637 47739 9827 60780 1113292 94031 26145 87306 1538714 1024917 82424 590019 352474 55967 414478 7690 84096 322692 4002 39350 20156 19194
"200503" 1750300 2881 23742 2903 15009 1589821 0 8672 197236 113075 39861 44300 8851 74877 8933 53968 11976 59480 1141289 99416 26052 89892 1583342 1050570 83808 602708 364054 61870 418023 7549 88288 322186 3913 48966 21417 27549
"200504" 1789399 2725 23702 2729 9037 1617085 0 12339 192269 115990 30736 45543 8964 80200 7663 58603 13934 61498 1152738 109077 26223 107898 1619239 1066803 84987 618546 363270 60993 427307 8650 93127 325530 3646 60490 22666 37824
"200601" 1828660 2505 21056 3405 13866 1664259 0 8057 197495 113492 37693 46310 9868 91765 9464 64358 17943 62417 1196614 98043 26213 97356 1655904 1099753 86676 637449 375628 57862 425333 8456 98438 318439 3990 68966 21458 47508
"200602" 1870070 2460 20693 4996 15768 1701452 0 10287 195157 111880 37229 46048 10109 95515 9737 66518 19260 65888 1222590 101906 25713 98988 1694703 1120460 88680 651686 380094 66585 427809 9630 95143 323036 5432 74417 22219 52198
"200603" 1938262 2270 20942 6621 20474 1760958 0 7955 223348 126388 51328 45632 10999 92811 9508 67090 16213 67795 1251834 106216 24961 102036 1759236 1150346 88140 665678 396528 60647 433540 10488 97106 325946 5358 109345 23074 86271
"200604" 1714756 2005 20447 6627 18317 1533169 0 12473 177021 98395 32757 45869 11160 92721 10988 65782 15951 67485 1076762 95547 24897 109294 1535782 1091383 85897 647459 358027 41766 319138 10695 48633 259810 3291 80204 24734 55470
"200701" 1793023 2036 19255 5035 31864 1588290 0 7709 178821 99215 34275 45331 11522 110469 9204 81009 20256 68881 1116307 94581 25221 121322 1604677 1170090 74233 682461 413396 32309 311309 11021 48766 251522 3900 87069 23927 63142
"200702" 1809377 2302 19180 4570 28408 1605525 0 7436 176673 98227 33878 44568 12281 125997 12504 91660 21833 74192 1111781 97165 25025 124367 1619094 1168889 73334 684009 411546 42199 311040 11002 45397 254641 2898 94068 25301 68767
"200703" 1868153 2473 19297 7818 42952 1639533 0 8036 176917 100085 29973 46859 12980 138184 12232 92591 33361 70577 1145809 87030 24712 131368 1682715 1168976 72464 684424 412088 23095 401192 10218 53401 337573 2107 87345 26519 60826
"200704" 1814952 2568 19960 9897 45609 1596136 0 7036 177367 104240 31291 41836 11047 142188 6521 105249 30418 73702 1094009 90787 25317 115465 1649202 1104579 79431 638087 387061 17617 423274 10405 61961 350908 1326 102406 25287 77119
"200801" 1826445 2503 23965 10244 39140 1610807 0 6045 172998 107721 30307 34970 9876 143999 8417 97539 38043 78011 1112364 87514 25679 114107 1663758 1131196 76737 657850 396609 2959 436300 10712 62264 363324 1606 91697 26210 65487
"200802" 1817219 2675 22068 11687 31958 1618118 0 4959 176635 107974 38841 29820 10549 143749 6521 88361 48867 76112 1116111 90003 25812 104901 1661343 1139776 83942 686245 369589 3026 431320 10941 65091 355288 1033 86188 28772 57416
"200803" 1518394 6523 18651 11973 28627 1336533 0 2972 169917 102234 35366 32317 7896 118403 6014 69790 42599 74013 884057 79275 25598 90489 1381873 943544 78980 589627 274937 654 377950 2438 70589 304923 1068 58657 27821 30836
"200804" 1523501 39000 8720 8327 34706 1320003 0 2963 173830 106120 36864 30846 7762 108485 5161 63382 39942 80054 860586 86323 22724 90021 1395661 948610 76572 578494 293544 17583 356136 2436 75004 278696 1028 72304 31626 40678
"200901" 1531935 49000 10225 10256 29495 1311504 0 3648 175900 103405 37726 34769 8608 112821 3734 42144 66943 80705 849773 80049 21569 99886 1389126 971929 76449 582926 312554 19381 321761 1950 67450 252361 1379 74676 24026 50650
"200902" 1397469 54000 6342 10154 10263 1212229 0 4617 187645 101467 47275 38903 8703 108637 3701 33906 71030 74510 752220 75897 24139 80342 1257636 944217 75853 568162 300202 10915 253244 2179 62043 189022 809 48451 24296 24155
"200903" 1372744 42492 7922 17594 19228 1188165 0 6017 197371 95558 50105 51708 9198 105830 2644 33437 69749 65872 725762 78115 24565 72778 1229163 923670 90499 677954 155217 70277 192344 2349 11290 178705 1378 41494 23921 17573
"200904" 1253667 45474 4541 15286 12018 1079249 0 6772 201645 95536 52951 53158 9240 85149 2759 32982 49408 65579 633327 77537 22162 74937 1124382 895299 89691 667899 137709 53648 152329 2283 10977 139069 1316 21790 22176 -386
"201001" 1262212 55266 848 19132 9491 1080931 0 7145 209865 97084 56087 56694 9601 81738 2839 30696 48203 65291 629293 77998 21838 74706 1126733 905566 90078 674785 140703 53901 143334 3192 11332 128810 1574 22358 23103 -745
"201002" 1244794 49919 5224 18162 7785 1069016 0 6697 206464 97524 52002 56938 10064 81499 2739 30359 48401 64358 619322 80612 21681 73007 1106952 899275 89154 665924 144197 50199 136150 2992 8767 124391 1076 20252 22936 -2684
"201003" 1244381 46379 7697 17656 6970 1073271 0 6015 209091 99246 56258 53587 10170 76792 2473 28015 46304 71149 617910 82144 19530 72878 1105886 901513 88630 663573 149310 49036 133812 2762 10908 120142 942 20583 23522 -2939
