"DATES" "FL314090005.Q" "FL313011005.Q" "FL313020005.Q" "FL313030003.Q" "FL314004005.Q" "FL313061703.Q" "FL313063763.Q" "FL313069005.Q" "FL313065005.Q" "FL313066220.Q" "FL313064105.Q" "FL313070000.Q" "FL313078005.Q" "FL313090005.Q" "FL314190005.Q" "FL313111303.Q" "FL713014003.Q" "FL313112003.Q" "FL314104005.Q" "FL313161400.Q" "FL313161105.Q" "FL313161705.Q" "FL313165403.Q" "FL313170005.Q" "FL313140003.Q" "FL313190005.Q" "FL343150005.Q" "FL313190015.Q"
"195201" 40053 1634 8275 290 17714 14 0 15051 2649 0 0 1600 9332 1208 236466 0 0 2413 214649 49081 165360 208 0 2500 6157 10747 7552 3195
"195202" 40833 1663 8305 317 18008 4 0 15319 2685 0 0 2000 9332 1208 236124 0 0 2420 214094 49010 165031 53 0 2400 6177 11033 7938 3095
"195203" 41577 1671 8420 325 18429 2 0 15676 2751 0 0 2200 9332 1200 239780 0 0 2429 217290 49026 167863 401 0 2500 6185 11376 8363 3013
"195204" 40953 1557 7438 351 18813 2 0 15878 2933 0 0 2251 9332 1211 244155 0 0 2435 221418 49173 171619 626 0 2775 6185 11342 8411 2931
"195301" 40537 1578 8240 345 19212 54 0 16040 3118 0 0 2577 7363 1222 241309 0 0 2438 218440 49521 168191 728 0 2883 6193 11355 8471 2884
"195302" 38893 1506 6017 340 19983 20 0 16696 3267 0 0 2490 7363 1194 241085 0 0 2451 218122 49258 168581 283 0 2679 6211 11622 8804 2818
"195303" 42371 1561 8770 344 20635 1 0 17279 3355 0 0 2514 7363 1184 247741 0 0 2458 224706 49263 175018 425 0 2667 6236 11674 8902 2772
"195304" 39257 1471 5906 342 20782 0 0 17459 3323 0 0 2214 7363 1179 251398 0 0 2469 228438 49371 176814 2253 0 2600 6259 11632 8941 2691
"195401" 38417 1429 7772 344 20717 18 0 17444 3255 0 0 2527 4482 1146 247640 0 0 2491 224532 49421 172200 2911 0 2763 6246 11608 8961 2647
"195402" 38963 1439 8223 335 20884 8 0 17077 3799 0 0 2416 4482 1184 246406 0 0 2501 223462 49545 171915 2002 0 2412 6187 11844 9273 2571
