"DATES" "FL764035605.Q" "FL763069175.Q" "FL763065005.Q" "FL723066000.Q" "FL763067005.Q" "FL763068005.Q" "FL723068005.Q" "FL753068005.Q" "FL733068003.Q" "FL743068005.Q" "FL713068005.Q" "FL773068005.Q" "FL893168005.Q" "FL293168005.Q" "FL153168005.Q" "FL103168005.Q" "FL113168003.Q" "FL133168000.Q" "FL263168005.Q" "FL263168465.Q" "FL263168475.Q" "FL263168485.Q" "FL693168005.Q" "FL443168005.Q" "FL613168000.Q" "FL643168003.Q" "FL663168005.Q" "FL713068505.Q"
"196102" 121835 1580 29383 27308 5905 57659 56546 1113 0 0 1 57660 57660 52351 2611 37130 4007 5394 3209 839 863 1507 5309 160 5149 0 0 0
"196103" 122940 1857 29920 27463 5984 57716 56655 1061 0 0 2 57718 57718 52104 2352 36904 4124 5464 3260 793 885 1582 5614 165 5449 0 0 0
"196104" 128412 2170 30442 27869 7049 60882 59878 1004 0 0 15 60897 60897 54351 2612 38349 4345 5305 3740 988 1013 1739 6546 196 6350 0 0 0
"196201" 126902 2036 30844 27856 6275 59891 59040 851 0 0 65 59956 59956 54577 2808 37827 4362 5451 4129 1120 1163 1846 5379 147 5232 0 0 0
"196202" 131808 1832 32194 29457 5869 62456 61496 960 0 0 33 62489 62489 56382 2698 39181 4461 5898 4144 1200 1172 1772 6107 120 5987 0 0 0
"196203" 135299 1965 33430 29953 6550 63401 62477 924 0 0 11 63412 63412 57166 2798 39719 4553 5997 4099 1163 1108 1828 6246 117 6129 0 0 0
"196204" 142001 2015 34476 30563 7859 67088 66105 983 0 0 1 67089 67089 59936 3118 41862 4716 6087 4153 1033 1246 1874 7153 154 6999 0 0 0
"196301" 140429 2145 35243 31095 6771 65175 64088 1087 0 0 30 65205 65205 58871 2627 41391 4686 6186 3981 914 1169 1898 6334 95 6239 0 0 0
"196302" 147888 2093 36939 32675 7787 68394 67298 1096 0 0 0 68394 68394 61392 3381 42428 4812 6666 4105 880 1173 2052 7002 172 6830 0 0 0
"196303" 151591 1948 38360 33615 8554 69114 68067 1047 0 0 30 69144 69144 61532 3095 42552 4873 6744 4268 916 1201 2151 7612 195 7417 0 0 0
"196304" 159376 2044 39414 34677 8988 74253 73195 1058 0 0 32 74285 74285 65613 3510 45322 5308 6688 4785 914 1412 2459 8672 244 8428 0 0 0
"196401" 158675 2225 40200 35503 8093 72654 71460 1194 0 0 0 72654 72654 65278 3275 44660 5276 6919 5148 890 1597 2661 7376 168 7208 0 0 0
"196402" 167812 2131 41648 37642 9298 77093 75923 1170 0 0 0 77093 77093 68448 4066 46311 5374 7323 5374 818 1689 2867 8645 229 8416 0 0 0
"196403" 170333 2354 42948 38783 9160 77088 75838 1250 0 0 2 77090 77090 69022 3526 46898 5522 7310 5766 816 1867 3083 8068 244 7824 0 0 0
"196404" 178310 2505 43976 39765 9435 82629 81516 1113 0 0 30 82659 82659 73986 4825 49884 5806 6959 6512 939 1968 3605 8673 285 8388 0 0 0
"196501" 180997 2084 44799 40682 8598 84834 83367 1467 0 0 15 84849 84849 76762 4014 52039 6001 7273 7435 1074 2265 4096 8087 206 7881 0 0 0
"196502" 191744 2253 46548 43133 9844 89966 88659 1307 0 0 11 89977 89977 79936 3958 55012 6246 7681 7039 1034 2082 3923 10041 315 9726 0 0 0
"196503" 194237 2328 48353 44334 7689 91533 90212 1321 0 0 7 91540 91540 80924 3526 56228 6415 7719 7036 1073 2047 3916 10616 383 10233 0 0 0
"196504" 204871 1970 49675 45212 9277 98737 97520 1217 0 0 41 98778 98778 86613 4407 60730 6708 7667 7101 1064 2118 3919 12165 459 11706 0 0 0
"196601" 204472 2031 50650 45871 7723 98197 96840 1357 0 0 20 98217 98217 86930 3280 61718 7019 7997 6916 954 2036 3926 11287 392 10895 0 0 0
"196602" 217460 1700 52306 47382 9349 106723 105385 1338 0 0 5 106728 106728 94066 5034 66154 7491 8500 6887 987 2005 3895 12662 567 12095 0 0 0
"196603" 216633 1791 53606 47919 7700 105617 104096 1521 0 0 15 105632 105632 94517 4377 67196 7425 8600 6919 957 2133 3829 11115 530 10585 0 0 0
"196604" 223959 1943 54355 48182 9874 109605 108010 1595 0 0 0 109605 109605 97999 5133 69136 8079 8600 7051 960 2249 3842 11606 532 11074 0 0 0
"196701" 221038 2638 54481 48030 9005 106884 105038 1846 0 0 10 106894 106894 97342 3996 69507 7993 8900 6946 888 2205 3853 9552 267 9285 0 0 0
"196702" 229334 2818 55656 49622 8998 112240 110468 1772 0 0 15 112255 112255 101684 4825 72599 8365 9300 6595 891 2040 3664 10571 260 10311 0 0 0
"196703" 231357 3091 57382 50851 10081 109952 108128 1824 0 0 0 109952 109952 99457 3248 71850 8331 9300 6728 970 2032 3726 10495 262 10233 0 0 0
"196704" 241868 2911 58894 51691 11334 117038 115305 1733 0 0 0 117038 117038 105934 5524 75631 8784 9300 6695 975 1847 3873 11104 392 10712 0 0 0
"196801" 238230 3221 59969 51962 9550 113528 111627 1901 0 0 15 113543 113543 104442 4421 75179 8752 9600 6490 927 1821 3742 9101 289 8707 105 0 0
"196802" 250205 2923 61792 54327 10077 121086 119074 2012 0 0 13 121099 121099 110255 5724 78874 9240 10000 6417 856 1892 3669 10844 359 10278 207 0 0
"196803" 256029 3348 63579 56550 12250 120302 118153 2149 0 0 0 120302 120302 109736 4702 79428 9284 9900 6422 818 2006 3598 10566 342 9889 335 0 0
"196804" 269884 2924 65476 58464 12654 130366 128252 2114 0 0 0 130366 130366 117522 6213 85429 9866 9718 6296 774 1907 3615 12844 459 11819 566 0 0
"196901" 268540 3278 66914 59197 9650 129501 126764 2387 350 0 0 129501 129501 117725 4156 86915 10372 10100 6182 760 1949 3473 11776 348 10803 625 0 0
"196902" 284655 3460 68865 61695 11135 139500 135240 2598 1662 0 0 139500 139500 125385 5005 92671 10978 10552 6179 769 2066 3344 14115 384 13021 710 0 0
"196903" 284243 3596 70168 62703 9050 138726 131868 3000 3858 0 0 138726 138726 126433 4121 94302 11527 10600 5883 697 2038 3148 12293 414 11103 776 0 0
"196904" 297299 3524 70517 63395 11545 148318 141029 3343 3946 0 0 148318 148318 134019 6774 98834 12054 10328 6029 765 2095 3169 14299 527 12817 955 0 0
"197001" 291432 3608 70962 62526 9650 144686 133578 4271 6837 0 40 144726 144726 131909 3973 99530 11754 10600 6052 813 2098 3141 12817 352 11674 791 0 0
"197002" 300742 3859 71399 64022 8727 152735 140416 4236 8083 0 90 152825 152825 137393 4457 103985 11771 11233 5947 804 1984 3159 15432 341 14194 897 0 0
"197003" 304067 4569 72501 65434 10150 151413 140819 5366 5228 0 0 151413 151413 136044 4088 102875 11692 11400 5989 646 2188 3155 15369 297 14178 894 0 0
"197004" 311635 4937 73275 65625 12986 154812 146052 5806 2954 0 0 154812 154812 138379 6076 103628 11696 11155 5824 623 2031 3170 16433 423 14977 1033 0 0
"197101" 306786 5358 74424 65927 10850 150227 141773 5596 2858 0 0 150227 150227 133936 3448 101409 11923 11500 5656 601 1734 3321 16291 247 14756 1288 0 0
"197102" 320062 5067 76639 68903 10546 158907 150373 5476 3058 0 0 158907 158907 140525 5976 104386 12183 12226 5754 622 1662 3470 18382 660 16306 1416 0 0
"197103" 326684 5236 80008 71740 10850 158850 150033 5857 2960 0 0 158850 158850 142131 4948 106024 12032 12500 6627 702 2187 3738 16719 765 14339 1615 0 0
"197104" 342077 5449 82515 74325 13761 166027 156872 6315 2840 0 0 166027 166027 147381 7307 107679 12604 12500 7291 806 2372 4113 18646 1085 15926 1635 0 0
"197201" 344769 4887 85614 75646 12850 165772 156202 6798 2772 0 0 165772 165772 147027 5682 108075 12744 12800 7726 811 2486 4429 18745 749 15902 2094 0 0
"197202" 363607 4709 90113 80008 14448 174329 165231 6802 2296 0 0 174329 174329 154134 7637 111643 13345 13610 7899 884 2207 4808 20195 1164 16816 2215 0 0
"197203" 375468 4569 95048 83393 15550 176908 167051 7593 2264 0 0 176908 176908 155935 6338 113443 13176 13700 9278 939 3044 5295 20973 1293 17517 2163 0 0
"197204" 402160 5468 99314 87001 18571 191806 180390 8818 2598 0 0 191806 191806 166433 7618 120453 13667 14306 10389 1002 3528 5859 25373 1522 20881 2970 0 0
"197301" 417866 4375 103548 89240 14210 206493 193519 9813 3161 0 0 206493 206493 180574 8971 128854 16444 15000 11305 1024 4177 6104 25919 1498 20406 4015 0 0
"197302" 443755 4234 109114 94107 13864 222436 208455 10461 3520 0 0 222436 222436 192916 9773 133976 20765 15985 12417 1183 4619 6615 29520 1662 22865 4993 0 0
"197303" 458960 4699 114788 97529 12356 229588 213312 11639 4637 0 0 229588 229588 199730 10904 135256 25282 16599 11689 1170 4425 6094 29858 1893 22512 5453 0 0
"197304" 478635 4966 119068 99620 15151 239830 222701 12829 4300 0 0 239830 239830 207209 11243 137050 28647 17165 13104 1440 5128 6536 32621 1921 24370 6330 0 0
"197401" 483763 5288 121882 99294 11737 245562 227390 13268 4904 0 0 245562 245562 213640 9201 140999 31167 17699 14574 1705 6420 6449 31922 1587 22918 7417 0 0
"197402" 515530 5825 127320 102221 12373 267791 246311 16108 5372 0 0 267791 267791 233582 12206 151911 33148 18444 17873 2009 8466 7398 34209 1863 23727 8619 0 0
