"DATES" "FL893064105.Q" "FL103164103.Q" "FL263164103.Q" "FL793164105.Q" "FL893064105.Q" "FL153064105.Q" "FL213064103.Q" "FL313064105.Q" "FL263064105.Q" "FL713064103.Q" "FL763064105.Q" "FL443064175.Q" "FL513064105.Q" "FL543064105.Q" "FL573064105.Q" "FL223064105.Q" "FL343064105.Q" "FL653064100.Q" "FL553064103.Q" "FL563064103.Q" "FL663064003.Q" "FL503064105.Q" "FL893064195.Q"
"196302" 558992 469026 5053 84913 558992 477302 0 0 11526 0 17 1674 9417 6843 24949 1249 0 20917 4942 0 156 0 537733
"196303" 582272 487677 5094 89501 582272 497411 0 0 12031 0 17 1738 9665 6960 26270 1375 0 21491 5210 0 104 0 560444
"196304" 558475 465779 5145 87551 558475 469895 0 0 12485 0 17 1800 9959 7118 27670 1500 0 22085 5467 0 479 0 535608
"196401" 593215 495027 5300 92888 593215 499442 0 0 13137 0 17 1891 10499 7433 29690 1657 0 23697 5571 0 181 0 569756
"196402" 612252 511094 5332 95826 612252 515081 0 0 13468 0 18 1934 10866 7581 31136 1782 0 24256 5700 0 430 0 587972
"196403" 633228 528953 5352 98923 633228 532323 0 0 13766 0 19 1976 11227 7747 32638 1906 0 25693 5788 0 145 0 608721
"196404" 647246 545955 5270 96021 647246 544127 0 0 13835 0 20 2000 11351 7834 33705 2000 0 25638 5839 0 897 0 621869
"196501" 663263 559834 5180 98249 663263 557830 0 0 13914 0 24 2044 11435 7985 34953 2094 0 26533 5763 0 688 0 638129
"196502" 637854 539451 4809 93594 637854 534567 0 0 13279 0 27 2003 10887 7778 34570 2074 0 26183 5409 0 1077 0 613642
"196503" 693718 587928 5041 100749 693718 581085 0 0 14296 0 28 2215 11702 8597 38608 2326 0 28565 5635 0 661 0 668436
"196504" 734923 623812 5048 106063 734923 616096 0 0 14599 0 30 2300 12000 9006 40754 2500 0 30863 5572 0 1203 0 708770
"196601" 714419 606267 4846 103306 714419 596561 0 0 14027 0 33 2248 11770 8977 40765 2580 0 31372 5435 0 651 0 689436
"196602" 685683 581050 4592 100041 685683 571128 0 0 12923 0 36 2132 11386 8799 39868 2633 0 30268 5355 0 1155 0 661027
"196603" 615709 523227 4122 88360 615709 512747 0 0 11455 0 38 1904 10386 8109 36711 2527 0 26480 4686 0 666 0 593907
"196604" 660424 547891 4324 108209 660424 548264 0 0 12643 0 41 2000 11000 8692 39468 2800 0 28943 5256 0 1317 0 636486
"196701" 747328 625556 4875 116897 747328 617507 0 0 16002 0 44 2279 12432 9935 45497 3292 0 33712 5883 0 745 0 721070
"196702" 759549 641312 4919 113318 759549 622982 0 0 19156 0 46 2346 12486 10051 46820 3420 0 35265 5696 0 1281 0 732775
"196703" 809759 678588 5227 125944 809759 659985 0 0 23588 0 49 2525 13138 10671 50519 3740 0 38329 5748 0 1467 0 781605
"196704" 835107 712221 5238 117648 835107 682128 0 0 25511 0 52 2500 13000 10687 51104 3900 0 39176 5360 0 1689 0 807268
"196801" 776014 652734 4938 118342 776014 632831 0 0 24631 0 55 2266 12059 10053 48280 3847 0 35655 4961 0 1376 0 750359
"196802" 884503 731114 5750 147639 884503 718675 0 0 28212 0 59 2453 13773 11713 55974 4696 0 42054 5875 0 1019 0 855574
"196803" 901429 728536 6104 166789 901429 727875 0 0 28883 0 62 2402 14263 12385 58869 5232 0 44089 6076 0 1293 0 871229
"196804" 996085 843150 6452 146483 996085 815334 0 0 29517 0 64 2400 14600 12986 61456 5800 0 46082 6337 0 1509 0 964723
"196901" 946300 803399 6516 136385 946300 770526 0 0 28598 0 64 2349 14129 12893 60813 6091 0 43798 6005 0 1034 0 916203
"196902" 907895 774485 6737 126673 907895 733883 0 0 27895 0 64 2393 13826 12966 60925 6458 0 41803 5997 0 1685 0 877193
"196903" 882607 743955 6763 131889 882607 713075 0 0 26633 0 68 2402 13244 12751 59756 6699 0 40914 5905 0 1160 0 853065
"196904" 840609 705075 6953 128581 840609 667356 0 0 26761 0 72 2500 13300 13157 61425 7300 0 40857 6011 0 1870 0 809903
"197001" 815012 677754 6749 130509 815012 643541 0 0 25996 0 76 2518 12964 13164 61339 7750 0 40995 5654 0 1015 0 786036
"197002" 648418 541573 5713 101132 648418 509525 0 0 21457 0 81 2079 10321 10634 50119 6754 0 31346 4469 0 1633 0 624122
"197003" 755152 633467 6471 115214 755152 593764 0 0 24473 0 85 2502 12034 12875 59913 8577 0 36079 3328 0 1522 0 729210
"197004" 831233 702189 6573 122471 831233 650213 0 0 27209 0 89 2800 13200 14571 67087 10100 0 39683 4299 0 1982 0 802290
"197101" 920098 774490 7287 138321 920098 712824 0 0 30545 0 91 3174 14847 16889 76860 12058 0 46001 4810 0 1999 0 887890
"197102" 918939 778343 7486 133110 918939 708482 0 0 29701 0 94 3193 14970 17425 78937 12798 0 46553 5066 0 1720 0 886410
"197103" 911074 765304 7218 138552 911074 693654 0 0 29859 0 89 3306 15605 18539 83299 13942 0 46250 5491 0 1040 0 878325
"197104" 974871 823753 7641 143477 974871 743724 0 0 30811 0 85 3500 16600 20007 88651 15400 0 48621 5365 0 2107 0 939573
"197201" 1034722 871948 8779 153995 1034722 785993 0 0 33513 0 101 3822 18225 22123 96231 17456 0 50367 5645 0 1246 0 996904
"197202" 1033232 874936 9359 148937 1033232 781697 0 0 33803 0 108 3912 18815 22773 97083 18513 0 49683 5626 0 1219 0 994193
"197203" 1058729 893435 9616 155678 1058729 801771 0 0 35099 0 108 4077 19740 23848 99365 19828 0 48696 5503 0 694 0 1018991
"197204" 1203281 1032664 10537 160080 1203281 921384 0 0 39059 0 108 4500 21800 26528 107817 22200 0 51728 5746 0 2411 0 1158179
"197301" 1117824 970552 12272 135000 1117824 853489 0 0 37594 0 123 4340 21031 25801 102259 21487 0 44730 5883 0 1087 0 1073088
"197302" 1033342 903639 11887 117816 1033342 786769 0 0 34552 0 103 4126 20101 24798 95599 20326 0 39622 5998 0 1348 0 989779
"197303" 1104063 953484 11711 138868 1104063 833421 0 0 37905 0 121 4606 22302 27956 104779 22451 0 43124 6481 0 917 0 1057925
"197304" 938338 809377 10026 118935 938338 693870 0 0 33516 0 157 4200 19700 25449 93557 20200 0 38321 6603 0 2765 0 894887
"197401" 911785 784167 10625 116993 911785 664408 0 0 34242 0 168 4476 19749 26890 96863 21039 0 35632 6466 0 1852 0 868449
"197402" 817463 723296 9769 84398 817463 591895 0 0 30543 0 169 4260 17119 25074 88565 19295 0 31723 6267 0 2553 0 777326
"197403" 610689 540407 8388 61894 610689 440798 0 0 24012 0 168 3281 12038 18864 66279 14477 0 23415 5238 0 2119 0 579457
"197404" 632492 557581 9011 65900 632492 445034 0 0 23921 0 169 3700 12800 21292 74755 16400 0 26347 5910 0 2164 0 598738
"197501" 775904 684902 11291 79711 775904 547842 0 0 30308 0 183 4426 14759 25779 91897 20263 0 31972 6971 0 1504 0 736770
"197502" 893211 791599 10805 90807 893211 625664 0 0 35096 0 166 5013 16322 29723 110006 24371 0 37097 7569 0 2184 0 851152
"197503" 782809 701690 9108 72011 782809 544752 0 0 32046 0 165 4275 13760 25843 99892 22267 0 31770 6392 0 1647 0 747462
"197504" 839378 754817 9585 74976 839378 584599 0 0 33399 0 179 4400 14200 27451 107999 24300 0 33664 5819 0 3368 0 801827
"197601" 968562 868179 9885 90498 968562 677976 0 0 39514 0 242 4826 15974 31542 123664 28204 0 38525 6793 0 1302 0 929540
"197602" 987996 887651 9642 90703 987996 696689 0 0 39559 0 234 4599 16127 32125 123557 28717 0 38637 6424 0 1328 0 949642
"197603" 998860 897275 9283 92302 998860 707098 0 0 40120 0 222 4415 16451 32834 123523 29254 0 37434 6217 0 1292 0 960980
"197604" 1034228 927300 9453 97475 1034228 731643 0 0 46996 0 214 4400 16900 33686 125501 30100 0 37282 5964 0 1542 0 995755
"197701" 957603 856996 9591 91016 957603 674072 0 0 43884 0 240 4207 16107 31836 118706 28699 0 33004 5443 0 1405 0 920610
"197702" 986596 881959 9823 94814 986596 691898 0 0 45623 0 239 4560 16872 32879 123183 29936 0 34396 5431 0 1579 0 948092
"197703" 947989 845194 10252 92543 947989 661744 0 0 44147 0 236 4643 16627 31840 120475 29322 0 32450 4924 0 1581 0 909726
"197704" 922579 819054 10110 93415 922579 631269 0 0 44830 0 245 4800 17100 32300 123610 30000 0 31866 4719 0 1840 0 883765
"197801" 875995 773767 10544 91684 875995 593322 0 0 42997 0 274 4618 16698 31191 122074 29203 0 29615 4330 0 1673 0 837858
"197802" 943712 833089 10730 99893 943712 631295 0 0 47420 0 271 4923 18325 34052 137026 32043 0 31847 4486 0 2024 0 902953
"197803" 1017253 895681 11832 109740 1017253 671972 0 0 51282 0 279 5219 20185 37209 154397 35155 0 34597 4676 0 2282 0 972780
"197804" 969619 856213 11236 102170 969619 639962 0 0 48026 0 118 4800 19400 35063 150308 33300 0 31659 5065 0 1918 0 927082
"197901" 1031598 910760 11735 109103 1031598 678679 0 0 51464 0 120 4983 21227 37318 162540 35504 0 32676 4995 0 2092 0 986446
"197902" 1051694 920994 12022 118678 1051694 692078 0 0 52607 0 119 4903 22317 37700 165969 35908 0 32905 4951 0 2237 0 1005145
"197903" 1121034 980996 14087 125951 1121034 736067 0 0 55857 0 120 5064 24806 40249 178516 38316 0 34656 4896 0 2487 0 1069574
"197904" 1147253 1014625 14803 117825 1147253 768059 0 0 55264 0 129 4700 24800 38892 175437 37100 0 35436 4870 0 2566 0 1095385
"198001" 1070027 956763 14344 98920 1070027 705976 0 0 53448 0 131 4165 23810 36241 174254 34654 0 30905 4377 0 2066 0 1021134
"198002" 1217285 1076420 17548 123317 1217285 807724 0 0 60903 0 121 4319 27179 40389 197312 38460 0 34179 4416 0 2283 0 1161419
"198003" 1361379 1213806 19083 128490 1361379 909931 0 0 67574 0 125 4307 30079 43759 217866 41618 0 38933 4442 0 2745 0 1300598
"198004" 1494924 1346332 18930 129662 1494924 1010388 0 0 74676 0 117 4200 32300 46273 232046 44300 0 42446 4910 0 3268 0 1431199
"198101" 1507474 1350793 18883 137798 1507474 1014877 0 0 76917 0 92 3963 33097 47057 235138 45689 0 42613 4978 0 3053 0 1443408
"198102" 1481228 1315628 18417 147183 1481228 992885 0 0 78139 0 80 3690 32959 46960 230290 46506 0 41525 4810 0 3384 0 1417888
"198103" 1279659 1135956 15333 128370 1279659 836797 0 0 69512 0 82 3188 30150 43009 210616 43646 0 35644 4247 0 2768 0 1223891
"198104" 1382028 1225445 16467 140116 1382028 905159 0 0 74683 0 66 3237 32393 46163 227457 47800 0 37425 4170 0 3475 0 1322220
"198201" 1238257 1090243 14044 133970 1238257 775114 0 0 68554 0 73 2863 30158 42512 232923 45088 0 34427 3795 0 2750 0 1184574
"198202" 1209151 1073469 13513 122169 1209151 745220 0 0 67704 0 70 2661 29310 40771 237922 44136 0 34506 3577 0 3274 0 1156746
"198203" 1326070 1172612 13693 139765 1326070 796029 0 0 74449 0 72 2887 32921 45467 276586 50162 0 40442 3772 0 3283 0 1269442
"198204" 1562485 1386269 17442 158774 1562485 966342 0 0 88324 0 76 3300 38500 52893 294393 60200 0 49418 4118 0 4921 0 1494128
"198301" 1728634 1533575 19401 175658 1728634 1058391 0 0 98625 0 85 3614 42304 57381 332226 68737 0 57910 4262 0 5099 0 1653869
