"DATES" "FL893161705.Q" "FL313161705.Q" "FL403161705.Q" "FL413065005.Q" "FL893061705.Q" "FL153061705.Q" "FL103061703.Q" "FL213061703.Q" "FL313061703.Q" "FL263061705.Q" "FL713061705.Q" "FL763061705.Q" "FL723061705.Q" "FL753061703.Q" "FL733061703.Q" "FL743061703.Q" "FL443061705.Q" "FL473061705.Q" "FL513061703.Q" "FL543061703.Q" "FL573061705.Q" "FL223061703.Q" "FL343061705.Q" "FL633061700.Q" "FL653061703.Q" "FL403061705.Q" "FL673061705.Q" "FL643061703.Q" "FL663061703.Q"
"195201" 2194 208 1941 45 2194 123 0 354 14 0 0 1653 1653 0 0 0 45 0 0 0 0 5 0 0 0 0 0 0 0
"195202" 2138 53 2038 47 2138 0 0 559 4 0 0 1509 1509 0 0 0 56 0 0 0 0 10 0 0 0 0 0 0 0
"195203" 2579 401 2128 50 2579 0 0 624 2 0 0 1888 1888 0 0 0 50 0 0 0 0 15 0 0 0 0 0 0 0
"195204" 2781 626 2102 53 2781 0 0 600 2 0 0 2110 2110 0 0 0 49 0 0 0 0 20 0 0 0 0 0 0 0
"195301" 2779 728 1996 55 2779 53 0 538 54 0 0 2034 2034 0 0 0 78 0 0 0 0 22 0 0 0 0 0 0 0
"195302" 2349 283 2010 56 2349 136 0 495 20 0 0 1594 1594 0 0 0 81 0 0 0 0 23 0 0 0 0 0 0 0
"195303" 2610 425 2127 58 2610 210 0 493 1 0 0 1781 1781 0 0 0 101 0 0 0 0 24 0 0 0 0 0 0 0
"195304" 4412 2253 2099 60 4412 155 0 516 0 0 0 3601 3601 0 0 0 97 0 0 0 18 25 0 0 0 0 0 0 0
"195401" 4843 2911 1871 61 4843 141 0 547 18 0 0 3983 3983 0 0 0 110 0 0 0 16 28 0 0 0 0 0 0 0
"195402" 4031 2002 1967 62 4031 141 0 568 8 0 0 3163 3163 0 0 0 104 0 0 0 16 31 0 0 0 0 0 0 0
"195403" 2699 537 2092 70 2699 153 0 600 6 0 0 1798 1798 0 0 0 99 0 0 0 9 34 0 0 0 0 0 0 0
"195404" 4480 2338 2064 78 4480 148 0 659 1 0 0 3551 3551 0 0 0 76 0 0 0 7 38 0 0 0 0 0 0 0
"195501" 4726 2595 2045 86 4726 40 150 732 7 0 0 3643 3643 0 0 0 102 0 0 0 9 43 0 0 0 0 0 0 0
"195502" 4006 1550 2361 95 4006 118 200 764 8 0 0 2736 2736 0 0 0 121 0 0 0 11 48 0 0 0 0 0 0 0
"195503" 3615 908 2602 105 3615 233 250 747 4 0 0 2181 2181 0 0 0 134 0 0 0 13 53 0 0 0 0 0 0 0
"195504" 4732 1611 3005 116 4732 606 300 676 20 0 0 2882 2882 0 0 0 171 0 0 0 19 58 0 0 0 0 0 0 0
"195601" 4855 1617 3111 127 4855 722 325 615 15 0 0 2840 2840 0 0 0 243 0 0 0 35 60 0 0 0 0 0 0 0
"195602" 4605 1151 3316 138 4605 959 350 628 14 0 0 2259 2259 0 0 0 297 0 0 0 36 62 0 0 0 0 0 0 0
"195603" 4619 917 3559 143 4619 1116 375 685 6 0 0 2007 2007 0 0 0 323 0 0 0 43 64 0 0 0 0 0 0 0
"195604" 4953 1356 3448 149 4953 960 400 758 9 0 0 2399 2399 0 0 0 313 0 0 0 47 67 0 0 0 0 0 0 0
"195701" 5380 1378 3845 157 5380 934 500 815 20 0 0 2443 2443 0 0 0 529 0 0 0 65 74 0 0 0 0 0 0 0
"195702" 5538 926 4446 166 5538 1155 600 829 18 0 0 2057 2057 0 0 0 725 0 0 0 72 82 0 0 0 0 0 0 0
