"DATES" "FL574090005.Q" "FL573020005.Q" "FL573030005.Q" "FL573034005.Q" "FL572050005.Q" "FL574004005.Q" "FL573069105.Q" "FL573061105.Q" "FL573061705.Q" "FL573063005.Q" "FL573065005.Q" "FL573064105.Q" "FL573064205.Q" "FL573090005.Q" "FL573095405.Q" "FL573074005.Q" "FL573093005.Q" "FL573150005.Q"
"195201" 9264 330 367 0 83 6297 0 2487 0 3684 126 1445 0 742 0 139 603 9314
"195202" 9673 321 381 0 86 6547 0 2483 0 3931 133 1562 0 776 0 145 631 9727
"195203" 10040 312 396 0 90 6832 0 2468 0 4223 141 1602 0 808 0 151 657 10090
"195204" 10665 310 411 0 93 7176 0 2479 0 4548 149 1843 0 832 0 160 672 10723
"195301" 11139 319 427 0 94 7534 0 2513 0 4862 159 1916 0 849 0 167 682 11199
"195302" 11664 337 444 0 96 7887 0 2567 0 5150 170 2042 0 858 0 175 683 11730
"195303" 12159 356 461 0 96 8210 0 2620 0 5409 181 2169 0 867 0 182 685 12232
"195304" 12702 366 478 0 97 8493 0 2636 18 5647 192 2392 0 876 0 191 685 12773
"195401" 13241 368 497 0 99 8781 0 2652 16 5910 203 2605 0 891 0 199 692 13315
"195402" 13653 363 516 0 101 9083 0 2644 16 6210 213 2685 0 905 0 205 700 13729
"195403" 14168 358 536 0 103 9427 0 2647 9 6547 224 2821 0 923 0 213 710 14248
"195404" 14954 357 556 0 106 9827 0 2675 7 6907 238 3154 0 954 0 224 730 15045
"195501" 15824 367 577 0 111 10219 0 2735 9 7220 255 3551 0 999 0 237 762 15915
"195502" 17279 385 600 0 118 10600 0 2839 11 7476 274 4519 0 1057 0 259 798 17378
"195503" 18645 404 623 0 125 10924 0 2936 13 7679 296 5446 0 1123 0 280 843 18759
"195504" 19635 415 647 0 132 11165 0 2972 19 7853 321 6085 0 1191 0 295 896 19762
"195601" 20747 419 671 0 140 11437 0 2949 35 8104 349 6817 0 1263 0 311 952 20879
"195602" 21116 417 697 0 150 11769 0 2895 36 8457 381 6739 0 1344 0 317 1027 21252
"195603" 21629 414 724 0 158 12196 0 2817 43 8921 415 6712 0 1425 0 324 1101 21771
"195604" 22612 415 752 0 166 12722 0 2751 47 9475 449 7065 0 1492 0 339 1153 22759
"195701" 23185 424 781 0 172 13246 0 2677 65 10022 482 7014 0 1548 0 348 1200 23337
"195702" 24682 439 811 0 177 13714 0 2604 72 10524 514 7948 0 1593 0 370 1223 24838
"195703" 24875 454 842 0 182 14126 0 2535 82 10962 547 7638 0 1633 0 373 1260 25035
"195704" 25185 466 874 0 186 14494 0 2461 113 11337 583 7489 0 1676 0 378 1298 25349
"195801" 26223 475 908 0 191 14874 0 2411 142 11702 619 8060 0 1715 0 393 1322 26369
"195802" 27619 482 943 0 194 15270 0 2432 111 12072 655 8981 0 1749 0 414 1335 27771
"195803" 29329 488 979 0 198 15695 0 2431 116 12453 695 10184 0 1785 0 440 1345 29504
"195804" 31264 496 1017 0 204 16151 0 2451 116 12842 742 11561 0 1835 0 469 1366 31460
"195901" 32268 505 1056 0 211 16465 0 2476 137 13056 796 12137 0 1894 0 484 1410 32444
"195902" 33991 516 1096 0 218 16918 0 2523 172 13367 856 13278 0 1965 0 510 1455 34195
"195903" 34692 527 1138 0 227 17340 0 2587 188 13644 921 13422 0 2038 0 520 1518 34927
"195904" 36479 535 1182 0 235 17885 0 2619 192 14085 989 14525 0 2117 0 547 1570 36736
"196001" 36630 538 1227 0 245 18291 0 2537 269 14422 1063 14128 0 2201 0 549 1652 36919
"196002" 38133 536 1275 0 255 18652 0 2457 305 14745 1145 15118 0 2297 0 572 1725 38425
"196003" 38207 536 1324 0 266 19087 0 2408 303 15149 1227 14603 0 2391 0 573 1818 38502
"196004" 40898 546 1374 0 275 19682 0 2404 278 15699 1301 16545 0 2476 0 613 1863 41195
"196101" 43793 568 1427 0 284 19880 0 2407 270 15834 1369 19082 0 2552 0 657 1895 44055
"196102" 44925 601 1482 0 291 20339 0 2429 250 16230 1430 19596 0 2616 0 674 1942 45227
"196103" 46486 635 1539 0 298 20672 0 2431 261 16489 1491 20660 0 2682 0 697 1985 46820
"196104" 49338 660 1598 0 307 21156 0 2425 289 16882 1560 22856 0 2761 0 740 2021 49700
"196201" 49944 677 1660 0 321 21504 0 2421 333 17116 1634 22866 32 2884 0 749 2135 50308
"196202" 45751 687 1723 0 338 22035 0 2459 354 17509 1713 17845 86 3037 0 686 2351 46121
