"DATES" "FL893169005.Q" "FL313069205.Q" "FL153169203.Q" "FL103169205.Q" "FL113169203.Q" "FL133169203.Q" "FL213169203.Q" "FL263169205.Q" "FL403169283.Q" "FL313069223.Q" "FL503169205.Q" "FL263069500.Q" "FL263069500.Q" "FL763069705.Q" "FL103169705.Q" "FL263169705.Q" "FL443069505.Q" "FL103169525.Q" "FL113169525.Q" "FL473069503.Q" "FL103169545.Q" "FL113169545.Q" "FL153169405.Q" "FL313069403.Q" "FL543069403.Q" "FL403069305.Q" "FL153169305.Q" "FL113169303.Q" "FL133169300.Q" "FL723169305.Q" "FL443169305.Q" "FL473169333.Q" "FL543169333.Q" "FL673069505.Q" "FL673069505.Q" "FL613069500.Q" "FL103169535.Q" "FL113169535.Q" "FL103169803.Q" "FL153069803.Q" "FL543069803.Q" "FL653069803.Q" "FL673069803.Q" "FL663069803.Q" "FL503069805.Q"
"195201" 22550 14871 0 618 2763 307 771 10412 0 0 0 0 0 458 269 189 0 0 0 0 0 0 2807 180 2627 1799 0 334 876 0 589 0 0 0 0 2615 2354 262 0 0 0 0 0 0 0
"195202" 23058 15134 0 600 2756 385 844 10549 0 0 0 0 0 416 254 162 0 0 0 0 0 0 2846 185 2661 1898 0 342 903 0 653 0 0 0 0 2764 2488 276 0 0 0 0 0 0 0
"195203" 23593 15491 0 616 2821 353 980 10721 0 0 0 0 0 454 315 139 0 0 0 0 0 0 2882 185 2697 1935 0 336 884 0 715 0 0 0 0 2831 2548 283 0 0 0 0 0 0 0
"195204" 24271 15689 0 655 2981 213 1138 10702 0 0 0 0 0 492 335 157 0 0 0 0 0 0 2902 189 2713 2061 0 330 867 0 864 0 0 0 0 3127 2814 313 0 0 0 0 0 0 0
"195301" 24346 15845 0 671 2911 471 913 10879 0 0 0 0 0 455 313 142 0 0 0 0 0 0 2953 195 2758 1721 0 361 749 0 611 0 0 0 0 3372 3035 337 0 0 0 0 0 0 0
"195302" 25225 16496 4 986 2944 444 839 11279 0 0 0 0 0 428 281 147 0 0 0 0 0 0 3006 200 2806 1867 0 319 830 0 718 0 0 0 0 3428 3085 343 0 0 0 0 0 0 0
"195303" 25965 17074 6 1004 2983 437 842 11802 0 0 0 0 0 515 342 173 0 0 0 0 0 0 3055 205 2850 1925 0 331 793 0 801 0 0 0 0 3396 3056 340 0 0 0 0 0 0 0
"195304" 26137 17251 8 953 3041 445 774 12030 0 0 0 0 0 573 376 197 0 0 0 0 0 0 3122 208 2914 1939 0 372 615 0 952 0 0 0 0 3252 2927 325 0 0 0 0 0 0 0
"195401" 25986 17229 11 908 3094 530 670 12016 0 0 0 0 0 580 402 178 0 0 0 0 0 0 3187 215 2972 1654 0 349 675 0 630 0 0 0 0 3336 3002 334 0 0 0 0 0 0 0
"195402" 25772 16857 14 807 3103 500 477 11956 0 0 0 0 0 589 403 186 0 0 0 0 0 0 3252 220 3032 1770 0 304 791 0 675 0 0 0 0 3304 2974 330 0 0 0 0 0 0 0
"195403" 25642 16778 16 818 3120 525 453 11846 0 0 0 0 0 609 422 187 0 0 0 0 0 0 3309 225 3084 1808 0 338 781 0 689 0 0 0 0 3138 2824 314 0 0 0 0 0 0 0
"195404" 26221 16839 18 806 3245 508 439 11823 0 0 0 0 0 873 602 271 0 0 0 0 0 0 3357 230 3127 1894 0 362 665 0 867 0 0 0 0 3258 2932 326 0 0 0 0 0 0 0
"195501" 26111 17041 43 811 3309 634 447 11797 0 0 0 0 0 807 532 275 0 0 0 0 0 0 3428 240 3188 1799 0 355 742 0 702 0 0 0 0 3036 2732 304 0 0 0 0 0 0 0
"195502" 26822 17192 49 830 3351 661 438 11863 0 0 0 0 0 655 381 274 0 0 0 0 0 0 3470 245 3225 2189 0 317 855 0 1017 0 0 0 0 3316 2984 332 0 0 0 0 0 0 0
"195503" 27074 17262 51 805 3469 644 441 11836 16 0 0 0 0 671 395 276 0 0 0 0 0 0 3517 250 3267 2466 0 354 837 0 1275 0 0 0 0 3158 2842 316 0 0 0 0 0 0 0
"195504" 27642 17207 55 684 3592 574 451 11785 66 0 0 0 0 642 332 310 0 0 0 0 0 0 3550 260 3290 2481 0 371 693 0 1417 0 0 0 0 3762 3386 376 0 0 0 0 0 0 0
"195601" 27800 17160 60 647 3562 598 458 11809 26 0 0 0 0 660 330 330 0 0 0 0 0 0 3611 265 3346 2256 0 351 767 0 1138 0 0 0 0 4113 3702 411 0 0 0 0 0 0 0
"195602" 28150 17392 69 688 3563 627 460 11891 94 0 0 0 0 684 308 376 0 0 0 0 0 0 3685 271 3414 2420 0 349 898 0 1173 0 0 0 0 3969 3572 397 0 0 0 0 0 0 0
"195603" 27983 17418 78 687 3626 587 495 11847 98 0 0 0 0 805 424 381 0 0 0 0 0 0 3730 280 3450 2422 0 395 885 0 1142 0 0 0 0 3608 3247 361 0 0 0 0 0 0 0
"195604" 28881 17832 88 682 3759 624 519 11799 361 0 0 0 0 967 490 477 0 0 0 0 0 0 3804 285 3519 2432 0 457 747 0 1228 0 0 0 0 3846 3461 385 0 0 0 0 0 0 0
"195701" 29411 17804 106 691 3740 679 576 11801 211 0 0 0 0 1019 423 596 0 0 0 0 0 0 3885 290 3595 2229 0 423 845 0 961 0 0 0 0 4474 4027 447 0 0 0 0 0 0 0
"195702" 29546 17556 127 767 3727 642 578 11712 3 0 0 0 0 979 299 680 0 0 0 0 0 0 3980 302 3678 2462 0 384 999 0 1079 0 0 0 0 4569 4112 457 0 0 0 0 0 0 0
"195703" 30040 17709 145 718 3741 623 644 11720 118 0 0 0 0 1197 533 664 0 0 0 0 0 0 4076 310 3766 2545 0 430 996 0 1119 0 0 0 0 4513 4062 451 0 0 0 0 0 0 0
"195704" 31110 18153 166 741 3792 550 670 12153 81 0 0 0 0 1307 619 688 0 0 0 0 0 0 4189 320 3869 2651 0 454 932 0 1265 0 0 0 0 4810 4329 481 0 0 0 0 0 0 0
"195801" 31419 18365 196 712 3814 639 721 12276 7 0 0 0 0 1529 873 656 0 0 0 0 0 0 4300 330 3970 2163 0 428 1039 0 696 0 0 0 0 5062 4556 506 0 0 0 0 0 0 0
"195802" 31596 18465 227 727 3815 628 758 12310 0 0 0 0 0 1352 729 623 0 0 0 0 0 0 4398 340 4058 2564 0 408 1227 0 929 0 0 0 0 4817 4335 482 0 0 0 0 0 0 0
"195803" 31581 18819 251 731 3854 615 817 12532 19 0 0 0 0 1281 691 590 0 0 0 0 0 0 4475 350 4125 2716 0 473 1233 0 1010 0 0 0 0 4290 3861 429 0 0 0 0 0 0 0
"195804" 32757 19192 273 752 3920 565 850 12772 60 0 0 0 0 1194 582 612 0 0 0 0 0 0 4548 360 4188 2964 0 510 1156 0 1298 0 0 0 0 4859 4373 486 0 0 0 0 0 0 0
"195901" 33545 19431 295 767 3926 679 875 12804 85 0 0 0 0 1054 472 582 0 0 0 0 0 0 4643 370 4273 2918 0 518 1313 0 1087 0 0 0 0 5499 4949 550 0 0 0 0 0 0 0
"195902" 35039 19718 337 809 3959 651 938 12982 42 0 0 0 0 983 400 583 6 3 3 0 0 0 4747 380 4367 3610 0 526 1547 0 1537 0 0 0 0 5975 5378 598 0 0 0 0 0 0 0
"195903" 35292 19797 373 780 3946 638 981 13044 35 0 0 0 0 954 407 547 19 10 10 0 0 0 4864 390 4474 3931 0 576 1560 0 1795 0 0 0 0 5727 5154 573 0 0 0 0 0 0 0
"195904" 36328 19707 415 779 3952 577 1035 12810 139 0 0 0 0 1151 593 558 25 13 13 0 0 0 5018 400 4618 4146 0 622 1390 0 2134 0 0 0 0 6281 5653 628 0 0 0 0 0 0 0
"196001" 37509 19975 434 781 3913 643 1073 12899 232 0 0 0 0 1366 709 657 27 14 14 0 0 0 5196 410 4786 3625 0 609 1496 0 1520 0 0 0 0 7320 6588 732 0 0 0 0 0 0 0
"196002" 39046 20207 503 950 3910 616 1171 13057 0 0 0 0 0 1382 560 822 21 11 11 0 0 0 5391 425 4966 4019 0 551 1698 0 1770 0 0 0 0 8026 7223 803 0 0 0 0 0 0 0
"196003" 39229 20340 552 831 3929 617 1250 13105 56 0 0 0 0 1668 638 1030 45 23 23 0 0 0 5542 430 5112 4017 0 589 1692 0 1736 0 0 0 0 7617 6855 762 0 0 0 0 0 0 0
