"DATES" "FL264090005.Q" "FL313111303.Q" "FL764116005.Q" "FL263020005.Q" "FL263030005.Q" "FL263034003.Q" "FL262050003.Q" "FL264004005.Q" "FL263069103.Q" "FL263061105.Q" "FL263061110.Q" "FL263061120.Q" "FL263061705.Q" "FL263061713.Q" "FL263061723.Q" "FL263062003.Q" "FL263063005.Q" "FL263069500.Q" "FL263064105.Q" "FL263064203.Q" "FL263070005.Q" "FL263067003.Q" "FL263090005.Q" "FL263092001.Q" "FL263093005.Q" "FL264190005.Q" "FL263111005.Q" "FL263191003.Q" "FL264102005.Q" "FL263169105.Q" "FL263163003.Q" "FL263168005.Q" "FL263168465.Q" "FL263168475.Q" "FL263168485.Q" "FL263169205.Q" "FL263169705.Q" "FL263170003.Q" "FL263167003.Q" "FL263190005.Q" "FL313092803.Q" "FL263191103.Q" "FL263192005.Q" "FL263193005.Q" "FL263164103.Q"
"195704" 30240 0 1959 2102 2533 0 0 7475 954 5930 5124 806 0 0 0 0 591 0 6091 0 566 92 9422 5710 3712 52780 1975 131 18763 0 3816 2106 678 569 859 12153 688 816 60 31035 670 1845 25394 3126 2233
"195801" 30847 0 2099 1669 3473 0 0 6980 1067 5288 4282 1006 0 0 0 0 625 0 6328 0 530 98 9670 5800 3870 53758 2042 160 19169 0 4087 2150 704 522 924 12276 656 762 63 31562 670 1951 25736 3205 2320
"195802" 31418 0 2304 1945 3524 0 0 6346 911 4811 3605 1206 0 0 0 0 624 0 6840 0 523 107 9829 5898 3931 54976 2084 132 19728 0 4427 2368 799 611 958 12310 623 795 68 32169 670 2114 26385 3000 2514
"195803" 32563 0 2276 1596 3534 0 0 7141 868 5649 4243 1406 0 0 0 0 624 0 7537 0 528 115 9836 5990 3846 55666 2031 172 20183 0 4515 2546 900 623 1023 12532 590 787 73 32420 670 2205 26777 2768 2786
"195804" 33882 0 2111 2006 3414 0 0 7523 843 6035 4429 1606 0 0 0 0 645 0 8305 0 500 119 9904 6115 3789 56570 1958 149 20765 0 4734 2647 892 656 1099 12772 612 794 77 32827 670 2139 27409 2609 3095
"195901" 34848 0 2270 1950 3444 0 0 7946 753 6542 4736 1806 0 0 0 0 651 0 8475 0 554 119 10090 6244 3846 57086 1793 143 20835 0 4903 2546 798 652 1096 12804 582 760 80 33475 670 2235 27971 2599 3193
"195902" 36459 0 2207 2122 3084 0 0 9867 744 8454 6448 2006 0 0 0 0 669 0 9039 0 618 116 9406 6408 2998 58717 2111 137 21142 0 4968 2609 798 680 1131 12982 583 827 83 34417 670 2437 28769 2541 3451
"195903" 37486 0 2086 2046 2873 0 0 11068 729 9635 7429 2206 0 0 0 0 704 0 8906 0 636 112 9759 6534 3225 59537 2085 145 21370 0 5098 2681 818 671 1192 13044 547 829 85 35023 670 2339 29295 2719 3452
"195904" 38555 0 2132 2140 2575 0 0 11706 757 10360 7954 2406 0 0 0 0 589 0 9363 0 664 107 9868 6604 3264 60189 1997 132 21436 0 5207 2861 888 722 1251 12810 558 877 87 35660 670 2382 29827 2781 3689
"196001" 38627 0 2374 1576 2475 0 0 12092 1083 10387 8081 2306 0 0 0 0 622 0 8811 0 838 107 10354 6707 3647 61226 1888 121 21783 0 5486 2741 860 691 1190 12899 657 877 87 36470 670 2523 30416 2861 3544
"196002" 39671 0 2738 1873 2603 0 0 11990 1041 10296 8133 2163 0 0 0 0 653 0 9081 0 740 107 10539 6782 3757 62313 1807 140 22190 0 5611 2700 800 679 1221 13057 822 1015 85 37076 750 2673 30773 2880 3753
"196003" 39590 0 2978 1836 2822 0 0 12336 1234 10429 8365 2064 0 0 0 0 673 0 8460 0 732 109 10317 6883 3434 63349 1705 191 22556 0 5687 2734 788 704 1242 13105 1030 1030 84 37783 750 2768 31138 3127 3580
"196004" 40515 0 2960 2122 2859 0 0 12610 1291 10651 8609 2042 0 0 0 0 668 0 9302 0 787 112 9763 6925 2838 65030 1555 148 23215 0 5784 3010 861 765 1384 13228 1193 1641 84 38387 824 2910 31865 2788 3984
"196101" 41763 0 3223 2642 2463 0 0 12654 1343 10635 8675 1960 0 0 0 0 676 0 10468 0 849 120 9344 7020 2324 66650 1555 189 23853 0 5869 3017 849 807 1361 13523 1444 1374 91 39588 824 2987 32620 3157 4479
"196102" 42188 0 3553 2518 2628 0 0 12291 1322 10288 8366 1922 0 0 0 0 681 0 10536 0 867 133 9662 7134 2528 67636 1705 213 23854 0 6042 3209 839 863 1507 13004 1599 1544 104 40216 824 3090 33340 2962 4440
"196103" 43647 0 3562 2744 2903 0 0 12987 1441 10874 8869 2005 0 0 0 0 672 0 10900 0 873 145 9533 7198 2335 69483 2064 238 24548 0 6109 3260 793 885 1582 13458 1721 1684 116 40833 824 3104 34141 2764 4524
"196104" 45125 0 3087 3098 2911 0 0 13064 1360 11035 8842 2193 0 0 0 0 669 0 11808 0 1036 149 9972 7253 2719 71198 1806 236 25456 0 6221 3740 988 1013 1739 13707 1788 1710 121 41869 995 3171 34717 2986 4902
"196201" 45305 0 3349 3381 2904 0 0 13277 1384 11023 8637 2386 84 0 84 0 786 0 11548 0 1049 146 9651 7309 2342 72629 1686 234 26358 0 6422 4129 1120 1163 1846 14051 1756 1967 118 42266 995 3219 35221 2831 4878
"196202" 43053 0 3362 3420 2991 0 0 13719 1317 11468 9133 2335 169 0 169 0 765 0 8793 0 895 135 9738 7407 2331 74059 1963 296 26832 0 6737 4144 1200 1172 1772 14343 1608 1933 106 42929 995 3370 35929 2635 3847
"196203" 43521 0 3338 2861 3129 0 0 14379 1293 12118 9892 2226 253 0 253 0 715 0 9267 0 955 123 9469 7473 1996 74232 1528 788 26716 0 6831 4099 1163 1108 1828 14242 1544 2165 94 42941 995 3445 36577 1924 4185
"196204" 45350 0 2981 3233 3409 0 0 14797 1387 12379 10252 2127 337 0 337 0 694 0 10336 0 1078 112 9404 7555 1849 75030 1163 790 27544 0 7215 4153 1033 1246 1874 14424 1752 2219 85 43229 1117 3416 37276 1420 4714
"196301" 46793 0 3563 2914 3802 0 0 14941 1370 12498 10346 2152 421 0 421 0 652 0 10950 0 1078 109 9436 7626 1810 76584 1242 828 28298 0 7709 3981 914 1169 1898 14837 1771 2153 87 43976 1117 3466 38210 1183 4943
"196302" 48677 0 3427 3250 3939 0 0 15692 1427 13051 11008 2043 504 13 491 0 710 0 11526 0 1132 109 9602 7761 1841 78713 1235 1065 29582 0 8216 4105 880 1173 2052 15296 1965 1772 96 44963 1117 3732 39143 971 5053
"196303" 49780 0 3466 3169 4128 0 0 16030 1568 13169 11125 2044 588 12 576 0 705 0 12031 0 1260 110 9586 7883 1703 78941 1204 1000 29889 0 8287 4268 916 1201 2151 15333 2001 1811 105 44932 1117 3763 39793 259 5094
"196304" 50584 0 3233 3499 4260 0 0 15893 1437 13033 11055 1978 672 11 661 0 751 0 12485 0 1470 109 9635 7835 1800 80656 1247 731 30795 0 8208 4785 914 1412 2459 15577 2225 1841 108 45934 1179 3863 40736 156 5145
"196401" 51375 0 3472 3573 4530 0 0 15514 1582 12394 10384 2010 756 11 745 0 782 0 13137 0 1630 109 9410 7921 1489 82860 1344 867 31549 0 8097 5148 890 1597 2661 15910 2394 1951 107 47042 1179 3795 41523 545 5300
"196402" 52106 0 3291 3924 4870 0 0 15619 1696 12267 10365 1902 840 10 830 0 816 0 13468 0 1606 109 9219 8037 1182 85320 968 978 32462 0 8249 5374 818 1689 2867 16401 2438 1988 101 48823 1229 3722 42522 1350 5332
"196403" 53759 0 3579 4152 5185 0 0 16292 1653 12816 10979 1837 924 10 914 0 899 0 13766 0 1619 111 9055 8099 956 87879 878 1243 33199 0 8205 5766 816 1867 3083 16814 2414 2238 95 50226 1229 3700 43482 1815 5352
"196404" 59555 0 3717 8253 5515 0 0 16908 1620 13321 11489 1832 1008 9 999 0 959 0 13835 0 1841 116 9370 8147 1223 91680 1201 1097 34997 0 8675 6512 939 1968 3605 17189 2621 2606 91 51688 1229 3882 44480 2097 5270
"196501" 60135 0 4387 8010 5669 0 0 16492 1885 12538 10646 1892 1092 9 1083 0 977 0 13914 0 1892 124 9647 8329 1318 94084 1191 1033 36416 0 8765 7435 1074 2265 4096 17626 2590 2423 95 52926 1290 3741 46064 1831 5180
"196502" 59333 0 4560 7984 5853 0 0 16197 1859 12286 10330 1956 1176 8 1168 0 876 0 13279 0 2077 139 9244 8319 925 96051 1713 822 36633 0 8835 7039 1034 2082 3923 18154 2605 2439 104 54340 1290 3835 47531 1684 4809
"196503" 61458 0 4404 8254 5959 0 0 16568 1940 12507 10700 1807 1260 8 1252 0 861 0 14296 0 2073 149 9755 8468 1287 97308 1796 892 36732 0 8977 7036 1073 2047 3916 18265 2454 2384 113 55391 1290 3949 48536 1616 5041
"196504" 61506 0 3830 8509 6081 0 0 17385 1982 13056 11355 1701 1344 2 1342 0 1003 0 14599 0 2082 158 8862 8532 330 98923 1644 781 37454 0 9135 7101 1064 2118 3919 18717 2501 2550 119 56375 1290 3898 55410 -4223 5048
"196601" 61183 0 4036 8594 6291 0 0 16822 1996 12189 10590 1599 1428 2 1426 0 1209 0 14027 0 2117 168 9128 8657 471 100103 1288 884 38074 0 9494 6916 954 2036 3926 19119 2545 2638 119 57100 1290 3807 56434 -4431 4846
