"DATES" "FL893065405.Q" "FL103165405.Q" "FL113165405.Q" "FL313165403.Q" "FL643165403.Q" "FL893065405.Q" "FL153065403.Q" "FL103065403.Q" "FL113065403.Q" "FL213065403.Q" "FL313065405.Q" "FL763065405.Q" "FL443065405.Q" "FL543065403.Q" "FL573065403.Q" "FL223065403.Q" "FL403065405.Q" "FL413065405.Q" "FL673065405.Q" "FL613065403.Q" "FL643065403.Q"
"195201" 10820 3414 7406 0 0 10820 2983 0 0 0 65 970 3549 3111 38 39 0 0 0 65 0
"195202" 11037 3586 7451 0 0 11037 3050 0 0 0 68 962 3635 3170 40 42 0 0 0 70 0
"195203" 11275 3707 7568 0 0 11275 3111 0 0 0 75 955 3738 3231 43 45 0 0 0 77 0
"195204" 11481 3714 7767 0 0 11481 3175 0 0 0 74 938 3833 3288 45 48 0 0 0 80 0
"195301" 11587 3617 7970 0 0 11587 3228 0 0 0 96 925 3870 3305 48 52 0 0 0 63 0
"195302" 11766 3780 7986 0 0 11766 3280 0 0 0 120 920 3948 3320 51 56 0 0 0 71 0
"195303" 11934 3872 8062 0 0 11934 3326 0 0 0 159 913 4006 3332 54 59 0 0 0 85 0
"195304" 12121 3844 8277 0 0 12121 3403 0 0 0 184 900 4071 3363 57 64 0 0 0 79 0
"195401" 12174 3751 8423 0 0 12174 3466 0 0 0 158 875 4097 3369 60 68 0 0 0 81 0
"195402" 12312 3953 8359 0 0 12312 3535 0 0 0 183 862 4137 3376 62 73 0 0 0 84 0
"195403" 12452 4141 8311 0 0 12452 3590 0 0 0 251 855 4135 3385 65 78 0 0 0 93 0
"195404" 12665 4174 8491 0 0 12665 3688 0 0 0 268 852 4202 3404 69 83 0 0 0 99 0
"195501" 12782 4125 8657 0 0 12782 3776 0 0 0 295 840 4165 3436 73 88 0 0 0 109 0
"195502" 12989 4340 8649 0 0 12989 3859 0 0 0 325 833 4220 3456 78 93 0 0 0 125 0
"195503" 13179 4489 8690 0 0 13179 3940 0 0 0 337 825 4266 3480 83 98 0 0 0 150 0
"195504" 13490 4405 9085 0 0 13490 4055 0 0 0 383 813 4344 3552 90 103 0 0 0 150 0
"195601" 13657 4219 9438 0 0 13657 4149 0 0 0 398 800 4384 3579 98 109 1 0 0 139 0
"195602" 13827 4384 9443 0 0 13827 4261 0 0 0 413 790 4405 3603 106 113 1 0 0 135 0
"195603" 13972 4489 9483 0 0 13972 4361 0 0 0 417 780 4429 3610 115 119 0 0 0 141 0
"195604" 14064 4432 9632 0 0 14064 4443 0 0 0 426 759 4441 3615 124 126 0 0 0 130 0
"195701" 14085 4275 9810 0 0 14085 4519 0 0 0 444 730 4441 3578 132 135 0 0 0 106 0
"195702" 14182 4401 9781 0 0 14182 4616 0 0 0 450 730 4455 3549 140 146 0 0 0 96 0
"195703" 14379 4539 9792 48 0 14379 4772 0 0 0 452 740 4466 3547 149 158 0 0 0 95 0
"195704" 14611 4520 9995 96 0 14611 4915 0 0 0 469 762 4493 3551 158 171 0 0 0 92 0
"195801" 15025 4379 10424 222 0 15025 5168 0 0 1 485 789 4576 3550 168 185 0 0 0 103 0
"195802" 15517 4503 10667 347 0 15517 5469 0 0 3 500 833 4672 3549 178 199 0 0 0 114 0
"195803" 16020 4725 10856 439 0 16020 5735 0 0 5 513 899 4791 3548 189 215 0 0 0 125 0
"195804" 16565 4819 11214 532 0 16565 5984 0 0 6 603 963 4891 3547 202 233 0 0 0 136 0
"195901" 17132 4866 11685 581 0 17132 6204 0 0 7 698 1035 4961 3611 217 251 0 0 0 148 0
"195902" 17679 4912 12135 632 0 17679 6457 0 0 8 777 1070 5068 3656 233 268 0 0 0 142 0
