"DATES" "FL144090005.Q" "FL103091003.Q" "FL143020005.Q" "FL143030005.Q" "FL123034005.Q" "FL102050003.Q" "FL124004005.Q" "FL103069100.Q" "FL143061105.Q" "FL103061703.Q" "FL143062005.Q" "FL123065005.Q" "FL123066005.Q" "FL103064203.Q" "FL143070005.Q" "FL143090005.Q" "FL144190005.Q" "FL144104005.Q" "FL103169100.Q" "FL103162005.Q" "FL103163003.Q" "FL143168005.Q" "FL143169005.Q" "FL143165005.Q" "FL143170005.Q" "FL143178005.Q" "FL143190005.Q"
"196103" 224342 238 46242 4606 0 0 30006 245 13288 1248 3191 30 12004 0 98410 44840 311323 209406 1017 0 79237 46492 16641 66018 79751 11557 10609
"196104" 228662 236 50046 4100 0 0 32284 1089 14096 1248 2395 33 13423 0 96481 45515 320093 215185 1094 0 80611 47999 17279 68201 80981 13274 10653
"196201" 228975 234 46599 5395 0 0 31455 562 14217 1238 3376 38 12024 31 98334 46927 321861 217789 1131 0 81437 47640 17700 69881 80318 12916 10838
"196202" 231792 296 47866 5554 0 0 31356 907 13061 1184 3069 44 13091 82 98956 47682 328555 223679 1092 0 82981 49540 18055 72012 80785 13001 11090
"196203" 236342 788 48647 4903 0 0 30306 1079 11645 1308 3056 50 13168 134 102927 48637 335657 226954 1363 0 83558 50269 17684 74080 83464 13996 11242
"196204" 240543 790 52949 5000 0 0 32114 1304 12307 1275 2697 54 14477 168 100462 49060 343031 233322 1198 0 84643 52665 18208 76609 83829 14355 11525
"196301" 241296 828 46130 5344 0 0 34987 1092 16367 930 3366 56 13176 187 102904 50916 345637 236478 1214 0 85579 52263 19092 78329 83739 13596 11824
"196302" 246074 1065 47496 5160 0 0 35494 1008 15252 1314 3766 56 14098 193 104156 52510 352893 242186 987 0 86695 53906 19569 81029 84893 13743 12071
"196303" 250751 1000 48087 5117 0 0 35456 445 14602 1399 4571 56 14383 195 107214 53682 359289 245203 1111 0 87225 54169 19336 83361 86850 14713 12523
"196304" 255860 731 51672 5687 0 0 37430 969 15128 1608 3787 60 15878 203 106061 54076 370922 252780 968 0 88414 57318 20041 86038 89832 15744 12567
"196401" 255893 867 47100 6724 0 68 37440 1341 16148 1325 3824 65 14737 214 107769 55711 371357 256076 948 0 89091 56855 21392 87790 87197 15109 12976
"196402" 260929 978 49093 6452 0 169 37411 1058 15240 1364 4338 72 15339 225 109405 57196 379733 263107 889 0 90362 59008 22311 90537 88767 14675 13184
"196403" 267383 1243 49324 6309 0 135 36719 1729 14402 1152 3791 79 15566 238 114977 58438 387941 267267 1081 0 91058 59730 22280 93117 91741 15338 13596
"196404" 271315 1097 51099 6671 0 309 37902 1694 14481 1000 3680 84 16963 253 114825 59159 401033 275048 1125 0 92408 62649 22681 96185 96243 16211 13531
"196501" 273970 1033 47791 7704 0 280 37075 995 14092 1078 4889 86 15935 270 118012 61805 408042 281360 847 0 93342 65313 23878 97980 96696 15891 14095
"196502" 279550 822 48636 8601 0 198 36322 678 12320 1059 5455 86 16724 289 120869 63813 418817 290097 727 0 94941 68939 24877 100613 99061 15316 14343
"196503" 285831 892 47724 9212 0 336 35898 893 11829 1254 5186 86 16650 309 126745 64715 429073 295476 926 0 96634 70362 24519 103035 102441 16329 14827
"196504" 299383 781 51532 8993 0 593 37956 1370 12548 1238 4600 88 18112 330 127976 71222 445447 304581 797 0 97260 75105 25671 105748 107616 18294 14956
"196601" 301945 884 46430 9886 0 512 37663 2375 12958 1216 4068 93 16953 351 131693 74526 453392 313170 820 0 100223 76734 27192 108201 106556 18132 15534
"196602" 307295 917 47225 9708 0 439 36983 2473 11330 1382 4060 100 17638 370 135688 75965 464686 325410 861 0 102790 82145 27950 111664 108203 15594 15479
"196603" 311980 932 46088 9774 0 481 35506 1952 10774 1107 4506 108 17059 393 141827 76979 474967 331092 1466 0 105223 83221 27204 113977 111599 16562 15714
"196604" 314815 885 50850 8603 0 895 36872 2852 11054 1027 3639 114 18186 425 140958 75327 488174 339099 1622 0 107474 85815 28239 115949 115648 17414 16013
"196701" 313819 951 47769 9556 0 568 35033 3495 10445 793 3345 115 16840 469 142118 77355 491280 346474 2677 0 110617 86400 29352 117429 111512 16730 16563
"196702" 315130 843 49713 8777 0 667 32847 3418 7908 686 3322 113 17400 523 143764 77996 498173 357238 3242 0 114236 90264 29394 120102 112750 11296 16889
"196703" 322455 827 50881 9099 0 605 32242 3916 7337 684 3106 111 17088 581 148506 79714 508106 362821 3264 0 118745 89481 28814 122517 115822 11866 17597
"196704" 333892 1055 53442 9682 0 670 35352 3952 8714 1005 3300 112 18269 635 149904 83152 526489 375589 3034 0 122132 93715 29565 127143 121481 13225 16194
"196801" 337984 1357 51875 9375 0 1103 36356 3819 10100 1184 4290 106 16857 692 151660 85566 535406 380812 3482 0 124734 93531 31174 127892 118270 17667 18657
"196802" 345085 1749 53716 8129 0 1067 35948 4603 8827 1333 3741 104 17340 759 156810 86907 547848 392646 3400 0 128262 98114 31810 131060 123060 13031 19111
"196803" 352482 1832 53608 8539 0 1021 34565 5071 8129 1364 3201 103 16697 816 164176 87925 562751 400221 4928 0 131563 98612 31321 133797 129520 12930 20080
"196804" 366783 1587 56330 9056 0 1121 37891 5099 9259 1434 3782 100 18217 845 167209 92744 584508 413796 4249 0 135025 105013 32082 137427 135823 14330 20559
"196901" 375254 1856 55582 7692 0 2202 38301 6207 9749 1770 3600 123 16852 845 172878 95898 597069 423556 4880 0 138462 107387 33353 139474 136029 15517 21968
"196902" 383721 1809 59401 4593 0 1946 37461 6806 8349 1601 3300 260 17145 816 179341 98354 615887 439449 4914 0 141743 114201 35838 142754 141510 12220 22707
"196903" 392351 1618 59962 3525 0 2868 35284 7206 6236 1569 3050 401 16822 777 188091 100226 633772 449220 5778 0 144467 116429 37104 145442 148246 12507 23800
"196904" 402974 1173 62014 3652 0 3311 36749 7628 6146 1676 2800 536 17963 745 190832 104498 655134 462003 5356 0 147000 121216 39013 149418 155969 12628 24534
"197001" 407710 1172 59610 4548 0 3762 35125 8156 5805 1476 2675 594 16419 719 195275 107499 661951 474182 7044 0 150069 121884 40456 154729 153732 12846 21191
"197002" 413313 1220 58343 5911 0 1259 37108 8432 6665 1486 3050 702 16773 688 197535 111249 679829 491564 6895 0 155797 126989 42467 159416 156807 10054 21405
"197003" 417496 1141 59494 6325 0 63 37205 8433 7616 1164 1925 808 17259 662 199986 112620 692885 501792 7361 0 161157 125967 42119 165188 158690 10159 22244
"197004" 426300 798 63075 6747 0 234 39161 9389 6983 1209 2175 914 18491 645 198012 117628 709241 513295 7133 0 166756 126479 42175 170752 163157 9996 22793
"197101" 435642 1082 59004 9344 0 1318 40231 9954 6485 1049 2425 1194 19124 645 201580 122438 722421 523495 8333 0 172222 124832 43775 174333 162892 11698 24336
"197102" 445723 1102 59756 11024 0 6 42520 9791 7930 929 2675 1474 19721 659 204744 125912 740834 540652 6856 20 177621 128795 45708 181652 164447 11110 24626
