"DATES" "FL404090005.Q" "FL403020005.Q" "FL403030005.Q" "FL402050005.Q" "FL404004005.Q" "FL403069105.Q" "FL403061105.Q" "FL403061705.Q" "FL403062005.Q" "FL403063005.Q" "FL403069305.Q" "FL403069385.Q" "FL403069345.Q" "FL403069330.Q" "FL403065005.Q" "FL403065105.Q" "FL403065405.Q" "FL403065605.Q" "FL403066005.Q" "FL403093005.Q" "FL404190005.Q" "FL404104005.Q" "FL403161705.Q" "FL403169283.Q" "FL403190005.Q"
"196301" 13655 107 0 0 13166 0 2232 0 0 0 5280 0 2766 2514 5654 2517 12 3125 0 382 13044 9186 9123 63 3858
"196302" 14546 193 0 0 13959 0 2326 32 0 0 6264 0 2994 3270 5337 2127 12 3198 0 394 13916 10028 10028 0 3888
"196303" 14867 147 0 0 14281 0 1832 38 0 0 7077 0 3053 4024 5334 2070 11 3253 0 439 14222 10700 10700 0 3522
"196304" 15864 201 0 0 15288 0 2159 45 0 0 7723 0 2939 4784 5361 2040 12 3309 0 375 15205 11524 11524 0 3681
"196401" 15185 126 0 9 14674 0 1952 54 0 0 7221 0 3053 4168 5447 2023 11 3413 0 376 14499 10953 10953 0 3546
"196402" 16182 188 0 16 15619 0 1988 64 0 0 8030 0 3261 4769 5537 2010 11 3516 0 359 15499 11689 11685 4 3810
"196403" 16174 151 0 20 15609 0 1773 74 0 0 8162 0 3325 4837 5600 1972 11 3617 0 394 15471 11929 11795 134 3542
"196404" 16608 187 0 27 16007 0 1677 85 0 0 8530 0 3205 5325 5715 1986 11 3718 0 387 15892 12068 11937 131 3824
"196501" 16592 123 0 23 16065 0 1925 88 0 0 8134 0 3387 4747 5918 2019 11 3888 0 381 15850 12083 12056 27 3767
"196502" 17842 150 0 19 17253 0 1835 97 0 0 9203 0 3617 5586 6118 2049 11 4058 0 420 17119 13234 13234 0 3885
"196503" 18216 140 0 8 17634 0 1734 98 0 0 9467 0 3665 5802 6335 2154 11 4170 0 434 17455 13854 13725 129 3601
"196504" 18879 172 0 0 18265 0 1798 98 0 0 9568 0 3571 5997 6801 2510 10 4281 0 442 18100 14182 13846 336 3918
"196601" 19778 143 0 12 19182 0 1755 121 0 0 9532 0 3845 5687 7774 3261 10 4503 0 441 18971 15048 14810 238 3923
"196602" 22190 201 0 22 21574 0 2036 151 0 0 10953 0 4170 6783 8434 3699 10 4725 0 393 21403 17380 17380 0 4023
"196603" 23110 143 0 37 22444 0 1923 152 0 0 11450 0 4275 7175 8919 4068 10 4841 0 486 22291 18512 18111 401 3779
"196604" 23908 175 0 49 23333 0 2684 147 0 0 11148 0 4213 6935 9354 4386 10 4958 0 351 23089 19007 18904 103 4082
"196701" 23723 140 0 31 23256 0 3658 160 0 0 9706 0 4531 5175 9732 4592 9 5131 0 296 22883 18314 18258 56 4569
"196702" 23458 130 0 20 23015 0 3800 175 0 0 9145 0 4843 4302 9895 4582 9 5304 0 293 22642 17613 17613 0 5029
"196703" 23189 120 0 20 22630 0 2974 179 0 0 9029 0 4907 4122 10448 4983 9 5456 0 419 22341 17907 17410 497 4434
"196704" 23859 178 0 0 23289 0 2690 165 0 0 9303 0 4917 4386 11131 5513 9 5609 0 392 23002 18386 18350 36 4616
