,Mkt-RF,SMB,HML,RF
1926Q3,0.028899999999999926,-0.025499999999999967,-0.023900000000000032,0.0021999999999999797
1926Q4,-0.0033905004639999126,-0.02621017705600004,0.04713572620999984,0.008021128400000022
1927Q1,0.05173934726000029,-0.004993472464000059,0.040044272372000034,0.00842345170000014
1927Q2,0.048061224386000134,-0.013178738321000139,0.009270532159999956,0.008121819499999683
1927Q3,0.10413755053999996,-0.012697154934999677,0.018335689279999956,0.008624623399999587
1927Q4,0.022708468033000084,-0.024004282840000113,-0.08671461941499992,0.007418144699999907
1928Q1,0.08126414272399973,0.08146308248000023,-0.019005903616000075,0.006815381549999833
1928Q2,0.11496885582499994,0.016071360792,0.014504598800000101,0.008423231054000002
1928Q3,-0.028462432240000002,-0.02505723328000009,-0.03253666640000008,0.009530111744000314
1928Q4,0.11189754239299998,0.025580072959999978,-0.034199031111999956,0.010032865423999837
1929Q1,0.17498935248000014,-0.059915160209999985,0.00870402116000002,0.00781724775199999
1929Q2,0.002654394829999962,-0.06285290473599991,0.04216343376599996,0.010637484064000224
1929Q3,0.07302151071999985,-0.110447432992,-0.016609819984000018,0.012954635504
1929Q4,-0.1827447645900001,-0.1306788782499999,0.07031843388800008,0.012148564399999895
1930Q1,-0.06804176689600006,-0.016264628080000065,0.03822429821000006,0.008824069166000204
1930Q2,0.07517021374999988,0.033166137780000104,0.0020869089199997415,0.008624172049999768
1930Q3,-0.14072962566399994,-0.05869450553000011,-0.0008567807999998456,0.007317634039999854
1930Q4,-0.20226677846000007,-0.04708908111999999,-0.06678384337900001,0.004004771781999761
1931Q1,-0.05077372000000002,0.010644445946000003,-0.018081475863999996,0.004205872730000282
1931Q2,-0.06544791999999999,0.01888498802999994,-0.05881920472000002,0.0025018804159999686
1931Q3,-0.07760988008900005,0.01437710322199992,0.02349391940000012,0.0023017404319998214
1931Q4,-0.22738511303999986,-0.033501634047999995,-0.05972007904000021,0.0016006900899996346
1932Q1,-0.226579109296,0.08055704852000001,-0.05517194998600017,0.005208714692000127
1932Q2,-0.23245876509999996,0.004925057941000288,-0.016429595620000126,0.005007974048000241
1932Q3,0.05388798264700001,0.001383485639999904,0.3759524486400001,0.0010002800239998777
1932Q4,0.15587511632000006,0.08145176201000015,0.11294259538000007,0.0008002100179997917
1933Q1,-0.0050122271040000665,-0.05940229796999985,-0.14550385620400008,0.0004000500020000519
1933Q2,0.21184081100599994,0.03921754664000021,0.24859529372,0.0010999798799999905
1933Q3,0.24098011387999985,0.4615470227599998,0.20565537207999984,0.0008002000159998968
1933Q4,-0.08261267064,-0.057760749496000074,-0.16741598540500002,0.0006001100060000208
1934Q1,0.2607985720399999,0.06380117682800002,0.16472868973999977,0.0009002400199997762
1934Q2,-0.04168900563900013,0.10561852692500007,-0.045783699358000085,0.0005000800039998143
1934Q3,-0.1516745198760001,-0.09426435169600011,-0.18418442940000002,0.00030003000099987354
1934Q4,0.035781863072000375,0.05245541025000011,-0.059899541499999986,0.00030003000099987354
1935Q1,0.049582764152000136,0.11153406208000005,-0.06909762944800002,0.00030003000099987354
1935Q2,0.02955602069599994,-0.04651664579199988,-0.08294001137199991,0.0004000500020000519
1935Q3,0.17858654421199982,-0.03743150608000001,0.07531503608000012,0.00030003000099987354
1935Q4,0.12744791929,0.10527494238500013,-0.004636708516000176,0.00030003000099987354
1936Q1,0.17195890206500009,0.10609859359999985,0.2551913296999997,0.0004000500020000519
1936Q2,-0.04948871785599995,-0.045461981804000184,0.0033025071159997754,0.0005000800040000364
1936Q3,0.1490989260800002,-0.013138956406000157,0.03893295271499997,0.0006001100060000208
1936Q4,0.0920944481299999,0.013109297480000004,0.07395243212600011,0.0005000800040000364
1937Q1,0.0693264842000001,0.17976200380999985,0.05697153350000028,0.0002000099999999172
1937Q2,-0.06602953331200012,-0.04315010399999997,0.07759214604800002,0.0006001100060000208
1937Q3,0.03437391211899987,-0.03733263584800006,-0.057144715887999964,0.0012004500539999352
1937Q4,-0.257149345104,-0.061611167500000064,-0.08115821099999998,0.0008002000159998968
1938Q1,-0.11841503686400012,-0.06900033523199989,-0.017771931798000073,0.00019999999999997797
1938Q2,-0.07796359827999988,0.022422816800000023,-0.051033672005000086,-1.0000000050247593e-08
1938Q3,0.2783845111180001,0.08445867745399993,0.024120557535999954,-9.999999999998899e-05
1938Q4,0.05781720968000004,0.004205295583999957,-0.016812364959999937,0.00030002000000006745
1939Q1,-0.03762536675199979,-0.057874117869999964,-0.045603539839999985,-0.0006999400000000655
1939Q2,-0.09106156944599997,-0.02568596882500007,-0.05874709548000012,-1.0000000050247593e-08
1939Q3,0.11451187159400011,0.059296822640000135,-0.04711101260799988,0.0002000099999999172
1939Q4,0.08503614735600018,0.14943808330399988,0.13064281908800002,-1.0000000050247593e-08
1940Q1,-0.03217015625499986,-0.04026872339199994,-0.10917289569,0.0
1940Q2,0.03747262944000007,0.07932518795200005,-0.018418520584000064,0.0
1940Q3,-0.14143783059999993,-0.07883401518400002,0.002211255199999984,-0.00010001999999997846
1940Q4,0.07823799415700017,0.03354186992000008,0.04026003445000015,-9.999999999998899e-05
1941Q1,-0.05110781106999995,0.007962406352000073,0.03070562460799997,-9.999999999998899e-05
1941Q2,-0.06029142144799993,-0.031168315532000168,0.07512424644499993,-0.00010000999900006136
1941Q3,0.13577199427699993,0.06439592758400003,0.08552318400399983,0.00029999999999996696
1941Q4,-0.062533526896,-0.034466862298,0.002406874110000068,0.0002000099999999172
1942Q1,-0.059980452359999825,0.032496591559999954,0.029386996399999976,0.00030002000000006745
