,Mom
1927Q1,0.005700000000000038
1927Q2,0.0641296992
1927Q3,0.07706461238000006
1927Q4,0.022546470500000027
1928Q1,0.024098954731999855
1928Q2,-0.024797030350000027
1928Q3,0.07266798735199997
1928Q4,0.12683301632
1929Q1,0.05900455413200012
1929Q2,0.04665905481999988
1929Q3,0.08918225635999999
1929Q4,0.10113001855999992
1930Q1,-0.023897199054000007
1930Q2,0.008721419614999837
1930Q3,0.027878538176000056
1930Q4,0.23175998019099997
1931Q1,-0.013252103040000018
1931Q2,0.05250226640000011
1931Q3,-0.024340163199999987
1931Q4,0.09024792514400004
1932Q1,0.09799557938000003
1932Q2,0.20200749174799992
1932Q3,-0.377633632832
1932Q4,-0.492009283172
1933Q1,0.011067508735999931
1933Q2,-0.09894005839999986
1933Q3,-0.01936001497999995
1933Q4,0.06856496192599981
1934Q1,0.0699542815280001
1934Q2,-0.05362675995700017
1934Q3,0.053607025280000054
1934Q4,0.09550358323199992
1935Q1,0.11833375210999986
1935Q2,0.11606998655000011
1935Q3,-0.05747295226600002
1935Q4,0.03157073766799989
1936Q1,-0.06434625888
1936Q2,-0.03790996031299998
1936Q3,0.05640542599999998
1936Q4,0.027121855280000107
1937Q1,0.021396043051999936
1937Q2,0.024231745628000123
1937Q3,0.008983509930000189
1937Q4,-0.098786013236
1938Q1,0.01675974509000011
1938Q2,0.014114009720000098
1938Q3,-0.2506725080979999
1938Q4,-0.01958215526500018
1939Q1,0.02597826262400016
1939Q2,0.039244540376
1939Q3,0.050680682824999934
1939Q4,-0.2260678950999998
1940Q1,0.0683601619880001
1940Q2,0.04508534897000005
1940Q3,0.011741072794000162
1940Q4,-0.07511846208000006
1941Q1,0.0028093354400002823
1941Q2,0.0669352648399999
1941Q3,0.0014359870239999406
1941Q4,0.03417907761999994
1942Q1,0.008232241520000017
1942Q2,-0.018000095376000003
1942Q3,-0.053329844368000034
1942Q4,-0.05142673328199998
1943Q1,0.017697460780000007
1943Q2,0.09049629550399985
1943Q3,-0.0021092561200001247
1943Q4,0.019373155670000086
1944Q1,0.01963515614999989
1944Q2,0.034839642574000296
1944Q3,-0.035900948320000015
1944Q4,0.020131883699999964
1945Q1,0.04746430504799992
1945Q2,0.04743255895999998
1945Q3,0.015010715720000123
1945Q4,0.002222787230000023
1946Q1,0.09573869590100004
1946Q2,0.04308824255999988
1946Q3,-0.028133557334000026
1946Q4,0.01565561815000005
1947Q1,-0.05973147926400024
1947Q2,0.09183150949999996
1947Q3,-0.019616261296000026
1947Q4,0.051180530400000146
1948Q1,0.03527556818400002
1948Q2,0.05364584360000002
1948Q3,0.04690220984000004
1948Q4,0.015355377439999929
1949Q1,0.02193230782400013
1949Q2,0.018753173261000233
1949Q3,0.002350872677999938
1949Q4,0.0017791157600000052
1950Q1,-0.01950156099999989
1950Q2,0.03127575361399981
1950Q3,-0.017394218075999945
1950Q4,0.04610285936799996
1951Q1,0.1115419420160002
1951Q2,0.008687276730000137
1951Q3,0.03550370735999997
1951Q4,0.010412608226000097
1952Q1,0.03628751682500009
1952Q2,-0.010704914780000019
1952Q3,0.014970231079999952
1952Q4,0.04862553578600037
1953Q1,0.026596450256000104
1953Q2,0.0279843660800001
1953Q3,0.005366329999999975
1953Q4,0.053441836999999826
1954Q1,0.010074244256000231
1954Q2,0.08434313321600007
1954Q3,0.01894560647000021
1954Q4,0.019078836775999974
1955Q1,0.019203441539999755
1955Q2,0.019997830016000195
1955Q3,0.04073414737600012
1955Q4,0.03083372518399985
1956Q1,-0.002617115319999974
1956Q2,0.08420292078399982
1956Q3,0.03583270183999998
1956Q4,0.009002455040000079
1957Q1,0.04055025689199998
1957Q2,0.010699004743999874
1957Q3,0.008309146480999896
1957Q4,0.031042277519999883
1958Q1,0.0077045117720000444
1958Q2,0.03946783779999974
1958Q3,-0.06081437301600001
1958Q4,0.02107381483400017
1959Q1,0.0051679050269999305
1959Q2,0.06902108368000004
1959Q3,0.04320695149999998
1959Q4,0.031943864600000094
1960Q1,-0.0028377290370000807
1960Q2,0.08461645759999992
1960Q3,0.04982572582999989
1960Q4,0.03179624298799988
1961Q1,0.0072146443520000325
1961Q2,0.09166538201600005
1961Q3,-0.010575143620000116
1961Q4,0.05587954749199997
1962Q1,-0.028914800751999925
1962Q2,0.038367103399999936
1962Q3,0.07434576144000005
1962Q4,0.04184030681200013
1963Q1,-0.038076973270000036
1963Q2,0.04035676184000003
1963Q3,0.024780429763999967
1963Q4,0.042862935600000096
1964Q1,0.02076313609599989
1964Q2,0.0037573442720000294
1964Q3,0.02620445814200001
1964Q4,-0.004502391474999867
1965Q1,-0.009831432580000188
1965Q2,0.02950791322400015
1965Q3,0.01334227658999998
1965Q4,0.09610325429
1966Q1,0.09802407680000003
1966Q2,0.12357024768799985
1966Q3,-0.02910915271000003
1966Q4,-0.09019391511999997
1967Q1,-0.006976438900000215
1967Q2,0.05494522702799998
1967Q3,0.0553585967400001
1967Q4,0.04756667033600004
1968Q1,-0.0019983318400000893
1968Q2,0.04840344499400007
1968Q3,0.0067754853750001676
1968Q4,-0.0023037846399999173
1969Q1,0.01912469648000026
1969Q2,0.026639102280000104
1969Q3,0.01268328039799993
1969Q4,0.0006048271280001405
1970Q1,0.09744556090399992
1970Q2,-0.009202169324000087
1970Q3,-0.0037831925119998777
1970Q4,-0.06686047135999995
1971Q1,-0.06645377497999994
1971Q2,0.007604758720000104
1971Q3,0.012404526055999954
1971Q4,0.06140301199999976
1972Q1,0.009512544466000028
1972Q2,0.08489070257800035
1972Q3,0.08115129635999985
