,Low,2,3,4,High
Small,17.9723,15.3399,16.7231,15.7031,19.4537
2,13.3889,15.1797,16.8791,16.5895,22.9044
3,12.4085,15.8028,15.1197,16.6569,21.3899
4,14.6019,16.3555,18.1491,17.075,21.39
Big,10.4559,12.4874,12.2188,18.0049,15.6692
