,S1B1,S1B2,S1B3,S1B4,S1B5,S2B1,S2B2,S2B3,S2B4,S2B5,S3B1,S3B2,S3B3,S3B4,S3B5,S4B1,S4B2,S4B3,S4B4,S4B5,S5B1,S5B2,S5B3,S5B4,S5B5,Mom 1,Mom 2,Mom 3,Mom 4,Mom 5,Mom 6,Mom 7,Mom 8,Mom 9,Mom 10
1926Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927Q1,0.0025305482999997686,-0.08977545170000012,-0.05670345170000013,0.022074548299999774,0.011786548299999922,0.02164554829999976,-0.05128245170000012,-0.006355451700000181,-0.008962451700000096,0.10214654829999992,-0.01480445170000011,-0.01064345170000014,-0.014848451700000154,0.014920548299999892,0.01755254829999986,0.015334548299999806,0.006331548299999934,-0.013484451700000122,-0.006114451700000245,0.06463954829999996,-0.0162094517000001,-0.005135451700000182,-0.012775451700000162,-0.002892451700000187,0.033717548299999844,-0.04162345170000015,-0.053823451700000136,0.018276548299999806,-0.011323451700000153,-0.012523451700000132,0.0008765482999999463,-0.005423451700000248,-0.0013234517000000334,-0.009823451700000096,-0.010823451700000097
1927Q2,0.16564994703238112,0.03383932783571297,0.05811972321753722,0.03750104633206908,0.1199163661353797,-0.04740046055532576,0.01835631120060288,0.0456193962437188,0.016435593763121092,0.10974514023137472,0.03421812798465029,0.02382274037954324,0.023313523020261462,0.058358211086280365,0.07795979992793,0.018848137674629006,0.055698085640670136,-0.01028110043244801,0.045724384377805904,0.2168031693750223,0.06059496327869662,0.07359737150590151,0.021781001302802583,0.04381417406436361,-0.022369760840578956,0.044393137284000295,-0.011290654694999569,-0.004033831211999628,0.019296363060000266,0.0428378847840003,0.005618296980000492,0.06328096711200026,0.021260760180000338,0.05583839319000039,0.19026095254800013
1927Q3,0.3142146163495183,0.30486046704860303,0.032187768277887274,0.11811954830610616,0.10033575231219594,0.162766486466412,0.10930814217070273,0.1392171435710794,0.14717506986891848,0.09605114219760824,0.04219395056719755,0.07912265442529387,0.10879982025350077,0.0932776332706895,0.2411875511217112,0.12212582791557058,0.09725629946531944,0.059789638448460636,0.11745606749859605,0.10573328399129256,0.16749647534828171,0.06391868848641513,0.08613639352339164,0.10115903048935704,0.11611973511448825,-0.004859749952999648,0.05441727519600059,0.05472710280000048,0.04611716533800059,0.1165839637320003,0.10383874111800018,0.11102678386400022,0.1112158681200004,0.11438050097400043,0.17136008348000042
1927Q4,-0.03947750544705242,-0.1415322383943004,-0.016979094562948438,-0.053805625792979206,-0.09785205030272948,0.054591689077901684,0.03362069522231104,0.008964231817422563,-0.03181768477966074,-0.017650616113311424,0.024052788115815016,-0.0025070196262944044,0.047638476198495594,-0.058034159500601756,-0.07805399158226312,0.09075008239284088,0.031848157446251246,0.02406320719636401,-0.040153929972498226,-0.0993195140559171,0.056007324771856215,0.022620748007984748,0.00953598803131106,-0.02614112585120909,-0.06980627296241826,-0.07673478093599984,0.00046749378499999494,0.01954198675600005,0.024074704147999837,0.03072323101099994,0.018939690375999962,0.03223116630800016,0.004783845134000098,-0.0034581992079996127,0.05592240213199995
1928Q1,-0.0875614842313518,0.2791910236381061,0.2638128675789575,0.16556793333891373,0.31020697736930236,0.20540063932923447,0.23494084827778927,0.10420781293827419,0.17295813564386275,0.10488727019129396,0.15977060341289873,0.16195025719129008,0.17278672625589953,0.12563068863141602,0.14484487017845926,0.08966387144040366,0.15191985048765022,0.12205132087577009,0.11336246725857069,0.05250589368877234,0.07862748371204242,0.06949236996807473,0.05991388165642486,0.07174999060811338,0.12569229423180595,0.1776702480500003,0.04372216357000003,0.03484866250800023,0.08542390150199997,0.08431259009400027,0.053200249670000366,0.08013004078200026,0.09358014845000051,0.1359091918219999,0.09868733495000015
1928Q2,0.21959719973352199,0.08760299076911893,0.25634250892463006,0.02320882384799816,0.19029477973437037,-0.01808568787678133,0.3462677407132475,0.07124183810682583,0.09652305311781628,0.18389706324450406,0.1088175907235287,0.13689997613370508,0.13990706590182556,0.042784494422495545,0.10019831468464258,0.15806329837248723,0.11963903447925106,0.0475771638334932,0.08429693961713514,0.01534277740183665,0.1646021142038272,0.10857878667704912,0.12326892394367261,0.05451904050139511,0.1807355154257284,0.12674058444600012,0.13223696357000025,0.179774154018,0.08162554143899992,0.07504541401799991,0.08768796784499977,0.054440958897999936,0.061799328762000005,0.18144685554600004,0.15397248804600006
1928Q3,-0.07841684064140375,-0.09507118628995603,-0.055312039076780506,0.04615522783855841,-0.05346286181237758,-0.059791910803628556,-0.1130394277971708,-0.06426768823943996,-0.02240472335870014,-0.06380104948815435,-0.04818625677369259,0.00603926681031175,-0.07567396214275757,-0.09171257537746846,-0.09781956852859108,-0.022737991339654928,-0.07250713379576723,-0.020096874267106934,-0.040960251691684046,-0.03976022519154787,-0.004674251843712174,-0.023021029023368778,-0.04837297342018043,-0.04381517871819207,-0.12918728128614365,-0.06756264342900031,-0.07191449337600031,-0.0807069647440003,-0.057318879744000184,-0.02069562310200035,-0.029971319844000255,-0.033495884928000264,-0.057781969864000304,-0.001534921878000306,0.027228344912999747
1928Q4,0.061181371667742956,-0.013015589022054574,0.09841291078329295,0.05422552795419611,0.24028990906597825,0.14642300893180438,0.08869808133132451,0.11221480212254464,0.08938727383437417,0.20214534825370523,0.1610728326774269,0.18857348540919072,0.16398779808330022,0.10140612825556561,0.07718201727477703,0.1613029708197764,0.12990752325488852,0.06696536695700095,0.15317705439182738,0.08945257472183843,0.12363597760760392,0.098118370361578,0.08110055059539989,0.03670711989739561,0.16637809844946916,0.035203268012000244,0.06525893259000037,0.056100962854000125,0.049783615488000255,0.0694604030160002,0.1083451924290002,0.11358930545600021,0.20060354559600002,0.18468311953600014,0.2270951090640001
